"Driver family","Driver","Chipsets","PHY , URL: /wiki/PHY
","mainline , URL: /wiki/Mainline_(software_engineering)
","Non-free firmware required[note 1]","License","Development"
"iwlegacy , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intel/iwlegacy
","iwlegacy , URL: https://wireless.wiki.kernel.org/en/users/Drivers/iwlegacy
","Intel Wireless WiFi 3945ABG, 4965AGN","?","Yes","Yes","GPL",""
"iwlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intel/iwlwifi
","iwlwifi , URL: https://wireless.wiki.kernel.org/en/users/Drivers/iwlwifi
","Intel Wireless WiFi Next Gen AGN - Wireless-N/Advanced-N/Ultimate-N: 6250AGN, 6200AGN, 6300AGN, 1000BGN, 5150AGN, 5100AGN, 5300AGN, 5350AGN, 6005, 6030, 6150BGN, 100BGN and 130BGN, 2000","a/b/g/n/ac/ax","Yes","Yes","GPL , URL: /wiki/GPL
BSD , URL: /wiki/BSD
","Written by Intel"
"libertas , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/marvell/libertas
","libertas , URL: https://wireless.wiki.kernel.org/en/users/Drivers/libertas
","Marvell , URL: /wiki/Marvell_Technology_Group
88W8388 , URL: http://wiki.laptop.org/go/88W8388
","?","Yes","Yes[17]","GPL","Marvell-supported"
"libertas_tf , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/marvell/libertas_tf
","libertastf , URL: https://wireless.wiki.kernel.org/en/users/Drivers/libertastf
","Marvell 8388 (USB) WLAN Thinfirm Driver (OLPC)","b/g","Yes","Yes","GPL","cozybit, Marvell-supported"
"mt76 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/mediatek/mt76
","mt76 , URL: https://wireless.wiki.kernel.org/en/users/drivers/mediatek
","MediaTek , URL: /wiki/MediaTek
","a/b/g/n/ac","Yes (since 4.19[18])","Yes","ISC","With support from MediaTek"
"mt7601u , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/mediatek/mt7601u
","mt7601u , URL: https://wireless.wiki.kernel.org/en/users/drivers/mediatek
","MediaTek MT7601U","b/g/n","Yes (since 4.2)","Yes","GPLv2",""
"mwifiex , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/marvell/mwifiex
","mwifiex , URL: https://wireless.wiki.kernel.org/en/users/Drivers/mwifiex
","WiFi-Ex Driver for Marvell SD8786/SD8787/SD8797 (SDIO), 8766/8897 (PCIe) and 88W8797 (USB)","?","Yes","Yes[19]","GPLv2","Written by Marvell"
"mwl8k , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/marvell
","mwl8k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/mwl8k
","Marvell TOPDOG 802.11 Wireless cards: 88W8366, 88W8863, 88W8687, 88W8764","?","Yes","Yes","GPLv2","Written by Marvell"
"orinoco , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/orinoco
","orinoco , URL: https://wireless.wiki.kernel.org/en/users/Drivers/orinoco
","Lucent , URL: /wiki/Lucent
ORiNOCO , URL: /wiki/ORiNOCO
Intersil , URL: /wiki/Intersil
PRISM , URL: /wiki/PRISM_(chipset)
Symbol , URL: /wiki/Symbol_Technologies
","?","Yes","Required for WPA support[20]","",""
"prism54 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/prism54
p54 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/p54
","p54 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/p54
","Prism54 , URL: /wiki/Prism_(chipset)
","?","Yes (~Aug 2007)","Experimental OSS firmware[21]","",""
"prism54 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/prism54
p54 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/p54
","prism54 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/prism54
","Prism54 , URL: /wiki/Prism_(chipset)
","?","Yes (before 2.6.12)","Experimental OSS firmware[21]","","Reverse-engineered; obsoleted by p54."
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt2400pci , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt2400pci
","MediaTek , URL: /wiki/MediaTek
Ralink , URL: /wiki/Ralink
","b","Yes (since 2.6.24)","No[22]","GPLv2+","rt2x00.serialmonkey.com; From partial documentation and GPL drivers by Ralink"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt2500pci , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt2500pci
","RT2560","b/g","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt61pci , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt61pci
","RT2561, RT2561S, RT2661","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt2800pci , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt2800pci
","RT2760, RT2790, RT2860, RT2880, RT2890, RT3052, RT3090, RT3091, RT3092 RT3390, RT3060, RT3062, RT3562, RT3592, RT5390, RT3290","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt2500usb , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt2500usb
","RT2571 & RT2572","b/g","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt73usb , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt73usb
","RT2571W, RT2573 & RT2671","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ralink/rt2x00
","rt2800usb , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rt2800usb
","RT2770, RT2870 & RT3070, RT3071 & RT3072 RT3370, RT3572, RT5370, RT5572","?","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rtl818x , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtl818x
","rtl8180 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl8187
","RTL8180, RTL8185, RTL8187SE","b/g","Yes","No","GPL",""
"rtl818x , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtl818x
","rtl8187 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl8187
","RTL8187, RTL8187B","a/b/g","Yes","No","GPL",""
"rtl8xxxu , URL: https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/drivers/net/wireless/realtek/rtl8xxxu
","rtl819x , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","RTL8723AU, RTL8723BU, RTL8188CUS, RTL8191EU, RTL8192EU, RTL8188EU, RTL8188RU","?","Yes","No","GPLv2","various"
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8188ee , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl819x
","Realtek","?","Yes (since 2.6.38)[23]","Yes","GPL","Written by Realtek et al. Forked from rtl8180-sa2400 project."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8192c , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl8192c
","","?","Yes","","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8192ce , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","","?","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8192cu , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","","?","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8192de , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","","?","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8192se , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","","?","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8723ae , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","","?","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8188eu , URL: https://wireless.wiki.kernel.org/en/users/drivers/rtl819x
","RTL8188EU e.g. in the TP-Link TL-WN725N","?","Yes (since 3.12[24][25])","Yes","GPL","Written by Realtek et al."
"rtlwifi , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/realtek/rtlwifi
rtl‑wifi , URL: http://sourceforge.net/projects/rtl-wifi/
","rtl8821ae , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl819x
","RTL8812AE, RTL8821AE","ac","Yes (since 3.16)","Yes","GPL","?"
"rsi9113 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/rsi
","RSI9113","Redpine Signals SDIO, USB adapters","","Yes","","GPL","Redpine Signals Inc. , URL: /wiki/Redpine_Signals
"
"ti , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ti
","wl1251 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/wl1251
","Texas Instruments , URL: /wiki/Texas_Instruments
","?","Yes","Yes[26]","GPL","Written by Nokia"
"ti , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ti
","wl12xx , URL: http://linuxwireless.sipsolutions.net/en/users/Drivers/wl12xx/
","Texas Instruments TI wl1271, wl1273, wl1281 and wl1283","?","Yes (Only up to 3.2[27])","Yes[26]","GPL","Written by Nokia and Texas Instruments"
"ti , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ti
","wl18xx , URL: https://wireless.wiki.kernel.org/en/users/Drivers/wl18xx
","Texas Instruments TI WiLink 8","?","Yes","Yes[26]","GPL","Written by Texas Instruments"
"zd1211rw , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/zydas/zd1211rw
","zd1211rw , URL: https://wireless.wiki.kernel.org/en/users/Drivers/zd1211rw
","ZyDAS ZD1211/ZD1211B (USB)","?","Yes","Yes[28]","GPL","various"
