"Card family","Standards organizations","Varieties","Entry date","Maximum commercially available capacity","Picture[1]","Main features"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","miniSDHC , URL: /wiki/MiniSDHC
","2008","32 GB","
URL: /wiki/File:SecureDigitalCard_Mini.svg
//upload.wikimedia.org/wikipedia/commons/thumb/8/87/SecureDigitalCard_Mini.svg/62px-SecureDigitalCard_Mini.svg.png
","Same build as miniSD but greater capacity and transfer speed, 4 GB to 32 GB. 8 GB is largest in early-2011 (not compatible with older host devices)."
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","microSDHC , URL: /wiki/MicroSDHC
","2007","32 GB","
URL: /wiki/File:MicroSDHC-Card.gif
//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/MicroSDHC-Card.gif/47px-MicroSDHC-Card.gif
","Same build as microSD but greater capacity and transfer speed, 4 GB to 32 GB.[4](not compatible with older host devices)"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","SDXC , URL: /wiki/SDXC
","2009","1 TB","
URL: /wiki/File:Crystal128-sd-mmc-unmount.svg
//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Crystal128-sd-mmc-unmount.svg/100px-Crystal128-sd-mmc-unmount.svg.png
","Same build as SD/SDHC, but greater capacity and transfer speed, 32 GB and higher. Standard goes up to 2 TB (not compatible with older host devices)."
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","microSDXC , URL: /wiki/SDXC
","2009","1 TB","
URL: /wiki/File:MicroSD_Card_Bottom.svg
//upload.wikimedia.org/wikipedia/commons/thumb/3/38/MicroSD_Card_Bottom.svg/100px-MicroSD_Card_Bottom.svg.png
","Same build as microSD/microSDHC, but greater capacity and transfer speed, 32 GB and higher. Standard goes up to 2 TB (not compatible with older host devices)."
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","SDUC , URL: /wiki/SDUC
","2018","","
URL: /wiki/File:Crystal128-sd-mmc-unmount.svg
//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Crystal128-sd-mmc-unmount.svg/100px-Crystal128-sd-mmc-unmount.svg.png
","Same build as SD/SDHC/SDXC, but greater capacity and transfer speed. Standard goes up to 128 TB (not compatible with older host devices)."
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","Standard","1998","128 MB","
URL: /wiki/File:Memory_Stick_64MB.png
//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Memory_Stick_64MB.png/67px-Memory_Stick_64MB.png
","Slim and narrow (50×21.5×2.8 mm), optional DRM, up to 128 MB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","PRO","2003","4 GB","
URL: /wiki/File:Memory_stick.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Memory_stick.jpg/85px-Memory_stick.jpg
","Slim and narrow (50×21.5×2.8 mm), swifter, optional DRM, up to 4 GB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","Duo","2003","128 MB","
URL: /wiki/File:MemoryStickDuo32MB.jpg
//upload.wikimedia.org/wikipedia/en/thumb/9/9d/MemoryStickDuo32MB.jpg/100px-MemoryStickDuo32MB.jpg
","Compact (31×20×1.6 mm), optional DRM, up to 128 MB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","PRO Duo","2002-2006","32 GB","
URL: /wiki/File:MS-PRO-DUO.JPG
//upload.wikimedia.org/wikipedia/commons/thumb/d/da/MS-PRO-DUO.JPG/100px-MS-PRO-DUO.JPG
","Compact (31×20×1.6 mm), optional DRM, up to 32 GB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","PRO-HG Duo","2007-2008","32 GB","
URL: /wiki/File:SDMSHX3-008G-J31.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/SDMSHX3-008G-J31.jpg/165px-SDMSHX3-008G-J31.jpg
","Compact (31×20×1.6 mm), swifter, optional DRM, up to 32 GB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony , URL: /wiki/Sony
SanDisk , URL: /wiki/SanDisk
","Micro (M2)","2006","16 GB","
URL: /wiki/File:Sony_Memory_Stick_Micro_M2_-_1GB-0423.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Sony_Memory_Stick_Micro_M2_-_1GB-0423.jpg/39px-Sony_Memory_Stick_Micro_M2_-_1GB-0423.jpg
","Subcompact (15×12.5×1.2 mm), optional DRM, up to 16 GB"
"Memory Stick , URL: /wiki/Memory_Stick
","Sony","PS Vita , URL: /wiki/PS_Vita
","2012","64 GB","
URL: /wiki/File:Sony_Playstation_Vita_Memory_Card_16GB.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sony_Playstation_Vita_Memory_Card_16GB.jpg/39px-Sony_Playstation_Vita_Memory_Card_16GB.jpg
","Subcompact (15×12.5×1.6 mm[5]), compulsory DRM, up to 64 GB, proprietary (can be used on PS Vita only)"
"P2 (storage media) , URL: /wiki/P2_(storage_media)
","Panasonic","MicroP2 , URL: /wiki/MicroP2
","2012","64 GB","","Ultra High Speed , URL: /wiki/Secure_Digital#Ultra_High_Speed_bus
"
"xD , URL: /wiki/XD-Picture_Card
","Olympus , URL: /wiki/Olympus_Corporation
Fujifilm , URL: /wiki/Fujifilm
","Standard","2002-2007","512 MB","
URL: /wiki/File:XD_card_16M_Fujifilm_front.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/74/XD_card_16M_Fujifilm_front.png/78px-XD_card_16M_Fujifilm_front.png
","Slim and small (20×25×1.78 mm), electrically identical to SmartMedia, no wear-leveling controller, up to 512 MB[6]"
"xD , URL: /wiki/XD-Picture_Card
","Olympus , URL: /wiki/Olympus_Corporation
Fujifilm , URL: /wiki/Fujifilm
","Type M","2005","2 GB","
URL: /wiki/File:XD_card_typeM_1G_Fujifilm.png
//upload.wikimedia.org/wikipedia/commons/thumb/b/be/XD_card_typeM_1G_Fujifilm.png/78px-XD_card_typeM_1G_Fujifilm.png
","Slim and small (20×25×1.78 mm) but slower read/write, no wear-leveling controller, up to 2 GB[6]"
"xD , URL: /wiki/XD-Picture_Card
","Olympus , URL: /wiki/Olympus_Corporation
Fujifilm , URL: /wiki/Fujifilm
","Type H","2005","2 GB","
URL: /wiki/File:XD_card_typeH_512M_Olympus.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/45/XD_card_typeH_512M_Olympus.png/78px-XD_card_typeH_512M_Olympus.png
","Slim and small (20×25×1.78 mm) and swifter, no wear-leveling controller, up to 2 GB[6]"
"XQD card , URL: /wiki/XQD_card
","Sony & Nikon","Standard","2011-2012",">2 TB","
URL: /wiki/File:DS7_4260_PK.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/DS7_4260_PK.jpg/146px-DS7_4260_PK.jpg
","PCIe , URL: /wiki/PCIe
"
"Universal Flash Storage , URL: /wiki/Universal_Flash_Storage
","Samsung , URL: /wiki/Samsung
","UFS Card , URL: /wiki/Universal_Flash_Storage#UFS_cards
","2016",">256 GB","","differential signaling , URL: /wiki/Differential_signaling
UHS-I , URL: /wiki/UHS-I
"
"USB flash drive , URL: /wiki/USB_flash_drive
","Various","USB 1.1/2.0/3.0/3.1","2000/2001","1 TB+","
URL: /wiki/File:Geil_David_1GB_AB.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Geil_David_1GB_AB.jpg/110px-Geil_David_1GB_AB.jpg
","Universally compatible across most non-mobile computer platforms, their greater size suits them better to file transfer/storage instead of use in portable devices"
