"Research Networking Tool","Interoperability with Institutional Enterprise Systems","Interoperability with External Systems","Integration with Add-on Components or Products","Regional, National, International or Federated Connectivity?"
"Esploro","Yes Esploro provides multiple REST APIs for integration with enterprise systems such as HR Systems, CRIS / RIM, Institutional Repositories, profiles, grant management systems and more. Integration with repositories can be done also via OAI-PMH and Esploro automatically captures data, such as outputs, grants, researchers profiles and more from multiple institutional and cross- institutional systems.","Yes Integration with the, ProQuest‘s Summon Service, ORCID, PubMed, CrossRef, DataCite etc. Files can be imported and exported in formats like DublinCore, DataCite and BibTeX.","Yes","Yes Plans to enable consortium and collaboration capabilities based on Ex Libris Alma Network and Community Zones"
"EUREKA! Enhancing Student Research","No","No","Unknown","No"
"Expertise @ Maryland","May be possible","No","Unknown","No"
"Faculty Profile System","No","No","Unknown","No"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown","No"
"GENIUS","Yes","Yes Only other InfoEd modules (SMARTS: Service that automatically sends notices of funding opportunities via email. You provide keywords that describe your research interests, and SMARTS matches those keywords with present funding programs; SPIN: Enables subscribers to directly search for all sponsored programs, past and present, contained within the InfoEd database)","Unknown","No"
"Google","No","Yes","Possibly","No"
"HUBzero","No","Yes PubMed; data is semantic web compliant as of August 2011","Possibly","No"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","No","Yes PubMed","Unknown","No"
"i2iConnect","No","No","Unknown","Yes"
"InCites","Yes (Institutions have access to Web Services in order to feed data into internal databases.)","Yes (Integrates with Converis.)","Yes (Web of Science, ResearcherID)","No"
"INDURE (Indiana Database for University Research Expertise)","No","No","Unknown","Yes for 4 Indiana institutions only"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","Yes InfoEd, eIRB, Medical School faculty database","Yes (PubMed)","Yes (Possible)","Yes National federated connectivity through DIRECT2Experts"
"LinkedIn","No","No","Unknown","No"
"Life Science Network","No","Yes (Pubmed)","No","No"
"Loki","Yes Possible","Yes","Unknown","No"
"Lyterati","Yes (Ellucian, PeopleSoft, Workday InfoEd, Coeus)","Yes (PubMed, VIVO, Google Scholar, BibTex or CSV Sources)","Yes (BibTex and CSV)","Yes, capable"
"McCormick Collaboration Visualization Tool","No","Yes Only Clarivate Analytics Web of Science","Unknown","No"
"MizzouLinks","Maybe","No","Unknown","No"
"MyScienceWork","No","Unknown","Unknown","Yes"
"OSU:pro","No","Unknown","Unknown","No"
"Pivot","No","Maybe","Unknown","Unknown"
"Portfolio & Showroom","Yes","Yes ORCID, university's repository, library catalogue. Files can be imported and exported as BibTeX.","Yes","Yes Showroom works as a cross-instance search."
"Profiles Research Networking Software","Yes","Yes Pubmed, commercial sources of publication data, semantic web applications via VIVO ontology.","Yes","Yes Profiles Users Group has regular conference calls and works on collaborative software development projects. Profiles can perform federated queries across other Profiles instances, and with other products using linked open data (VIVO ontology) and the DIRECT2Experts API."
"REACH NC Life Science Experts Visualization Tool","Yes","Yes Through SciVal API","No","No"
"Research Accelerator","No","No","Unknown","No"
"ResearcherID","No","Yes Through ResearcherID download service, institutions can load data into their internal systems. Also is integrated with other Clarivate Analytics offerings, including Web of Science, EndNote, and Research In View","Unknown","No"
"SciENcv","Yes (is possible through open data exchange standards)","Yes","Unknown","No"
"Symplectic Elements","Yes Clients have the ability to integrate with existing web profile management systems, export data for business intelligence solutions and easily submit research outcomes for various government assessment exercises. This includes HR, publications, teaching activities, grants, institutional repositories, and any other system providing or consuming research data.","SHERPA/RoMEO , URL: /wiki/SHERPA/RoMEO
","[3] , URL: https://github.com/Symplectic/Vivo_Harvester_V2
","Yes Elements public profiling tool, Discovery Module, can be integrated with Direct2Expert."
"VIVO","Yes Data can be ingested from a wide variety of local sources (including HR, grants, course databases, institutional repositories, membership rosters, research interests, and many others) to reflect a complete view of the institution's priorities and efforts.","https://web.archive.org/web/20121028002514/http://vivoweb.org/blog/2011/01/award-announcement-vivo-collaborative-research-projects-program , URL: https://web.archive.org/web/20121028002514/http://vivoweb.org/blog/2011/01/award-announcement-vivo-collaborative-research-projects-program
","Yes VIVO collaborates with eagle-I on research resources. Future plans include adding many additional data types which are meaningful in the academic research setting. VIVO data are structured using a comprehensive ontology designed for local extension and major ontology ""plugins"" such as BIBO and eagle-i.","Yes VIVO Consortium received $12.2M NIH ARRA U24 award in 2009 to fully develop software and create national system of federated research expertise directories/research networking systems; All other semantic web-compliant software platforms can be integrated into the consortium (example: Harvard Profiles). Participant in Direct2Experts and VIVO Search"
"Yaffle","No","No","Unknown","The Canadian research funding councils as well as knowledge mobilization networks across the country (governments and universities) are working to develop a model to share what Yaffle has built"
