"Flag","Country","IOC","FIFA","ISO","*"
"","Burkina Faso , URL: /wiki/Burkina_Faso
","BUR","BFA","BFA","3öFI"
"","Burundi , URL: /wiki/Burundi
","BDI","BDI","BDI","3OFI"
"","Cambodia , URL: /wiki/Cambodia
","CAM","CAM","KHM","3OFï"
"","Cameroon , URL: /wiki/Cameroon
","CMR","CMR","CMR","3OFI"
"","Canada , URL: /wiki/Canada
","CAN","CAN","CAN","3OFI"
"","Cape Verde , URL: /wiki/Cape_Verde
","CPV","CPV","CPV","3OFI"
"","Cayman Islands , URL: /wiki/Cayman_Islands
","CAY","CAY","CYM","3OFï"
"","Central African Republic , URL: /wiki/Central_African_Republic
","CAF","CTA","CAF","3OƒI"
"","Chad , URL: /wiki/Chad
","CHA","CHA","TCD","3OFï"
"","Chile , URL: /wiki/Chile
","CHI","CHI","CHL","3OFï"
"","China, People's Republic of , URL: /wiki/People%27s_Republic_of_China
","CHN","CHN","CHN","3OFI"
"","Christmas Island , URL: /wiki/Christmas_Island
","","","CXR","1--ï"
"","Cocos (Keeling) Islands , URL: /wiki/Cocos_(Keeling)_Islands
","","","CCK","1--ï"
"","Colombia , URL: /wiki/Colombia
","COL","COL","COL","3OFI"
"","Comoros , URL: /wiki/Comoros
","COM","COM","COM","3OFI"
"","Congo, Democratic Republic of the , URL: /wiki/Democratic_Republic_of_the_Congo
","COD","COD","COD","3OFI"
"","Congo, Republic of the , URL: /wiki/Republic_of_the_Congo
","CGO","CGO","COG","3OFï"
"","Cook Islands , URL: /wiki/Cook_Islands
","COK","COK","COK","3OFI"
"","Costa Rica , URL: /wiki/Costa_Rica
","CRC","CRC","CRI","3OFï"
"","Côte d'Ivoire , URL: /wiki/C%C3%B4te_d%27Ivoire
","CIV","CIV","CIV","3OFI"
"","Croatia , URL: /wiki/Croatia
","CRO","CRO","HRV","3OFï"
"","Cuba , URL: /wiki/Cuba
","CUB","CUB","CUB","3OFI"
"","Curaçao , URL: /wiki/Cura%C3%A7ao
","","CUW","CUW","2-FI"
"","Cyprus , URL: /wiki/Cyprus
","CYP","CYP","CYP","3OFI"
"","Czech Republic , URL: /wiki/Czech_Republic
","CZE","CZE","CZE","3OFI"
"","Denmark , URL: /wiki/Denmark
","DEN","DEN","DNK","3OFï"
"","Djibouti , URL: /wiki/Djibouti
","DJI","DJI","DJI","3OFI"
"","Dominica , URL: /wiki/Dominica
","DMA","DMA","DMA","3OFI"
"","Dominican Republic , URL: /wiki/Dominican_Republic
","DOM","DOM","DOM","3OFI"
"","Ecuador , URL: /wiki/Ecuador
","ECU","ECU","ECU","3OFI"
"","Egypt , URL: /wiki/Egypt
","EGY","EGY","EGY","3OFI"
"","El Salvador , URL: /wiki/El_Salvador
","ESA","SLV","SLV","3öFI"
"","England , URL: /wiki/England
","","ENG","[7]","1-ƒ-"
"","Equatorial Guinea , URL: /wiki/Equatorial_Guinea
","GEQ","EQG","GNQ","3öƒï"
"","Eritrea , URL: /wiki/Eritrea
","ERI","ERI","ERI","3OFI"
"","Estonia , URL: /wiki/Estonia
","EST","EST","EST","3OFI"
"","Eswatini , URL: /wiki/Eswatini
","SWZ","SWZ","SWZ","3OFI"
"","Ethiopia , URL: /wiki/Ethiopia
","ETH","ETH","ETH","3OFI"
"","Falkland Islands , URL: /wiki/Falkland_Islands
","","","FLK","1--ï"
"","Faroe Islands , URL: /wiki/Faroe_Islands
","[8]","FRO","FRO","2-FI"
"","Fiji , URL: /wiki/Fiji
","FIJ","FIJ","FJI","3OFï"
"","Finland , URL: /wiki/Finland
","FIN","FIN","FIN","3OFI"
"","France , URL: /wiki/France
","FRA","FRA","FRA","3OFI"
"","French Guiana , URL: /wiki/French_Guiana
","","","GUF","1--ï"
"","French Polynesia , URL: /wiki/French_Polynesia
","","TAH","PYF","2-ƒï"
"","French Southern and Antarctic Lands , URL: /wiki/French_Southern_and_Antarctic_Lands
","","","ATF","1--ï"
"","Gabon , URL: /wiki/Gabon
","GAB","GAB","GAB","3OFI"
"","The Gambia , URL: /wiki/The_Gambia
","GAM","GAM","GMB","3OFï"
"","Georgia , URL: /wiki/Georgia_(country)
","GEO","GEO","GEO","3OFI"
"","Germany , URL: /wiki/Germany
","GER","GER","DEU","3OFï"
"","Ghana , URL: /wiki/Ghana
","GHA","GHA","GHA","3OFI"
"","Gibraltar , URL: /wiki/Gibraltar
","","GIB","GIB","2-FI"
"","Greece , URL: /wiki/Greece
","GRE","GRE","GRC","3OFï"
"","Greenland , URL: /wiki/Greenland
","","","GRL","1--ï"
"","Grenada , URL: /wiki/Grenada
","GRN","GRN","GRD","3OFï"
"","Guadeloupe , URL: /wiki/Guadeloupe
","","","GLP","1--ï"
"","Guam , URL: /wiki/Guam
","GUM","GUM","GUM","3OFI"
"","Guatemala , URL: /wiki/Guatemala
","GUA","GUA","GTM","3OFï"
"","Guernsey , URL: /wiki/Bailiwick_of_Guernsey
","","","GGY","1--ï"
"","Guinea , URL: /wiki/Guinea
","GUI","GUI","GIN","3OFï"
"","Guinea-Bissau , URL: /wiki/Guinea-Bissau
","GBS","GNB","GNB","3öFI"
"","Guyana , URL: /wiki/Guyana
","GUY","GUY","GUY","3OFI"
"","Haiti , URL: /wiki/Haiti
","HAI","HAI","HTI","3OFï"
"","Heard Island and McDonald Islands , URL: /wiki/Heard_Island_and_McDonald_Islands
","","","HMD","1--ï"
"","Honduras , URL: /wiki/Honduras
","HON","HON","HND","3OFï"
"","Hong Kong , URL: /wiki/Hong_Kong
","HKG","HKG","HKG","3OFI"
"","Hungary , URL: /wiki/Hungary
","HUN","HUN","HUN","3OFI"
"","Iceland , URL: /wiki/Iceland
","ISL","ISL","ISL","3OFI"
"","India , URL: /wiki/India
","IND","IND","IND","3OFI"
"","Indonesia , URL: /wiki/Indonesia
","INA","IDN","IDN","3öFI"
"","Iran , URL: /wiki/Iran
","IRI","IRN","IRN","3öFI"
"","Iraq , URL: /wiki/Iraq
","IRQ","IRQ","IRQ","3OFI"
"","Ireland , URL: /wiki/Republic_of_Ireland
","IRL","IRL","IRL","3OFI"
"","Isle of Man , URL: /wiki/Isle_of_Man
","","","IMN","1--ï"
"","Israel , URL: /wiki/Israel
","ISR","ISR","ISR","3OFI"
"","Italy , URL: /wiki/Italy
","ITA","ITA","ITA","3OFI"
"","Jamaica , URL: /wiki/Jamaica
","JAM","JAM","JAM","3OFI"
"","Japan , URL: /wiki/Japan
","JPN","JPN","JPN","3OFI"
"","Jersey , URL: /wiki/Jersey
","","","JEY","1--ï"
"","Jordan , URL: /wiki/Jordan
","JOR","JOR","JOR","3OFI"
"","Kazakhstan , URL: /wiki/Kazakhstan
","KAZ","KAZ","KAZ","3OFI"
"","Kenya , URL: /wiki/Kenya
","KEN","KEN","KEN","3OFI"
"","Kiribati , URL: /wiki/Kiribati
","KIR","","KIR","2O-I"
"","Korea, Democratic People's Rep. (North) , URL: /wiki/North_Korea
","PRK","PRK","PRK","3OFI"
"","Korea, Republic of (South) , URL: /wiki/South_Korea
","KOR","KOR","KOR","3OFI"
"","Kosovo , URL: /wiki/Kosovo
","KOS","KVX","[14]","2öƒ-"
"","Kuwait , URL: /wiki/Kuwait
","KUW","KUW","KWT","3OFï"
"","Kyrgyzstan , URL: /wiki/Kyrgyzstan
","KGZ","KGZ","KGZ","3OFI"
"","Laos , URL: /wiki/Laos
","LAO","LAO","LAO","3OFI"
"","Latvia , URL: /wiki/Latvia
","LAT","LVA","LVA","3öFI"
"","Lebanon , URL: /wiki/Lebanon
","LBN","LBN","LBN","3OFI"
"","Lesotho , URL: /wiki/Lesotho
","LES","LES","LSO","3OFï"
"","Liberia , URL: /wiki/Liberia
","LBR","LBR","LBR","3OFI"
"","Libya , URL: /wiki/Libya
","LBA","LBY","LBY","3öFI"
"","Liechtenstein , URL: /wiki/Liechtenstein
","LIE","LIE","LIE","3OFI"
"","Lithuania , URL: /wiki/Lithuania
","LTU","LTU","LTU","3OFI"
"","Luxembourg , URL: /wiki/Luxembourg
","LUX","LUX","LUX","3OFI"
"","Macau , URL: /wiki/Macau
","","MAC","MAC","2-FI"
"","Madagascar , URL: /wiki/Madagascar
","MAD","MAD","MDG","3OFï"
"","Malawi , URL: /wiki/Malawi
","MAW","MWI","MWI","3öFI"
"","Malaysia , URL: /wiki/Malaysia
","MAS","MAS","MYS","3OFï"
"","Maldives , URL: /wiki/Maldives
","MDV","MDV","MDV","3OFI"
"","Mali , URL: /wiki/Mali
","MLI","MLI","MLI","3OFI"
"","Malta , URL: /wiki/Malta
","MLT","MLT","MLT","3OFI"
"","Marshall Islands , URL: /wiki/Marshall_Islands
","MHL","","MHL","2O-I"
"","Martinique , URL: /wiki/Martinique
","","","MTQ","1--ï"
"","Mauritania , URL: /wiki/Mauritania
","MTN","MTN","MRT","3OFï"
"","Mauritius , URL: /wiki/Mauritius
","MRI","MRI","MUS","3OFï"
"","Mayotte , URL: /wiki/Mayotte
","","","MYT","1--ï"
"","Mexico , URL: /wiki/Mexico
","MEX","MEX","MEX","3OFI"
"","Micronesia, Federated States of , URL: /wiki/Federated_States_of_Micronesia
","FSM","","FSM","2O-I"
"","Moldova , URL: /wiki/Moldova
","MDA","MDA","MDA","3OFI"
"","Monaco , URL: /wiki/Monaco
","MON","","MCO","2ö-ï"
"","Mongolia , URL: /wiki/Mongolia
","MGL","MNG","MNG","3öFI"
"","Montenegro , URL: /wiki/Montenegro
","MNE","MNE","MNE","3OFI"
"","Montserrat , URL: /wiki/Montserrat
","","MSR","MSR","2-FI"
"","Morocco , URL: /wiki/Morocco
","MAR","MAR","MAR","3OFI"
"","Mozambique , URL: /wiki/Mozambique
","MOZ","MOZ","MOZ","3OFI"
"","Myanmar , URL: /wiki/Myanmar
","MYA","MYA","MMR","3OFï"
"","Namibia , URL: /wiki/Namibia
","NAM","NAM","NAM","3OFI"
"","Nauru , URL: /wiki/Nauru
","NRU","","NRU","2O-I"
"","Nepal , URL: /wiki/Nepal
","NEP","NEP","NPL","3OFï"
"","Netherlands , URL: /wiki/Netherlands
","NED","NED","NLD","3OFï"
"","New Caledonia , URL: /wiki/New_Caledonia
","","NCL","NCL","2-FI"
"","New Zealand , URL: /wiki/New_Zealand
","NZL","NZL","NZL","3OFI"
"","Nicaragua , URL: /wiki/Nicaragua
","NCA","NCA","NIC","3OFï"
"","Niger , URL: /wiki/Niger
","NIG","NIG","NER","3OFï"
"","Nigeria , URL: /wiki/Nigeria
","NGR","NGA","NGA","3öFI"
"","Niue , URL: /wiki/Niue
","","","NIU","1--ï"
"","Norfolk Island , URL: /wiki/Norfolk_Island
","","","NFK","1--ï"
"[15]","Northern Ireland , URL: /wiki/Northern_Ireland
","","NIR","[7]","1-ƒ-"
"","Northern Mariana Islands , URL: /wiki/Northern_Mariana_Islands
","","","MNP","1--ï"
"","North Macedonia , URL: /wiki/North_Macedonia
","MKD","MKD","MKD","3OFI"
"","Norway , URL: /wiki/Norway
","NOR","NOR","NOR","3OFI"
"","Oman , URL: /wiki/Oman
","OMA","OMA","OMN","3OFï"
"","Pakistan , URL: /wiki/Pakistan
","PAK","PAK","PAK","3OFI"
"","Palau , URL: /wiki/Palau
","PLW","","PLW","2O-I"
"","State of Palestine , URL: /wiki/State_of_Palestine
","PLE","PLE","PSE","3OFï"
"","Panama , URL: /wiki/Panama
","PAN","PAN","PAN","3OFI"
"","Papua New Guinea , URL: /wiki/Papua_New_Guinea
","PNG","PNG","PNG","3OFI"
"","Paraguay , URL: /wiki/Paraguay
","PAR","PAR","PRY","3OFï"
"","Peru , URL: /wiki/Peru
","PER","PER","PER","3OFI"
"","Philippines , URL: /wiki/Philippines
","PHI","PHI","PHL","3OFï"
"","Pitcairn Islands , URL: /wiki/Pitcairn_Islands
","","","PCN","1--ï"
"","Poland , URL: /wiki/Poland
","POL","POL","POL","3OFI"
"","Portugal , URL: /wiki/Portugal
","POR","POR","PRT","3OFï"
"","Puerto Rico , URL: /wiki/Puerto_Rico
","PUR","PUR","PRI","3OFï"
"","Qatar , URL: /wiki/Qatar
","QAT","QAT","QAT","3OFI"
"","Réunion , URL: /wiki/R%C3%A9union
","","","REU","1--ï"
"","Romania , URL: /wiki/Romania
","ROU","ROU","ROU","3OFI"
"","Russian Federation , URL: /wiki/Russia
","RUS","RUS","RUS","3OFI"
"","Rwanda , URL: /wiki/Rwanda
","RWA","RWA","RWA","3OFI"
"","Saint Barthélemy , URL: /wiki/Saint_Barth%C3%A9lemy
","","","BLM","1--ï"
"","Saint Helena, Ascension and Tristan da Cunha , URL: /wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha
","","","SHN","1--ï"
"","Saint Kitts and Nevis , URL: /wiki/Saint_Kitts_and_Nevis
","SKN","SKN","KNA","3OFï"
"","Saint Lucia , URL: /wiki/Saint_Lucia
","LCA","LCA","LCA","3OFI"
"","Saint Martin (French part) , URL: /wiki/Collectivity_of_Saint_Martin
","","","MAF","1--ï"
"","Saint Pierre and Miquelon , URL: /wiki/Saint_Pierre_and_Miquelon
","","","SPM","1--ï"
"","Saint Vincent and the Grenadines , URL: /wiki/Saint_Vincent_and_the_Grenadines
","VIN","VIN","VCT","3OFï"
"","Samoa , URL: /wiki/Samoa
","SAM","SAM","WSM","3OFï"
"","San Marino , URL: /wiki/San_Marino
","SMR","SMR","SMR","3OFI"
"","São Tomé and Príncipe , URL: /wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
","STP","STP","STP","3OFI"
"","Saudi Arabia , URL: /wiki/Saudi_Arabia
","KSA","KSA","SAU","3OFï"
"","Scotland , URL: /wiki/Scotland
","","SCO","[7]","1-ƒ-"
"","Senegal , URL: /wiki/Senegal
","SEN","SEN","SEN","3OFI"
"","Serbia , URL: /wiki/Serbia
","SRB","SRB","SRB","3OFI"
"","Seychelles , URL: /wiki/Seychelles
","SEY","SEY","SYC","3OFï"
"","Sierra Leone , URL: /wiki/Sierra_Leone
","SLE","SLE","SLE","3OFI"
"","Singapore , URL: /wiki/Singapore
","SGP","SIN","SGP","3OƒI"
"","Sint Maarten (Dutch part) , URL: /wiki/Sint_Maarten
","","","SXM","1--ï"
"","Slovakia , URL: /wiki/Slovakia
","SVK","SVK","SVK","3OFI"
"","Slovenia , URL: /wiki/Slovenia
","SLO","SVN","SVN","3öFI"
"","Solomon Islands , URL: /wiki/Solomon_Islands
","SOL","SOL","SLB","3OFï"
"","Somalia , URL: /wiki/Somalia
","SOM","SOM","SOM","3OFI"
"","South Africa , URL: /wiki/South_Africa
","RSA","RSA","ZAF","3OFï"
"","South Georgia and the South Sandwich Islands , URL: /wiki/South_Georgia_and_the_South_Sandwich_Islands
","","","SGS","1--ï"
"","South Sudan , URL: /wiki/South_Sudan
","SSD","SSD","SSD","3OFI"
"","Spain , URL: /wiki/Spain
","ESP","ESP","ESP","3OFI"
"","Sri Lanka , URL: /wiki/Sri_Lanka
","SRI","SRI","LKA","3OFï"
"","Sudan , URL: /wiki/Sudan
","SUD","SDN","SDN","3öFI"
"","Suriname , URL: /wiki/Suriname
","SUR","SUR","SUR","3OFI"
"","Svalbard and Jan Mayen , URL: /wiki/Svalbard_and_Jan_Mayen
","","","SJM","1--ï"
"","Sweden , URL: /wiki/Sweden
","SWE","SWE","SWE","3OFI"
"","Switzerland , URL: /wiki/Switzerland
","SUI","SUI","CHE","3OFï"
"","Syria , URL: /wiki/Syria
","SYR","SYR","SYR","3OFI"
"","Taiwan , URL: /wiki/Taiwan
","TPE","TPE","TWN","3OFï"
"","Tajikistan , URL: /wiki/Tajikistan
","TJK","TJK","TJK","3OFI"
"","Tanzania , URL: /wiki/Tanzania
","TAN","TAN","TZA","3OFï"
"","Thailand , URL: /wiki/Thailand
","THA","THA","THA","3OFI"
"","Timor-Leste , URL: /wiki/East_Timor
","TLS","TLS","TLS","3OFI"
"","Togo , URL: /wiki/Togo
","TOG","TOG","TGO","3OFï"
"","Tokelau , URL: /wiki/Tokelau
","","","TKL","1--ï"
"","Tonga , URL: /wiki/Tonga
","TGA","TGA","TON","3OFï"
"","Trinidad and Tobago , URL: /wiki/Trinidad_and_Tobago
","TTO","TRI","TTO","3OƒI"
"","Tunisia , URL: /wiki/Tunisia
","TUN","TUN","TUN","3OFI"
"","Turkey , URL: /wiki/Turkey
","TUR","TUR","TUR","3OFI"
"","Turkmenistan , URL: /wiki/Turkmenistan
","TKM","TKM","TKM","3OFI"
"","Turks and Caicos Islands , URL: /wiki/Turks_and_Caicos_Islands
","","TCA","TCA","2-FI"
"","Tuvalu , URL: /wiki/Tuvalu
","TUV","","TUV","2O-I"
"","Uganda , URL: /wiki/Uganda
","UGA","UGA","UGA","3OFI"
"","Ukraine , URL: /wiki/Ukraine
","UKR","UKR","UKR","3OFI"
"","United Arab Emirates , URL: /wiki/United_Arab_Emirates
","UAE","UAE","ARE","3OFï"
"","United Kingdom , URL: /wiki/United_Kingdom
","GBR","","GBR","2O-I"
"","United States , URL: /wiki/United_States
","USA","USA","USA","3OFI"
"","United States Minor Outlying Islands , URL: /wiki/United_States_Minor_Outlying_Islands
","","","UMI","1--ï"
"","United States Virgin Islands , URL: /wiki/United_States_Virgin_Islands
","ISV","VIR","VIR","3öFI"
"","Uruguay , URL: /wiki/Uruguay
","URU","URU","URY","3OFï"
"","Uzbekistan , URL: /wiki/Uzbekistan
","UZB","UZB","UZB","3OFI"
"","Vanuatu , URL: /wiki/Vanuatu
","VAN","VAN","VUT","3OFï"
"","Vatican City State , URL: /wiki/Vatican_City_State
","","","VAT","1--ï"
"","Venezuela , URL: /wiki/Venezuela
","VEN","VEN","VEN","3OFI"
"","Vietnam , URL: /wiki/Vietnam
","VIE","VIE","VNM","3OFï"
"","Wales , URL: /wiki/Wales
","","WAL","[7]","1-ƒ-"
"","Wallis and Futuna , URL: /wiki/Wallis_and_Futuna
","","","WLF","1--ï"
"","Western Sahara , URL: /wiki/Western_Sahara
","","","ESH","1--ï"
"","Yemen , URL: /wiki/Yemen
","YEM","YEM","YEM","3OFI"
"","Zambia , URL: /wiki/Zambia
","ZAM","ZAM","ZMB","3OFï"
"","Zimbabwe , URL: /wiki/Zimbabwe
","ZIM","ZIM","ZWE","3OFï"
