"Program","Operating systems , URL: /wiki/Operating_system
","License , URL: /wiki/Software_license
","Open source , URL: /wiki/Open-source_software
","Protocols , URL: /wiki/Communications_protocol
","Codecs , URL: /wiki/Codec
","Encryption , URL: /wiki/Encryption
","Other abilities","Latest release","Latest release"
"Media5-fone , URL: /wiki/Media5-fone
","iOS, Android","Proprietary , URL: /wiki/Proprietary_software
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","PCMA , URL: /wiki/A-law_algorithm
PCMU , URL: /wiki/PCMU
G.722 , URL: /wiki/G.722
iLBC , URL: /wiki/ILBC
iSAC , URL: /wiki/Internet_Speech_Audio_Codec
G.729 , URL: /wiki/G.729
","TLS , URL: /wiki/Transport_Layer_Security
SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
","Wi-Fi and 3G/4G data, second call*, conference calls*, HD Voice, Bluetooth* (* Additional fees)","?","?"
"Signal , URL: /wiki/Signal_(software)
Signal Foundation , URL: /wiki/Signal_Foundation
","iOS, Android","GPLv3 , URL: /wiki/GNU_General_Public_License
","Yes","WebRTC , URL: /wiki/WebRTC
","Opus , URL: /wiki/Opus_(audio_format)
","TLS , URL: /wiki/Transport_Layer_Security
Signal Protocol , URL: /wiki/Signal_Protocol
","End-to-end encryption by default for everything. CallKit and location privacy,[53] one-to-one and group messaging, video calling,[53] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[54] GIF sharing.[55]","Android","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Signal , URL: /wiki/Signal_(software)
Signal Foundation , URL: /wiki/Signal_Foundation
","iOS, Android","GPLv3 , URL: /wiki/GNU_General_Public_License
","Yes","WebRTC , URL: /wiki/WebRTC
","Opus , URL: /wiki/Opus_(audio_format)
","TLS , URL: /wiki/Transport_Layer_Security
Signal Protocol , URL: /wiki/Signal_Protocol
","End-to-end encryption by default for everything. CallKit and location privacy,[53] one-to-one and group messaging, video calling,[53] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[54] GIF sharing.[55]","iOS","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Signal , URL: /wiki/Signal_(software)
Signal Foundation , URL: /wiki/Signal_Foundation
","iOS, Android","GPLv3 , URL: /wiki/GNU_General_Public_License
","Yes","WebRTC , URL: /wiki/WebRTC
","Opus , URL: /wiki/Opus_(audio_format)
","TLS , URL: /wiki/Transport_Layer_Security
Signal Protocol , URL: /wiki/Signal_Protocol
","End-to-end encryption by default for everything. CallKit and location privacy,[53] one-to-one and group messaging, video calling,[53] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[54] GIF sharing.[55]","Desktop","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Sipdroid , URL: /wiki/Sipdroid
","Android , URL: /wiki/Android_(operating_system)
","GPL , URL: /wiki/GNU_General_Public_License
","Yes","SIP , URL: /wiki/Session_Initiation_Protocol
","?","?","Wi-Fi , URL: /wiki/Wi-Fi
3G , URL: /wiki/3G
EDGE , URL: /wiki/Enhanced_Data_Rates_for_GSM_Evolution
","2.7","2.7"
"Tango , URL: /wiki/Tango_(application)
","iOS, Android, Microsoft Windows, macOS, Windows Phone","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","?","?","?","?","VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, instant messaging, videoconferencing","?","?"
"Truphone , URL: /wiki/Truphone
","Nokia-Symbian, iOS, Android, BlackBerry","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","?","?","VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, connection management, provisioning","Symbian 4.0, iOS 1.11.1","Symbian 4.0, iOS 1.11.1"
"Vopium , URL: /wiki/Vopium
","Java ME , URL: /wiki/Java_ME
","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","SIP, MSN, Skype, Yahoo, AOL, ICQ, Google Talk, Facebook & Twitter","GSM , URL: /wiki/GSM
","?","Wi-Fi VoIP, GSM call-through, SMS over IP, least cost routing, synchronising-backup mobile contacts and calendar","2.0","2.0"
"WhatsApp , URL: /wiki/WhatsApp
","Android, BlackBerry, iOS, Symbian, Windows Phone","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","?","?","ECDH , URL: /wiki/Elliptic_curve_Diffie%E2%80%93Hellman
SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
","VoIP and instant messaging over Wi-Fi or a data connection.","6361529682","6361529682"
"Windows Mobile 6 , URL: /wiki/Windows_Mobile_6
","Windows Mobile 6 Professional/Standard","Proprietary , URL: /wiki/Proprietary_software
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","?","?","Wi-Fi , URL: /wiki/Wi-Fi
Mobile VoIP , URL: /wiki/Mobile_VoIP
","6.1","6.1"
"X-PRO for Pocket PC","Windows Mobile 2003 (earlier versions support Windows PocketPC 2002)","Proprietary, discontinued in April 2007[57]","No","SIP , URL: /wiki/Session_Initiation_Protocol
","?","?","Supported devices: AudioVox Maestro, Compaq/HP iPAQ: 365x, 37xx, 385x, 395x, hx4700, Dell Axim X51, X51v, Toshiba e550, e570. iPAQ 545x and Toshiba e7xx are not supported.[58]","2.2","2.2"
"Yuilop , URL: /wiki/Yuilop
","Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","XMPP , URL: /wiki/XMPP
RTP , URL: /wiki/Real-time_Transport_Protocol
","iLBC , URL: /wiki/ILBC
","TLS , URL: /wiki/Transport_Layer_Security
","VoIP over 3G-4G-LTE and Wi-fi, SMS, group chat, photo sharing, Location sharing, virtual phone numbers","iOS 2.4 (November 26, 2014; 7 years ago (2014-11-26)[59]) [±] Android 2.0.2 (February 12, 2014; 8 years ago (2014-02-12)) [±] Windows Phone 7.x 1.0.1.7 (September 12, 2013; 8 years ago (2013-09-12)) [±] Windows Phone 8.x 1.0.0.4 (September 18, 2013; 8 years ago (2013-09-18)) [±] BlackBerry OS 1.0.1 (May 31, 2013; 8 years ago (2013-05-31)) [±] Kindle Fire 2.0 (December 19, 2013; 8 years ago (2013-12-19)[60]) [±]","iOS 2.4 (November 26, 2014; 7 years ago (2014-11-26)[59]) [±] Android 2.0.2 (February 12, 2014; 8 years ago (2014-02-12)) [±] Windows Phone 7.x 1.0.1.7 (September 12, 2013; 8 years ago (2013-09-12)) [±] Windows Phone 8.x 1.0.0.4 (September 18, 2013; 8 years ago (2013-09-18)) [±] BlackBerry OS 1.0.1 (May 31, 2013; 8 years ago (2013-05-31)) [±] Kindle Fire 2.0 (December 19, 2013; 8 years ago (2013-12-19)[60]) [±]"
"Linkus , URL: https://www.yeastar.com/unified-communications/linkus-softphone/
","Android V4.4+, iOS v10.0+","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","SIP","iLBC , URL: /wiki/ILBC
","TLS, SRTP , URL: /wiki/Transport_Layer_Security
","HD VoIP Call, Instant Messaging, Conferencing, SRTP Secure Media, Presence information","iOS 2.7.9 Android 2.7.12","iOS 2.7.9 Android 2.7.12"
