"Name","License","Cost","OS X , URL: /wiki/OS_X
","Unix-like , URL: /wiki/Unix-like
","Windows , URL: /wiki/Windows
","Audio","Images","Video","Transcoding , URL: /wiki/Transcoding
","Web Interface","DLNA , URL: /wiki/DLNA
","Multilingual , URL: /wiki/Multilingual
","Implementation","Subtitles[2]","Still Supported","Misc."
"Home Media Server , URL: /w/index.php?title=Home_Media_Server&action=edit&redlink=1
","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi , URL: /wiki/Delphi_(programming_language)
","Yes","Yes",""
"iSedora Media Server , URL: /w/index.php?title=ISedora_Media_Server&action=edit&redlink=1
","Prop.","Non-free","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Objective C / C++ / JavaScript","Unknown","Yes",""
"Jamcast , URL: /w/index.php?title=Jamcast&action=edit&redlink=1
","Prop.","Free","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","C++ / C# / Java","Unknown","Yes",""
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"Kodi (formerly XBMC) , URL: /wiki/Kodi_(software)
","GPL","Free","Yes","Yes","Yes","Yes","Yes [11]","Yes","No","Yes","Yes","Yes","C++","Yes","Yes",""
"KooRaRoo Media , URL: /w/index.php?title=KooRaRoo_Media&action=edit&redlink=1
","Prop.","Non-free[12]","Yes[13]","Yes[14]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes[15]","Yes",""
"LimboMedia , URL: /w/index.php?title=LimboMedia&action=edit&redlink=1
","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes",""
"LXiMedia , URL: /w/index.php?title=LXiMedia&action=edit&redlink=1
","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes, mandatory","Yes","Yes","Unknown","C++","Yes","No",""
"Majestic Media Server , URL: /w/index.php?title=Majestic_Media_Server&action=edit&redlink=1
","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown",""
"MediaMonkey , URL: /wiki/MediaMonkey
","Prop.","Non-free","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Delphi","Yes","Yes",""
"MediaTomb , URL: /w/index.php?title=MediaTomb&action=edit&redlink=1
","GPL","Free","Partial[16]","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","No",""
"Gerbera[17]","GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","Yes","Based on MediaTomb"
"ReadyMedia (formerly MiniDLNA) , URL: /w/index.php?title=ReadyMedia_(formerly_MiniDLNA)&action=edit&redlink=1
","GPL/BSD","Free","Partial[19]","Yes","Yes[20]","Yes","Yes","Yes","Partial[21]","Partial[22]","Yes","Unknown","C","Yes","Yes",""
"Mezzmo , URL: /w/index.php?title=Mezzmo&action=edit&redlink=1
","Prop.","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"myiHome , URL: /w/index.php?title=MyiHome&action=edit&redlink=1
","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown","Java","Unknown","Unknown",""
"MythTV with uPnP , URL: /wiki/MythTV#Modules
","GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","C++","Unknown","Unknown",""
"Nullriver Medialink , URL: /w/index.php?title=Nullriver_Medialink&action=edit&redlink=1
","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Yes","Unknown",""
"PlayOn , URL: /wiki/PlayOn
","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C#","Partial[23]","Unknown",""
"Plex , URL: /wiki/Plex_(software)
","Prop.","Non-free[24]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++ / Python","Yes","Yes",""
"PS3 Media Server , URL: /wiki/PS3_Media_Server
","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[25]","Yes","Yes","Java","Yes","No",""
"PyMedS , URL: /w/index.php?title=PyMedS&action=edit&redlink=1
","MIT","Free","Partial[4]","Partial[4]","No","Unknown","Unknown","Unknown","Yes[26]","No","Unknown","Unknown","Python","Unknown","No",""
"Rygel , URL: /w/index.php?title=Rygel_(Media_Server)&action=edit&redlink=1
","LGPLv2","Free","No","Yes","No [28]","Yes","Yes","Yes","Yes","No","Yes","Yes","Vala","Unknown","Yes",""
"Rivet[29]","Prop.","Free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No[29]",""
"Serviio , URL: /wiki/Serviio
","Prop.","Non-free[30]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[31]","Yes","Yes","Java","Partial[32]","Unknown",""
"SimpleCenter Premium , URL: /w/index.php?title=SimpleCenter_Premium&action=edit&redlink=1
","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown",""
"Skifta , URL: /wiki/Skifta
","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Java","Unknown","Unknown",""
"Songbird , URL: /wiki/Songbird_(software)
","GPLv2","Free","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","C++","No","No[33]",""
"TVble , URL: /w/index.php?title=TVble&action=edit&redlink=1
","Prop.","Free","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","C#/C++","Unknown","Yes",""
"TVersity , URL: /wiki/TVersity
","Prop.","Non-free[34]","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes",""
"TVMOBiLi , URL: /w/index.php?title=TVMOBiLi&action=edit&redlink=1
","Prop.","[35]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","C++","Yes","No",""
"TVShare , URL: /w/index.php?title=TVShare&action=edit&redlink=1
","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Java","Unknown","Unknown",""
"TwonkyMedia server , URL: /wiki/TwonkyMedia_server
","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Partial[36]","Yes","Yes","Yes","Unknown","Unknown","Yes",""
"Universal Media Server , URL: /wiki/Universal_Media_Server
","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes","PS3 Media Server , URL: /wiki/PS3_Media_Server
"
"Windows Media Connect , URL: /wiki/Windows_Media_Connect
","Prop.","Free [37]","No","No","Yes","Yes","Yes","Yes","Yes [38]","No","Yes","Yes","Unknown","Unknown","Yes",""
"Wild Media Server , URL: /w/index.php?title=Wild_Media_Server&action=edit&redlink=1
","Prop.","Trialware , URL: /wiki/Trialware
","Yes[39]","Yes[40]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi , URL: /wiki/Delphi_(programming_language)
","Yes","Yes",""
"xupnpd , URL: /w/index.php?title=Xupnpd&action=edit&redlink=1
","GPLv2","Free","No","Yes","No","Yes","Unknown","Yes","No","Yes","Yes","Unknown","C++","Unknown","Unknown",""
"Yazsoft Playback , URL: /w/index.php?title=Yazsoft_Playback&action=edit&redlink=1
","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No",""
"Name","License","Cost","OS X","Unix-like","Windows","Audio","Images","Video","Transcoding , URL: /wiki/Transcoding
","Web Interface","DLNA , URL: /wiki/DLNA
","Multilingual , URL: /wiki/Multilingual
","Implementation","Subtitles[2]","Still Supported",""
