"Name","Developer","Predecessor","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"Discontinued - Breadbox Office , URL: /wiki/GEOS_(16-bit_operating_system)#Breadbox_Ensemble
","Breadbox Computer Company","—","1990","DOS , URL: /wiki/DOS
","4.1.3.0","2009","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Discontinued - Breadbox Office , URL: /wiki/GEOS_(16-bit_operating_system)#Breadbox_Ensemble
","Breadbox Computer Company","—","1990","Windows , URL: /wiki/Microsoft_Windows
","4.1.3.0","2009","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Calligra Suite , URL: /wiki/Calligra_Suite
","KDE , URL: /wiki/KDE
","KOffice , URL: /wiki/KOffice
","2011","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q864680?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-05-14","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Calligra Suite , URL: /wiki/Calligra_Suite
","KDE , URL: /wiki/KDE
","KOffice , URL: /wiki/KOffice
","2011","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q864680?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-05-14","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Calligra Suite , URL: /wiki/Calligra_Suite
","KDE , URL: /wiki/KDE
","KOffice , URL: /wiki/KOffice
","2011","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q864680?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-05-14","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Calligra Suite , URL: /wiki/Calligra_Suite
","KDE , URL: /wiki/KDE
","KOffice , URL: /wiki/KOffice
","2011","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q864680?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-05-14","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","Android , URL: /wiki/Android_(operating_system)
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","Chrome OS , URL: /wiki/Chrome_OS
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","iOS , URL: /wiki/IOS
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","iPadOS , URL: /wiki/IPadOS
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","Online","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2016","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q30585118?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"ConceptDraw Office , URL: /wiki/ConceptDraw_Office
","Computer Systems Odessa LLC","—","2008-06-17","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q15240487?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-16","Proprietary , URL: /wiki/Proprietary_software
","499"
"ConceptDraw Office , URL: /wiki/ConceptDraw_Office
","Computer Systems Odessa LLC","—","2008-06-17","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q15240487?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-16","Proprietary , URL: /wiki/Proprietary_software
","499"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","Feng Office , URL: /wiki/Feng_Office
","—","2007","Online","
URL: https://www.wikidata.org/wiki/Q532422?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-07","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Joris van der Hoeven","—","1996?","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q1464634?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Joris van der Hoeven","—","1996?","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q1464634?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Joris van der Hoeven","—","1996?","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q1464634?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Joris van der Hoeven","—","1996?","Unix , URL: /wiki/Unix
","
URL: https://www.wikidata.org/wiki/Q1464634?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Joris van der Hoeven","—","1996?","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q1464634?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Discontinued - Go-oo , URL: /wiki/Go-oo
","Novell , URL: /wiki/Novell
","OpenOffice.org , URL: /wiki/OpenOffice.org
","2007-10-08","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q1533362?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-07-21","LGPL , URL: /wiki/LGPL
","Discontinued"
"Discontinued - Go-oo , URL: /wiki/Go-oo
","Novell , URL: /wiki/Novell
","OpenOffice.org , URL: /wiki/OpenOffice.org
","2007-10-08","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q1533362?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-07-21","LGPL , URL: /wiki/LGPL
","Discontinued"
"Discontinued - Go-oo , URL: /wiki/Go-oo
","Novell , URL: /wiki/Novell
","OpenOffice.org , URL: /wiki/OpenOffice.org
","2007-10-08","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q1533362?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-07-21","LGPL , URL: /wiki/LGPL
","Discontinued"
"Discontinued - GobeProductive , URL: /wiki/GobeProductive
","Gobe Software , URL: /wiki/Gobe_Software
","—","1998","BeOS , URL: /wiki/BeOS
","2.01","2002","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Discontinued - GobeProductive , URL: /wiki/GobeProductive
","Gobe Software , URL: /wiki/Gobe_Software
","—","1998","Windows , URL: /wiki/Microsoft_Windows
","3.04","2002","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","Android , URL: /wiki/Android_(operating_system)
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","Chrome OS , URL: /wiki/Chrome_OS
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","iOS , URL: /wiki/IOS
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","macOS , URL: /wiki/MacOS
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Google Workspace , URL: /wiki/Google_Workspace
","Google , URL: /wiki/Google
","Writely","2006","Windows , URL: /wiki/Microsoft_Windows
","Rolling updates","Rolling updates","Proprietary , URL: /wiki/Proprietary_software
","60.00 per account per year. 30 day-trial at no cost. No cost for education and non-profit."
"Hancom Office , URL: /wiki/Hancom_Office
","Hancom , URL: /wiki/Hancom
","ThinkFree Office","1998","Android , URL: /wiki/Android_(operating_system)
","2020","2020","Proprietary , URL: /wiki/Proprietary_software
","59.99 - 119.99"
"Hancom Office , URL: /wiki/Hancom_Office
","Hancom , URL: /wiki/Hancom
","ThinkFree Office","1998","Online","2020","2020","Proprietary , URL: /wiki/Proprietary_software
","59.99 - 119.99"
"Hancom Office , URL: /wiki/Hancom_Office
","Hancom , URL: /wiki/Hancom
","ThinkFree Office","1998","Windows , URL: /wiki/Microsoft_Windows
","2020","2020","Proprietary , URL: /wiki/Proprietary_software
","59.99 - 119.99"
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","IBM Workplace , URL: /wiki/IBM_Workplace
","2007","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q259201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2012-11-29","Proprietary , URL: /wiki/Proprietary_software
","?"
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","IBM Workplace , URL: /wiki/IBM_Workplace
","2007","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q259201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2012-11-29","Proprietary , URL: /wiki/Proprietary_software
","?"
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","IBM Workplace , URL: /wiki/IBM_Workplace
","2007","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q259201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2012-11-29","Proprietary , URL: /wiki/Proprietary_software
","?"
"iWork , URL: /wiki/IWork
","Apple Inc. , URL: /wiki/Apple_Inc.
","AppleWorks , URL: /wiki/AppleWorks
","2005","iOS , URL: /wiki/IOS
","
URL: https://www.wikidata.org/wiki/Q306020?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-28","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"iWork , URL: /wiki/IWork
","Apple Inc. , URL: /wiki/Apple_Inc.
","AppleWorks , URL: /wiki/AppleWorks
","2005","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q306020?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-28","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"iWork , URL: /wiki/IWork
","Apple Inc. , URL: /wiki/Apple_Inc.
","AppleWorks , URL: /wiki/AppleWorks
","2005","Online","
URL: https://www.wikidata.org/wiki/Q306020?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-28","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"KOffice , URL: /wiki/KOffice
","KDE , URL: /wiki/KDE
","—","1998","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q270431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-02-23","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KOffice , URL: /wiki/KOffice
","KDE , URL: /wiki/KDE
","—","1998","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q270431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-02-23","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KOffice , URL: /wiki/KOffice
","KDE , URL: /wiki/KDE
","—","1998","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q270431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-02-23","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KOffice , URL: /wiki/KOffice
","KDE , URL: /wiki/KDE
","—","1998","Solaris , URL: /wiki/Solaris_(operating_system)
Illumos , URL: /wiki/Illumos
","
URL: https://www.wikidata.org/wiki/Q270431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-02-23","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KOffice , URL: /wiki/KOffice
","KDE , URL: /wiki/KDE
","—","1998","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q270431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-02-23","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
