"Name","Author","First public release","Latest stable version","Latest stable version","Cost","Software license , URL: /wiki/Software_license
","Framework , URL: /wiki/Multimedia_framework
","Written in"
"MediaMonkey Standard , URL: /wiki/MediaMonkey
","Ventis Media Inc.","August 25, 2003","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","","Delphi, C"
"MediaMonkey Gold , URL: /wiki/MediaMonkey
","Ventis Media Inc.","August 25, 2003","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","$24.95USD","Proprietary , URL: /wiki/Proprietary_software
","","Delphi, C"
"MediaMonkey Lifetime , URL: /wiki/MediaMonkey
","Ventis Media Inc.","August 25, 2003","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","5.0.2.2531 (December 22, 2021; 2 months ago (2021-12-22)) [±]","$49.95USD","Proprietary , URL: /wiki/Proprietary_software
","",""
"Groove Music , URL: /wiki/Groove_Music
","Microsoft","2012","","","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Mpxplay , URL: /wiki/Mpxplay
","Mpxplay","January 1, 1998","3.14 (October 24, 2021; 4 months ago (2021-10-24)) [±]","3.14 (October 24, 2021; 4 months ago (2021-10-24)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","","C"
"Music on Console , URL: /wiki/Music_on_Console
","Damian Pietras","January 1, 2002","2.5.1 (April 24, 2016; 5 years ago (2016-04-24)) [±]","2.5.1 (April 24, 2016; 5 years ago (2016-04-24)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","C"
"Music Player Daemon , URL: /wiki/Music_Player_Daemon
","Warren Dukes","May 1, 2003","0.21.22 (April 2, 2020; 23 months ago (2020-04-02)[9]) [±]","0.21.22 (April 2, 2020; 23 months ago (2020-04-02)[9]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","C"
"MusicBee , URL: /wiki/MusicBee
","Steven Mayall","December 4, 2008","3.4.7805 (May 17, 2021; 9 months ago (2021-05-17)) [±]","3.4.7805 (May 17, 2021; 9 months ago (2021-05-17)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","BASS audio library","Visual Basic .NET , URL: /wiki/Visual_Basic_.NET
"
"musikCube , URL: /wiki/MusikCube
","Casey Langen","January 1, 2005","0.92.1 (May 26, 2020; 21 months ago (2020-05-26)) [±]","0.92.1 (May 26, 2020; 21 months ago (2020-05-26)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","BSD-3-Clause , URL: /wiki/BSD_licenses
","",""
"Napster , URL: /wiki/Napster_(pay_service)
","William Christopher Gorog","October 1, 2003","4.6.3.4 (August 31, 2010; 11 years ago (2010-08-31)) [±]","4.6.3.4 (August 31, 2010; 11 years ago (2010-08-31)) [±]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Quod Libet , URL: /wiki/Quod_Libet_(software)
","Quod Libet Team","November 8, 2004","4.3.0[10] (22 February 2020; 2 years ago (2020-02-22)) [±]","4.3.0[10] (22 February 2020; 2 years ago (2020-02-22)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","Python , URL: /wiki/Python_(programming_language)
"
"Rdio , URL: /wiki/Rdio
","Rdio Inc","August 3, 2010","Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (28 October 2013; 8 years ago (2013-10-28)) iOS: 3.0.3 (27 September 2014; 7 years ago (2014-09-27))","Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (28 October 2013; 8 years ago (2013-10-28)) iOS: 3.0.3 (27 September 2014; 7 years ago (2014-09-27))","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","RealNetworks , URL: /wiki/RealNetworks
","January 1, 2003","14.0 (16 October 2006) [±]","14.0 (16 October 2006) [±]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Rhythmbox , URL: /wiki/Rhythmbox
","Colin Walters","April 1, 2004","3.4.4 (January 4, 2020; 2 years ago (2020-01-04)) [±]","3.4.4 (January 4, 2020; 2 years ago (2020-01-04)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","C"
"Sayonara Player , URL: /wiki/Sayonara_Player
","Michael Lugmair (until 2020 under the pseudonym Lucio Carreras)","2011","1.5.1-stable5 / 29 August 2019","1.5.1-stable5 / 29 August 2019","No cost , URL: /wiki/Gratis_versus_libre
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","C++"
"Songbird , URL: /wiki/Songbird_(software)
","POTI Inc.","February 8, 2006","2.2.0, Build 2453 (February 4, 2013; 9 years ago (2013-02-04)) [±]","2.2.0, Build 2453 (February 4, 2013; 9 years ago (2013-02-04)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL","GStreamer",""
"Sonic Visualiser , URL: /wiki/Sonic_Visualiser
","Queen Mary, University of London , URL: /wiki/Queen_Mary,_University_of_London
","May 10, 2007","3.1.1 (August 14, 2018)","3.1.1 (August 14, 2018)","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","",""
"Sonique , URL: /wiki/Sonique_(media_player)
","Media Science","November 1, 1998","1.96 (March 2002)","1.96 (March 2002)","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","Android","8.6.88.1104 / December 16, 2021; 2 months ago (2021-12-16)[11]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","Android Wear","8.6.88.1104 / December 16, 2021; 2 months ago (2021-12-16)","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","iOS","8.6.84 / December 1, 2021; 3 months ago (2021-12-01)[12]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","Windows","1.1.80.699 / March 5, 2022; 6 days ago (2022-03-05)[13]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","macOS","1.1.74.631 / December 11, 2021; 3 months ago (2021-12-11)","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Spotify , URL: /wiki/Spotify
","Spotify LTD","October 7, 2008","Linux","1.1.72.439 / November 12, 2021; 3 months ago (2021-11-12)[14]","Subscription , URL: /wiki/Subscription_business_model
","Proprietary , URL: /wiki/Proprietary_software
","",""
"Style Jukebox , URL: /wiki/Style_Jukebox
","Digital Geek LTD","July 1, 2009","2.2.1 (October 8, 2016; 5 years ago (2016-10-08)) [±]","2.2.1 (October 8, 2016; 5 years ago (2016-10-08)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","","C# , URL: /wiki/C_Sharp_(programming_language)
"
"Winamp , URL: /wiki/Winamp
","Nullsoft , URL: /wiki/Nullsoft
","April 21, 1997","5.666.3516 (December 12, 2013; 8 years ago (2013-12-12)) [±]","5.666.3516 (December 12, 2013; 8 years ago (2013-12-12)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","Wasabi , URL: /wiki/Wasabi_(software)
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
"
"XMMS , URL: /wiki/XMMS
","XMMS Team","November 1, 1997","1.2.11 (November 16, 2007; 14 years ago (2007-11-16)) [±]","1.2.11 (November 16, 2007; 14 years ago (2007-11-16)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","original","C"
"XMPlay , URL: /wiki/Xmplay
","Un4seen Developments","1998","3.8 (December 23, 2013)","3.8 (December 23, 2013)","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","BASS audio library",""
"Name","Author","First public release","Stable version","Stable version","Cost","Software license","Framework used","Written in"
