"Research Networking Tool","Link to Product Page","Developer/Owner","Open Source , URL: /wiki/Open_Source
","Adopters"
"Elsevier's Pure","Pure , URL: http://www.elsevier.com/research-intelligence/pure
","Elsevier , URL: /wiki/Elsevier
","No","Pure client list , URL: http://www.elsevier.com/online-tools/research-intelligence/products-and-services/pure/clients
"
"Elsevier's SciVal","SciVal , URL: https://www.elsevier.com/solutions/scival
","Elsevier , URL: /wiki/Elsevier
","No","Over 200 adopters worldwide"
"Epernicus Solutions & Epernicus Network","Epernicus , URL: http://www.epernicus.com/
","Epernicus","No (but Epernicus Network is free to use)","Harvard , URL: /wiki/Harvard
MIT , URL: /wiki/MIT
Indiana University , URL: /wiki/Indiana_University
Stanford , URL: /wiki/Stanford
University of California Berkeley , URL: /wiki/University_of_California_Berkeley
"
"Epistemio","Epistemio , URL: http://www.epistemio.com/
","Epistemio","No","N/A (platform is directed toward individual researcher use)"
"ERIM Member Profile System (ERIM MIS)","People ERIM People profile system , URL: https://web.archive.org/web/20120121163949/http://www.erim.eur.nl/ERIM
","Erasmus Research Institute of Management , URL: /wiki/Erasmus_Research_Institute_of_Management
Erasmus University , URL: /wiki/Erasmus_University
Rotterdam , URL: /wiki/Rotterdam
Netherlands , URL: /wiki/Netherlands
","No","Erasmus University , URL: /wiki/Erasmus_University
"
"Esploro","Esploro , URL: https://www.exlibrisgroup.com/products/esploro-research-services-platform/
","Ex Libris , URL: /wiki/Ex_Libris_Group
","No","> 10 in early adopter program; Ex-Libris has a large presence in the higher Education community"
"EUREKA! Enhancing Student Research","EUREKA , URL: http://www.utexas.edu/research/eureka/
","University of Texas at Austin , URL: /wiki/University_of_Texas_at_Austin
","No","University of Texas at Austin , URL: /wiki/University_of_Texas_at_Austin
"
"Expertise @ Maryland","UM Experts , URL: https://web.archive.org/web/20120131185941/http://www.newsdesk.umd.edu/experts/
","University of Maryland , URL: /wiki/University_of_Maryland
","Yes (will be)","University of Maryland College Park , URL: /wiki/University_of_Maryland_College_Park
"
"Faculty Profile System","UC Irvine Faculty Profile System , URL: http://www.faculty.uci.edu/
","University of California Irvine , URL: /wiki/University_of_California_Irvine
","No","UC Irvine , URL: /wiki/UC_Irvine
"
"Faculty Profiles System","Stony Brook University Faculty Profiles System , URL: https://it.stonybrook.edu/services/faculty-profiles/
","Stony Brook University , URL: /wiki/Stony_Brook_University
","No","Stony Brook University , URL: /wiki/Stony_Brook_University
"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","University of Pittsburgh , URL: /wiki/University_of_Pittsburgh
","N/A","University of Pittsburgh , URL: /wiki/University_of_Pittsburgh
"
"Faculty Scholarly Productivity Index","Academic Analytics , URL: http://www.academicanalytics.com/
","Academic Analytics, LLC","No","Unknown"
"Faculty180","Faculty180 , URL: https://www.interfolio.com/products/faculty180/
","Interfolio","No","Institutions of higher education in the United States and Canada."
"GENIUS , URL: /wiki/GENIUS
","InfoEd GENIUS , URL: http://infoedglobal.com/
","InfoEd , URL: /w/index.php?title=InfoEd&action=edit&redlink=1
","No","Big Ten , URL: /wiki/Big_Ten
CIC , URL: /wiki/Council_of_Independent_Colleges
"
"Google , URL: /wiki/Google
","Google search , URL: http://google.com/
","Google , URL: /wiki/Google
","No (but anyone can access Google)","Anyone can access"
"HUBzero","HUBzero , URL: http://hubzero.org/
","Purdue University , URL: /wiki/Purdue_University
","Yes[11]","Indiana CTSI , URL: http://www.indianactsi.org/
Indiana University , URL: /wiki/Indiana_University
Purdue University , URL: /wiki/Purdue_University
Notre Dame , URL: /wiki/University_of_Notre_Dame
"
"iamResearcher","iamResearcher , URL: https://web.archive.org/web/20110401140710/http://iamresearcher.soton.ac.uk/
","University of Southampton , URL: /wiki/University_of_Southampton
","Unknown","N/A (platform is directed toward individual researcher use)"
"iAMscientist","iAMscientist , URL: http://webarchive.nationalarchives.gov.uk/20120620061828/http%3A//www.iamscientist.com/
","iAMscientist.inc","No","Unknown"
"i2iConnect","i2iConnect , URL: https://web.archive.org/web/20120212092239/http://i2iconnect.org/
","Indiana University , URL: /wiki/Indiana_University
","ThemesJoomla , URL: http://www.themesjoomla.com/
","N/A (platform is directed toward individual researcher use)"
"InCites , URL: /w/index.php?title=InCites&action=edit&redlink=1
","InCites , URL: https://clarivate.com/products/incites/
","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
","No","Unknown"
"INDURE (Indiana Database for University Research Expertise)","INDURE , URL: https://web.archive.org/web/20120426000646/https://www.indure.org/
","Indiana University , URL: /wiki/Indiana_University
Purdue University , URL: /wiki/Purdue_University
","No","Ball State , URL: /wiki/Ball_State
Indiana University , URL: /wiki/Indiana_University
Purdue University , URL: /wiki/Purdue_University
University of Notre Dame , URL: /wiki/University_of_Notre_Dame
"
"IRIS (Institutional Research Information System)","IRIS , URL: http://www.cineca.it/en/content/iris-institutional-research-information-system
","CINECA , URL: /wiki/CINECA
","Yes (will be in CERIF mode in first half of 2016)","60 universities[12]"
"Knode","Knode , URL: http://www.knodeinc.com/
","Knode","No","VIVO , URL: http://www.vivoweb.org/
UCSF , URL: /wiki/UCSF
"
"Lattes Platform , URL: /wiki/Lattes_Platform
","Lattes , URL: https://web.archive.org/web/20120102055924/http://lattes.cnpq.br/english/index.htm
","CNPq , URL: /wiki/CNPq
Brazil , URL: /wiki/Brazil
","Unknown","N/A (Platform is directed toward individual researcher use in Brazil)"
"LatticeGrid[13]","LatticeGrid public Wiki , URL: http://wiki.bioinformatics.northwestern.edu/index.php/LatticeGrid
","Northwestern University , URL: /wiki/Northwestern_University
","Yes","Feinberg School of Medicine , URL: /wiki/Feinberg_School_of_Medicine
UCSF , URL: /wiki/UCSF
Fox Chase Cancer Center , URL: /wiki/Fox_Chase_Cancer_Center
University of Michigan , URL: /wiki/University_of_Michigan
Case Western University , URL: /wiki/Case_Western_University
"
"LinkedIn , URL: /wiki/LinkedIn
","LinkedIn , URL: http://www.linkedin.com
","LinkedIn","No (but LinkedIn is free to use)","N/A (Platform is directed toward individual researcher use. Millions of users are registered globally.)"
"Life Science Network , URL: /w/index.php?title=Life_Science_Network&action=edit&redlink=1
","Life Science Network , URL: http://www.lifescience.net
","Life Science Network gGmbH","Yes (upon request)","Anyone can use."
"Loki[14]","Loki , URL: http://www.icts.uiowa.edu/Loki/
","University of Iowa , URL: /wiki/University_of_Iowa
","No","University of Iowa , URL: /wiki/University_of_Iowa
"
"Lyterati","Lyterati , URL: http://lyterati.com/
","Entigence Corporation , URL: http://www.entigence.com/
","No","George Washington University , URL: /wiki/George_Washington_University
The New School , URL: /wiki/The_New_School
Lehigh University , URL: /wiki/Lehigh_University
"
"McCormick Collaboration Visualization Tool","Collaboration at McCormick , URL: http://collaboration.mccormick.northwestern.edu/
","Northwestern University , URL: /wiki/Northwestern_University
","No","McCormick School of Engineering and Applied Science , URL: /wiki/McCormick_School_of_Engineering_and_Applied_Science
Northwestern University , URL: /wiki/Northwestern_University
"
"Mendeley , URL: /wiki/Mendeley
","Mendeley , URL: https://www.elsevier.com/solutions/mendeley
","Elsevier , URL: /wiki/Elsevier
","No","Anyone can use"
"MizzouLinks","none available","University of Missouri , URL: /wiki/University_of_Missouri
","Unknown","University of Missouri , URL: /wiki/University_of_Missouri
"
"MyScienceWork , URL: /wiki/MyScienceWork
","MyScienceWork , URL: http://www.mysciencework.com/
","Unknown","No (but anyone can register and use the network)","Anyone can register and use. The network is directed at the individual researcher"
"OSU:pro","OSU:pro , URL: https://web.archive.org/web/20120213082651/http://pro.osu.edu/
","Ohio State University , URL: /wiki/Ohio_State_University
","No (but can be licensed)","Ohio State University"
"Pivot","Pivot , URL: http://www.proquest.com/libraries/academic/management-solutions/Pivot.html
","ProQuest, LLC , URL: /wiki/ProQuest,_LLC
","No","100 university campuses and research organizations globally"
"Portfolio & Showroom","Portfolio & Showroom , URL: https://portfolio-showroom.ac.at/en/
","University of Applied Arts Vienna , URL: /wiki/University_of_Applied_Arts_Vienna
","Apache License , URL: /wiki/Apache_License
","University of Applied Arts Vienna , URL: /wiki/University_of_Applied_Arts_Vienna
Academy of Fine Arts Vienna , URL: /wiki/Academy_of_Fine_Arts_Vienna
Mozarteum University Salzburg , URL: /wiki/Mozarteum_University_Salzburg
source code , URL: https://github.com/base-angewandte
"
"Profiles Research Networking Software","Profiles , URL: https://web.archive.org/web/20120101115517/http://profiles.catalyst.harvard.edu/
","Harvard University , URL: /wiki/Harvard_University
","BSD license , URL: /wiki/BSD_license
","Harvard , URL: /wiki/Harvard
UCSF , URL: /wiki/UCSF
Profiles users , URL: https://web.archive.org/web/20120331112758/http://profiles.catalyst.harvard.edu/?pg=community
"
"REACH NC Life Science Experts Visualization Tool","REACH NC , URL: http://reachnc.org/
","RENCI , URL: /wiki/RENCI
University of North Carolina at Chapel Hill , URL: /wiki/University_of_North_Carolina_at_Chapel_Hill
Duke University , URL: /wiki/Duke_University
North Carolina State University , URL: /wiki/North_Carolina_State_University
Duke , URL: /wiki/Duke
Research Triangle Institute , URL: /wiki/Research_Triangle_Institute
University of North Carolina General Administration , URL: /w/index.php?title=University_of_North_Carolina_General_Administration&action=edit&redlink=1
","No (but free to the public)","Appalachian State University , URL: /wiki/Appalachian_State_University
Duke University , URL: /wiki/Duke_University
East Carolina University , URL: /wiki/East_Carolina_University
Elizabeth City State University , URL: /wiki/Elizabeth_City_State_University
Fayetteville State University , URL: /wiki/Fayetteville_State_University
NC A&T , URL: /wiki/NC_A%26T
North Carolina Central University , URL: /wiki/North_Carolina_Central_University
North Carolina State University , URL: /wiki/North_Carolina_State_University
RTI International , URL: /wiki/RTI_International
UNC-Asheville , URL: /wiki/UNC-Asheville
University of North Carolina at Chapel Hill , URL: /wiki/University_of_North_Carolina_at_Chapel_Hill
UNC-Charlotte , URL: /wiki/UNC-Charlotte
UNC-Greensboro , URL: /wiki/UNC-Greensboro
UNC-Pembroke , URL: /wiki/UNC-Pembroke
UNC-Wilmington , URL: /wiki/UNC-Wilmington
Western Carolina University , URL: /wiki/Western_Carolina_University
Winston-Salem State University , URL: /wiki/Winston-Salem_State_University
"
"Research Accelerator","YCCI Research Accelerator , URL: https://web.archive.org/web/20111209084009/http://ycci.researchaccelerator.org/
","ResearchAccelerator.org","Unknown","Yale University , URL: /wiki/Yale_University
"
"ResearcherID , URL: /wiki/ResearcherID
","ResearcherID , URL: http://www.researcherid.com/
","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
","No (but ResearcherID network is free to access and use by individual users)","N/A (Platform is directed toward individual researcher use)"
"ScholarBridge , URL: /w/index.php?title=ScholarBridge&action=edit&redlink=1
","ScholarBridge , URL: http://www.scholarbridge.com/
","ScholarBridge LLC , URL: /w/index.php?title=ScholarBridge_LLC&action=edit&redlink=1
","No","14 university members and free access for any individual student or researcher"
"SciENcv","SciENcv , URL: https://archive.today/20130222022107/http://www.sciencv.net/home.shtml
","Federal Demonstration Partnership , URL: http://sites.nationalacademies.org/PGA/fdp/index.htm
National Science and Technology Council , URL: /wiki/National_Science_and_Technology_Council
","Yes","Sponsored by the Federal Demonstration Partnership and the NSTC's interagency groups: Research Business Model (RBM) and Science of Science Policy (SoSP)"
"Symplectic Elements","Symplectic Elements , URL: http://www.symplectic.co.uk
","Digital Science , URL: /wiki/Digital_Science
","[1] , URL: https://github.com/Symplectic/Vivo_Harvester_V2
","115+ major research institutions around the world, including the University of Cambridge (UK), University of Oxford (UK), University of Melbourne (AUS), Duke University (US), University of Auckland (NZ), Tufts University (US), and University of Michigan (US). (see Some of Symplectic's clients)"
"UNIWeb , URL: /w/index.php?title=UNIWeb&action=edit&redlink=1
","UNIWeb , URL: https://www.uniweb.network/
","Proximify , URL: https://proximify.ca/?home
","No","University of Ottawa , URL: /wiki/University_of_Ottawa
McGill University , URL: /wiki/McGill_University
Dalhousie University , URL: /wiki/Dalhousie_University
University of British Columbia , URL: /wiki/University_of_British_Columbia
École de technologie supérieure , URL: /wiki/%C3%89cole_de_technologie_sup%C3%A9rieure
"
"VIVO , URL: /wiki/VIVO_(software)
","VIVO , URL: /wiki/VIVO_(software)
","Duraspace , URL: /wiki/DuraSpace
","Yes[16]","Cornell University , URL: /wiki/Cornell_University
University of Florida , URL: /wiki/University_of_Florida
Washington University in St. Louis , URL: /wiki/Washington_University_in_St._Louis
Weill Cornell Medical College , URL: /wiki/Weill_Cornell_Medical_College
Indiana University , URL: /wiki/Indiana_University
Ponce School of Medicine , URL: /wiki/Ponce_School_of_Medicine
Scripps Research Institute , URL: /wiki/Scripps_Research_Institute
Duke University , URL: /wiki/Duke_University
University of Colorado at Boulder , URL: /wiki/University_of_Colorado_at_Boulder
Northwestern University , URL: /wiki/Northwestern_University
University of Nebraska , URL: /wiki/University_of_Nebraska
University of Melbourne , URL: /wiki/University_of_Melbourne
Griffith University , URL: /wiki/Griffith_University
Chinese Academy of Sciences , URL: /wiki/Chinese_Academy_of_Sciences
"
"WorkWeb","WebWork , URL: https://web.archive.org/web/20100622155315/http://irvinginstitute.columbia.edu/workweb/help/profiles_directory.html
","Columbia University","No","Columbia University"
"Yaffle[18][19]","Yaffle , URL: http://www.yaffle.ca/
","Memorial University of Newfoundland , URL: /wiki/Memorial_University_of_Newfoundland
","Yes","Memorial University of Newfoundland , URL: /wiki/Memorial_University_of_Newfoundland
"
