"Family","Country","Manufac.","Payload (kg)","Payload (kg)","Payload (kg)","US$ , URL: /wiki/US$
","Launches reaching...","Launches reaching...","Launches reaching...","Launches reaching...","Status","Date of flight","Date of flight","Notes","Refs"
"Black Arrow , URL: /wiki/Black_Arrow
","UK , URL: /wiki/United_Kingdom
","RAE , URL: /wiki/Royal_Aircraft_Establishment
Westland , URL: /wiki/Westland_Aircraft
","132","--","--","--","4","3","","","Retired","1969","1971","","[34]"
"Bloostar , URL: /wiki/Bloostar
","ESP , URL: /wiki/Spain
","Zero 2 Infinity , URL: /wiki/Zero_2_Infinity
","140","--","--","--","0","","","","Devel.","unknown","","","[35]"
"Blue Whale 1 , URL: /wiki/Blue_Whale_1
","ROK , URL: /wiki/South_Korea
","Perigee Aerospace , URL: /wiki/Perigee_Aerospace
","50 (to SSO)","--","--","--","0","","","","Devel.","NET 2022","","","[36]"
"Ceres-1 , URL: /wiki/Ceres-1
","CHN , URL: /wiki/China
","Galactic Energy , URL: /wiki/Galactic_Energy
","350","--","--","--","2[g]","2","2","2","Active","2020","","","[37]"
"Cyclone-4M , URL: /wiki/Cyclone-4M
","UKR , URL: /wiki/Ukraine
","Yuzhnoye , URL: /wiki/Yuzhnoye_Design_Office
Yuzhmash , URL: /wiki/Yuzhmash
","5,000","1,000","--","--","0","","","","Devel.","NET 2022","","","[38]"
"Delta , URL: /wiki/Delta_(rocket_family)
","USA , URL: /wiki/United_States
","Douglas , URL: /wiki/McDonnell_Douglas
","3,848","1,312","--","--","186","","","","Retired","1960","1989","Launched Pioneer & Explorer probes. Var. A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00","[39]"
"Delta II , URL: /wiki/Delta_II
","USA , URL: /wiki/United_States
","ULA , URL: /wiki/United_Launch_Alliance
","6,000","2,171","1,508","51","153","152","152","151","Retired","1989","2018","Launched Mars probes MGS to Phoenix Var.: 6000, 7000, and Heavy.","[39][40][41]"
"Delta III , URL: /wiki/Delta_III
","USA , URL: /wiki/United_States
","Boeing , URL: /wiki/Boeing
","8,290","3,810","--","--","3","2","2","","Retired","1998","2000","","[42][43]"
"Delta IV , URL: /wiki/Delta_IV
","USA , URL: /wiki/United_States
","ULA , URL: /wiki/United_Launch_Alliance
","23,040","13,130","9,000","--","42[h]","42","41","41","Active","2002","","Var.: M, M+, and Heavy.","[44]"
"Diamant , URL: /wiki/Diamant
","FRA , URL: /wiki/France
","SEREB","","--","--","--","12","","","9","Retired","1965","1975","","[citation needed]"
"Dnepr , URL: /wiki/Dnepr_(rocket)
","UKR , URL: /wiki/Ukraine
RUS , URL: /wiki/Russia
","Yuzhmash , URL: /wiki/Yuzhmash
","3,600","--","750","14","17","","","","Retired","1999","2015","","[45][46] [full citation needed][47]"
"Electron , URL: /wiki/Electron_(rocket)
","NZ , URL: /wiki/New_Zealand
USA , URL: /wiki/United_States
","Rocket Lab , URL: /wiki/Rocket_Lab
","225","","","6","24[i]","24","21","21","Active","2017","","","[48]"
"Energia , URL: /wiki/Energia
","USSR , URL: /wiki/Soviet_Union
","NPO Energia , URL: /wiki/NPO_Energia
","100,000","20,000","32,000","240 (Energia−Buran)","2","2","1","1","Retired","1987","1988","1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle.","[49][citation needed]"
"Epsilon , URL: /wiki/Epsilon_(rocket)
","JPN , URL: /wiki/Japan
","IHI Corporation , URL: /wiki/IHI_Corporation
","1,200","--","--","--","5[j]","5","5","5","Active","2013","","","[50][51]"
"Eris , URL: /wiki/Eris_(rocket)
","AUS , URL: /wiki/Australia
","Gilmour Space Technologies , URL: /wiki/Gilmour_Space_Technologies
","305","--","--","--","0","","","","Devel.","2022","","","[52]"
"Falcon 1 , URL: /wiki/Falcon_1
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","420[53]","--","--","7.9[53]","5[54]","4[53]","2[53]","2[54]","Retired[53]","2006","2009","",""
"Falcon 9 , URL: /wiki/Falcon_9
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","22,800","8,300","--","61.2","144[k]","143","143","142","Active","2010","","Dragon capsule , URL: /wiki/SpaceX_Dragon
","[57][58]"
"Falcon Heavy , URL: /wiki/Falcon_Heavy
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","63,800","26,700","--","90–150","3[l]","3","3","3","Active","2018","","First test launch 2018-02-06","[59][60][61]"
"GSLV Mark I , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","5,000","2,500","--","--","6","4","2","2","Retired","2001","2010","","[62][63][64]"
"GSLV Mark II , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","5,000","2,700","--","--","8[m]","7","6","6","Active","2010","","","[62][63][64]"
"GSLV Mk.III (LVM3) , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mk_III
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","10,000","4,000","4,000","--","3[n] [o]","3","3","3","Active","2014","","","[65][66]"
"H-I , URL: /wiki/H-I
","JPN , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
","3,200","","--","--","9","9","","","Retired","1986","1992","License-built version of the Thor-ELT","[67]"
"H-II , URL: /wiki/H-II
IIA , URL: /wiki/H-IIA
IIB , URL: /wiki/H-IIB
","JPN , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
","19,000","8,000","--","(190), 90, 112","61[p]","60","59","58","Active","1994","","Var.: A202, A2022, A2024, A204, B","[68]"
"H3 , URL: /wiki/H3_(rocket)
","JPN , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
","4,000-28,300 (base-heavy)","7,900-14,800 (base-heavy)","11,900 (heavy)","","0","","","","Devel.","NET 2022","","Var.: 30S, 22S, 32L, 24L, heavy[69][70]","[70]"
"Haas , URL: /wiki/Haas_(rocket)
","ROM , URL: /wiki/Romania
","ARCA , URL: /wiki/ARCASPACE
","400","","--","--","0","","","","Devel.","unknown","","Launch from balloon","[71][72]"
"Hyperbola-1 , URL: /wiki/Hyperbola-1
","CHN , URL: /wiki/China
","i-Space , URL: /wiki/I-Space_(Chinese_company)
","300","--","--","","3[q]","2","1","1","Active","2019","","","[73]"
"Hyperbola-2 , URL: /wiki/Hyperbola-2
","CHN , URL: /wiki/China
","i-Space , URL: /wiki/I-Space_(Chinese_company)
","2,000","--","--","","0","","","","Devel.","NET 2022","","","[74]"
"J-I , URL: /wiki/J-I
","JPN , URL: /wiki/Japan
","IHI Corporation , URL: /wiki/IHI_Corporation
Nissan Motors , URL: /wiki/Nissan_Motors
","880","--","--","--","1","","","","Retired","1996","1996","Partial demonstration flight only","[citation needed]"
"Jielong 1 , URL: /wiki/Jielong_1
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","200 (SSO)","--","--","","1[r]","1","1","1","Active","2019","","","[75]"
"Kaituozhe , URL: /wiki/Kaituozhe-1
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","800","--","--","--","3[s]","1","1","1","Active","2002","","Var.: KT-1, KT-2, KT2-A","[76]"
"Kosmos , URL: /wiki/Kosmos_(rocket_family)
","USSR , URL: /wiki/Soviet_Union
","Yuzhnoye , URL: /wiki/Yuzhnoye_Design_Bureau
Polyot , URL: /wiki/NPO_Polyot
","1,500","--","--","12","610","","","559","Retired","1967","2010","Var.: 1, 2, 3, 3M","[14][77][78]"
"Kuaizhou , URL: /wiki/Kuaizhou
","CHN , URL: /wiki/China
","CASIC , URL: /wiki/China_Aerospace_Science_%26_Industry_Corporation
","400 (KZ-1)–1,500 (KZ-11)","--","--","--","17[t][u]","16[v]","14","14","Active","2013","","Var.: KZ-1, KZ-1A, KZ-11, KZ-21. As of July 2020, KZ-21 is the only unflown variant.","[79][80]"
"Lambda 4S , URL: /wiki/Lambda_4S
","JPN , URL: /wiki/Japan
","Nissan , URL: /wiki/Nissan
ISAS , URL: /wiki/Institute_of_Space_and_Astronautical_Science
","","--","--","--","5","","","1","Retired","1966","1970","","[citation needed]"
"LauncherOne , URL: /wiki/LauncherOne
","USA , URL: /wiki/United_States
","Virgin Orbit , URL: /wiki/Virgin_Orbit
","300 (SSO)","--","--","--","4[w]","3","3","3","Active","2020","","","[81]"
"Long March 1 , URL: /wiki/Long_March_1_(rocket_family)
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","300","--","--","--","2","2","2","2","Retired","1970","1971","","[82][83][84]"
"Long March 1D , URL: /wiki/Long_March_1_(rocket_family)
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","740","--","--","--","0","","","","Retired","1995","2002","3 suborbital launches only (2 successful.)","[82][83][84]"
"Long March 2-3-4 , URL: /wiki/Long_March_(rocket_family)
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","12,000","5,500","3,300","","373[x][y]","367 [z]","364","357","Active","1971","See notes","Var.: 2A, 2C, 2D, 2E, 2F,[aa] 3, 3A, 3B, 3B/E, 3C, 4A, 4B, 4C. See [ab] for retired var. among those listed here.","[86]"
"Long March 5 , URL: /wiki/Long_March_5
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","25,000","14,000","8,000","--","7[ac]","7","6","6","Active","2016","","Var.: 5, 5B, 5[crewed], 5DY (see below)","[87][88][89][90][91]"
"Long March 5 , URL: /wiki/Long_March_5
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","14,000 (reusable); 18,000 (expendable)[91]","--","27,000 CZ-5DY Var.[90]","--","0","","","","Devel.","2026[90]","","CZ-5[crewed] (single-core crewed LEO variant); CZ-5DY (crewed 3-core variant for lunar missions)","[87][88][89][90][91]"
"Long March 6 , URL: /wiki/Long_March_6
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","1,500","--","--","--","8[ad]","8","8","8","Active","2015","","Var.: 6, 6A","[92]"
"Long March 7 , URL: /wiki/Long_March_7
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","13,500","5,500-7,000 (7A var.)[93]","--","--","7[ae]","6","6","6","Active","2016","","Var.: 7, 7A","[94][93]"
"Long March 8 , URL: /wiki/Long_March_8
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","4,500 (SSO)","--","--","--","2[af]","2","2","2","Active","2020","","Var.: 8, 8A (expendable); 8R (VTVL)","[93][95][96]"
"Long March 9 , URL: /wiki/Long_March_9
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","140,000","--","50,000","--","0","","","","Devel.","2030","","Super-Heavy carrier","[95]"
"Long March 11 , URL: /wiki/Long_March_11
","CHN , URL: /wiki/China
","CALT , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","700","--","--","--","11[ag]","11","11","11","Active","2015","","Likely based on DF-31 missile","[97]"
"Minotaur I , URL: /wiki/Minotaur_I
","USA , URL: /wiki/United_States
","Orbital ATK , URL: /wiki/Orbital_ATK
","580","--","--","--","12[ah]","12","12","12","Active","2000","","Derived from the Minuteman II","[98][99]"
"Minotaur IV , URL: /wiki/Minotaur_IV
V , URL: /wiki/Minotaur_V
","USA , URL: /wiki/United_States
","Orbital ATK , URL: /wiki/Orbital_ATK
","1,735","640","447","50","8[ai]","8","8","8","Active","2010","","Also 2 suborbital launches (HTV-2a). Var.: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile","[98][100]"
"Miura 5 , URL: /wiki/PLD_Space#Miura_5
","ESP , URL: /wiki/Spain
","PLD Space , URL: /wiki/PLD_Space
","300","--","--","","0","","","","Devel.","NET 2022","","","[101]"
"Mu 1-3-4 , URL: /wiki/Mu_(rocket_family)
","JPN , URL: /wiki/Japan
","Nissan Motor , URL: /wiki/Nissan_Motors
","770","--","--","--","27","","","","Retired","1966","1995","Var.: 1, 3D, 4S, 3C, 3H, 3S, 3SII","[102]"
"Mu 5 , URL: /wiki/M-V
","JPN , URL: /wiki/Japan
","Nissan Motor , URL: /wiki/Nissan_Motors
","1,800","--","--","--","7","","","6","Retired","1997","2006","Var.: M-V, M-V KM","[citation needed]"
"N1 , URL: /wiki/N1_(rocket)
","USSR , URL: /wiki/Soviet_Union
","NPO Energia , URL: /wiki/NPO_Energia
","90,000","--","23,500","--","4","0","0","0","Retired","1969","1972","Designed for Soviet Manned Lunar Mission","[103]"
"N-I , URL: /wiki/N-I_(rocket)
II , URL: /wiki/N-II_(rocket)
","JPN , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
","2,000","730","--","--","15","15","15","14[aj]","Retired","1975","1987","Derived from the American Delta rocket","[104]"
"Naro , URL: /wiki/Naro-1
","ROK , URL: /wiki/South_Korea
","Khrunichev , URL: /wiki/Khrunichev
KARI , URL: /wiki/KARI
","100","--","--","--","3","2","1","1","Retired","2009","2013","First stage uses the Russian RD-151 engine","[105]"
"Neutron , URL: /wiki/Rocket_Lab_Neutron
","NZ , URL: /wiki/New_Zealand
USA , URL: /wiki/United_States
","Rocket Lab , URL: /wiki/Rocket_Lab
","15,000","--","--","--","0","","","","Devel.","2024","","","[106]"
"New Glenn , URL: /wiki/New_Glenn
","USA , URL: /wiki/United_States
","Blue Origin , URL: /wiki/Blue_Origin
","45,000","13,000","--","","0","","","","Devel.","NET 2022","","","[107]"
"New Line , URL: /wiki/LinkSpace#New_Line_1
","CHN , URL: /wiki/China
","LinkSpace , URL: /wiki/LinkSpace
","200 (SSO)","--","--","","0","","","","Devel.","NET 2022","","","[108]"
"Nuri , URL: /wiki/Nuri_(rocket)
","ROK , URL: /wiki/South_Korea
","KARI , URL: /wiki/Korea_Aerospace_Research_Institute
","1,500","--","--","","1[ak]","1","0","0","Active","2021","","","[109][110]"
"OS-M , URL: /wiki/OneSpace#OS-M
","CHN , URL: /wiki/China
","OneSpace , URL: /wiki/OneSpace
","205 (M1)","--","--","--","1[al]","0","0","0","Active","2019","","Var.: M1, M2, M4. Single M1 failed launch; M2 & M4 in development.","[111]"
"Pallas-1 , URL: /wiki/Pallas-1
","CHN , URL: /wiki/China
","Galactic Energy , URL: /wiki/Galactic_Energy
","5,000 3,000 (SSO)","--","--","--","0","","","","Devel.","2022/2023","","reusable","[112]"
"Pegasus , URL: /wiki/Pegasus_(rocket)
","USA , URL: /wiki/United_States
","Orbital ATK , URL: /wiki/Orbital_ATK
","450","--","--","--","45[am]","44","42","40","Active","1990","","","[113]"
"Prime , URL: /wiki/Orbex#Prime
","UK , URL: /wiki/United_Kingdom
","Orbex , URL: /wiki/Orbex
","150 (SSO)","--","--","--","0","","","","Devel.","2022","","","[114][115]"
"Proton , URL: /wiki/Proton_(rocket_family)
UR-500 , URL: /wiki/Universal_Rocket
","USSR , URL: /wiki/Soviet_Union
RUS , URL: /wiki/Russia
","Khrunichev , URL: /wiki/Khrunichev
","23,000","6,920","5,680","65 (Proton-M)","426[an]","","","378","Active","1965","","Var.: K, M, Medium in development.","[116][117][118]"
"PSLV , URL: /wiki/Polar_Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","3,800","1,200","--","--","54[ao]","53","52","51","Active","1993","","Var.: CA, XL, QL, DL Launched moon probe Chandrayaan I, Mars probe Mangalyaan I","[119][120]"
"Qased , URL: /wiki/Qased_(rocket)
","IRN , URL: /wiki/Iran
","IRGC , URL: /wiki/Islamic_Revolutionary_Guard_Corp
","10","--","--","--","2[ap]","2","2","2","Active","2020","","","[121]"
"RFA One , URL: https://de.wikipedia.org/wiki/RFA_One
","Germany , URL: /wiki/Germany
","Rocket Factory Augsburg , URL: https://www.rfa.space/
","1300","450","0","-","0","","","","Devel.","NET 2022","","1st stage combustion in Europe, Orbital Stage.","[122][123][124][125][126]"
"Rokot , URL: /wiki/Rokot
Strela , URL: /wiki/Strela_(rocket)
UR-100N , URL: /wiki/Universal_Rocket
","RUS , URL: /wiki/Russia
","Eurockot , URL: /wiki/Eurockot_Launch_Services
Khrunichev , URL: /wiki/Khrunichev
","2,100","--","--","--","37[aq]","36","35","35","Active","1994","","34 Rokot launches (no launches post-2019 due to Ukrainian tech ban); 3 Strela launches.","[127][128][129][130]"
"RS1","USA , URL: /wiki/United_States
","ABL Space Systems","1,200","--","--","12","0","","","","Devel.","NET 2022","","","[131]"
"Safir , URL: /wiki/Safir_(rocket)
","IRN , URL: /wiki/Iran
","ISA , URL: /wiki/Iranian_Space_Agency
","50","--","--","--","8[ar]","5","4","4","Retired","2007","2019","Numbers given here may be in dispute","[132]"
"Saturn I , URL: /wiki/Saturn_I
IB , URL: /wiki/Saturn_IB
","USA , URL: /wiki/United_States
","Chrysler , URL: /wiki/Chrysler
Douglas , URL: /wiki/Douglas_Aircraft_Company
","18,600","--","--","19","13","13","13","13","Retired","1961","1975","Saturn 1 family also included 6 suborbital test launches","[133][134]"
"Saturn V , URL: /wiki/Saturn_V
","USA , URL: /wiki/United_States
","Boeing , URL: /wiki/Boeing
North American , URL: /wiki/North_American_Aviation
Douglas , URL: /wiki/Douglas_Aircraft_Company
","118,000","--","47,000","185","13","13","13","","Retired","1967","1973","Var.: Apollo, Skylab","[133][135][136]"
"Scout , URL: /wiki/Scout_(rocket_family)
","USA , URL: /wiki/United_States
","US Air Force , URL: /wiki/US_Air_Force
NASA , URL: /wiki/NASA
","210","--","--","--","125","104","","","Retired","1960","1994","Var.: X1, X2, A, D, G","[137]"
"Shavit , URL: /wiki/Shavit_2
","ISR , URL: /wiki/Israel
","IAI , URL: /wiki/Israel_Aerospace_Industries
","225","--","--","15","11[as]","9","9","9","Active","1988","","Var.: Shavit, -1, -2","[138]"
"Shtil' , URL: /wiki/Shtil%27
Volna-O , URL: /wiki/Volna
","RUS , URL: /wiki/Russia
","Makeyev , URL: /wiki/Makeyev_Rocket_Design_Bureau
","430","--","--","--","8[at]","7","2","2","Retired (as commercial launchers)[139]","1995","2006","Var.: Volna, Shtil, 2.1, 2R, 3","[139]"
"Simorgh , URL: /wiki/Simorgh_(rocket)
","IRN , URL: /wiki/Iran
","ISA , URL: /wiki/Iranian_Space_Agency
","350","--","--","--","4[au]","4[av]","0","0","Active","2016","","","[140]"
"SLS , URL: /wiki/Space_Launch_System
","USA , URL: /wiki/United_States
","Orbital ATK , URL: /wiki/Orbital_ATK
Boeing , URL: /wiki/Boeing
United Launch Alliance , URL: /wiki/United_Launch_Alliance
Aerojet Rocketdyne , URL: /wiki/Aerojet_Rocketdyne
","95,000–130,000","--","--","--","0","","","","Devel.","NET 2022","","","[141][142]"
"SLV , URL: /wiki/Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","40","--","--","--","4","3","3","2","Retired","1979","1983","Launched Rohini satellite series","[143]"
"Soyuz , URL: /wiki/Soyuz_(rocket_family)
","USSR , URL: /wiki/Soviet_Union
RUS , URL: /wiki/Russia
","RSC Energia , URL: /wiki/RSC_Energia
TsSKB-Progress , URL: /wiki/TsSKB-Progress
","8,200","2,400","1,200","--","1,948[aw]","[ax]","","1,829[ay]","Active","1957","","Var.: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v","[144][145]"
"SS-520 , URL: /wiki/S-Series_(rocket_family)#SS-520
","JPN , URL: /wiki/Japan
","IHI Aerospace , URL: /wiki/IHI_Aerospace
","4","--","--","--","2[az]","2","1","1","Active","2017","","2 successful suborbital flights and 2 orbital flights (one success). A test of how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes.","[146]"
"SSLV , URL: /wiki/Small_Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/Indian_Space_Research_Organisation
","500","300","--","--","0","","","","Devel.","NET 2022","","As of December 2019, design of the rocket has been completed and first developmental flight is to take place in early 2020.","[147][148][149]"
"STS , URL: /wiki/Space_Shuttle
","USA , URL: /wiki/United_States
","Alliant , URL: /wiki/Alliant_Techsystems
Martin Marietta , URL: /wiki/Martin_Marietta
Rockwell , URL: /wiki/Rockwell_International
","24,400","3,810","--","450","135","134","134","133","Retired","1981","2011","Orbiter mass: 68585 kg.","[150]"
"Starship , URL: /wiki/SpaceX_Starship
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","150,000","40,000","100,000+[ba]","--","0","","","","Devel.","NET 2022","","Previously called BFR","[151][152][153][154][155]"
"Start-1 , URL: /wiki/Start-1
","RUS , URL: /wiki/Russia
","MITT , URL: /wiki/Moscow_Institute_of_Thermal_Technology
","532","--","--","--","7[bb]","6","6","6","Active","1993","","","[156]"
"Taurus / Minotaur-C , URL: /wiki/Taurus_(rocket)
","USA , URL: /wiki/United_States
","Orbital Sciences , URL: /wiki/Orbital_Sciences
","1,450","--","--","--","9[bc]","9","6","6","Active","1989","","Var.: 2110, 3110, 3210","[157]"
"Terran 1 , URL: /wiki/Relativity_Space#Terran_1
","USA , URL: /wiki/United_States
","Relativity Space , URL: /wiki/Relativity_Space
","1,250","--","--","","0","","","","Devel.","NET 2022","","anticipates 3-D printing most rocket parts","[158]"
"Thor , URL: /wiki/Thor_(rocket_family)
","USA , URL: /wiki/United_States
","Douglas , URL: /wiki/McDonnell_Douglas
","1,270","--","38","--","357","","","","Retired","1957","1980","Launched Pioneer & Explorer probes","[39]"
"Titan II-(II GLV)-III-IV , URL: /wiki/Titan_(rocket_family)
","USA , URL: /wiki/United_States
","Martin Marietta , URL: /wiki/Martin_Marietta
","21,900","5,773","8,600","350","369","","","","Retired","1959","2005","Var.: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVB Gemini launcher","[159][160]"
"Tsyklon , URL: /wiki/Tsyklon
","USSR , URL: /wiki/Soviet_Union
UKR , URL: /wiki/Ukraine
","Yuzhmash , URL: /wiki/Yuzhmash
","4,100","--","--","--","259","","","","Retired","1967","2009","Var.: 1, 2, 3.","[161]"
"ULV , URL: /wiki/Unified_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/Indian_Space_Research_Organisation
","4,500–41,300","1,500–16,300","--","--","0","","","","Devel.","unknown","","Var.: 6S12, 2S60, 2S138, 2S200","[162]"
