"Language","Language","Apertium , URL: /wiki/Apertium
","OpenLogos , URL: /wiki/OpenLogos
","Moses , URL: /wiki/Moses_(machine_translation)
","GramTrans , URL: /wiki/GramTrans
","SYSTRAN , URL: /wiki/SYSTRAN
","IdiomaX , URL: /wiki/IdiomaX
"
"Crimean Tatar , URL: /wiki/Crimean_Tatar_language
","Turkish to Crimean Tatar","Yes","No","No","No","No","No"
"Dutch , URL: /wiki/Dutch_language
","English to Dutch","No","?","Yes","Yes","Yes","No"
"Dutch , URL: /wiki/Dutch_language
","French to Dutch","No","No","Yes","No","Yes","No"
"French , URL: /wiki/French_language
","English to French","No","Yes","Yes","No","Yes","Yes"
"French , URL: /wiki/French_language
","German to French","No","?","Yes","No","Yes","No"
"French , URL: /wiki/French_language
","Spanish to French","Yes","No","Yes","Yes","Yes","Yes"
"French , URL: /wiki/French_language
","Catalan to French","Yes","No","Yes","No","No","No"
"French , URL: /wiki/French_language
","Russian to French","No","Yes","Yes","No","No","Yes"
"French , URL: /wiki/French_language
","Dutch to French","No","No","Yes","No","Yes","No"
"French , URL: /wiki/French_language
","Italian to French","?","?","Yes","?","Yes","Yes"
"French , URL: /wiki/French_language
","Breton , URL: /wiki/Breton_language
","Yes","No","Yes","No","No","No"
"Galician , URL: /wiki/Galician_language
","English to Galician","Yes","?","Yes","No","No","No"
"Galician , URL: /wiki/Galician_language
","Portuguese to Galician","Yes","No","Yes","No","No","No"
"Galician , URL: /wiki/Galician_language
","Spanish to Galician","Yes","No","Yes","No","No","No"
"German , URL: /wiki/German_language
","English to German","No","Yes","Yes","No","Yes","No"
"German , URL: /wiki/German_language
","French to German","No","No","Yes","No","Yes","No"
"German , URL: /wiki/German_language
","Spanish to German","No","No","Yes","No","Yes","No"
"German , URL: /wiki/German_language
","Russian to German","No","No","No","No","No","No"
"German , URL: /wiki/German_language
","Italian to German","?","?","Yes","?","Yes","Yes"
"Italian , URL: /wiki/Italian_language
","English to Italian","No","Yes","Yes","No","Yes","Yes"
"Italian , URL: /wiki/Italian_language
","Spanish to Italian","No","?","Yes","?","Yes","Yes"
"Italian , URL: /wiki/Italian_language
","French to Italian","No","?","Yes","?","Yes","Yes"
"Italian , URL: /wiki/Italian_language
","German to Italian","No","?","Yes","?","Yes","Yes"
"Japanese , URL: /wiki/Japanese_language
","English to Japanese","No","No","No","No","Yes","No"
"Korean , URL: /wiki/Korean_language
","English to Korean","No","No","No","Yes","Yes","No"
"Portuguese , URL: /wiki/Portuguese_language
","English to Portuguese","No","Yes","Yes","No","Yes","No"
"Russian , URL: /wiki/Russian_language
","English to Russian","No","No","Yes","No","Yes","No"
"Russian , URL: /wiki/Russian_language
","French to Russian","No","No","Yes","No","No","No"
"Russian , URL: /wiki/Russian_language
","Spanish to Russian","No","No","Yes","No","No","No"
"Russian , URL: /wiki/Russian_language
","German to Russian","No","No","Yes","No","No","No"
"Russian , URL: /wiki/Russian_language
","Italian to Russian","No","No","Yes","No","No","No"
"Spanish , URL: /wiki/Spanish_language
","English to Spanish","Yes","Yes","Yes","No","Yes","Yes"
"Spanish , URL: /wiki/Spanish_language
","Russian to Spanish","No","No","Yes","No","No","No"
"Spanish , URL: /wiki/Spanish_language
","French to Spanish","Yes","No","Yes","No","Yes","Yes"
"Spanish , URL: /wiki/Spanish_language
","German to Spanish","No","?","Yes","No","Yes","No"
"Spanish , URL: /wiki/Spanish_language
","Italian to Spanish","?","?","Yes","?","No","Yes"
"Welsh , URL: /wiki/Welsh_language
","English to Welsh","No","No","Yes","No","No","No"
"Language","Language","Apertium , URL: /wiki/Apertium
","OpenLogos , URL: /wiki/OpenLogos
","Moses , URL: /wiki/Moses_(machine_translation)
","GramTrans , URL: /wiki/GramTrans
","SYSTRAN , URL: /wiki/SYSTRAN
","IdiomaX , URL: /wiki/IdiomaX
"
"Arabic , URL: /wiki/Arabic
","English to Arabic","No","No","No","No","Yes","No"
"Catalan , URL: /wiki/Catalan_language
","English to Catalan","Yes","?","Yes","No","No","No"
"Catalan , URL: /wiki/Catalan_language
","French to Catalan","Yes","No","Yes","No","No","No"
"Catalan , URL: /wiki/Catalan_language
","Italian to Catalan","Yes","No","Yes","No","No","No"
"Catalan , URL: /wiki/Catalan_language
","Occitan to Catalan","Yes","No","Yes","No","No","No"
"Catalan , URL: /wiki/Catalan_language
","Spanish to Catalan","Yes","No","Yes","No","No","No"
"Czech , URL: /wiki/Czech_language
","English to Czech","No","?","Yes","No","Yes","No"
"Czech , URL: /wiki/Czech_language
","German to Czech","No","No","Yes","No","No","No"
"Danish , URL: /wiki/Danish_language
","English to Danish","No","?","Yes","Yes","No","No"
"Esperanto , URL: /wiki/Esperanto
","Catalan to Esperanto","Yes","No","Yes","No","No","No"
"Esperanto , URL: /wiki/Esperanto
","Danish to Esperanto","No","No","Yes","Yes","No","No"
"Esperanto , URL: /wiki/Esperanto
","English to Esperanto","Yes","No","Yes","Yes","No","No"
"Esperanto , URL: /wiki/Esperanto
","French to Esperanto","Yes","No","Yes","No","No","No"
"Esperanto , URL: /wiki/Esperanto
","Spanish to Esperanto","Yes","No","Yes","No","No","No"
"Finnish , URL: /wiki/Finnish_language
","English to Finnish","No","?","Yes","No","Yes","No"
"Greek , URL: /wiki/Greek_language
","English to Greek","No","?","Yes","No","Yes","No"
"Haitian Creole , URL: /wiki/Haitian_Creole
","English to Haitian Creole","No","No","Yes","No","No","No"
"Hebrew , URL: /wiki/Hebrew_language
","English to Hebrew","No","No","Yes","No","No","No"
"Hungarian , URL: /wiki/Hungarian_language
","English to Hungarian","No","?","Yes","No","Yes","No"
"Norwegian , URL: /wiki/Norwegian_language
Bokmål , URL: /wiki/Bokm%C3%A5l
","English to Norwegian (Bokmål)","No","?","Yes","Yes","No","No"
"Norwegian , URL: /wiki/Norwegian_language
Bokmål , URL: /wiki/Bokm%C3%A5l
","Norwegian (Nynorsk) to Norwegian (Bokmål)","Yes","No","Yes","No","No","No"
"Norwegian , URL: /wiki/Norwegian_language
Nynorsk , URL: /wiki/Nynorsk
","Norwegian (Bokmål) to Norwegian (Nynorsk)","Yes","No","Yes","No","No","No"
"Occitan , URL: /wiki/Occitan_language
","Catalan to Occitan","Yes","No","Yes","No","No","No"
"Occitan , URL: /wiki/Occitan_language
","Spanish to Occitan","Yes","No","Yes","No","No","No"
"Polish , URL: /wiki/Polish_language
","English to Polish","No","?","Yes","No","Yes","No"
"Polish , URL: /wiki/Polish_language
","German to Polish","No","No","Yes","No","No","No"
"Romanian , URL: /wiki/Romanian_language
","English to Romanian","No","?","Yes","No","Yes","No"
"Serbo-Croatian , URL: /wiki/Serbo-Croatian
","English to Serbo-Croatian","No","?","Yes","Yes","No","No"
"Slovene , URL: /wiki/Slovene_language
","English to Slovene","No","No","Yes","No","No","No"
"Slovene , URL: /wiki/Slovene_language
","German to Slovene","No","No","Yes","No","No","No"
"Swedish , URL: /wiki/Swedish_language
","English to Swedish","No","?","Yes","No","Yes","No"
"Turkish , URL: /wiki/Turkish_language
","English to Turkish","No","No","No","No","Yes","No"
"Turkish , URL: /wiki/Turkish_language
","Crimean Tatar to Turkish","Yes","No","No","No","No","No"
"Ukrainian , URL: /wiki/Ukrainian_language
","English to Ukrainian","No","?","Yes","No","Yes","No"
"Total (confirmed)","Total (confirmed)","28","9","31","15","65","59"
