"Distribution","x86 , URL: /wiki/X86
","x86-64 , URL: /wiki/X86-64
","arm , URL: /wiki/ARM_architecture
","ia64 , URL: /wiki/Itanium
","ppc , URL: /wiki/PowerPC
","ppc64 , URL: /wiki/Ppc64
","sparc32 , URL: /wiki/SPARC
","sparc64 , URL: /wiki/SPARC
","hppa , URL: /wiki/PA-RISC
","loongson , URL: /wiki/Loongson#Linux
","mips , URL: /wiki/MIPS_architecture
","sh , URL: /wiki/SuperH
","s390 , URL: /wiki/IBM_ESA/390
","s390x , URL: /wiki/Z/Architecture
","alpha , URL: /wiki/DEC_Alpha
","m68k , URL: /wiki/Motorola_68000_family
","riscv , URL: /wiki/RISC-V
"
"Debian , URL: /wiki/Debian
","Yes","Yes 4.0+","Yes 2.2+","Discontinued 3.0-7.0[137]","Discontinued 2.2-8","Yes","Discontinued 2.1-4.0[138]","Discontinued -7[139]","Discontinued 3.0-5.0","Yes","Yes 3.0+","In progress","Discontinued 3.0-7","Yes 7+","Discontinued 2.1-5.0","Discontinued 2.0-3.1","In progress[140]"
"Devuan , URL: /wiki/Devuan
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Dragora GNU/Linux-Libre , URL: /wiki/Dragora_GNU/Linux-Libre
","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"dyne:bolic , URL: /wiki/Dyne:bolic
","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Fedora , URL: /wiki/Fedora_(operating_system)
","Discontinued from Fedora 30","Yes","Yes[142]","Discontinued from Fedora 9 [143]","Discontinued from Fedora 17","Yes","No","Inactive from Fedora 12[144]","No","In progress","Inactive from Fedora 13 [145]","No","No","Yes","No","No","In progress[146]"
"Finnix , URL: /wiki/Finnix
","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Gentoo , URL: /wiki/Gentoo_Linux
","Yes","Yes","Yes[148]","Yes","Yes","Yes","Yes","Yes","Yes","Yes[149]","Yes[150][151]","Yes","Yes","Yes","Yes","Yes","Test release[152]"
"gNewSense , URL: /wiki/GNewSense
","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"Guix System , URL: /wiki/GNU_Guix
","Yes","Yes","limited support for armhf 32-bit and aarch64 64-bit","No","No","No","No","No","No","No","No","No","No","No","No","No","In progress[154]"
"Hyperbola GNU/Linux-libre , URL: /wiki/Hyperbola_GNU/Linux-libre
","Yes","Yes","No","No","No","In progress[155]","No","No","No","No","No","No","No","No","No","No","In progress[156]"
"Kali Linux , URL: /wiki/Kali_Linux
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"LibreCMC , URL: /wiki/LibreCMC
","No","No","No","No","No","No","No","No","No","No","XBurst , URL: /wiki/XBurst
","No","No","No","No","No","No"
"Manjaro Linux , URL: /wiki/Manjaro_Linux
","Yes Unofficial[157]","Yes","Yes[158]","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MEPIS , URL: /wiki/MEPIS
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Musix GNU+Linux , URL: /wiki/Musix_GNU%2BLinux
","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenELEC , URL: /wiki/OpenELEC
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"openSUSE , URL: /wiki/OpenSUSE
","No","Yes","v7 64","No","No","ppc64le","No","No","No","No","No","No","No","No","No","No","No"
"openSUSE , URL: /wiki/OpenSUSE
","Yes","Yes","v6 v7 64","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","RV64G"
"OpenWrt , URL: /wiki/OpenWrt
","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"Oracle Linux , URL: /wiki/Oracle_Linux
","Yes","Yes","No","Discontinued 5[161]","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Parabola GNU/Linux-libre , URL: /wiki/Parabola_GNU/Linux-libre
","Yes","Yes","Yes, ARMv7[162][163]","No","No","Test release[164]","No","No","No","Discontinued[165]","Discontinued[165]","No","No","No","No","No","Test release[166]"
"Red Flag Linux , URL: /wiki/Red_Flag_Linux
","Discontinued 8.0[167]","Discontinued 8.0[167]","No","Discontinued 3[168]","No","Discontinued 3[168]","No","No","No","No","No","No","No","No","No","No","No"
"Red Hat Linux , URL: /wiki/Red_Hat_Linux
","Discontinued 9.0","No","No","Discontinued 7.1-7.2","Test release 5.1[170]","No","Discontinued 4.0-4.2 5.1-6.2","Test release 5.1[170]","No","No","Test release 5.1[170]","No","Discontinued 7.2","Yes","Discontinued 2.1-7.1","Test release 5.1[170]","No"
"Red Hat Enterprise Linux , URL: /wiki/Red_Hat_Enterprise_Linux
","Discontinued 2.1-6[172]","Yes 3+","Yes[173]","Discontinued 2.1-5[174]","Yes 3+","Yes 3+","No","No","No","No","No","No","Discontinued 3-4[175]","Yes 3+","No","No","No"
"Sabayon Linux , URL: /wiki/Sabayon_Linux
","Discontinued","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Scientific Linux , URL: /wiki/Scientific_Linux
","Yes","Yes","No","Discontinued 3-4","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SHR , URL: /wiki/SHR_(operating_system)
","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Slackware , URL: /wiki/Slackware
","Yes","Yes","Yes","No","No","No","Discontinued ?[176]","No","No","No","No","No","Discontinued ?[177]","Discontinued ?[177]","Discontinued 8.1[178]","No","No"
"Solus , URL: /wiki/Solus_(operating_system)
","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Source Mage GNU/Linux , URL: /wiki/Source_Mage_GNU/Linux
","Yes","Yes","No","No","Yes","No","No","No","No","?","No","No","No","No","No","No","No"
"SUSE Linux Enterprise Server , URL: /wiki/SUSE_Linux_Enterprise_Server
","Yes","Yes","AArch64 only[180]","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"Trisquel GNU/Linux , URL: /wiki/Trisquel_GNU/Linux
","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"TurnKey GNU/Linux , URL: /wiki/TurnKey_Linux_Virtual_Appliance_Library
","Selected ISOs available","Yes","No - but under development by community","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ubuntu , URL: /wiki/Ubuntu_(operating_system)
Kubuntu , URL: /wiki/Kubuntu
Xubuntu , URL: /wiki/Xubuntu
Lubuntu , URL: /wiki/Lubuntu
","Discontinued from Ubuntu 20.04","Yes","ARMv8-A , URL: /wiki/ARMv8-A
","No","Yes","Yes","No","No","No","No","No","No","No","Ubuntu only, 16.04+[181]","No","No","No"
"Ututo , URL: /wiki/Ututo
","Yes","Yes","No","No","No","No","No","No","No","In progress","No","No","No","No","No","No","No"
"Void Linux , URL: /wiki/Void_Linux
","Yes","Yes","Yes","No","Unofficial[182]","Unofficial[182]","No","No","No","No","No","No","No","No","No","No","No"
"XBMCbuntu , URL: /wiki/XBMC#XBMCbuntu
","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yellow Dog Linux , URL: /wiki/Yellow_Dog_Linux
","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Distribution","x86","x86-64","arm","ia64","ppc","ppc64","sparc32","sparc64","hppa","loongson","mips","sh","s390","s390x","alpha","m68k","riscv"
