"Mail server","SMTP AUTH , URL: /wiki/SMTP_AUTH
","POP before SMTP , URL: /wiki/POP_before_SMTP
","APOP , URL: /wiki/APOP
","File System , URL: /wiki/File_System
","Database , URL: /wiki/Database
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
","Brute-force attack , URL: /wiki/Brute-force_attack
","Other"
"IceWarp Mail Server , URL: /wiki/IceWarp_Mail_Server
","Yes","Yes","Yes","Yes","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Ipswitch IMail Server , URL: /wiki/Ipswitch_IMail_Server
","Yes","No","Yes","Yes","Yes","Yes","Yes","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Kolab , URL: /wiki/Kolab
","Yes","Yes","Yes","Yes","Yes","Yes","?","X.509 , URL: /wiki/X.509
STARTTLS , URL: /wiki/STARTTLS
"
"Mailsite , URL: /wiki/Mailsite
","Yes","No","Yes","Yes","Yes","Yes","?","SCRAM-MD5 , URL: /wiki/Salted_Challenge_Response_Authentication_Mechanism
CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Mailtraq , URL: /wiki/Mailtraq
","Yes","Yes","Yes","Yes","Yes","Yes","?","NT Domain, Active Directory, Local Directory"
"MDaemon , URL: /wiki/MDaemon
","Yes","No","Yes","No","No","Yes","Yes",""
"Mercury Mail Transport System , URL: /wiki/Mercury_Mail_Transport_System
","Yes","Yes","Yes","Yes","No","?","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Microsoft Exchange Server , URL: /wiki/Microsoft_Exchange_Server
","Yes","?","Yes","No","No","Yes","Yes","Active Directory, LOGIN,[30] NTLM"
"NetMail , URL: /wiki/NetMail
","Yes","Yes","Yes","Yes","Yes","Yes","?","eDirectory, LDAP"
"Oracle Communications Messaging Server , URL: /wiki/Oracle_Communications_Messaging_Server
","Yes","Yes","Yes","Yes","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
"
"OpenSMTPD , URL: /wiki/OpenSMTPD
","Yes","No","No","Yes","Yes","Yes","?","By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends."
"Postfix , URL: /wiki/Postfix_(software)
","Yes","No","No","Yes","Yes","Yes","Yes","Supports all Cyrus SASL authentication methods except for APOP."
"Qpopper , URL: /wiki/Qpopper
","No","Yes","Yes","Yes","Yes","Yes","?","Pluggable Authentication Modules , URL: /wiki/Pluggable_Authentication_Modules
CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
CMU SASL library , URL: https://web.archive.org/web/20110303094032/http://asg.web.cmu.edu/sasl/
"
"qmail , URL: /wiki/Qmail
","with patch","with vpopmail","Yes","Yes","Yes","Yes","?","Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM, LDAP, and databases."
"Scalix , URL: /wiki/Scalix
","Yes","?","Yes","Yes","Yes","Yes","?","X.500 , URL: /wiki/X.500
DAP , URL: /wiki/Directory_Access_Protocol
LDAP , URL: /wiki/LDAP
OpenLDAP , URL: /wiki/OpenLDAP
Active Directory , URL: /wiki/Active_Directory
eDirectory , URL: /wiki/EDirectory
Kerberos , URL: /wiki/Kerberos_(protocol)
"
"Sendmail , URL: /wiki/Sendmail
","Yes","Yes","No","Yes","Yes","Yes","?","X.509 , URL: /wiki/X.509
STARTTLS , URL: /wiki/STARTTLS
"
"WinGate , URL: /wiki/WinGate_(computing)
","Yes","Yes","Yes","Yes","Yes","No","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Zarafa , URL: /wiki/Zarafa_(software)
","Yes","No","No","Yes","Yes","Yes","?","PLAIN, LOGIN using internal backends: Internal, Active Directory, any LDAP-compatible source, Unix"
"Zentyal , URL: /wiki/Zentyal
","Yes","Yes","Yes","Yes","Yes","Yes","?","Dovecot , URL: /wiki/Dovecot_(software)
"
"Zimbra , URL: /wiki/Zimbra
","Yes","No","Yes","Yes","Yes","Yes","?","Internal, LDAP, Open LDAP, Active Directory"
"Mail server","SMTP AUTH , URL: /wiki/SMTP_AUTH
","POP before SMTP , URL: /wiki/POP_before_SMTP
","APOP , URL: /wiki/APOP
","File System , URL: /wiki/File_System
","Database , URL: /wiki/Database
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
","Brute-force attack , URL: /wiki/Brute-force_attack
","Other"
