"Blacklist operator","DNS blacklist","Zone","Listing goal","Nomination","Listing lifetime","Notes","Collateral listings","Notifies upon listing"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","old.spam.dnsbl , URL: http://www.sorbs.net/
","old.spam.dnsbl.sorbs.net","Hosts that have sent spam to the SORBS spam traps or administrators in the last year","SORBS administrator and spam traps","Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net'","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","spam.dnsbl , URL: http://www.sorbs.net/
","spam.dnsbl.sorbs.net","Hosts that have allegedly sent spam to the SORBS spam traps or administrators ever","SORBS administrators and spam traps","Until delisting requested","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","escalations.dnsbl , URL: http://www.sorbs.net/
","escalations.dnsbl.sorbs.net","Address blocks of service providers believed to support spammers","SORBS administrators","Until delisting requested and matter resolved","Service providers are added on receipt of a 'third strike' spam","Yes","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","block.dnsbl , URL: http://www.sorbs.net/
","block.dnsbl.sorbs.net","Hosts demanding that they never be tested","Request by host","N/A","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","zombie.dnsbl , URL: http://www.sorbs.net/
","zombie.dnsbl.sorbs.net","Hijacked networks","SORBS administrators (manual submission)","Until delisting requested","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","dul.dnsbl , URL: http://www.sorbs.net/
","dul.dnsbl.sorbs.net","Dynamic IP address ranges","SORBS administrators (manual submission)","Until delisting requested","Not a list of dial-up IP addresses","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","noservers.dnsbl , URL: http://www.sorbs.net/
","noservers.dnsbl.sorbs.net","No Servers Permitted by ISP Policy","Administered by address registrants","Not Applicable.","No Servers Permitted by ISP Policy","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","rhsbl , URL: http://www.sorbs.net/
","rhsbl.sorbs.net","Aggregate RHS zones","N/A","N/A","","No","No"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","badconf.rhsbl , URL: http://www.sorbs.net/
","badconf.rhsbl.sorbs.net","DNS , URL: /wiki/Domain_name_system
","Open submission via automated testing page","Until delisting requested","","No","No"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","nomail.rhsbl , URL: http://www.sorbs.net/
","nomail.rhsbl.sorbs.net","Domains which the owners have confirmed will not be used for sending mail","Owner submission","Until delisting requested","","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Spamhaus Blocklist (SBL) , URL: http://www.spamhaus.org/sbl
","sbl.spamhaus.org","This list contains IP addresses that are observed to be involved in sending spam, snowshoe spamming, botnet command and controllers (C&Cs), bulletproof hosting companies and hijacked address space.","Manual","From five minutes to a year or more, depending on issue and resolution","","Rarely (escalation)","Yes (partial)"
"Spamhaus , URL: /wiki/Spamhaus
","eXploits Blocklist (XBL) , URL: http://www.spamhaus.org/xbl
","N/A","This lists the individual IPv4 addresses (/32s) that are infected with malware, worms, and Trojans; third party exploits, such as open proxies; or devices controlled by botnets. The constantly updated list is designed to protect networks from malware and spam by preventing mailservers from accepting connections from compromised computing devices.","Third-party with automated additions","Composite Blocking List , URL: /wiki/Composite_Blocking_List
","Composite Blocking List , URL: /wiki/Composite_Blocking_List
","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Extended eXploits Blocklist (eXBL) , URL: http://www.spamhaus.org/exbl
","N/A","This list is a real-time database of raw and filtered feeds that provides additional information on hijacked IP addresses. The eXBL is available to selected security organizations and cyber incident response teams.","Third-party with automated additions","Composite Blocking List , URL: /wiki/Composite_Blocking_List
","Composite Blocking List , URL: /wiki/Composite_Blocking_List
","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Domain Blocklist (DBL) , URL: http://www.spamhaus.org/dbl
","dbl.spamhaus.org","Domains owned by spammers and used for spam or other malicious purposes. This blocklist also contains domains owned by non-spammers which are used for legitimate purposes, but have been hijacked by spammers.","Ranking of over 80 different metrics and machine learning","A few days, with self-removal generally allowed","","{{}}","Rarely"
"Spamhaus , URL: /wiki/Spamhaus
","Enhanced Domain Blocklist (eDBL) , URL: http://www.spamhaus.org/edbl
","dbl.spamhaus.org","This list provides detailed information on each domain listing and is available via an API. This enables querying of the DBL engine, returning a JSON record for each domain. The Enhanced Domain Blocklist (eDBL) can be used to track a particular domain's score over a longer period, or to combine Domain Blocklist data with other information.","","A few days. Self-removal generally allowed.","","{{}}","Rarely"
"Spamhaus , URL: /wiki/Spamhaus
","Policy Blocklist (PBL) , URL: http://www.spamhaus.org/pbl
","pbl.spamhaus.org","This list includes IP address ranges for end-user devices, such as home routers, smart TVs, and other Information of Things (IoT) devices, from which mail should never be sent. This protects networks from the potential of being compromised by malware spread by botnet command and controller servers (C&Cs).","Manual, by providers controlling the IPs or by Spamhaus PBL Team","Self-removal (see spamhaus web site)","Should not be confused with the MAPS DUL and Wirehub Dynablocker lists","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Hash Blocklist (HBL) , URL: http://www.spamhaus.org/hbl
","hbl.spamhaus.org","This list contains the following content areas: Cryptowallet (Bitcoin etc.), malware and e-mail addresses. Hash Blocklists (HBL) are lists of cryptographic hashes associated with malicious content, as opposed to IP addresses or domains. They are extremely useful for filtering fraudulent mail coming from ISPs, domains, or IP addresses that Spamhaus is unable to list e.g. Gmail. Additionally, they can block mail containing malware files.","Manual, by providers controlling the addresses or by Spamhaus PBL Team","Self-removal (see spamhaus web site)","","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Zero Reputation Domains (ZRD) , URL: http://www.spamhaus.org/pbl
","<key>.authbl.dq.spamhaus.net","This lists newly registered domains for 24 hours. Domains that have just been registered are rarely used by legitimate organizations immediately. Cybercriminals register and burn 100s of domains daily. The Zero Reputation Domain (ZRD) blocklist helps to protect users from following links and visiting newly registered domains until it is established that they are not associated with zero day attacks; phishing, bot-herding, spyware or ransomware campaigns.","Automated","24 hours","","No","No"
"Spamhaus , URL: /wiki/Spamhaus
","Zen , URL: http://www.spamhaus.org/zen
","zen.spamhaus.org","A single lookup for querying the SBL, XBL and PBL databases","","","Preferred list to check all Spamhaus address lists with one query","As per component list","As per component list"
"IBM DNS Blacklist , URL: /w/index.php?title=IBM_DNS_Blacklist&action=edit&redlink=1
","Cobion , URL: http://www.ibm.com/
","dnsbl.cobion.com","","","","This DNSBL zone is part of the default configuration for Proventia Mail Security System and Lotus Protector for Mail Security","No","No"
"JustSpam","JustSpam.Org , URL: http://www.justspam.org/
","dnsbl.justspam.org","IP addresses used to send spam to trap","spam traps","Until Free Removal","Sending a special mail generated using the removalform contains the listed IP in the mailheader.","No","No"
"Passive Spam Block List","PSBL , URL: http://psbl.surriel.com/
","[1] , URL: http://psbl.surriel.com/howto/
","IP addresses used to send spam to trap","spam traps","Temporary, until spam stops","","No","No"
"Weighted Private Block List","WPBL , URL: http://www.wpbl.info/
","db.wpbl.info","IP addresses used to send UBE to members","spam traps","Temporary, until spam stops","","No","No"
"SpamCop Blocking List , URL: /wiki/SpamCop
","SCBL , URL: http://spamcop.net/bl.shtml
","bl.spamcop.net","IP addresses which have been used to transmit reported mail to SpamCop users","Users submit","Temporary, until spam stops, has self removal","","No","Yes (partial)"
"SpamRats","RATS-NoPtr , URL: http://www.spamrats.com
","noptr.spamrats.com","IP addresses detected as abusive at ISPs using MagicMail Servers, with no reverse DNS service","Automatically Submitted","Listed until removed, and reverse DNS configured","","Yes","No"
"SpamRats","RATS-Dyna , URL: http://www.spamrats.com
","dyna.spamrats.com","IP addresses detected as abusive at ISPs using MagicMail Servers, with non-conforming reverse DNS service (See Best Practises) indicative of compromised systems","Automatically Submitted","Listed until removed, and reverse DNS set to conform to Best Practises","","Yes","No"
"SpamRats","RATS-Spam , URL: http://www.spamrats.com
","spam.spamrats.com","IP addresses detected as abusive at ISPs using MagicMail Servers, and manually confirmed as spam sources","Manually Submitted","Listed until removed","","Yes","No"
"SpamRats","RATS-Auth , URL: http://www.spamrats.com/rats-auth.php
","auth.spamrats.com","IP addresses detected probing passwords or authenticating without sending mail","Automatically Submitted","Listed until removed","","Yes","No"
"Junk Email Filter","Hostkarma , URL: http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists
","hostkarma.junkemailfilter.com","Detects viruses by behavior using fake high MX and tracking non-use of QUIT","Automated [de]listing","Black list entries last 4 days. White list entries last 10 days.","127.0.0.1=white 127.0.0.2=black 127.0.0.3=yellow","Yes","No"
"Heise Zeitschriften Verlag GmbH & Co. KG, hosted by manitu GmbH","NiX Spam (nixspam) , URL: http://www.dnsbl.manitu.net/
","ix.dnsbl.manitu.net","Lists single IP addresses (no address ranges) that send spam to spam traps. Lists mailhosts, rather than domains, and thus blocks entire hosting providers and ISPs.","Automated listing due to spam trap hits. Exceptions apply to bounces, NDRs and whitelisted IP addresses.","12 hours after last listing or until self delisting","fuzzy checksum , URL: /wiki/Fuzzy_checksum
","No","Yes (for ISPs/ESPs on request)"
"[2] , URL: https://www.blocklist.de
","dnsbl , URL: http://www.blocklist.de/en/api.html#dns
","bl.blocklist.de","IP addresses used to in attacks over SSH, IMAP, SMTP, FTP, or HTTP, or for attacks involving remote file inclusion, SQL injection, or DDOS","Automatic: over honeypots and with over 515 users and 630 servers from blocklist.de via Fail2Ban or own scripts","Automatic: 48 Hours after the last Attack. But earlier remove is available over the Delist-Link","Services are free. Source data is from Honeypot-Systems and over 515 User with 630 Servern there reports Attacks with Fail2Ban","No","Yes"
"s5h.net Internet Services","s5h.net , URL: http://www.usenix.org.uk/content/rbl.html
","all.s5h.net","Spam sources from mail, forums, referrer spam and dictionary attacks","Traps","Twelve months unless ISPs request removal earlier","By request. ISPs can provide request exclusion.","Yes","No"
"realtimeBLACKLIST.com","RBL","rbl.realtimeblacklist.com","Spam Trap","List of IP addresses that sends spam or causing troubles with botnets or phishing","Until delisting requested","Removal requests will be investigated and processed within 24 hours of submission. Previously known as IPrange.net RBL Project","No","No"
"James Sawyer","Blocklist , URL: https://github.com/tg12/UnreputableDomainsList
","security.jamessawyer.co.uk","Collection of Bad Actors from various sources, Works great with PiHole for personal use.","Spammers, Scammers, Malware, Cryptominers, TOR, botnets, phishing, attackers, harvesters, exfiltration etc. Basically anything and everything ""bad""","Until delisting requested","Removal requests will be investigated. Contact details provided.","Yes","No"
"BarracudaCentral","RBL , URL: http://www.barracudacentral.org/rbl
","b.barracudacentral.org","Spam Trap","Provides a list of IP addresses which are sending spam. The Barracuda Reputation system uses automated collection methods to add and delete IP addresses from the BRBL.","Until delisting requested","Requires registration of administrator and hosts to use. Removal requests are typically investigated and processed within 12 hours of submission if provided with a valid explanation.","No","No"
"SPFBL.net","RBL , URL: https://spfbl.net/en/dnsbl
","dnsbl.spfbl.net","Bad reputation, difficult to identify the responsible, dynamic addresses, SLAAC flag without genuine mail service and inappropriate use of the URL","Provides a list of IPv4/IPv6 addresses and domains which are sending spam or phishing.","Until delisting requested or seven days with good reputation","Feedback , URL: https://spfbl.net/en/feedback
","Yes","Yes"
"LashBack , URL: http://www.lashback.com
","UBL , URL: http://blacklist.lashback.com
","ubl.unsubscore.com","IP addresses which have sent mail to addresses harvested from suppression (opt-out) files","Traps","For 30 days after last offending message unless removal is requested","","No","No"
"The NordSpam Project","NordSpam IP Blacklist , URL: https://www.nordspam.com
","bl.nordspam.com","IP addresses detected as unsolicited bulk/commercial e-mail senders, Web spam","Manual","Until delisting requested","Removal requests are manually reviewed and processed without fees.","Rarely (escalation)","Sometimes"
"The NordSpam Project","NordSpam Domain Blacklist , URL: https://www.nordspam.com
","dbl.nordspam.com","Unsolicited bulk/commercial e-mail senders, Web spam","Manual","Until delisting requested","Removal requests are manually reviewed and processed without fees.","No","Sometimes"
"0Spam Project , URL: http://0spam.fusionzero.com
","DNSBL , URL: http://0spam.fusionzero.com
","0spam.fusionzero.com","Spam traps","A single IP address (127.0.0.#) is listed upon sending spam to a spam trap. Sending from multiple addresses within a range within a short period of time will result in a class C listing (127.0.#.0).","Until an address owner/authorized administrator requests listing removal","Single address Listed with Data result 127.0.0.# Class C address block listed with data result 127.0.#.0 Codes are as follows: (ie. General spam single address result 127.0.0.1) General spam, sending spam to 0Spam Project spam traps Removal request made but missing required information Does not follow valid can-spam rules for mail lists RFC-non-compliant, server errors or improper configuration Repeat offenders (IP addresses that have been removed and listed again three or more times in a short period) Bouncing mail to the wrong server, RFC-non-compliant configurations Mail relay with reports of spam Bouncing spoofed-sender mail Fraud or scam mail, malware or illegal or abusive content","No","No"
"Brukalai.lt , URL: https://www.brukalai.lt/
","DNSBL , URL: https://www.brukalai.lt/
","black.dnsbl.brukalai.lt","Addresses and domains for junk mail filtering (aggregate zone)","Mostly automatic with some manual additions","Until delisting requested","","Yes","No"
"Metunet , URL: http://www.metunet.com.tr/
","DNSBL , URL: http://rbl.metunet.com/
","rbl.metunet.com","Single IP4 addresses produce exclusively spam or malware. Respective Mail providers protected like Free and paid mail providers.","Automatic","One year after last activity (automatic) or delist request by mail","Removal requests are quickly and manually reviewed and processed without fees.","No","No"
"Excello s.r.o. , URL: https://www.excello.cz/
","Virusfree BIP , URL: https://www.virusfree.cz/en/
","bip.virusfree.cz","Botnet IP list. Single IPv4 addresses produced from spam, pure bots. No mail server addresses.","Automatic listing","Automatic delisting","RSPAMD , URL: https://rspamd.com/
","No","No"
"Excello s.r.o. , URL: https://www.excello.cz/
","Virusfree BAD , URL: https://www.virusfree.cz/en/
","bad.virusfree.cz","BAD senders list. Single IPv4 addresses with high spam rate. Mostly botnets and large spammers. Also, mail servers which send malware are listed.","Automatic listing","Automatic delisting","","No","No"
