"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","SMX count","Core config1","Clock rate","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory configuration","Memory configuration","Memory configuration","Memory configuration","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Release Price (USD)"
"GeForce GTX 745","February 18, 2014","GM107-220-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","1870","148","PCIe 3.0 x16","3","384:24:16","1033","Unknown","Unknown","900 (1800)","16.5","24.8","1024 4096","28.8","DDR3","128","1.0[57]","12","4.6","1.2","793.3","24.8","55","OEM"
"GeForce GTX 750","February 18, 2014","GM107-300-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","1870","148","PCIe 3.0 x16","4","512:32:16","1020","1085","1163","1250 (5000)","16.3","32.6","1024 2048 4096[77]","80","GDDR5","128","1.0[57]","12","4.6","1.2","1044.5","32.6","55","$119"
"GeForce GTX 750 Ti","February 18, 2014","GM107-400-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","1870","148","PCIe 3.0 x16","5","640:40:16","1020","1085","1200","1350 (5400)","16.3","40.8","1024 2048 4096","86.4","GDDR5","128","1.0[57]","12","4.6","1.2","1305.6","40.8","60","$149"
"GeForce GTX 760 192-bit","October 17, 2013","GK104-200-KD-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","3540","294","PCIe 3.0 x16","6","1152:96:24","824","888","889","1450 (5800)","19.8","79.1","1536 3072","134.4","GDDR5","192","1.0[57]","12","4.6","1.2","1896.2","79.0","130","OEM"
"GeForce GTX 760","June 25, 2013","GK104-225-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","3540","294","PCIe 3.0 x16","6","1152:96:32","980","1033","1124","1502 (6008)","31.410","94","2048 4096","192.3","GDDR5","256","1.0[57]","12","4.6","1.2","2257.9","94.1","170","$249 ($219)"
"GeForce GTX 760 Ti8","September 27, 2013[78]","GK104","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","3540","294","PCIe 3.0 x16","7","1344:112:32","915","980","1084","1502 (6008)","29.3","102.5","2048","192.3","GDDR5","256","1.0[57]","12","4.6","1.2","2459.5","102.5","170","OEM"
"GeForce GTX 770","May 30, 2013","GK104-425-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","3540","294","PCIe 3.0 x16","8","1536:128:32","1046","1085","1130","1752.5 (7010)","33.5","134","2048 4096","224","GDDR5","256","1.0[57]","12","4.6","1.2","3213.3","133.9","230","$399 ($329)"
"GeForce GTX 780","May 23, 2013","GK110-300-A1","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","7080","561","PCIe 3.0 x16","12","2304:192:48","863","900","1002","1502 (6008)","41.410","160.5","3072 6144[79]","288.4","GDDR5","384","1.0[57]","12","4.6","1.2","3976.7","165.7","230","$649 ($499)"
"GeForce GTX 780 Ti[80][81][82]","November 7, 2013","GK110-425-B1","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","7080","561","PCIe 3.0 x16","15","2880:240:48","876","928","1019","1752.5 (7010)","42.010","210.2","3072","336.5","GDDR5","384","1.0[57]","12","4.6","1.2","5045.7","210.2","230","$699"
"GeForce GTX TITAN[83][84][85]","February 21, 2013","GK110-400-A1","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","7080","561","PCIe 3.0 x16","14","2688:224:48","837","876","993","1502 (6008)","40.2","187.5","6144","288.4","GDDR5","384","1.0[57]","12","4.6","1.2","4499.7","1300[86]-1499.9","230","$999"
"GeForce GTX TITAN Black","February 18, 2014","GK110-430-B1","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","7080","561","PCIe 3.0 x16","15","2880:240:48","889","980","1058","1752.5 (7010)","42.7","213.4","6144","336.5","GDDR5","384","1.0[57]","12","4.6","1.2","5120.6","1706.9","230","$999"
"GeForce GTX TITAN Z","May 28, 2014","2x GK110-350-B1[87]","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","2x 7080","2x 561","PCIe 3.0 x16","2x 15","2x 2880:240:48","705","876","Unknown","1752.5 (7010)","2x 33.8","2x 169","2x 6144","2x 336.5","GDDR5","2x 384","1.0[57]","12","4.5","1.2","5046x2","1682x2[88]","375","$2999"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","SMX count","Core config1","Clock rate","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory configuration","Memory configuration","Memory configuration","Memory configuration","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Release Price (USD)"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","SMX count","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","DRAM type","bit , URL: /wiki/Bit
","Vulkan , URL: /wiki/Vulkan_(API)
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","OpenCL , URL: /wiki/OpenCL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","Double precision , URL: /wiki/Double_precision_floating-point_format
","TDP , URL: /wiki/Thermal_design_power
","Release Price (USD)"
