"ACER","","","","","","","","","","","","","","","","","","","","","",""
"Manufacturer , URL: /wiki/Manufacturer
","Model","kg , URL: /wiki/Kilogram
","lb , URL: /wiki/Pound_(weight)
","Display size , URL: /wiki/Viewable_image_size
","Display resolution , URL: /wiki/Display_resolution
","Display DPI [Note 1]","CPU , URL: /wiki/Central_processing_unit
","GHz , URL: /wiki/GHz
","HSDPA , URL: /wiki/HSDPA
","Video chipset","Video connection(s)","Storage type , URL: /wiki/Computer_data_storage
","GB , URL: /wiki/Gigabyte
","RAM , URL: /wiki/Random-access_memory
GB , URL: /wiki/Gigabyte
","h , URL: /wiki/Hour
","h , URL: /wiki/Hour
","Keyboard size , URL: /wiki/Keyboard_(computing)#Laptop-size
","Camera , URL: /wiki/Video_Camera
","Mouse , URL: /wiki/Mouse_(computing)
","Linux , URL: /wiki/Linux
","Windows , URL: /wiki/Microsoft_Windows
","Manual / DataSheet"
"Asus , URL: /wiki/Asus
","Eee PC , URL: /wiki/Eee_PC
900 , URL: /wiki/ASUS_Eee_PC#Eee_900_series
","0.99","2.18","8.9","1024×600 WSVGA matte","133","Celeron-M , URL: /wiki/Intel_Celeron
","0.9","","?","VGA","SSD , URL: /wiki/Solid-state_drive
","12, 16, 20","1","3.5 (4-cell)","3.5 (4-cell)","83%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","Xandros , URL: /wiki/Xandros
","XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC , URL: /wiki/Eee_PC
900A , URL: /wiki/ASUS_Eee_PC#Eee_900_series
","0.99","2.18","8.9","1024×600 WSVGA matte","133","Atom N270 , URL: /wiki/Intel_Atom
","1.6","","GMA 950 , URL: /wiki/Intel_GMA#GMA_950
","VGA","SSD , URL: /wiki/Solid-state_drive
","4, 8, 16","1","3.5 (4-cell)","3.5 (4-cell)","83%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","Xandros , URL: /wiki/Xandros
","XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC , URL: /wiki/Eee_PC
900HA , URL: /wiki/ASUS_Eee_PC#Eee_900HA_Series
","1.23","2.7","8.9","1024×600 WSVGA matte","133","Atom N270 , URL: /wiki/Intel_Atom
","1.6","","GMA 3150 , URL: /wiki/GMA_3150
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160","1","3.5 (4-cell)","10400 mAh 7.5hr (8-cell)","83%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","?","Windows XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC , URL: /wiki/Eee_PC
901 , URL: /wiki/ASUS_Eee_PC#Eee_900_series
","1.14","2.51","8.9","1024×600 WSVGA matte","133","Atom N270 , URL: /wiki/Intel_Atom
","1.6","PCB sockets present. Mod option.","GMA 950 , URL: /wiki/Intel_GMA#GMA_950
","VGA","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
","12, 20","1-2","4.2","7.8","83%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","Xandros , URL: /wiki/Xandros
","XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 904HD , URL: /wiki/ASUS_Eee_PC
","1.40","3.09","8.9","1024×600 WVGA","133","Celeron-M , URL: /wiki/Intel_Celeron
","0.9","","?","VGA","HDD , URL: /wiki/Hard_disk_drive
","80","1","?","?","?","?","","?","XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1000 , URL: /wiki/ASUS_Eee_PC#Eee_1000_series
","1.45","3.19","10.1","1024×600 WSVGA matte","117","Atom N270 , URL: /wiki/Intel_Atom
","1.6","","945 GME","VGA","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
HDD , URL: /wiki/Hard_disk_drive
","40 / 80 / 120 / 160","1, 2","4.2","7.8","92%","?","","Xandros , URL: /wiki/Xandros
","XP , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1000HE , URL: /wiki/ASUS_Eee_PC#Eee_1000HE
","1.45","3.20","10.1","1024×600 WSVGA matte","117","Atom N280 , URL: /wiki/Intel_Atom
","1.66","","GMA 950 , URL: /wiki/GMA_950
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160","1, 2","?","9.5","92%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","None","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1001HA , URL: /wiki/ASUS_Eee_PC#Eee_1001HA
","1.1","2.4","10.1","1024×600 WSVGA, matte","117","Atom N270 , URL: /wiki/Intel_Atom
","1.6","","GMA 950 , URL: /wiki/GMA_950
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160","1, 2 (one slot, field upgradable)","4 (3-cell, 2200mAh, 23Wh)","8 (6-cell, 4600mAh, 48Wh)","92%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","GNU , URL: /wiki/GNU
","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1005HA-PU1X , URL: /wiki/ASUS_Eee_PC#Eee_1005HA
","1.27","2.81","10.1","1024×600 WSVGA, glossy","117","Atom N280 , URL: /wiki/Intel_Atom
","1.66","","GMA 950 , URL: /wiki/GMA_950
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160 + 10 Eee Storage","1, 2 (one slot, field upgradable)[Note 4]","","10.5 (6-cell, 5600mAh, 63Wh)","92%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","None","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1001PX-EU0X , URL: /wiki/ASUS_Eee_PC#Eee_1001PX
","1.1","2.42 (with 3 cell battery?)","10.1","1024×600 WSVGA, matte","117","Atom N450 , URL: /wiki/Intel_Atom
","?","","Intel UMA","VGA","HDD , URL: /wiki/Hard_disk_drive
","160 (XP) / 250 (Win 7) + 10 Eee Storage","1, 2 (one slot, field upgradable","4.5 (3 cell, 23Wh)","9 (6-cell, 48Wh)","95%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","None","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1008HA , URL: /wiki/ASUS_Eee_PC#Eee_1008HA
","1.09","2.40","10.1","1024×600 WSVGA glossy","117","Atom N280 , URL: /wiki/Intel_Atom
","1.66","","GMA 950 , URL: /wiki/GMA_950
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160 + 10 Eee Storage","1, 2","?","6.0","92%","MP , URL: /wiki/Pixel#Megapixel
","","GNU , URL: /wiki/GNU
","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC 1015P , URL: /wiki/ASUS_Eee_PC_1015P
","1.1 / 1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N450 , URL: /wiki/Intel_Atom_N450
","?","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","?","1 - 2 (DDR2)","5 (3-cell, 23Wh)","9 (6-cell, 48Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015P Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015P_Seashell/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015PD , URL: /wiki/ASUS_Eee_PC_1015PD
","1.1 / 1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N455 , URL: /wiki/Intel_Atom_N455
N475 , URL: /wiki/Intel_Atom_N475
","?","","NVIDIA ION N11M-PT1","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320 + Web Storage (1 year)","1 - 2 (DDR3)","4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015PD Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015PD/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015PE , URL: /wiki/ASUS_Eee_PC_1015PE
","1.1 / 1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N550 , URL: /wiki/Intel_Atom_N550
","1.5","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320 + Web Storage (500 GB)","1 - 2 (DDR2)","5 (6-cell, 23Wh)","13.5 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015PE Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015PE_Seashell/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015PED , URL: /wiki/ASUS_Eee_PC_1015PED
","1.1 / 1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N455 , URL: /wiki/Intel_Atom_N455
N475 , URL: /wiki/Intel_Atom_N475
","?","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320 + Web Storage (500 GB)","1 - 2 (DDR3)","4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015PED Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015PED/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015PEM , URL: /wiki/ASUS_Eee_PC_1015PEM
","1.27","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N550 , URL: /wiki/Intel_Atom_N550
","1.5","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320 + Web Storage (500 GB)","1 - 2 (DDR3)","10 (6-cell, 48Wh)","13 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015PEM Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015PEM/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015PN , URL: /wiki/ASUS_Eee_PC_1015PN
","1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N570 , URL: /wiki/Intel_Atom_N570
","?","","NVIDIA ION N11M-PT1","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","250 + Web Storage (500 GB)","1 - 2 (DDR3)","8 (6-cell, 47Wh)","10 (6-cell, 56Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Home Premium , URL: /wiki/Windows_7_Home_Premium
7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015PN Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015PN/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015T , URL: /wiki/ASUS_Eee_PC_1015T
","1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","AMD APU , URL: /wiki/AMD_Accelerated_Processing_Unit
","?","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320","1 - 4 (DDR3)","6 (6-cell, 48Wh)","7.5 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015T Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015T/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015B , URL: /wiki/ASUS_Eee_PC_1015B
","1.28 / 1.3","","10.1","WSVGA , URL: /wiki/WSVGA
","117","AMD APU , URL: /wiki/AMD_Accelerated_Processing_Unit
C30 , URL: /wiki/AMD_C-30
C50 , URL: /wiki/AMD_C-50
","1.2 / 1.0","","AMD Radeon HD 6250 , URL: /wiki/AMD_Radeon_HD_6250
","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","250 / 320 / 500 + Web Storage","1 - 2 (DDR3)","3 (3-cell, 2200mAh, 23Wh)","8.5 (6-cell, 5200mAh, 56Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015B Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015B/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015BX , URL: /wiki/ASUS_Eee_PC_1015BX
","1.17 / 1.29","","10.1","WSVGA , URL: /wiki/WSVGA
","117","AMD APU C30 , URL: /wiki/AMD_C-30
C50 , URL: /wiki/AMD_C-50
C60 , URL: /wiki/AMD_C-60
","1.2 / 1.0","","AMD Radeon HD 6250 , URL: /wiki/AMD_Radeon_HD_6250
6290 , URL: /wiki/AMD_Radeon_HD_6290
","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","250 / 320 / 500 + 3 (Web Storage)","1 - 2 (DDR3)","3 (3-cell, 2200mAh, 23Wh)","7.5 (6-cell, 5200mAh, 56Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015BX Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015BX/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1015CX , URL: /wiki/ASUS_Eee_PC_1015CX
","1.1 / 1.25","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N2600 , URL: /wiki/Intel_Atom_N2600
","1.6","","Intel NM10 (Chipset)","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","320 / 500","1 - 2 (DDR3)","5 (3-cell, 23Wh)","11 (6-cell, 47Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1015CX Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1015CX/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1016P , URL: /wiki/ASUS_Eee_PC_1016P
","1.13 / 1.27","","10.1","WSVGA , URL: /wiki/WSVGA
","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N455 , URL: /wiki/Intel_Atom_N455
","1.66","","Intel NM10 (Chipset)","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","160 / 250 / 320","1 - 2 (DDR3)","4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Pro , URL: /wiki/Windows_7_Professional
","Eee PC 1016P Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1016P/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC T91 , URL: /wiki/Asus_Eee_T91
","0.9","2.1","8.9","1024×600 WSVGA touchscreen","133","Atom Z520 , URL: /wiki/Intel_Atom_Z520
","1.33","","GMA 500 , URL: /wiki/GMA_500
","VGA","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
","16 + 20 Eee Storage","1","(Internal LiPo,? cell, 3850 mAh)","4.0","92%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","?","XP Home , URL: /wiki/Windows_XP
",""
"Asus , URL: /wiki/Asus
","Eee PC T91MT , URL: /w/index.php?title=Asus_Eee_T91MT&action=edit&redlink=1
","0.96","2.1","8.9","1024×600 WSVGA touchscreen","133","Atom Z520 , URL: /wiki/Intel_Atom_Z520
","1.33","","GMA 500 , URL: /wiki/GMA_500
","VGA","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
","32 + 500 Eee Storage","1","(Internal LiPo,? cell, 3850 mAh)","5.0","92%","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","?","7 Home , URL: /wiki/Windows_7
",""
"Asus , URL: /wiki/Asus
","Eee PC T101MT , URL: /w/index.php?title=Asus_Eee_T101MT&action=edit&redlink=1
","1.3","2.86","10.1","1024×600 WSVGA touchscreen","117","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N450 , URL: /wiki/Intel_Atom_N450
N570 , URL: /wiki/Intel_Atom_N570
","1.66","","GMA 3150 , URL: /wiki/GMA_3150
","VGA","HDD , URL: /w/index.php?title=2.5%22_SATA&action=edit&redlink=1
SDXC , URL: /wiki/Secure_Digital#SDXC
","160/320 + 500 Eee Storage","1, 2","LiPo , URL: /wiki/Lithium-ion_polymer_battery
","6.5","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","?","7 S/HB/HP , URL: /wiki/Windows_7
",""
"Asus , URL: /wiki/Asus
","Eee PC 1225B , URL: /wiki/ASUS_Eee_PC_1225B
","1.44","","11.6","WXGA , URL: /wiki/WXGA_(graphics)
","135","AMD APU , URL: /wiki/AMD_Accelerated_Processing_Unit
E450 , URL: /wiki/AMD_E450
C60 , URL: /wiki/AMD_C-60
","1.65 / 1.0","","AMD Radeon HD 6320 , URL: /wiki/AMD_Radeon_HD_6320
6290 , URL: /wiki/AMD_Radeon_HD_6290
","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","320 / 500 / 750 + 3 (Web Storage)","1 - 4 (DDR3)","7 (6-cell, 56Wh)","7 (6-cell, 56Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Home Premium , URL: /wiki/Windows_7_Home_Premium
","Eee PC 1225B Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1225B/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1225C , URL: /wiki/ASUS_Eee_PC_1225C
","1.45","","11.6","WXGA , URL: /wiki/WXGA_(graphics)
","135","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N2600 , URL: /wiki/Intel_Atom_N2600
N2800 , URL: /wiki/Intel_Atom_N2800
","1.6 / 1.86","","?","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","320 / 500","1 - 2 (DDR3)","5 (3-cell, 2.6Ah)","7.5 (6-cell, 2.2Ah)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","Ubuntu","-","Eee PC 1225C Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1225C/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1215P , URL: /wiki/ASUS_Eee_PC_1215P
","1.45","","12.1","WXGA , URL: /wiki/WXGA_(graphics)
","129","Intel Atom , URL: /wiki/Intel_Atom_(CPU)
N550 , URL: /wiki/Intel_Atom_N550
","1.5","","?","VGA , URL: /wiki/VGA_connector
","HDD , URL: /wiki/Hard_disk_drive
","250 / 320","1 - 2 (DDR)","8 (6-cell)","8 (6-cell)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","-","7 Home Premium , URL: /wiki/Windows_7_Home_Premium
7 Starter , URL: /wiki/Windows_7_Starter
","Eee PC 1215P Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1215P/HelpDesk_Manual/
"
"Asus , URL: /wiki/Asus
","Eee PC 1215B , URL: /wiki/ASUS_Eee_PC_1215B
","1.45","","12.1","WXGA , URL: /wiki/WXGA_(graphics)
","129","AMD APU , URL: /wiki/AMD_Accelerated_Processing_Unit
E450 , URL: /wiki/AMD_E450
E350 , URL: /wiki/AMD_E350
C30 , URL: /wiki/AMD_C-30
C50 , URL: /wiki/AMD_C-50
C60 , URL: /wiki/AMD_C-60
","1.65 / 1.6 / 1.2 / 1.0","","AMD Radeon HD 6320 , URL: /wiki/AMD_Radeon_HD_6320
6310 , URL: /wiki/AMD_Radeon_HD_6310
6250 , URL: /wiki/AMD_Radeon_HD_6250
6290 , URL: /wiki/AMD_Radeon_HD_6290
","VGA , URL: /wiki/VGA_connector
HDMI , URL: /wiki/HDMI
","HDD , URL: /wiki/Hard_disk_drive
","250 / 320 / 500 + 3 (Web Storage)","1 - 4 (DDR3)","8 (6-cell, 56Wh)","8 (6-cell, 56Wh)","?","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","?","7 Home Premium , URL: /wiki/Windows_7_Home_Premium
","Eee PC 1215B Manual , URL: https://www.asus.com/Notebooks/Eee_PC_1215B/HelpDesk_Manual/
"
