"Software","Developer","First public release","Latest stable release date","Latest stable version","Cost (USD)","Free software , URL: /wiki/Free_software
","License","Notes"
"EndNote , URL: /wiki/EndNote
","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
","1988","2021-11-30","20.2.1","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","EndNote basic , URL: https://endnote.com/basic
"
"JabRef , URL: /wiki/JabRef
","JabRef developers","2003-11-29","2021-07-05","5.3","Free","Yes","MIT license , URL: /wiki/MIT_license
","Java , URL: /wiki/Java_(programming_language)
BibTeX , URL: /wiki/BibTeX
BibLaTeX , URL: /wiki/BibLaTeX
"
"KBibTeX , URL: /wiki/KBibTeX
","KBibTeX developers","2005-08","2020-04-26","0.9.2","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","BibTeX , URL: /wiki/BibTeX
KDE Software Compilation , URL: /wiki/KDE_Software_Compilation
"
"Mendeley , URL: /wiki/Mendeley
","Elsevier , URL: /wiki/Elsevier
","2008-08","2020","1.19.8","Free / Online storage free up to 2 GB / Additional storage space available","No","proprietary , URL: /wiki/Proprietary_software
","Account required, Desktop & Web components, Windows, Linux, macOS (not macOS 11 Big Sur)"
"Paperpile , URL: /wiki/Paperpile
","Stefan Washietl, Gregorgy Jordan, Andreas Gruber","2013","Continually updated online","","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","web-application, integrates with Google Docs, collaboration & sharing features, currently only on Google Chrome"
"Pybliographer , URL: /wiki/Pybliographer
","pybliographer developers","1998-10-30 (0.2)","2018-04-03","1.4.0","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
GTK2 , URL: /wiki/GTK2
"
"Qiqqa , URL: /wiki/Qiqqa
","Qiqqa","2010-04","2020-10-04","v80","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","From end 2020, Open Source"
"ReadCube Papers , URL: /wiki/ReadCube
Papers , URL: /wiki/Papers_(software)
","ReadCube","2011-10","2021-03-09","v.4.23.3","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","Web-app, Desktop (MacOS, Windows), Mobile (iOS and Android). Microsoft Word and Google Docs add-in. Browser extension (Chrome, Firefox, Edge, Safari)"
"refbase , URL: /wiki/Refbase
","refbase developers","2003-06-03","2014-02-28","0.9.6","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","institutional repositories , URL: /wiki/Institutional_repository
self-archiving , URL: /wiki/Self-archiving
"
"RefDB , URL: /wiki/RefDB
","refdb developers","2001-04-25","2007-11-05","0.9.9","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","XML , URL: /wiki/XML
SGML , URL: /wiki/SGML
"
"Reference Manager , URL: /wiki/Reference_Manager
","Thomson Reuters , URL: /wiki/Thomson_Reuters
","1984","2010","12.0.3","Not for sale anymore, sales ceased December 31, 2015","No","Proprietary , URL: /wiki/Proprietary_software
","network version; built-in web publishing tool; discontinued"
"Referencer , URL: /wiki/Referencer
","Referencer developers","2008-03-15","2014-02-27","1.2.2","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","BibTeX , URL: /wiki/BibTeX
"
"RefME , URL: /wiki/RefME
","RefME","2014","Shut down in 2017","","Free","No","Proprietary , URL: /wiki/Proprietary_software
","Web, iOS and Android; Chrome and Safari Extensions available; discontinued"
"RefWorks , URL: /wiki/RefWorks
","Ex Libris / ProQuest","2001","2018","3","Institutional subscription","No","Proprietary , URL: /wiki/Proprietary_software
","web-based, browser-accessed, Word & Google Docs"
"SciRef , URL: /wiki/SciRef
","Scientific Programs","2012","2020-07-30","1.6.2","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Sente , URL: /wiki/Sente_(software)
","Third Street Software, Inc.","2004","Shut down in 2017","6.7.9","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","Desktop and iPad, centralized backup/synching; discontinued"
"Wikindx , URL: /wiki/Wikindx
","Mark Grimshaw","2004-02","2021-07-07","6.4.10","Free","Yes","ISC license , URL: /wiki/ISC_license
","web-based"
"WizFolio , URL: /wiki/WizFolio
","WizPatent","2008-06","Shut down in 2017","Avatara","US$25 / Free Basic version","No","Proprietary , URL: /wiki/Proprietary_software
","centrally hosted website; discontinued"
"Zotero , URL: /wiki/Zotero
","Roy Rosenzweig Center for History and New Media , URL: /wiki/Roy_Rosenzweig_Center_for_History_and_New_Media
GMU , URL: /wiki/George_Mason_University
","2006","2021-01-11","5.0.95 [11]","Free / Online storage free up to 300 MB / Additional storage space available","Yes","AGPL , URL: /wiki/Affero_General_Public_License
","Firefox , URL: /wiki/Mozilla_Firefox
Chrome , URL: /wiki/Google_Chrome
Safari , URL: /wiki/Safari_(web_browser)
"
