"Maker","Model","Number","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"Barnes & Noble , URL: /wiki/Barnes_%26_Noble
","Barnes & Noble Nook Color , URL: /wiki/Barnes_%26_Noble_Nook_Color
","15+","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Barnes & Noble","Nook , URL: /wiki/Barnes_%26_Noble_nook
","04","No","Unknown","Unknown","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Barnes & Noble","Nook Simple Touch , URL: /wiki/Nook_Simple_Touch
","08","No","Unknown","Unknown","No","No","No","No","Yes","No","Unknown","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen , URL: /wiki/Bookeen
","Cybook Orizon , URL: /wiki/Cybook_Orizon
","08","No","Unknown","Unknown","No","No","No","Unknown","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen","Cybook Opus , URL: /wiki/Cybook_Opus
","06","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Bookeen","Cybook Gen3 , URL: /wiki/Cybook_Gen3
","07","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"bq","Movistar ebook bq , URL: /w/index.php?title=Movistar_ebook_bq&action=edit&redlink=1
","14","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Condor Technology","eGriver , URL: /wiki/EGriver
","18","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Condor Technology Associates","eGriver Touch","08","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"EBS Technology , URL: /w/index.php?title=EBS_Technology&action=edit&redlink=1
","Agebook+6","12","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","Yes","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Ectaco , URL: /wiki/Ectaco
","JetBook Color","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Elonex , URL: /wiki/Elonex
","Elonex ebook , URL: /wiki/Elonex_ebook
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Endless ideas","BeBook , URL: /wiki/BeBook
","23","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Endless ideas","BeBook , URL: /wiki/BeBook
","23","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Foxit , URL: /wiki/Foxit
","eSlick , URL: /wiki/ESlick
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon , URL: /w/index.php?title=Hanvon&action=edit&redlink=1
","WISEreader N516","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreader N518 19","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreader N520","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Hanvon","WISEreader N526","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Interead , URL: /w/index.php?title=Interead&action=edit&redlink=1
","COOL-ER , URL: /wiki/COOL-ER
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"iPapyrus Inc. , URL: /w/index.php?title=IPapyrus_Inc.&action=edit&redlink=1
","iPapyrus 6 , URL: /w/index.php?title=IPapyrus_6&action=edit&redlink=1
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRex Technologies , URL: /wiki/IRex_Technologies
","Digital Reader 800 , URL: /wiki/Digital_Reader_DR800SG
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRex Technologies","Digital Reader 1000 , URL: /wiki/Digital_Reader_1000
","09","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"iRex Technologies","iLiad , URL: /wiki/ILiad
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Iriver , URL: /wiki/Iriver
","Story , URL: /wiki/Iriver_Story
","Unknown","Unknown","Unknown","Unknown","No","Unknown","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Iriver","IRiver Story HD , URL: /wiki/IRiver_Story_HD
","15","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","No","Yes","Unknown","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"italica GmbH , URL: /w/index.php?title=Italica_GmbH&action=edit&redlink=1
","Paperback 1.0","06","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","Yes","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe , URL: /wiki/Hanlin_eReader
","Hanlin V2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","Hanlin V3","19","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","Hanlin V5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"JinKe","Hanlin V6.0","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Kobo , URL: /wiki/Kobo_eReader
","eReader , URL: /wiki/EReader
","03","No","Unknown","Unknown","No","No","No","Unknown","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kobo","eReader WiFi","09","No","Yes","Yes","No","No","No","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kobo","eReader Touch","14","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Partial (raw markup)","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Kogan.com , URL: /wiki/Kogan.com
","Kogan eBook Reader , URL: /w/index.php?title=Kogan_eBook_Reader&action=edit&redlink=1
","16","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Kolporter , URL: /wiki/Kolporter
","eClicto , URL: /wiki/EClicto
","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Manta , URL: https://pl.wikipedia.org/wiki/Manta_(przedsi%C4%99biorstwo)
","Ebook04","15","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","No","No","Yes","No","Yes"
"Newsmy , URL: /w/index.php?title=Newsmy&action=edit&redlink=1
","e6210 , URL: /w/index.php?title=E6210&action=edit&redlink=1
","Unknown","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Onyx , URL: /w/index.php?title=Onyx_International&action=edit&redlink=1
","Boox , URL: /wiki/Boox
","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"Onyx Inc.","Boox X60/60S","22","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No"
"Onyx Inc.","Boox M90/90S","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"Onyx Inc.","Boox M92/92s","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"Onyx Inc.","Boox M96","26+","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Onyx Inc.","BOOX I62","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"Onyx Inc.","BOOX I62HD","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"Onyx Inc.","BOOX I62ML","22","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial (no DRM)","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"PocketBook , URL: /wiki/PocketBook_eReader
","PocketBook 360 Plus , URL: /wiki/PocketBook_eReader
","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBook Pro 602","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBook Pro 603","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBook Pro 902","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"PocketBook","PocketBook Pro 903","18","No","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Samsung , URL: /wiki/Samsung
","Papyrus","03","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Samsung","E6","Unknown","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony , URL: /wiki/Sony
","DPT-S1 , URL: /wiki/Sony_Digital_Paper_DPTS1
","01","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Sony , URL: /wiki/Sony
","Librié , URL: /w/index.php?title=Libri%C3%A9&action=edit&redlink=1
","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","Reader Pocket Edition PRS-300 , URL: /wiki/Sony_Reader
","06","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"Sony","Reader PRS-500 , URL: /wiki/Sony_Reader
","09","No","Unknown","Unknown","No","No","No","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader PRS-505 , URL: /wiki/PRS-505
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader Touch Edition PRS-600 , URL: /wiki/Sony_Reader
","12","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","No","No","No","No","No","Yes","No","Yes","Unknown","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader PRS-700 , URL: /wiki/Sony_Reader
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Sony","Reader Daily Edition PRS-900 , URL: /wiki/Sony_Reader
","11","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Spring Design","Alex eReader , URL: /wiki/Alex_eReader
","05","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Stereo International Enterprise","ES600 , URL: /w/index.php?title=ES600&action=edit&redlink=1
","08","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"TrekStor , URL: /wiki/TrekStor
","eBook Reader 3.0","08","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Partial (only from FileMgr","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No"
"Velocity Micro , URL: /wiki/Velocity_Micro
","Cruz Reader","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Velocity Micro","Cruz Tablet , URL: /wiki/Cruz_(Tablet)
","14+","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Velocity Micro","Cruz Tablet , URL: /wiki/Cruz_(Tablet)
","14+","Yes","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Wolder Electronics , URL: /w/index.php?title=Wolder_Electronics&action=edit&redlink=1
","Boox-S","14","No","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","Unknown","Yes","No","Partial (no DRM)","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Maker","Model","Number","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","E-books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"Maker","Model","Number",".azw",".cbr",".cbz",".chm",".djvu",".doc",".docx",".epub",".fb2",".html",".lit",".mobi",".opf",".pdb",".pdf",".pdg",".rtf",".tcr",".tr3",".txt",".bmp",".gif",".jpg",".png",".tiff",".avi",".flv",".m4v",".mov",".mp3",".mpeg1/2/4",".wmv"
