"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Comments"
"GeForce 8600 GT","April 17, 2007","G84","TSMC 80 nm","289","169","PCIe 1.0 x16 PCI","32:16:8","540","1188","400 700","4.32","8.64","256 512 1024","12.8 22.4","DDR2 GDDR3","128","10.0","3.3","76","47",""
"GeForce 8600 GTS","April 17, 2007","G84","TSMC 80 nm","289","169","PCIe 1.0 x16","32:16:8","675","1450","1000","5.4","10.8","256 512","32","GDDR3","128","10.0","3.3","92.8","71",""
"GeForce 8800 GS","January 2008","G92","TSMC 65 nm","754","324","PCIe 2.0 x16","96:48:12","550","1375","800","6.6","26.4","384 768","38.4","GDDR3","192","10.0","3.3","264","105",""
"GeForce 8800 GTS (G80)","February 12, 2007 (320) November 8, 2006 (640)","G80","TSMC 90 nm","681","484","PCIe 1.0 x16","96:24:20","513","1188","800","10.3","12.3","320 640","64","GDDR3","320","10.0","3.3","228","146",""
"GeForce 8800 GTS 112 (G80)","November 19, 2007","G80","TSMC 90 nm","681","484","PCIe 1.0 x16","112:282:20","500","1200","800","10","14","640","64","GDDR3","320","10.0","3.3","268.8","150","only XFX, EVGA and BFG models, very short-lived[46]"
"GeForce 8800 GT","October 29, 2007 (512) December 11, 2007 (256, 1024)","G92","TSMC 65 nm","754","324","PCIe 2.0 x16","112:56:16","600","1500","700 (256) 900 (512, 1024)","9.6","33.6","256 512 1024","57.6","GDDR3","256","10.0","3.3","336","125",""
"GeForce 8800 GTS (G92)","December 11, 2007","G92","TSMC 65 nm","754","324","PCIe 2.0 x16","128:64:16","650","1625","970","10.4","41.6","512","62.1","GDDR3","256","10.0","3.3","416","135",""
"GeForce 8800 GTX","November 8, 2006","G80","TSMC 90 nm","681","484","PCIe 1.0 x16","128:322:24","575","1350","900","13.8","18.4","768","86.4","GDDR3","384","10.0","3.3","345.6","145",""
"GeForce 8800 Ultra","May 2, 2007","G80","TSMC 90 nm","681","484","PCIe 1.0 x16","128:322:24","612","1500","1080","14.7","19.6","768","103.7","GDDR3","384","10.0","3.3","384","175",""
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","Bus type","bit , URL: /wiki/Bit
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","TDP (Watts)","Comments"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory","Supported API version","Supported API version","GFLOPS , URL: /wiki/GFLOPS
","TDP (Watts)","Comments"
