"Library Name","License , URL: /wiki/Software_license
","Free","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Other Features","Other Features","Interactivity , URL: /wiki/Event_(computing)
","Interactivity , URL: /wiki/Event_(computing)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Databinding","HTML 5 Canvas"
"Chart Builder By Livegap , URL: https://livegap.com/charts/
","Free","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No[17]","No","",""
"Charts 4 PHP , URL: http://www.chartphp.com
","Proprietary , URL: /wiki/Proprietary_software
","Free basic edition[18]","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","No","No","Yes","","Yes","Yes","","Yes","Yes","No","No","","",""
"Cytoscape.js , URL: http://js.cytoscape.org/
","MIT[19]","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","","No","","Yes","Yes","Yes","No","No","Yes",""
"D3.js , URL: /wiki/D3.js
","BSD-3 , URL: /wiki/BSD_Licenses
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[23]","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes[24]","No","Yes",""
"dc , URL: /w/index.php?title=Dc.js&action=edit&redlink=1
","Apache 2.0[25]","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","Yes","No","No","No","","No","","Yes","Yes","No","Yes[26]","No","",""
"DevExtreme","Proprietary , URL: /wiki/Proprietary_software
","Non-commercial or commercial[27]","Yes[28]","Yes[29]","Yes[30]","Yes[31]","Yes[32]","Yes[33]","Yes[34]","Yes[35]","Yes[36]","No","No","Yes[37]","","Yes[38]","Yes","Yes[39]","Yes","No","Yes","","Yes","Yes[40]","Yes[41]","Yes","No","Yes",""
"DHTMLX Charts , URL: https://dhtmlx.com/docs/products/dhtmlxChart/
","GPL[42]","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes[43]","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","Yes","",""
"dimple","MIT[44]","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"Dojo Charting","BSD or AFL[45]","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes[46]","",""
"Dygraphs , URL: https://dygraphs.com/
","MIT[47]","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","No","No","",""
"Echarts , URL: https://echarts.apache.org/
","BSD-3 , URL: /wiki/BSD_Licenses
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes[48]","No","Yes",""
"Factmint Charts","Proprietary , URL: /wiki/Proprietary_software
","Non-commercial or commercial [49]","Yes","Yes[50]","Yes[51]","Yes[52]","Yes[53]","No","No","No","No","No","No","No","","Yes[54]","Yes[54]","Yes[54]","","Yes","Yes","","Yes","No","Yes","No","","",""
"Flot Charts","MIT[55]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","","Yes","","Yes","Yes","Yes[56]","No","No","",""
"Flotr2","MIT[57]","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes[58]","No","No","",""
"Frappe Charts , URL: https://frappe.io/charts
","MIT","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","No","Yes","","Yes","Yes","No","Yes","No","Yes",""
"FusionCharts , URL: https://www.fusioncharts.com
","Proprietary , URL: /wiki/Proprietary_software
","Free for personal and non-commercial uses.[59] Paid for commercial applications.[60]","Yes [61]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes[62]","","",""
"Google Charts , URL: /wiki/Google_Charts
","Free[63]","Yes[63]","Yes","Yes","Yes","Yes","Yes","Yes[64]","No","No","Yes[65]","Yes[66]","Yes","Yes","","Yes[67]","Yes[68]","Yes","Yes[69]","Yes","Yes","","Yes","Yes[70]","Yes","Yes[71]","Yes[71]","Yes[72]",""
"gRaphael","MIT[73]","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","No","No","Yes[74]","No","",""
"Greylock , URL: https://greylock.js.org/
","Apache 2.0[75]","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No","","No","Yes","No","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"Highcharts , URL: https://www.highcharts.com
","Proprietary , URL: /wiki/Proprietary_software
","Free for personal and non-commercial uses.[76] Paid for commercial applications.[77]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes[78]","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes",""
"JenScript , URL: https://www.jenscript.io/
","BSD-3 , URL: /wiki/BSD_Licenses
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No[80]","Yes","No","Yes",""
"jqPlot","MIT or GPLv2[81]","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes[82]","No","No","",""
"jqxChart , URL: https://www.jqwidgets.com/jquery-widgets-demo/demos/jqxchart/
","Proprietary , URL: /wiki/Proprietary_software
","Free with a link [83] or commercial[84]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","",""
"JSCharting , URL: https://www.jscharting.com
","Proprietary , URL: /wiki/Proprietary_software
","Free with branding [86]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","No","Yes","No","",""
"KoolChart , URL: https://www.koolchart.com/demo/line-chart
","Proprietary , URL: /wiki/Proprietary_software
","Free with a link [87] or commercial[88]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes[89]","No","Yes","Yes",""
"LightningChart JS , URL: https://www.arction.com/lightningchart-js/
","Proprietary , URL: /wiki/Proprietary_software
","Free for personal and non-commercial uses.[90] Paid for commercial applications.[91]","Yes [92]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","Yes","No","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","","Yes","Yes"
"MetricsGraphics","Mozilla Public License Version 2.0[93]","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","","Yes","No","Yes","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"MuzeJS , URL: https://www.charts.com/muze
","MIT[94]","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","No","Yes","No","Yes","","",""
"NextCharts","Apache 2.0[95]","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","No","No","Yes",""
"NVD3","Apache 2.0[96]","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes[97]","No","",""
"OLAPCharts","Proprietary , URL: /wiki/Proprietary_software
","Free basic edition[98]","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","No","No","","",""
"Pizza Amore , URL: http://zurb.com/playground/pizza-amore-charts-and-graphs
","MIT","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","","No","No","No","No","No","Yes","","Yes","No","No","Yes","No","",""
"plotly.js , URL: https://plotly.com/javascript/
","MIT[99]","Yes","Yes","Yes[100]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","via Python[101]","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes[102]","No","","Yes"
"PlusCharts , URL: https://www.pluscharts.com
","Free","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"ReactiveChart","MIT[103]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","","Yes","Yes","Yes","No","Yes","Yes","","Yes","Yes","Yes","No","Yes","",""
"RGraph , URL: /wiki/RGraph
","MIT[104]","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","",""
"rickshaw","MIT[105]","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","","Yes","No","No","No","","Yes","","Yes","No","No","Yes[106]","No","",""
"SciChart.js , URL: https://www.scichart.com/javascript-charts/
","Proprietary , URL: /wiki/Proprietary_software
","Free for educational uses.[107] Paid for commercial applications.[108]","Yes [109]","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Shield UI , URL: https://www.shieldui.com/products/chart
","Proprietary , URL: /wiki/Proprietary_software
","Non-commercial or commercial[110]","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes[111]","","",""
"Syncfusion","Proprietary , URL: /wiki/Proprietary_software
","Yes Free[112] or commercial[113]","Yes","Yes","Yes","Yes","Yes","Yes[114]","Yes","Yes","Yes[115]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[116]","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes[117]",""
"TeeChart JS , URL: https://www.steema.com/product/html5
","MIT[118]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","",""
"uvCharts , URL: https://imaginea.github.io/uvCharts
","MIT","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","Yes","No","Yes","","Yes","No","No","Yes","No","",""
"Vaadin Charts","Proprietary , URL: /wiki/Proprietary_software
","No[119]","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes","","",""
"VanCharts","Proprietary , URL: /wiki/Proprietary_software
","cc-by-nc 4.0 [120] or commercial [120]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","No","Yes","","",""
"VisJS , URL: https://visjs.org/
","Apache 2.0 and MIT[121]","Yes","Yes[122]","Yes[123]","Yes[124]","Yes[125]","No","No","No","No","No","Yes[126]","Yes[127]","Yes","","Yes","Yes","No","No","Yes[128]","Yes","","Yes","Yes","Yes","No","No","",""
"Vizzu , URL: https://github.com/vizzuhq/vizzu-lib
","Apache 2.0[129]","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","","No"
"Webcharts","MIT[130]","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","Yes","No","Yes","No","",""
"Webix JS Charts , URL: https://webix.com/widget/charts/
","GPL[131]","Yes","Yes[132]","No","Yes[133]","Yes[134]","Yes[135]","Yes[135]","No","Yes[136]","No","No","No","Yes[137]","","Yes[138]","Yes","No","Yes[138]","","Yes [139]","","Yes [140]","Yes [141]","Yes","No","Yes","Yes",""
"xcharts","MIT[142]","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","","No","No","No","No","","No","","Yes","Yes","No","Yes[17]","No","",""
"YUI Charts","BSD-3 , URL: /wiki/BSD_Licenses
","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","No","","Yes","","Yes","No","Yes","Yes","Yes[144]","",""
"ZingChart , URL: https://www.zingchart.com/
","Proprietary , URL: /wiki/Proprietary_software
","Free with a link [145] or commercial[146]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes[147]","Yes","",""
"ZoomCharts , URL: https://zoomcharts.com/
","Proprietary , URL: /wiki/Proprietary_software
","Non-commercial or commercial[148]","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes[149]","Yes","No","","",""
