"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Live-Update","Support","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Notes"
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA AntiVirus , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1987","Germany , URL: /wiki/Germany
","Bitdefender , URL: /wiki/Bitdefender
"
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA Internet Security , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","Germany , URL: /wiki/Germany
","Bitdefender , URL: /wiki/Bitdefender
"
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA Total Security , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","Germany , URL: /wiki/Germany
","Bitdefender , URL: /wiki/Bitdefender
"
"Intego , URL: /wiki/Intego
","VirusBarrier , URL: /wiki/VirusBarrier
","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1997","United States , URL: /wiki/United_States
",""
"Intego , URL: /wiki/Intego
","Mac Internet Security , URL: /wiki/Intego
","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2000","United States , URL: /wiki/United_States
",""
"Kaspersky Lab , URL: /wiki/Kaspersky_Lab
","Kaspersky Internet Security , URL: /wiki/Kaspersky_Internet_Security
","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2010","Russia , URL: /wiki/Russia
","USG , URL: /wiki/Federal_government_of_the_United_States
"
"Quick Heal , URL: /wiki/Quick_Heal
","Quick Heal Total Security for Mac , URL: /wiki/Quick_Heal
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1995","India , URL: /wiki/India
","GoDeep.AI engine"
"Malwarebytes , URL: /wiki/Malwarebytes_(software)
","[Malwarebytes for Mac]","Yes","No","Unknown","Unknown","No","No","No","No","Yes","No","Yes","Unknown","Unknown","Free","2006","United States , URL: /wiki/United_States
","Project Zero , URL: /wiki/Project_Zero
"
"Panda Security , URL: /wiki/Panda_Security
","Panda Antivirus for Mac , URL: /wiki/Panda_Security
","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2008","Spain , URL: /wiki/Spain
",""
"Sophos , URL: /wiki/Sophos
","Sophos Anti-Virus for Mac , URL: /wiki/Sophos
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","Free","2010","United Kingdom , URL: /wiki/United_Kingdom
",""
"Symantec , URL: /wiki/NortonLifeLock
","Symantec Endpoint Protection","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2012","United States , URL: /wiki/United_States
",""
"NortonLifelock (formerly Symantec) , URL: /wiki/NortonLifeLock
","Norton Security Standard for Mac","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2012","United States , URL: /wiki/United_States
",""
"Trend Micro , URL: /wiki/Trend_Micro
","Titanium Internet Security for Mac , URL: /wiki/Trend_Micro_Internet_Security
","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","Japan , URL: /wiki/Japan
",""
"Webroot , URL: /wiki/Webroot
","SecureAnywhere AntiVirus","Yes","Yes","No","No","No","No","No","No","No","Apple Safari , URL: /wiki/Apple_Safari
","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2012","United States , URL: /wiki/United_States
",""
"Webroot , URL: /wiki/Webroot
","SecureAnywhere Internet Security Plus and Complete","Yes","Yes","No","No","No","No","No","No","No","Apple Safari , URL: /wiki/Apple_Safari
","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2012","United States , URL: /wiki/United_States
",""
"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Live-Update","Support","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Notes"
