"Language , URL: /wiki/Language
","Default base index , URL: /wiki/Array_data_type#Index_origin
","Specifiable index type[13]","Specifiable base index","Bound check , URL: /wiki/Bounds_checking
","Multidimensional , URL: /wiki/Array_data_type#Multi-dimensional_arrays
","Dynamically-sized","Vectorized operations , URL: /wiki/Array_programming
"
"IDL , URL: /wiki/IDL_(programming_language)
","0","?","no","checked","yes","yes","yes"
"ISLISP , URL: /wiki/ISLISP
","0","?","no","checked","yes","init[15]","yes (map or map-into)"
"J , URL: /wiki/J_(programming_language)
","0","?","no","checked","yes","yes","yes"
"Java , URL: /wiki/Java_(programming_language)
","0","no","no","checked","array of array[22]","init[15]","?"
"JavaScript , URL: /wiki/JavaScript
","0","no","no","checked[35]","array of array[22]","yes","yes"
"Julia , URL: /wiki/Julia_(programming_language)
","1","yes","yes","checked","yes","yes","yes"
"Lingo , URL: /wiki/Lingo_(programming_language)
","1","?","?","unchecked","yes","yes","yes"
"Lua , URL: /wiki/Lua_(programming_language)
","1","?","partial[36]","checked","array of array[22]","yes","?"
"Mathematica , URL: /wiki/Mathematica
","1","no","no","checked","yes","yes","yes"
"MATLAB , URL: /wiki/MATLAB
","1","?","no","checked","yes[37]","yes","yes"
"Nim , URL: /wiki/Nim_(programming_language)
","0","yes[3]","yes","optional[38]","array of array[22]","yes","yes[39]"
"Oberon , URL: /wiki/Oberon_(programming_language)
","0","?","no","checked","yes","no","?"
"Oberon-2 , URL: /wiki/Oberon-2
","0","?","no","checked","yes","yes","?"
"Objective-C , URL: /wiki/Objective-C
","0","no","no","checked","array of array[22]","yes","no"
"OCaml , URL: /wiki/OCaml
","0","no","no","checked by default","array of array[22]","init[15]","?"
"Pascal , URL: /wiki/Pascal_(programming_language)
Object Pascal , URL: /wiki/Object_Pascal
","index type[14]","yes","yes","varies[40]","yes","varies[41]","some"
"Perl , URL: /wiki/Perl
","0","no","yes ($[)","checked[35]","array of array[22]","yes","no[42]"
"Raku , URL: /wiki/Raku_(programming_language)
","0","no","no","checked[35]","yes","yes","yes"
"PHP , URL: /wiki/PHP
","0","yes[43]","yes[43]","checked[43]","yes","yes","yes"
"PL/I , URL: /wiki/PL/I
","1","?","yes","checked","yes","no","?"
"Python , URL: /wiki/Python_(programming_language)
","0","no","no","checked","array of array[22]","yes","no[44]"
"RPG , URL: /wiki/IBM_RPG
","1","no","no","?","no","no","?"
"R , URL: /wiki/R_(programming_language)
","1","?","no","unchecked","yes, also array of array","yes","yes"
"Ring , URL: /wiki/Ring_(programming_language)
","1","?","partial[36]","checked","array of array[22]","yes","?"
"Ruby , URL: /wiki/Ruby_(programming_language)
","0","no","no","checked[35]","array of array[22]","yes","?"
"Rust , URL: /wiki/Rust_(programming_language)
","0","no","no","checked","yes","?","?"
"Sass , URL: /wiki/Sass_(stylesheet_language)
","1","no","no","checked","array of array[22]","init[30]","?"
"S-Lang , URL: /wiki/S-Lang_(programming_library)
","0","?","no","checked","yes","yes","yes"
"Scala , URL: /wiki/Scala_(programming_language)
","0","no","no","checked","array of array[22]","init[15]","yes (map)"
"Scheme , URL: /wiki/Scheme_(programming_language)
","0","?","no","checked","array of array[22]","init[15]","yes (map)"
"Smalltalk , URL: /wiki/Smalltalk
","1","?","no","checked","array of array[22]","yes[45]","?"
"Swift , URL: /wiki/Swift_(programming_language)
","0","no","no","checked","array of array[22]","yes","?"
"Visual Basic , URL: /wiki/Visual_Basic
","0","no","yes","checked","yes","yes","?"
"Visual Basic .NET , URL: /wiki/Visual_Basic_.NET
","0","no","partial[23]","checked","yes","yes","LINQ , URL: /wiki/LINQ
"
"Wolfram Language , URL: /wiki/Wolfram_Language
","1","no","no","checked","yes","yes","yes"
"Windows PowerShell , URL: /wiki/Windows_PowerShell
","0","no","no","checked","yes","heap","?"
"Xojo , URL: /wiki/Xojo
","0","no","no","checked","yes","yes","no"
"XPath , URL: /wiki/XPath
XQuery , URL: /wiki/XQuery
","1","no","no","checked","array of array[4][22]","yes","yes"
