"","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","iOS , URL: /wiki/IOS_(Apple)
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","Other"
"Deluxe Paint , URL: /wiki/Deluxe_Paint
","No","No","No","","No","No","Yes","Atari ST , URL: /wiki/Atari_ST
DOS , URL: /wiki/DOS
"
"DigiKam , URL: /wiki/DigiKam
","Yes","Yes","Yes","","Yes","Yes","No","No"
"Erdas Imagine , URL: /wiki/Erdas_Imagine
","Yes","No","No","","No","Yes","No","No"
"Fatpaint , URL: /wiki/Fatpaint
","Yes","Yes","Yes","","No","No","No","No"
"Fotografix , URL: /wiki/Fotografix
","Yes","No","No","","No","No","No","No"
"F-Spot , URL: /wiki/F-Spot
","No","No","Yes","","Yes","No","No","No"
"G'MIC , URL: /wiki/G%27MIC
","Yes","Yes","Yes","","Yes","Yes","No","No"
"GIMP , URL: /wiki/GIMP
","Yes","Yes","Yes","No[14]","Yes","Yes","Cygnix , URL: /wiki/Cygwin
","SkyOS , URL: /wiki/SkyOS
"
"GimPhoto , URL: /wiki/GimPhoto
","Yes","Yes","Yes","","No","No","No","No"
"GIMPshop , URL: /wiki/GIMPshop
","Yes","Yes","Yes","","Yes","Yes","No","No"
"GNU Paint , URL: /wiki/GNU_Paint
","No","No","Yes","","Yes","No","No","No"
"GrafX2 , URL: /wiki/GrafX2
","Yes","Yes","Yes","","Yes","Yes","Yes","Haiku , URL: /wiki/Haiku_(operating_system)
MiNT , URL: /wiki/MiNT
DOS , URL: /wiki/DOS
"
"GraphicConverter , URL: /wiki/GraphicConverter
","No","Yes","No","","No","No","No","No"
"GraphicsMagick , URL: /wiki/GraphicsMagick
","Yes","Yes","Yes","","Yes","No","No","No"
"gThumb , URL: /wiki/GThumb
","No","No","Yes","","Yes","No","No","No"
"HDR PhotoStudio , URL: /wiki/HDR_PhotoStudio
","Yes","Yes","No","","No","No","No","No"
"Helicon Filter , URL: /wiki/Helicon_Filter
","Yes","No","No","","No","No","No","No"
"ImageJ , URL: /wiki/ImageJ
","Yes","Yes","Yes","","Yes","No","No","No"
"ImageMagick , URL: /wiki/ImageMagick
","Yes","Yes","Yes","","Yes","No","No","No"
"iPhoto , URL: /wiki/IPhoto
","No","Yes","No","","No","No","No","No"
"IrfanView , URL: /wiki/IrfanView
","Yes","No","No","","No","No","No","No"
"Iridient Developer , URL: /wiki/Iridient_Developer
","No","Yes","No","","No","No","No","No"
"Kolourpaint , URL: /wiki/Kolourpaint
","Yes","No","Yes","","Yes","Yes","No","No"
"Krita , URL: /wiki/Krita
","Yes","Yes","Yes","","Yes","Yes","No","No"
"LazPaint , URL: /wiki/LazPaint
","Yes","Partial[15]","Yes","","No","No","No","No"
"LiveQuartz , URL: /wiki/LiveQuartz
","No","Yes","No","","No","No","No","No"
"MacPaint , URL: /wiki/MacPaint
","No","No","No","","No","No","No","Mac OS , URL: /wiki/Mac_OS
"
"Microsoft Office Picture Manager , URL: /wiki/Microsoft_Office_Picture_Manager
","Yes","Yes","No","","No","No","No","No"
"Microsoft Paint , URL: /wiki/Microsoft_Paint
","Yes","No","No","","No","No","No","No"
"Microsoft Photo Editor , URL: /wiki/Microsoft_Photo_Editor
","Yes","No","No","","No","No","No","No"
"mtPaint , URL: /wiki/MtPaint
","Yes","Yes","Yes","No","Yes","Yes","No","No"
"MyPaint , URL: /wiki/MyPaint
","Yes","Yes","Yes","","Yes","Yes","No","No"
"OpenCanvas , URL: /wiki/OpenCanvas
","Yes","No","No","","No","No","No","No"
"Paint.NET , URL: /wiki/Paint.NET
","Yes","No","Partial[17]","","No","No","No","No"
"Paint Tool SAI , URL: /wiki/Paint_Tool_SAI
","Yes","No","No","No","No","No","No","No"
"PC Paintbrush , URL: /wiki/PC_Paintbrush
","No","No","No","","No","No","No","DOS , URL: /wiki/DOS
"
"Pencil2D , URL: /wiki/Pencil2D
","Yes","Yes","Yes","","Yes","No","No","No"
"Phatch , URL: /wiki/Phatch
","Yes","Yes","Yes","","Yes","No","No","No"
"Photogenics , URL: /wiki/Photogenics
","Yes","No","Yes","","No","No","Up to version 5","Pocket PC , URL: /wiki/Pocket_PC
"
"PhotoLine , URL: /wiki/PhotoLine
","Yes","Yes","No","","No","No","No","ATARI ST , URL: /wiki/ATARI_ST
"
"PhotoPerfect , URL: /wiki/PhotoPerfect
","Yes","No","No","","No","No","No","No"
"Photos , URL: /wiki/Photos_(Apple)
","No","Yes","No","","No","No","No","No"
"Photo Raster , URL: /wiki/Photo_Raster
","Yes","Yes","Yes","","Yes","Yes","No","No"
"Picasa , URL: /wiki/Picasa
","Yes","Yes","Up to version 3.0","","No","No","No","No"
"PicMaster , URL: /wiki/PicMaster
","Yes","No","No","","No","No","No","No"
"Pinta , URL: /wiki/Pinta_(software)
","Yes","Yes","Yes","","Yes","Yes","No","No"
"PixBuilder Photo Editor","Yes","No","No","","No","No","No","No"
"Pixelmator , URL: /wiki/Pixelmator
","No","Yes","No","","No","No","No","No"
"Pixen App","No","Yes","No","","No","No","No","No"
"Pixia , URL: /wiki/Pixia
","Yes","No","No","","No","No","No","No"
"PMview , URL: /wiki/PMview
","Yes","No","No","","No","No","No","OS/2 , URL: /wiki/OS/2
"
"Project Dogwaffle , URL: /wiki/Project_Dogwaffle
","Yes","No","No","","No","No","No","No"
"QFX , URL: /wiki/QFX
","Yes","No","No","","No","No","No","DOS 3.3 , URL: /wiki/DOS_3.3
"
"Rawstudio , URL: /wiki/Rawstudio
","No","Yes","Yes","","Yes","No","No","No"
"RawTherapee , URL: /wiki/RawTherapee
","Yes","Yes","Yes","","No","No","No","No"
"Seashore , URL: /wiki/Seashore_(software)
","No","Yes","No","","No","No","No","No"
"Serif PhotoPlus , URL: /wiki/Serif_PhotoPlus
","Yes","No","No","","No","No","No","No"
"Shotwell , URL: /wiki/Shotwell_(software)
","No","No","Yes","","Yes","No","No","No"
"Turbo Play","Yes","No","No","No","No","No","No","No"
"Tux Paint , URL: /wiki/Tux_Paint
","Yes","Yes","Yes","","Yes","Yes","No","No"
"TVPaint , URL: /wiki/TVPaint_Animation
","Yes","Yes","Yes","","No","No","Up to version 3.59[19]","No"
"UFRaw , URL: /wiki/UFRaw
","Yes","Yes","Yes","","Yes","No","No","No"
"Ulead PhotoImpact , URL: /wiki/Ulead_PhotoImpact
","Yes","No","No","","No","No","No","No"
"Ultimate Paint*","Yes","No","No","","No","No","No","No"
"WinImages , URL: /wiki/WinImages
","Yes","No","No","","No","No","No","No"
"Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","Yes","No","No","","No","No","No","No"
"XnView , URL: /wiki/XnView
","Yes","Yes","Yes","","No","No","No","varying[20]"
"XPaint","No","Yes","Yes","","Yes","Yes","No","IBM AIX , URL: /wiki/IBM_AIX
"
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","Yes","No","No","","No","No","No","No"
