"Licence and version","FSF , URL: /wiki/Free_Software_Foundation
","GPL (v3) compatibility , URL: /wiki/GPL_compatibility
","OSI , URL: /wiki/Open_Source_Initiative
","Debian , URL: /wiki/Debian_Project
","Fedora , URL: /wiki/Fedora_Project
"
"Sleepycat License , URL: /wiki/Sleepycat_License
","Yes","Yes","Yes","Yes","Yes"
"Sun Industry Standards Source License , URL: /wiki/Sun_Industry_Standards_Source_License
","Yes","No","Yes","No","Yes"
"Sun Public License , URL: /wiki/Sun_Public_License
","Yes","No","Yes","No","Yes"
"Sybase Open Watcom Public License , URL: /wiki/Sybase_Open_Watcom_Public_License
","No","No","Yes","No","No"
"Unlicense , URL: /wiki/Unlicense
","Yes[72]","Yes[58]","Yes[73]","?","Yes[62]"
"W3C Software Notice and License , URL: /wiki/W3C_Software_Notice_and_License
","Yes","Yes","Yes","Yes","Yes"
"Do What The Fuck You Want To Public License , URL: /wiki/WTFPL
","Yes[note 5]","Yes","No[74]","Yes","Yes"
"XFree86 1.1 License , URL: /wiki/XFree86
","Yes","Yes[75]","No","No","No"
"zlib/libpng license , URL: /wiki/Zlib/libpng_license
","Yes","Yes","Yes","Yes","Yes"
"Zope Public License , URL: /wiki/Zope_Public_License
","Yes","No","No","No","Yes"
"Zope Public License , URL: /wiki/Zope_Public_License
","Yes","Yes","Yes","No","Yes"
