"Application","Latest release date and version","Developed by","Platforms","Mainly Used For","License"
"LightWave 3D","2020-08-07 v 2020.0.2","NewTek , URL: /wiki/NewTek
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Amiga OS , URL: /wiki/Amiga_OS
","Modeling, Animation, Lighting, Rendering, Film and Television Previz, Videogame Asset Creation","Proprietary , URL: /wiki/Proprietary_software
"
"MASSIVE","? v 3.5","Massive Software","Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Artificial Intelligence in Models","Proprietary , URL: /wiki/Proprietary_software
"
"Maya","2020-10-06 v 2020.3","Autodesk , URL: /wiki/Autodesk
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
","Modeling, Animation (Video), Lighting, Rendering, Visual 3D Effects","Proprietary , URL: /wiki/Proprietary_software
"
"Metasequoia","2021-01-26 4.7.6","tetraface Inc.","Microsoft Windows , URL: /wiki/Microsoft_Windows
macOS , URL: /wiki/MacOS
","Modeling","Proprietary , URL: /wiki/Proprietary_software
"
"MODO","2020-10-21 14.1v2","The Foundry , URL: /wiki/The_Foundry_Visionmongers
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Modeling, Animation, Rendering","Proprietary , URL: /wiki/Proprietary_software
"
"Mudbox","2018-03-14 2018.2","Autodesk , URL: /wiki/Autodesk
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Lighting, Sculpting (the deformation of the model)","Proprietary , URL: /wiki/Proprietary_software
"
"OpenSCAD","2021-01-31 v 2021.01","Marius Kintel, Claire Wolf","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Unix , URL: /wiki/Unix
Linux , URL: /wiki/Linux
","CAD, Scripting, parametric design, CSG","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"POV-Ray","2013-11-09 v3.7.0","The POV-Team , URL: /w/index.php?title=The_POV-Team&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
AmigaOS , URL: /wiki/AmigaOS
","Lighting, Visual 3D effects","AGPL-3.0-or-later , URL: /wiki/GNU_Affero_General_Public_License
"
"PTC Creo (formerly Pro/Engineer)","2020 v 7.0","Parametric Technology Corporation , URL: /wiki/Parametric_Technology_Corporation
","Microsoft Windows , URL: /wiki/Microsoft_Windows
HP-UX , URL: /wiki/HP-UX
Unix , URL: /wiki/Unix
","Modeling, Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"Remo 3D","2021-09-19 v 2.10.1","Remograph , URL: /wiki/Remograph
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Modeling, Virtual Reality, Real-time modeling, Video Game Creation, Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"Rhinoceros 3D","2020-12-08 v 7","McNeel","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
","Modeling, Computer Aided Design, scripting with grasshopper, many Plug in for Simulation, CAM, BIM, Rendering, and more","Proprietary , URL: /wiki/Proprietary_software
"
"Salome","2020-12-01 v 9.6","Open Cascade , URL: /wiki/Open_Cascade
EDF , URL: /wiki/%C3%89lectricit%C3%A9_de_France
CEA , URL: /wiki/Commissariat_%C3%A0_l%27%C3%A9nergie_atomique_et_aux_%C3%A9nergies_alternatives
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Unix , URL: /wiki/Unix
Linux , URL: /wiki/Linux
","CAD, Scripting, parametric design, CSG, Meshing, Pre-Post for CAE","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_Public_License
"
"Shade 3D","2020-12-17 v 21.1","FORUM 8 , URL: /w/index.php?title=FORUM_8&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Computer Aided Design, Rendering, Animation","Proprietary , URL: /wiki/Proprietary_software
"
"Silo","2021-09-23 v 2021.3","Nevercenter , URL: /wiki/Nevercenter
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling","Proprietary , URL: /wiki/Proprietary_software
"
"SketchUp Pro","2021-01-05 [4] v 21.0.1 (Win64) v 16.1.1450 (Win32) v 20.0 (Mac64)","Trimble Navigation , URL: /wiki/Trimble_Navigation
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"Solid Edge","ST13 , URL: /wiki/Synchronous_Technology
","Siemens Digital Industries Software , URL: /wiki/Siemens_Digital_Industries_Software
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"SolidWorks","2021-02-01 v SolidWorks 2021 SP2.0","Dassault Systèmes , URL: /wiki/Dassault_Syst%C3%A8mes
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"SpaceClaim","2020-08-08 v 2020.R2","Ansys , URL: /wiki/Ansys
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"E-on Vue","2017 v 2016 R5","E-on Software , URL: /w/index.php?title=E-on_Software&action=edit&redlink=1
Bentley Systems , URL: /wiki/Bentley_Systems
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Animation, Landscape Modeling, Lighting","Proprietary , URL: /wiki/Proprietary_software
"
"Verto Studio 3D","2019-05-06 v2.4.0","Michael L. Farrell , URL: /w/index.php?title=Michael_L._Farrell&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
iOS , URL: /wiki/IOS
","Mobile Modeling, Texture Mapping, Lighting","Proprietary , URL: /wiki/Proprietary_software
"
"Wings 3D","2020-12-20 v 2.2.6","Dan Gudmundsson (maintainer)","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
BSD , URL: /wiki/BSD
Linux , URL: /wiki/Linux
","Modeling, Sculpting (the deformation of the model), UV mapping","BSD , URL: /wiki/BSD_License
"
"ZBrush","2020-12-20 v 2021.5.1","Pixologic , URL: /wiki/Pixologic
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Texturing, Lighting, Sculpting (the deformation of the model), Rendering","Proprietary , URL: /wiki/Proprietary_software
"
