"Audio compression format , URL: /wiki/Audio_compression_format
","Creator","First public release date","Latest stable version","Cost","Cost","Proprietary , URL: /wiki/Proprietary_software
","Open-source , URL: /wiki/Open-source_license
","Uses (other than consumer audio)","Music reproduction (consumer audio)","Telephony , URL: /wiki/Telephony
","Lossless audio compression , URL: /wiki/Audio_compression_(data)#Lossless
","Patented , URL: /wiki/Patented
","DRM , URL: /wiki/Digital_rights_management
"
"HE-AAC , URL: /wiki/HE-AAC
","ISO , URL: /wiki/International_Organization_for_Standardization
IEC , URL: /wiki/International_Electrotechnical_Commission
","2003","ISO/IEC 14496-3","?","?","?","?","?","Yes","No","No","?","?"
"iLBC , URL: /wiki/ILBC
","Global IP Solutions","2002","RFC 3951","Free","Free","Cisco IP Communicator , URL: /wiki/Cisco_IP_Communicator
Skype , URL: /wiki/Skype
","Ekiga , URL: /wiki/Ekiga
Asterisk (PBX) , URL: /wiki/Asterisk_(PBX)
VoIP , URL: /wiki/VoIP
","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","Free[22]","No"
"iSAC , URL: /wiki/Internet_Speech_Audio_Codec
","Global IP Solutions","?","","Free","Free","Yahoo! Messenger","WebRTC , URL: /wiki/WebRTC
","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","Yes[23]","?"
"Monkey's Audio , URL: /wiki/Monkey%27s_Audio
","Matthew T. Ashland","2000","7.33 (2022-02-09)","Free","Free","Monkey's Audio , URL: /wiki/Monkey%27s_Audio
","FFmpeg , URL: /wiki/FFmpeg
","Music Archival","Yes","No","Yes","No","No"
"MP2 , URL: /wiki/MPEG-1_Audio_Layer_II
","ISO , URL: /wiki/International_Organization_for_Standardization
IEC , URL: /wiki/International_Electrotechnical_Commission
","1993","ISO/IEC 11172-3, ISO/IEC 13818-3","Free[24]","Free[24]","DVD , URL: /wiki/DVD
","TooLAME , URL: /wiki/TooLAME
FFmpeg , URL: /wiki/FFmpeg
","DAB , URL: /wiki/Digital_Audio_Broadcasting
DVB , URL: /wiki/Digital_Video_Broadcasting
DVD , URL: /wiki/DVD
","Yes","No","No","Free[25]","?"
"MP3 , URL: /wiki/MPEG-1_Audio_Layer_3
","ISO , URL: /wiki/International_Organization_for_Standardization
IEC , URL: /wiki/International_Electrotechnical_Commission
","1993","ISO/IEC 11172-3, ISO/IEC 13818-3","Free","Free","FhG , URL: /wiki/FhG
l3enc , URL: /wiki/L3enc
Xing , URL: /wiki/Xing_Technology
","LAME , URL: /wiki/LAME
FFmpeg , URL: /wiki/FFmpeg
libmad , URL: /wiki/MPEG_Audio_Decoder
","-","Yes","No","No","No[27]","Yes (optional, rarely used)"
"Musepack , URL: /wiki/Musepack
","Frank Klemm/MDT","1997","1.30 (2009-04-02)","Free","Free","","Musepack , URL: /wiki/Musepack
FFmpeg , URL: /wiki/FFmpeg
","-","Yes","No","No","No","No"
"Nellymoser Asao , URL: /wiki/Nellymoser_Asao_Codec
","Nellymoser Inc. , URL: /wiki/Nellymoser
","2002","?","Non-free","Non-free","Adobe Flash , URL: /wiki/Adobe_Flash
Flash Player , URL: /wiki/Flash_Player
","FFmpeg , URL: /wiki/FFmpeg
","voice recording , URL: /wiki/Voice_recording
","No","No","No","Yes","?"
"Opus , URL: /wiki/Opus_(codec)
","Xiph.Org Foundation , URL: /wiki/Xiph.Org_Foundation
Internet Engineering Task Force , URL: /wiki/Internet_Engineering_Task_Force
","2012-09-11","RFC 6716 (libopus 1.3)","Free","Free","","libopus, FFmpeg","VoIP , URL: /wiki/VoIP
Studio/transmitter link , URL: /wiki/Studio/transmitter_link
","Yes","Yes","No","Free[29]","No"
"SBC , URL: /wiki/SBC_(codec)
","Bluetooth SIG , URL: /wiki/Bluetooth_Special_Interest_Group
","2003","A2DP , URL: /wiki/List_of_Bluetooth_profiles#Advanced_Audio_Distribution_Profile_(A2DP)
","Bluetooth , URL: /wiki/Bluetooth
","Bluetooth , URL: /wiki/Bluetooth
","A2DP , URL: /wiki/List_of_Bluetooth_profiles#Advanced_Audio_Distribution_Profile_(A2DP)
","BlueZ, FFmpeg","Bluetooth , URL: /wiki/Bluetooth
","Yes","No","No","Yes","No"
"Shorten , URL: /wiki/Shorten_(file_format)
","Tony Robinson","1993-03-30","3.6.1 (2007-03-19, final release)","Free","Free","Shorten","FFmpeg , URL: /wiki/FFmpeg
","-","Yes","No","Yes","No (with commercial use restriction)[30][31]","No"
"SILK , URL: /wiki/SILK
","Skype Limited , URL: /wiki/Skype_Limited
","2009-01-07","Opus , URL: /wiki/Opus_(audio_format)
","Free","Free","Skype , URL: /wiki/Skype
","SILK Speech Codec","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","Yes","?"
"Siren , URL: /wiki/Siren_Codec
","Polycom , URL: /wiki/Polycom
","1999","","?[16][17]","?[16][17]","Microsoft Office Communicator , URL: /wiki/Microsoft_Office_Communicator
","FreeSWITCH , URL: /wiki/FreeSWITCH
aMSN , URL: /wiki/AMSN
","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","Yes","?"
"Speex , URL: /wiki/Speex
","Xiph.Org Foundation , URL: /wiki/Xiph.Org_Foundation
","2003-03-24","Opus) , URL: /wiki/Opus_(audio_format)
","Free","Free","Adobe Flash Player , URL: /wiki/Adobe_Flash_Player
","Speex , URL: /wiki/Speex
","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","No","No"
"SVOPC , URL: /wiki/SVOPC
","Skype Limited , URL: /wiki/Skype_Limited
","2007","","?","?","Skype , URL: /wiki/Skype
","","voice recording , URL: /wiki/Voice_recording
","No","Yes","No","Yes","?"
"True Audio (TTA) , URL: /wiki/TTA_(codec)
","TAU Software","1999","2.3 (2015-02-24)","Free","Free","","TTA , URL: /wiki/TTA_(codec)
FFmpeg , URL: /wiki/FFmpeg
","-","Yes","No","Yes","No","No"
"TwinVQ , URL: /wiki/TwinVQ
","Nippon Telegraph and Telephone , URL: /wiki/Nippon_Telegraph_and_Telephone
","1996 (?)","","Non-free","Non-free","Winamp , URL: /wiki/Winamp
","FFmpeg , URL: /wiki/FFmpeg
","speech","Yes","No","No","Yes","?"
"Vorbis , URL: /wiki/Vorbis
Ogg , URL: /wiki/Ogg
","Xiph.Org Foundation , URL: /wiki/Xiph.Org_Foundation
","2000-05-11","1.3.7","Free","Free","","libvorbis , URL: /wiki/Libvorbis
aoTuV , URL: /wiki/AoTuV
FFmpeg , URL: /wiki/FFmpeg
","-","Yes","No","No","No","No"
"WavPack , URL: /wiki/WavPack
","Conifer Software","1998","5.4.0 (2021-01-10)","Free","Free","","WavPack , URL: /wiki/WavPack
FFmpeg , URL: /wiki/FFmpeg
","Music archival","Yes","No","Yes","No","No"
"Windows Media Audio , URL: /wiki/Windows_Media_Audio
","Microsoft , URL: /wiki/Microsoft
","1999","11.0","Free for consumer licensees of the Windows operating system [citation needed]","Free for licensees of the Windows operating system[41]","Windows Media Player , URL: /wiki/Windows_Media_Player
Windows Media Encoder , URL: /wiki/Windows_Media_Encoder
","FFmpeg (decoding only for Pro, Lossless and Voice)","internet streaming","Yes","No","Yes","Yes","Optional[42]"
"Audio compression format , URL: /wiki/Audio_compression_format
","Creator","First public release date","Latest stable version","Encoder , URL: /wiki/Data_compression
","Player","Proprietary , URL: /wiki/Proprietary_software
","Open-source , URL: /wiki/Open-source_license
","Uses (other than consumer audio)","Music reproduction (consumer audio)","Telephony , URL: /wiki/Telephony
","Lossless audio compression , URL: /wiki/Audio_compression_(data)#Lossless
","Patented , URL: /wiki/Patented
","DRM , URL: /wiki/Digital_rights_management
"
"Audio compression format , URL: /wiki/Audio_compression_format
","Creator","First public release date","Latest stable version","cost","cost","Proprietary , URL: /wiki/Proprietary_software
","Open-source , URL: /wiki/Open-source_license
","Uses (other than consumer audio)","Music reproduction (consumer audio)","Telephony , URL: /wiki/Telephony
","Lossless audio compression , URL: /wiki/Audio_compression_(data)#Lossless
","Patented , URL: /wiki/Patented
","DRM , URL: /wiki/Digital_rights_management
"
