"","","","MSHTML , URL: /wiki/MSHTML
","EdgeHTML , URL: /wiki/EdgeHTML
","Gecko , URL: /wiki/Gecko_(software)
","WebKit , URL: /wiki/WebKit
","KHTML , URL: /wiki/KHTML
","Presto , URL: /wiki/Presto_(browser_engine)
",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","turn","turn , URL: /wiki/Turn_(geometry)
","9.0[t 1]","12","13.0[g 65]","No","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","ms","Millisecond , URL: /wiki/Millisecond
","9.0[t 1]","12","2.0[g 66]","Yes","Yes","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","s","Second , URL: /wiki/Second
","9.0[t 1]","12","2.0[g 66]","Yes","Yes","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","Hz","Hertz , URL: /wiki/Hertz
","No","No","No","Yes","Yes","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","kHz","Kilohertz , URL: /wiki/Kilohertz
","No","No","No","Yes","Yes","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","dpi","Dots per inch , URL: /wiki/Dots_per_inch
","No","12","1.9.1","No","4.1","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","dpcm","Dots per centimetre , URL: /wiki/Dots_per_centimeter
","No","12","1.9.1","No","4.1","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","dppx","Dots per pixel-unit","No","12","16.0","No","?","No",""
"css-line- grid-1 , URL: https://www.w3.org/TR/2014/WD-css-line-grid-1-20140403/#grid-length-unit
","gd","Cells in the layout-grid","No","No","No","No","No","No",""
"css- template- 3 , URL: https://www.w3.org/TR/2011/WD-css3-layout-20111129/#gr-unit
","fr","Remaining space in a series of length values","No","12","No","No","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","rem","the font size of the root element","9.0[t 1]","12","1.9.2","Yes","No","2.10.229[p 7]",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","vw","viewport , URL: /wiki/Viewport
","9.0[t 1]","12","19.0[g 3]","28.0[w 37]","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","vh","viewport , URL: /wiki/Viewport
","9.0[t 1]","12","19.0[g 3]","28.0[w 37]","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","vmin","equal to the smaller of ‘vw’ or ‘vh’.","No","12","19.0[g 3]","28.0[w 37]","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","vmax","equal to the larger of ‘vw’ or ‘vh’.","No","12","19.0[g 3]","28.0[w 37]","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","ch","the width of the ""0"" (ZERO, U+0030) glyph found in the font for the font size used to render.","No","12","1.9.1 , URL: #gecko_ch
","No","No","No",""
"Filter Effects","Filter Effects","Filter Effects","Filter Effects","Filter Effects","Filter Effects","Filter Effects","Filter Effects","Filter Effects",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","","","","","","","","",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","grayscale()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","sepia()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","saturate()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","hue-rotate()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","invert()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","opacity()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","brightness()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","contrast()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","blur()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","drop-shadow()","","No","13","35.0[g 67]","18.0[w 38]","No","No",""
"filter- effects , URL: https://www.w3.org/TR/filter-effects/#effects
","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables"
"css- variables- 1 , URL: https://www.w3.org/TR/css-variables-1/
","","","","","","","","",""
"css- variables- 1 , URL: https://www.w3.org/TR/css-variables-1/
","--*","define variable","No","No","31.0[g 68]","Experimental [citation needed]","No","No",""
"css- variables- 1 , URL: https://www.w3.org/TR/css-variables-1/
","var(--*)","use variable","No","No","31.0[g 68]","Experimental [citation needed]","No","No",""
"","","","MSHTML , URL: /wiki/MSHTML
","EdgeHTML , URL: /wiki/EdgeHTML
","Gecko , URL: /wiki/Gecko_(software)
","WebKit , URL: /wiki/WebKit
","KHTML , URL: /wiki/KHTML
","Presto , URL: /wiki/Presto_(browser_engine)
",""
