"Audio player","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
"
"Groove Music , URL: /wiki/Groove_Music
","Yes","Yes","No","No","?","Yes","Yes","?","?","?","Yes","?","?","?","?"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JuK , URL: /wiki/JuK
","Yes","No","No","Yes","Yes","No","No","?","?","Yes","Yes","No","Yes","No","?"
"Media Jukebox , URL: /wiki/JRiver_Media_Center#Media_Jukebox
","Yes[audionotes 1]","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","Yes","No","Yes","Yes","Partial[g]","Partial[g]","?","No","Yes","Yes","Yes","Partial[a]","Partial[a]","?"
"MPXPLAY , URL: /wiki/MPXPLAY
","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Partial[a]","Yes","Yes","No","No","Yes","?"
"Music Player Daemon , URL: /wiki/Music_Player_Daemon
","Yes","Yes[d]","Partial[d]","Yes","Yes","Yes","Yes[d]","Yes[d]","Yes","Yes[d]","Yes","Yes","Yes[d]","Yes","?"
"MusicBee , URL: /wiki/MusicBee
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes[b]","Yes","Yes","Yes","Yes","Yes[b]","Yes","Yes"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","Yes","Yes","No","No","No","No","No","?","?","No","No","No","No","No","?"
"musikCube , URL: /wiki/MusikCube
","Yes","Partial[g]","No","Yes","Partial[g]","Partial[g]","Partial[g]","?","?","Yes","Yes","No","No","Partial[g]","?"
"Quod Libet , URL: /wiki/Quod_Libet_(software)
","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?","Yes","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","Yes","Yes","Yes","No","No","Yes","No","?","?","No","No","No","No","No","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?"
"Sayonara Player , URL: /wiki/Sayonara_Player
","Yes","?","?","Yes","?","?","No","?","Yes","?","Yes","?","?","?","?"
"Sonique , URL: /wiki/Sonique_(media_player)
","Yes","Yes","No","Yes","Partial[g]","Partial[g]","No","?","?","No","No","No","No","No","?"
"Spotify , URL: /wiki/Spotify
","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"Style Jukebox , URL: /wiki/Style_Jukebox
","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes"
"Winamp , URL: /wiki/Winamp
","Yes","Yes","Yes[a]","Yes","Yes[a]","Yes","?","?","?","?","Yes","?","?","Yes[a]","?"
"XMMS , URL: /wiki/XMMS
","Yes","Partial[g]","Partial[g]","Partial[g]","Yes","Yes","No","Yes[a]","?","Partial[g]","Yes","No","Partial[g]","Yes","?"
"XMPlay , URL: /wiki/Xmplay
","Yes","Yes[a]","Yes[a]","Yes","Yes[a]","Yes[a]","Yes[a]","?","Yes[a]","Yes[a]","Yes[a]","Yes[a]","Yes[a]","Yes[a]","?"
"Zinf , URL: /wiki/Zinf
","Yes","No","No","Yes","No","No","No","?","?","No","No","No","No","No","?"
"Audio player","MP3","WMA","RealAudio","Vorbis","Musepack","AAC","Dolby AC-3","VQF","Opus","APE","FLAC","ALAC","SHN","WV","WMA L"
