"Package","License , URL: /wiki/License
","Windows , URL: /wiki/Microsoft_Windows
","OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","Market focus","Type","Structure"
"MYOB EXO Business , URL: /wiki/MYOB_(company)
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Mid- to high-end market","Larger, more complex businesses. Fully customised ERP with Accounting/General ledger, CRM, Job & Project Costing, POS, Asset Management and Intercompany Reporting. Integrated Payroll & HR available through MYOB EXO Employer Services","Stand-alone, multi-user/location, terminal server, remote access"
"NetSuite , URL: /wiki/NetSuite
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Mid-market","CRM , URL: /wiki/Customer_relationship_management
ERP , URL: /wiki/Enterprise_resource_planning
E-commerce , URL: /wiki/E-commerce
","Web-based"
"NewViews , URL: /wiki/NewViews
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low to mid-market","Real-time , URL: /wiki/Real-time_operating_system
E-commerce , URL: /wiki/E-commerce
Payroll , URL: /wiki/Payroll
general ledger , URL: /wiki/General_ledger
AR , URL: /wiki/Accounts_receivable
AP , URL: /wiki/Accounts_payable
","Stand-alone and/or Web Access, Cloud Hostable"
"NolaPro , URL: /wiki/NolaPro
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Low- to high-end market","",""
"Open Systems Accounting Software , URL: /wiki/Open_Systems_Accounting_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low to mid-market","ERP , URL: /wiki/Enterprise_resource_planning
SCM , URL: /wiki/Supply_chain_management
E-commerce , URL: /wiki/E-commerce
Business Intelligence , URL: /wiki/Business_Intelligence
","Stand-alone"
"Oracle E-Business Suite , URL: /wiki/Oracle_E-Business_Suite
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","High-end market","ERP , URL: /wiki/Enterprise_resource_planning
","Web-based"
"Oracle Fusion Cloud ERP , URL: /wiki/Oracle_Enterprise_Resource_Planning_Cloud
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","High-end market","ERP , URL: /wiki/Enterprise_resource_planning
Financial Management , URL: /wiki/Financial_management
Supply Chain Management , URL: /wiki/Supply_chain_management
Human Capital Management , URL: /wiki/Human_Resource_Management
Enterprise Performance Management , URL: /wiki/Enterprise_performance_management
","Web-based"
"Oracle PeopleSoft Enterprise , URL: /wiki/PeopleSoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","High-end market","ERP , URL: /wiki/Enterprise_resource_planning
Financial Management , URL: /wiki/Financial_management
Supply Chain Management , URL: /wiki/Supply_chain_management
Human Capital Management , URL: /wiki/Human_Resource_Management
Customer Relationship Management , URL: /wiki/Customer_Relationship_Management
Enterprise Performance Management , URL: /wiki/Enterprise_performance_management
","Web-based"
"Postbooks , URL: /wiki/Postbooks
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low to mid-market","Professional Services","Client-server"
"Outright , URL: /wiki/Outright
","Software as a service , URL: /wiki/Software_as_a_service
","Yes","Yes","Yes","Entrepreneurs, freelancers, Contractors, Consultants, Small businesses - Low-end market","Bookkeeping , URL: /wiki/Bookkeeping
Taxes , URL: /wiki/Taxes
E-commerce , URL: /wiki/E-commerce
Business Intelligence , URL: /wiki/Business_Intelligence
","Web-based"
"Passport Software , URL: /wiki/Passport_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Yes","Mid- to low-end market","General ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
Accounts payable , URL: /wiki/Accounts_payable
ERP , URL: /wiki/Enterprise_resource_planning
","Stand-alone"
"POS solutions , URL: /wiki/POS_solutions
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Newsagency pharmacy","POS , URL: /wiki/Point_of_sale
","Stand-alone"
"QuickBooks Enterprise Solutions , URL: /wiki/QuickBooks
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Mid-market","Business management, Payroll","Stand-alone"
"QuickBooks Online , URL: /wiki/QuickBooks_Online_Edition
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low-end market","Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management","Web-based"
"QuickBooks Pro/Premier , URL: /wiki/QuickBooks
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Low to mid-market","Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management, fixed asset depreciation","Stand-alone"
"Sage Group , URL: /wiki/Sage_Group
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Accounting Firms","CRM , URL: /wiki/Customer_relationship_management
payroll , URL: /wiki/Payroll
","Stand-alone"
"Sage Accounting , URL: /wiki/Sage_Accounting
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","SME , URL: /wiki/Small_and_medium_enterprises
","Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management","Web-based"
"Sage 50cloud , URL: /wiki/Sage_50cloud
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low-end to High end","Financials , URL: /wiki/Financials
Inventory , URL: /wiki/Inventory
Manufacturing , URL: /wiki/Manufacturing
Job Costing , URL: /wiki/Job_costing
POS , URL: /wiki/Point_of_sale
Procurement , URL: /wiki/Procurement
CRM , URL: /wiki/Customer_relationship_management
Business Intelligence , URL: /wiki/Business_Intelligence
Payroll , URL: /wiki/Payroll
HR , URL: /wiki/Human_resources
","Stand-alone"
"Sage Intacct , URL: /wiki/Sage_Intacct
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","SME , URL: /wiki/Small_and_medium_enterprises
","Accounts Payable, Accounts Receivable, Cash Management, Collaborate, Contract and Subscription Billing, Contract Revenue Management, Fixed Assets, General Ledger, Inventory Management, Multi-Entity and Global Consolidations, Order Management, Project Accounting, Purchasing, Reporting and Dashboards, Sales and Use Tax, Spend Management, Time and Expense Management, Vendor Payment Services","Web-based"
"Sage 300 ERP , URL: /wiki/Sage_300_ERP
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Mid-market","ERP , URL: /wiki/Enterprise_resource_planning
Project , URL: /wiki/Project_accounting
Job costing , URL: /wiki/Job_costing
general ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Inventory control , URL: /wiki/Inventory_management_software
","Stand-alone and Web-based"
"Sage Enterprise Management , URL: /wiki/Sage_Enterprise_Management
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Mid-market","ERP , URL: /wiki/Enterprise_resource_planning
Project , URL: /wiki/Project_accounting
Job costing , URL: /wiki/Job_costing
general ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Inventory control , URL: /wiki/Inventory_management_software
","Stand-alone and Web-based"
"SAP Business ByDesign , URL: /wiki/SAP_Business_ByDesign
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","SME , URL: /wiki/Small_and_medium_enterprises
","ERP , URL: /wiki/Enterprise_resource_planning
Financial Management , URL: /wiki/Financial_management
Supply Chain Management , URL: /wiki/Supply_chain_management
Supplier Relationship Management, Project Management, Human Capital Management , URL: /wiki/Human_Resource_Management
Customer Relationship Management , URL: /wiki/Customer_Relationship_Management
Enterprise Performance Management , URL: /wiki/Enterprise_performance_management
","Web-based"
"SAP Business One , URL: /wiki/SAP_Business_One
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Yes (Server only)[7]","SME , URL: /wiki/Small_and_medium_enterprises
","ERP , URL: /wiki/Enterprise_resource_planning
e-commerce , URL: /wiki/E-commerce
","Stand-alone"
"SAP ERP , URL: /wiki/SAP_ERP
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Midsize to High-end","ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
SCM , URL: /wiki/Supply_chain_management
SRM , URL: /wiki/Supplier_relationship_management
PLM , URL: /wiki/Product_lifecycle_management
e-commerce , URL: /wiki/E-commerce
Business Intelligence , URL: /wiki/Business_Intelligence
","Stand-alone and Web-based"
"Sybiz Vision , URL: /wiki/Sybiz_Software_Pty_Ltd
","Proprietary , URL: /wiki/Proprietary_software
Software as a service , URL: /wiki/Software_as_a_service
","Yes","Yes","Yes","Low- to high-end market","Accounting software , URL: /wiki/Accounting_software
payroll , URL: /wiki/Payroll
project management , URL: /wiki/Project_management_software
job costing , URL: /wiki/Job_costing
inventory management , URL: /wiki/Inventory_management_software
business intelligence , URL: /wiki/Business_Intelligence_software
","Stand-alone, Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable"
"Tally.ERP 9 , URL: /wiki/Tally.ERP_9
","Proprietary , URL: /wiki/Proprietary_software
Software as a service , URL: /wiki/Software_as_a_service
","Yes","Yes","Yes","Low to high-end market","Accounting , URL: /wiki/Accounting
Accounting software , URL: /wiki/Accounting_software
payroll , URL: /wiki/Payroll
inventory management , URL: /wiki/Inventory_management
","Stand-alone, Multi-User/Location, Web Access, Mobile Access"
"TRAVERSE , URL: /wiki/TRAVERSE_(software)
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low to mid-market","ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
SCM , URL: /wiki/Supply_chain_management
Manufacturing , URL: /wiki/Manufacturing
E-commerce , URL: /wiki/E-commerce
Business Intelligence , URL: /wiki/Business_Intelligence
","Stand-alone"
"Wave Accounting , URL: /wiki/Wave_Accounting
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Entrepreneurs, freelancers, contractors, consultants, small businesses – Low-end market)","Accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
","Web-based"
"Xero , URL: /wiki/Xero_(software)
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","SME , URL: /wiki/Small_and_medium_enterprises
","Accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
","Web-based"
"ZipBooks , URL: /wiki/ZipBooks
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low to mid-market","Invoicing, expense tracking, time tracking, credit card processing, bank integration","Web-based"
"Package","License , URL: /wiki/License
","Windows , URL: /wiki/Microsoft_Windows
","OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","Market focus","Type","Structure"
