"Format","Type","License[a]","MKV , URL: /wiki/Matroska
","MP4 , URL: /wiki/MPEG-4_Part_14
","QTFF , URL: /wiki/QuickTime_File_Format
","ASF , URL: /wiki/Advanced_Systems_Format
","AVI , URL: /wiki/Audio_Video_Interleave
","MXF , URL: /wiki/Material_eXchange_Format
","PS , URL: /wiki/MPEG_program_stream
TS , URL: /wiki/MPEG_transport_stream
","M2TS , URL: /wiki/.m2ts
","VOB , URL: /wiki/VOB
","EVO , URL: /wiki/Enhanced_VOB
","3GP , URL: /wiki/3GP_and_3G2
","3G2 , URL: /wiki/3GP_and_3G2
","F4V , URL: /wiki/Flash_Video
","FLV , URL: /wiki/Flash_Video
","Ogg , URL: /wiki/Ogg
","WebM , URL: /wiki/WebM
","RMVB , URL: /wiki/RMVB
","DMF , URL: /wiki/DivX_Media_Format
"
"A-law , URL: /wiki/A-law_algorithm
PCM , URL: /wiki/Pulse-code_modulation
","Not compressed , URL: /wiki/Uncompressed_audio
","Expired patents[102]","ACM , URL: /wiki/Audio_Compression_Manager
","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"μ-law , URL: /wiki/%CE%9C-law_algorithm
PCM , URL: /wiki/Pulse-code_modulation
","Not compressed , URL: /wiki/Uncompressed_audio
","Expired patents[102]","ACM , URL: /wiki/Audio_Compression_Manager
","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"IEEE floating-point , URL: /wiki/IEEE_754
","Not compressed , URL: /wiki/Uncompressed_audio
","Patent-free[ι]","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"ADPCM , URL: /wiki/Adaptive_differential_pulse-code_modulation
","Not compressed , URL: /wiki/Uncompressed_audio
","Proprietary , URL: /wiki/Proprietary_software
","ACM , URL: /wiki/Audio_Compression_Manager
","No","Yes","Yes[47]","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DV , URL: /wiki/DV
","Not compressed , URL: /wiki/Uncompressed_audio
","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","Yes","No","No","Yes[77]","No","No","No","No","No","No","No","No","No","No","No","No"
"AMR , URL: /wiki/Adaptive_Multi-Rate_audio_codec
","Speech , URL: /wiki/Speech_coding
","Patent encumbered","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","AMR-NB, AMR-WB","No","No","No","No","No","No"
"G.728 , URL: /wiki/G.728
","Speech , URL: /wiki/Speech_coding
","Expired patents","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"Speex , URL: /wiki/Speex
","Speech , URL: /wiki/Speech_coding
","Open source[103]","ACM , URL: /wiki/Audio_Compression_Manager
","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"QCELP , URL: /wiki/Qualcomm_code-excited_linear_prediction
","Speech , URL: /wiki/Speech_coding
","Proprietary , URL: /wiki/Proprietary_software
","No","No","Yes","Yes","No","No","No","No","No","No","No","13K","No","No","No","No","No","No"
"Other","Other","Varies","Musepack , URL: /wiki/Musepack
WavPack , URL: /wiki/WavPack
TTA , URL: /wiki/TTA_(codec)
ACM , URL: /wiki/Audio_Compression_Manager
","—","IEEE , URL: /wiki/IEEE_754
floating-point , URL: /wiki/Floating-point_arithmetic
","Microsoft GSM 6.10","G.722 , URL: /wiki/G.722
G.723 , URL: /wiki/G.723
G.726 , URL: /wiki/G.726
G.729a , URL: /wiki/G.729
CVSD , URL: /wiki/Continuously_variable_slope_delta_modulation
ATRAC1 , URL: /wiki/Adaptive_Transform_Acoustic_Coding
","—","—","—","—","—","EVS , URL: /wiki/Enhanced_Voice_Services
","EVRC , URL: /wiki/Enhanced_Variable_Rate_Codec
SMV , URL: /wiki/Selectable_Mode_Vocoder
","—","Asao , URL: /wiki/Asao_(codec)
ADPCM , URL: /wiki/ADPCM
","—","—","Cook Codec , URL: /wiki/Cook_Codec
","—"
"Obsolete","Other","Varies","—","—","MACE 3:1, MACE 6:1","—","Truespeech , URL: /wiki/Truespeech
","—","—","—","—","—","—","—","—","—","CELT","—","—","—"
