"File system","DOS , URL: /wiki/DOS
","Linux , URL: /wiki/Linux
","macOS , URL: /wiki/MacOS
","Windows 9x , URL: /wiki/Windows_9x
","Windows NT , URL: /wiki/Windows_NT
","""classic"" Mac OS , URL: /wiki/%22classic%22_Mac_OS
","FreeBSD , URL: /wiki/FreeBSD
","OS/2 , URL: /wiki/OS/2
","BeOS , URL: /wiki/BeOS
","Minix , URL: /wiki/Minix
","Solaris , URL: /wiki/Solaris_(operating_system)
","z/OS , URL: /wiki/Z/OS
"
"FAT32 , URL: /wiki/FAT32
FAT32X , URL: /wiki/FAT32X
","Yes (from DOS 7.10)","Yes","Yes","Windows 95 OSR2 , URL: /wiki/Windows_95_OSR2
","Windows 2000 , URL: /wiki/Windows_2000
","Yes?","Yes","Yes","Yes","No","Yes","?"
"GFS , URL: /wiki/Global_File_System
","No","Yes","?","No","No","No","No","?","?","?","?","?"
"HPFS , URL: /wiki/High_Performance_File_System
","Partial (with third-party drivers)","Yes","?","No","NT 3.1 , URL: /wiki/Windows_NT_3.1
4.0 , URL: /wiki/Windows_NT_4
","?","Yes","OS/2 1.2 , URL: /wiki/OS/2_1.2
","?","No","?","?"
"NTFS , URL: /wiki/NTFS
","Partial (with third-party drivers)","ntfs-3g , URL: /wiki/Ntfs-3g
","Paragon NTFS , URL: /w/index.php?title=Paragon_NTFS&action=edit&redlink=1
ntfs-3g , URL: /wiki/Ntfs-3g
","Paragon NTFS for Win98 , URL: /w/index.php?title=Paragon_NTFS_for_Win98&action=edit&redlink=1
DiskInternals NTFS Reader , URL: /w/index.php?title=DiskInternals_NTFS_Reader&action=edit&redlink=1
","Yes","No","ntfs-3g , URL: /wiki/Ntfs-3g
","?","ntfs-3g , URL: /wiki/Ntfs-3g
","No","ntfs-3g , URL: /wiki/Ntfs-3g
","?"
"HFS , URL: /wiki/Hierarchical_File_System
","No","Yes","No write support since Mac OS X 10.6 and no support at all since macOS 10.15","No","Yes with Paragon HFS+ [86]","Yes","No","?","Yes","No","?","No"
"HFS Plus , URL: /wiki/HFS_Plus
","No","Partial - writing support only to unjournalled FS","Yes","No","Yes with Paragon HFS+ [86]","Mac OS 8.1 , URL: /wiki/Mac_OS_8.1
","No","?","with addon","No","?","No"
"FFS , URL: /wiki/Berkeley_Fast_File_System
","No","?","Yes","No","?","?","Yes","?","?","?","?","?"
"UFS1 , URL: /wiki/UFS1_(file_system)
","No","Partial - read only","Yes","No","ufs2tools , URL: /w/index.php?title=Ufs2tools&action=edit&redlink=1
","?","Yes","No","?","?","Yes","?"
"UFS2 , URL: /wiki/UFS2_(file_system)
","No","Yes","Yes","No","ufs2tools , URL: /w/index.php?title=Ufs2tools&action=edit&redlink=1
","?","Yes","No","?","?","?","?"
"LFS , URL: /wiki/Log-structured_File_System_(BSD)
","No","?","?","No","No","?","No","No","?","?","?","?"
"ext , URL: /wiki/Extended_file_system
","No","Yes - until 2.1.20","No","No","No","No","No","No","No","No","No","No"
"Xiafs , URL: /wiki/Xiafs
","No","Yes - until 2.1.20 Experimental port available to 2.6.32 and later [87][88]","No","No","No","No","No","No","No","No","No","No"
"ext2 , URL: /wiki/Ext2
","No","Yes","ext2fsx , URL: /w/index.php?title=Ext2fsx&action=edit&redlink=1
","Partial (read-only, with explore2fs)[90]","Yes with Paragon ExtFS [91] or partial with Ext2 IFS[92] or ext2fsd[93]","No","Yes","No","Yes","?","?","?"
"ext3 , URL: /wiki/Ext3
","No","Yes","ext2fsx , URL: /w/index.php?title=Ext2fsx&action=edit&redlink=1
","Partial (read-only, with explore2fs)[90]","Yes with Paragon ExtFS [91] or partial with Ext2 IFS[92] or ext2fsd[93]","Partial (read only)[citation needed]","Yes[94]","No","with addon","?","Yes","?"
"ext4 , URL: /wiki/Ext4
","No","Yes","Yes with Paragon ExtFS [89]","No","Yes with Paragon ExtFS [91] or partial with Ext2 IFS[92] or ext2fsd[93]","?","Yes since FreeBSD 12.0[94]","No","with addon","?","?","?"
"NOVA , URL: /wiki/NOVA_(filesystem)
","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Lustre , URL: /wiki/Lustre_(file_system)
","No","Yes[95]","?","No","No","?","No","?","?","?","Yes","?"
"NILFS , URL: /wiki/NILFS
","No","Yes as an external kernel module","?","No","?","?","No","?","?","?","?","?"
"F2FS , URL: /wiki/F2FS
","No","Yes","No","No","No","No","No","No","No","No","No","No"
"ReiserFS , URL: /wiki/ReiserFS
","No","Yes","?","No","No","?","Partial - Read Only from 6.0 to 10.x[96] and dropped in 11.0[97][98]","?","with addon","?","?","?"
"Reiser4 , URL: /wiki/Reiser4
","No","Yes with a kernel patch","?","No","No","?","No","?","?","?","?","?"
"SpadFS","No","Yes","No","No","No","No","?","No","No","No","No","No"
"OCFS , URL: /wiki/OCFS
","No","Yes","?","No","No","?","No","No","?","?","?","?"
"OCFS2 , URL: /wiki/OCFS2
","No","Yes","?","No","No","?","No","No","?","?","?","?"
"XFS , URL: /wiki/XFS
","No","Yes","?","No","No","?","Partial","?","with addon (read only)","?","?","?"
"JFS , URL: /wiki/JFS_(file_system)
","No","Yes","?","No","No","?","No","Yes","?","?","?","?"
"QFS , URL: /wiki/QFS
","No","Partial - client only[99]","?","No","No","?","No","No","?","?","Yes","?"
"Be File System , URL: /wiki/Be_File_System
","No","Partial - read-only","?","No","No","?","No","No","Yes","?","?","?"
"NSS , URL: /wiki/Novell_Storage_Services
","No","Yes via EVMS[cr]","?","No","No","?","No","No","?","?","?","?"
"NWFS , URL: /wiki/NetWare_File_System
","Partial (with Novell drivers)","?","?","No","No","?","Yes","No","?","?","?","?"
"ODS-2 , URL: /wiki/ODS-2
","No","?","?","No","No","?","No","No","?","?","?","?"
"ODS-5 , URL: /wiki/ODS-5
","No","?","?","No","No","?","No","No","?","?","?","?"
"UDF , URL: /wiki/Universal_Disk_Format
","No","Yes","Yes","?","Yes","?","Yes","?","?","?","Yes","?"
"VxFS , URL: /wiki/Veritas_File_System
","No","Yes","?","No","No","?","No","No","?","?","Yes","?"
"Fossil , URL: /wiki/Fossil_(file_system)
","No","Yes[cs]","Yes[cs]","No","No","No","Yes[cs]","No","No","No","Yes[cs]","?"
"ZFS , URL: /wiki/ZFS
","No","FUSE , URL: /wiki/Filesystem_in_Userspace
","Yes with Read/Write Developer Preview[102]","No","Yes[103]","No","Yes","No","No","No","Yes","No"
"Btrfs , URL: /wiki/Btrfs
","No","Yes","?","No","Yes with WinBtrfs[104]","?","?","?","?","?","?","?"
"VMFS2 , URL: /wiki/VMFS2
","No","?","?","No","No","?","No","No","?","?","?","?"
"VMFS3 , URL: /wiki/VMFS3
","No","?","?","No","No","?","No","No","?","?","?","?"
"IBM HFS , URL: /wiki/IBM_HFS
","No","No","No","No","No","No","No","No","No","No","No","Yes"
"IBM zFS , URL: /wiki/IBM_zFS
","No","No","No","No","No","No","No","No","No","No","No","Yes"
"ReFS , URL: /wiki/ReFS
","No","Partial - with Paragon ReFS for Linux","?","No","Windows Server 2012 , URL: /wiki/Windows_Server_2012
Windows 8.1 , URL: /wiki/Windows_8.1
","?","?","?","?","?","?","?"
"ISO 9660 , URL: /wiki/ISO_9660
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rock Ridge , URL: /wiki/Rock_Ridge
","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","?"
"Joliet (""CDFS"") , URL: /wiki/Joliet_(file_system)
","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?"
"SquashFS , URL: /wiki/SquashFS
","No","Yes","Partial (There are ports of unsquashfs and mksquashfs.)","No","Partial (There are ports of unsquashfs and mksquashfs.)","No","Partial (There are ports of unsquashfs and mksquashfs and fusefs-port.[105][106])","No","No","No","No","No"
"BlueStore/Cephfs , URL: /wiki/Ceph_(software)
","No","Yes","No[ct]","No","No[cu]","No","No[ct]","No","No","No","No","No"
"File system","DOS , URL: /wiki/DOS
","Linux , URL: /wiki/Linux
","macOS , URL: /wiki/MacOS
","Windows 9x , URL: /wiki/Windows_9x
","Windows NT , URL: /wiki/Windows_NT
","""classic"" Mac OS , URL: /wiki/%22classic%22_Mac_OS
","FreeBSD , URL: /wiki/FreeBSD
","OS/2 , URL: /wiki/OS/2
","BeOS , URL: /wiki/BeOS
","Minix , URL: /wiki/Minix
","Solaris , URL: /wiki/Solaris_(operating_system)
","z/OS , URL: /wiki/Z/OS
"
