"IRC Bot","Primary developers , URL: /wiki/Software_developer
","Software license , URL: /wiki/Software_license
","Operating system , URL: /wiki/Operating_system
","Programming language , URL: /wiki/Programming_language
","First public release - date (version)","Latest version - date (version)","Notable features","Function scope","Website , URL: /wiki/Website
"
"pmxbot","YouGov, Jamie Turner, Chris Mulligan","MIT","Unix-like","Python 3","?","?","Designed to be extensible for a work IRC network","conversation, search, games","[36] , URL: https://github.com/yougov/pmxbot
"
"Ruby-rbot","ruby-rbot","GPL","Unix-like","Ruby , URL: /wiki/Ruby_(programming_language)
","?","?","flexible plugin system","Twitter & RSS feeds, searches, games","[37] , URL: http://ruby-rbot.org/
"
"Rubybot","umby24","GPL-3.0 , URL: /wiki/GPL
","Cross-platform","Ruby","?","2013-10-30 (4.2)","Simple, yet easily extensible.","usermanagement","[38] , URL: https://github.com/umby24/Rubybot
"
"Schongo","Selig, Posiden, Wil","?","Cross-platform","Python 3","?","?","Focus on simplicity, highly extandable module system, rapid development cycle","internet searches","[39] , URL: https://github.com/DarkDna/Schongo
"
"Shocky","Shockah, clone1018","GPL-2.0 , URL: /wiki/GPL
","Cross-platform","Java","?","?","A Very advanced Java irc bot, that supports all kinds of stuff","user management, factoids, games, karma system","[40] , URL: https://github.com/Shockah/Shocky3
"
"sircbot","Alpine Linux , URL: /wiki/Alpine_Linux
","GPL-2.0 , URL: /wiki/GPL
","Unix-like","C (Lua scriptable)","?","2011-12-15","Simple IRC bot for shell and lua scripts","?","git , URL: https://git.alpinelinux.org/hosted/sircbot/
wiki , URL: http://wiki.alpinelinux.org/wiki/Sircbot
"
"Sopel","dgw, Elsie Powell, Dimitri Molenaars, Elad Alfassa, Ari Koivula","EFLv2 , URL: /wiki/Eiffel_Forum_License
","Cross-platform","Python","2012-07-15 (3.0.0)","2020-08-04 (7.0.6)","SSL, (un)loading of plugins at runtime, threaded, user/channel/plugin settings database, Python 3 support. (Formerly Willie; based originally on phenny)","Twitter & other feeds, internet searches, meetingbot, link information","[41] , URL: https://sopel.chat/
"
"Tennu","Havvy (Ryan Scheel)","ISC","Cross-platform , URL: /wiki/Cross-platform
","Javascript","2012-03-08 (1.0.0)","2016-06-22 (4.9.0)","Node.js, Plugin architecture, Promise driven","user management","[42] , URL: https://tennu.github.io/
"
"Ultros","gdude2002 and rakiru","Artistic License 2.0 , URL: /wiki/Artistic_License_2.0
","Cross-platform","Python2","2013-04-08 (Git)","see commits , URL: https://github.com/UltrosBot/Ultros/commits/master
","Python IRC bot with an extensible plugin and protocol system, and a package manager. Also supports mumble.","internet searches, games","git , URL: https://github.com/UltrosBot/Ultros
site , URL: https://ultros.io
"
"VikingBot","Tor Henning Ueland","GPL-3.0 , URL: /wiki/GPL
","Unix-like","PHP","?","2013-10-09","Simple PHP based IRC bot with support for secure IRC servers and plugin support","bot stats","[43] , URL: https://github.com/Ueland/VikingBot
"
"Yauib","Julien Palard","Simplified BSD , URL: /wiki/BSD_licenses
","Cross-platform","Python","2011-03-22","?","Plugins can be written in any language","takes all pubmsg and priv and tries to match the first word as a command to a directory with exec files and the rest as parameters","[44] , URL: https://github.com/julienpalard/yauib
"
