"Database Name","ACID , URL: /wiki/ACID
","Referential integrity , URL: /wiki/Referential_integrity
","Transactions , URL: /wiki/Database_transaction
","locking , URL: /wiki/Lock_(computer_science)
","Multiversion concurrency control , URL: /wiki/Multiversion_concurrency_control
","Unicode , URL: /wiki/Unicode
","Interface","Type inference , URL: /wiki/Type_inference
"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Oracle , URL: /wiki/Oracle_Database
","Yes","Yes","DDL , URL: /wiki/Data_Definition_Language
","Yes (Row-level locking)[57]","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Oracle Rdb , URL: /wiki/Oracle_Rdb
","Yes","Yes","Yes","?","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"Pervasive PSQL , URL: /wiki/Pervasive_PSQL
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Polyhedra DBMS , URL: /wiki/Polyhedra_DBMS
","Yes","Yes","Yes","Yes (optimistic and pessimistic cell-level locking)[58]","?","Yes","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"PostgreSQL , URL: /wiki/PostgreSQL
","Yes","Yes","Yes","Yes (Row-level locking)[59]","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","No[60]"
"Raima Database Manager , URL: /wiki/Raima_Database_Manager
","Yes","Yes","Yes","?","Yes","Yes","SQL , URL: /wiki/SQL
API , URL: /wiki/API
","Yes"
"RDM Server , URL: /wiki/RDM_Server
","Yes","Yes","Yes","?","?","Yes","SQL , URL: /wiki/SQL
API , URL: /wiki/API
","Yes"
"SAP HANA , URL: /wiki/SAP_HANA
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"solidDB , URL: /wiki/SolidDB
","Yes","Yes","Yes","Yes (Row-level locking)","?","Yes","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"SQL Anywhere , URL: /wiki/SQL_Anywhere
","Yes","Yes","Yes","Yes (Row-level locking)[61]","Yes[62]","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
HTTP(S) , URL: /wiki/HTTP
SQL , URL: /wiki/SQL
","Yes"
"SQLBase , URL: /wiki/SQLBase
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"SQLite , URL: /wiki/SQLite
","Yes","Yes","Yes","No (Database-level locking)[64]","No","Optional[65]","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"Superbase NG , URL: /wiki/Superbase_database
","?","?","?","Yes (Record-level locking)","?","Yes","GUI , URL: /wiki/GUI
Propietary , URL: /w/index.php?title=Propietary&action=edit&redlink=1
ODBC , URL: /wiki/ODBC
","Yes"
"Teradata , URL: /wiki/Teradata
","Yes","Yes","Yes","Yes (Hash and Partition)","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"Tibero , URL: /wiki/Tibero
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"UniData , URL: /wiki/UniData
","Yes","No","Yes","?","?","Yes","Multiple","Yes"
"UniVerse , URL: /wiki/UniVerse
","Yes","No","Yes","?","?","Yes","Multiple","Yes"
"Database Name","ACID , URL: /wiki/ACID
","Referential integrity , URL: /wiki/Referential_integrity
","Transactions , URL: /wiki/Database_transaction
","locking , URL: /wiki/Lock_(computer_science)
","Multiversion concurrency control , URL: /wiki/Multiversion_concurrency_control
","Unicode , URL: /wiki/Unicode
","Interface","Type inference , URL: /wiki/Type_inference
"
