"S No.","Name","Operator","Manufacturer","Max range","Missile mass","Warhead/payload[clarification needed]","Status","First flight","MIRV , URL: /wiki/Multiple_independently_targetable_reentry_vehicle
","Mobility","CEP , URL: /wiki/Circular_error_probable
"
"12","R-29RMU Sineva , URL: /wiki/R-29RMU_Sineva
","Russia","Krasnoyarsk Machine-Building Plant , URL: /wiki/Krasnoyarsk_Machine-Building_Plant
","11,547 km","40,300 kg","N/A","Active","2004","Yes (6)","Delta IV Submarine","N/A"
"13","R-29RMU2 Layner , URL: /wiki/R-29RMU2_Layner
","Russia","Krasnoyarsk Machine-Building Plant , URL: /wiki/Krasnoyarsk_Machine-Building_Plant
","11,000 km+","40,000 kg","N/A","Active","2011","Yes (12)","Delta IV Submarine","N/A"
"14","RSM-56 Bulava , URL: /wiki/RSM-56_Bulava
","Russia","Votkinsk Plant State Production Association","10,000 km","36,800 kg","6 x 150 kt","Active","2005","Yes","Borei class submarine , URL: /wiki/Borei_class_submarine
","200 m"
"15","R-7 Semyorka , URL: /wiki/R-7_Semyorka
","USSR","Soviet Academy of Sciences , URL: /wiki/Soviet_Academy_of_Sciences
","12,000 km","280,000 kg","2.9 Mt of TNT","Inactive","1959","No","Launch pad","5,000 m"
"16","R-16 , URL: /wiki/R-16_(missile)
","USSR","Khartron , URL: /wiki/Khartron
","11,000 km","141,000 kg","5 Mt","Inactive","1961","No","Silo","2,700 m"
"17","R-9 Desna , URL: /wiki/R-9_Desna
","USSR","NPO Energomash , URL: /wiki/NPO_Energomash
","11,000 km","N/A","2.3 Mt","Inactive","1961","No","Silo","2,000 m"
"18","UR-100 , URL: /wiki/UR-100_(missile)
","USSR","Khrunichev Machine-Building Plant","10,600 km","41,400 kg","1 Mt","Inactive","1966","No","Silo","N/A"
"19","RT-2 , URL: /wiki/RT-2
","USSR","","10,186 km","34,000 kg","600 kt","Inactive","1968","No","Silo",""
"20","MR-UR-100 Sotka , URL: /wiki/MR-UR-100_Sotka
","USSR","Yuzhny Machine-Building Plant","10,250 km","71,200 kg","4×0.4 Mt","Inactive","1971","Yes","Silo",""
"21","RT-23 Molodets , URL: /wiki/RT-23_Molodets
","USSR","Yuzhnoye Design Bureau , URL: /wiki/Yuzhnoye_Design_Bureau
","10,450 km","104,500 kg","10 x 550 kT","Inactive","1986","Yes (10)","Silo, Railroad","150–250 m"
"22","R-29 , URL: /wiki/R-29_Vysota
","USSR","State Rocket Center Makayev","7,700 km","","","Inactive","1969","No","Delta I submarine , URL: /wiki/Delta_I_class_submarine
",""
"23","R-39 Rif , URL: /wiki/R-39_(missile)
","USSR","Zlatoust Machine-Building Plant","8,300 km","84,000 kg","10 x 100–200 kT","Inactive","1983","Yes","Typhoon class submarine , URL: /wiki/Typhoon_class_submarine
","N/A"
"24","Minuteman III , URL: /wiki/Minuteman_III
","US","Boeing , URL: /wiki/Boeing
","13,000 km","35,300 kg","3 x 300 kt of TNT","Active","1970","Yes","Silo","200 m"
"25","Trident , URL: /wiki/UGM-96_Trident_I
","US","Lockheed Martin Space Systems , URL: /wiki/Lockheed_Martin_Space_Systems
","7,400 km","33,142 kg","8 x 100 kt","Inactive","1977","Yes","Ohio-class submarine , URL: /wiki/Ohio-class_submarine
","380 m <"
"26","Atlas , URL: /wiki/SM-65_Atlas
","US","Consolidated Vultee Aircraft (Convair)","14,500 km","","","Inactive","1959","No","",""
"27","Titan I , URL: /wiki/HGM-25A_Titan_I
","US","Glenn L. Martin Company , URL: /wiki/Glenn_L._Martin_Company
","10,200 km","105,140 kg","3.75 Mt","Inactive","1959","No","Silo",""
"28","Titan II , URL: /wiki/LGM-25C_Titan_II
","US","Glenn L. Martin Company","15,000 km","154,000 kg","9 Mt","Inactive","1962","No","Silo",""
"29","Minuteman I , URL: /wiki/Minuteman_I
","US","Boeing","","","1.2 Mt","Inactive","1961","No","Silo","200 m"
"30","Minuteman II , URL: /wiki/Minuteman_II
","US","Boeing","","","1.2 Mt","Inactive","1965","No","Silo",""
"31","LGM-118 Peacekeeper , URL: /wiki/LGM-118_Peacekeeper
","US","Boeing , URL: /wiki/Boeing
Martin Marietta , URL: /wiki/Martin_Marietta
TRW , URL: /wiki/TRW_Inc.
","14,000 km","96,750 kg","10 x 300 kt","Inactive","1983","Yes","Silo","120 m"
"32","Midgetman , URL: /wiki/MGM-134_Midgetman
","US","Martin Marietta , URL: /wiki/Martin_Marietta
","11,000 km","13,600 kg","475 kT","Inactive","1992","No","Small ICBM Hard Mobile Launcher , URL: /wiki/Small_ICBM_Hard_Mobile_Launcher
","90 m"
"33","Trident II , URL: /wiki/UGM-133_Trident_II
","United Kingdom and United States","Lockheed Martin Space Systems , URL: /wiki/Lockheed_Martin_Space_Systems
","11,300 km+","58,500 kg","8 x 475 kt or 12 c 100 kt","Active","1987","Yes","Vanguard-class , URL: /wiki/Vanguard-class_submarine
submarines , URL: /wiki/Submarine
","90–120 m"
"34","M4 , URL: /wiki/M4_(missile)
","France , URL: /wiki/France
","EADS SPACE Transportation , URL: /wiki/EADS_SPACE_Transportation
","5,000 km","36,000 kg","6 x 150 kt","Inactive","1985","Yes","Le Redoutable class submarine , URL: /wiki/Redoutable-class_submarine_(1967)
",""
"35","M45 , URL: /wiki/M45_(missile)
","France","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
EADS SPACE Transportation , URL: /wiki/EADS_SPACE_Transportation
","6,000 km","35,000 kg","6 x 110 kt TNT","Active","1986","Yes","Triomphant class submarine , URL: /wiki/Triomphant_class_submarine
","350 m"
"36","M51.1 , URL: /wiki/M51_(missile)
","France","EADS Astrium Space Transportation , URL: /wiki/EADS_Astrium_Space_Transportation
","10,000 km (or more)","52,000 kg","6 to 10 x 100 kt of TNT","Active","2006","Yes","Triomphant class submarine",""
"37","M51.2 , URL: /wiki/M51_(missile)
","France","EADS Astrium Space Transportation , URL: /wiki/EADS_Astrium_Space_Transportation
","10,000 km (or more)","52,000 kg","Tête nucléaire océanique , URL: /wiki/T%C3%AAte_nucl%C3%A9aire_oc%C3%A9anique
","Under Development","","Yes","Triomphant class submarine",""
"38","DF-5 , URL: /wiki/DF-5
","China , URL: /wiki/China
","China Academy of Launch Vehicle Technology , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","12,000 km","183,000 kg","5 Mt","Active","1971","No","","1,000 m"
"39","DF-5 , URL: /wiki/DF-5
","China","China Academy of Launch Vehicle Technology , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","15,000 km","183,000 kg","4 Mt","Active","1983","Yes (Speculated)","Silo","1,000 m"
"40","DF-5B , URL: /wiki/DF-5#MIRV_Upgrades
","China","China Academy of Launch Vehicle Technology , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","15,000 km","183,000 kg","3 to 8","Active","2015","Yes","Silo",""
"41","DF-4 , URL: /wiki/DF-4
","China","Factory 211 (Capital Astronautics Co.)","7,000 km","82,000 kg","3.3 Mt","Active","1975","Yes (Speculated)","Silo","1,500 m"
"42","DF-31 , URL: /wiki/DF-31
","China","Academy of Rocket Motors Technology (ARMT)","8,000 km","42,000 kg","1 Mt","Active","1999 (Reported)","No","Road-mobile TEL",""
"43","DF-31A , URL: /wiki/DF-31A
","China","Academy of Rocket Motors Technology (ARMT)","12,000 km","42,000 kg","3[clarification needed]","Active","","Yes","Road-mobile TEL",""
"44","DF-41 , URL: /wiki/DF-41
","China","China Academy of Launch Vehicle Technology , URL: /wiki/China_Academy_of_Launch_Vehicle_Technology
","12,000 km","","10[clarification needed]","Active","2012[7]","Yes","Road-mobile TEL",""
"45","JL-2 , URL: /wiki/JL-2
","China","Factory 307 (Nanjing Dawn Group)","12,000 km","42,000 kg","3-6","Active","2001 (Believed)","Yes","Type 094 Jin class submarine , URL: /wiki/Type_094_submarine
",""
"46","Agni-V , URL: /wiki/Agni-V
","India , URL: /wiki/India
","Defence Research and Development Organisation , URL: /wiki/Defence_Research_and_Development_Organization
","5,500 – 8,000 km","50,000 kg","3-6","Active","2012","Yes","TEL , URL: /wiki/Transporter_erector_launcher
","<10 m (single digit accuracy) [8]"
"47","Agni-VI , URL: /wiki/Agni-VI
","India , URL: /wiki/India
","Defence Research and Development Organisation , URL: /wiki/Defence_Research_and_Development_Organization
","11,000 – 12,000 km","55,000 - 70,000 kg","10","Under development","2022","Yes","TEL , URL: /wiki/Transporter_erector_launcher
","<10 m (single digit accuracy) [9]"
"48","Surya , URL: /wiki/Surya_missile
","India , URL: /wiki/India
","Defence Research and Development Organisation , URL: /wiki/Defence_Research_and_Development_Organization
","12,000 – 16,000 km","55,000 - 70,000 kg","10-15","Project existence unknown","2026","Yes","TEL , URL: /wiki/Transporter_erector_launcher
","<15 m (single digit accuracy)"
"49","KN-08 , URL: /wiki/KN-08
","North Korea , URL: /wiki/North_Korea
","","1,500 – 12,000 km (Speculated)[10]","","","Inactive (Reportedly)[11]","2012","No","Silo",""
"50","Hwasong-14 , URL: /wiki/Hwasong-14
","North Korea , URL: /wiki/North_Korea
","","6,700 – 10,000 km [12][13][14][15][16][17][18]","33,800 kg[19]","500 kg[20]","Under development","2017","No","Road-mobile TEL","N/A"
"51","Hwasong-15 , URL: /wiki/Hwasong-15
","North Korea , URL: /wiki/North_Korea
","","13,000 km [21]","72,000 kg[22]","1,000 kg[23]","Under development","2017","Maybe[24][25][26][27]","Road-mobile TEL","N/A"
"52","Jericho III , URL: /wiki/Jericho_III
","Israel , URL: /wiki/Israel
","Israel Aerospace Industries , URL: /wiki/Israel_Aerospace_Industries
","4,800 – 11,500 km (Speculated)","30,000 kg","750 kg single or MIRVed (Suspected)[28]","Active (Suspected)","2008","Yes","Road-mobile TEL","N/A [Note 3]"
"53","Ground Based Strategic Deterrent , URL: /wiki/Ground_Based_Strategic_Deterrent
","United States , URL: /wiki/United_States
","Boeing , URL: /wiki/Boeing
Northrop Grumman , URL: /wiki/Northrop_Grumman
","","","","Under Development","","Yes","Silo",""
