"Name","IP SLA Reports","Logical Grouping","Trending","Trend Prediction","Auto Discovery","Agentless","SNMP , URL: /wiki/Simple_Network_Management_Protocol
","Syslog , URL: /wiki/Syslog
","Plugins","Triggers / Alerts","MIB , URL: /wiki/Management_information_base
","WebApp , URL: /wiki/Web_application
","Distributed Monitoring","Inventory","Platform","Data Storage Method","License","Maps , URL: /wiki/Network_mapping
","Access Control","IPv6 , URL: /wiki/IPv6
","Latest release date","Latest release version","Integrates with BigPanda"
"Nagios , URL: /wiki/Nagios
","Via plugin","Yes","Yes","No","Via plugin","Yes","Via plugin","Via plugin","Yes","Yes","No","Yes","Yes","Via plugin","C , URL: /wiki/C_(programming_language)
","Flat file , URL: /wiki/Flat_file
SQL , URL: /wiki/SQL
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes[3]","2020-04-28","4.4.6[4]","Yes"
"NeDi , URL: /wiki/NeDi
","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Perl , URL: /wiki/Perl
PHP , URL: /wiki/PHP
","Pg , URL: /wiki/PostgreSQL
MySQL , URL: /wiki/MySQL
RRDTool , URL: /wiki/RRDTool
MariaDB , URL: /wiki/MariaDB
","GPL3, Commercial","Yes","Yes","Yes","2016-04","1.6[5]","Yes"
"Netdisco , URL: /wiki/Netdisco
","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Perl , URL: /wiki/Perl
","PostgreSQL , URL: /wiki/PostgreSQL
","BSD , URL: /wiki/BSD_licenses
","Yes","Yes","Yes","2021-02","2.047005[6]","Yes"
"NetXMS , URL: /wiki/NetXMS
","Unknown","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C , URL: /wiki/C_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","PostgreSQL , URL: /wiki/PostgreSQL
PostgreSQL , URL: /wiki/PostgreSQL
MariaDB , URL: /wiki/MariaDB
MySQL , URL: /wiki/MySQL
MS SQL , URL: /wiki/MS_SQL
Oracle , URL: /wiki/Oracle_Database
SQLite , URL: /wiki/SQLite
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","2021-02-17","3.8.120","Yes"
"NeuralStar , URL: /wiki/Kratos_Defense_%26_Security_Solutions
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Unknown","MS SQL , URL: /wiki/MS_SQL
","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"Octopussy , URL: /wiki/Octopussy_(software)
","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Full control","No","Yes","Perl , URL: /wiki/Perl
ASP , URL: /wiki/Active_Server_Pages
","MySQL , URL: /wiki/MySQL
","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","Yes","No","2017-06-03","1.0.16","Yes"
"op5 Monitor , URL: /wiki/Op5_Monitor
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Via plugin","C , URL: /wiki/C_(programming_language)
PHP , URL: /wiki/PHP
","Flat file , URL: /wiki/Flat_file
SQL , URL: /wiki/SQL
","Limited free, Commercial","Yes","Yes","Yes","Monthly","7.3.0","Yes"
"OpenKBM , URL: /wiki/OpenKBM
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Unknown","Proprietary with JDBC support","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"OpenNMS , URL: /wiki/OpenNMS
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Full Control","Yes","Yes","Java , URL: /wiki/Java_(programming_language)
","RRDTool , URL: /wiki/RRDTool
Apache Cassandra , URL: /wiki/Apache_Cassandra
PostgreSQL , URL: /wiki/PostgreSQL
","AGPLv3 , URL: /wiki/Affero_General_Public_License
","Yes","Yes","Yes","2021-05-11","27.2.0","Yes"
"Openview , URL: /wiki/Openview
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Via integration","Yes","Yes","No","Full Control","Yes","Yes","C++ , URL: /wiki/C%2B%2B
Java , URL: /wiki/Java_(programming_language)
Perl , URL: /wiki/Perl
","PostgreSQL , URL: /wiki/PostgreSQL
Oracle Database , URL: /wiki/Oracle_Database
","Commercial","Yes","Yes","Yes","2020-12-24","2020.11","Yes"
"OPNET's AppResponse Xpert , URL: /wiki/OPNET
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Viewing, Acknowledging, Reporting","Yes","No","Unknown","Unknown","Commercial","Yes","Yes","Unknown","Unknown","Unknown","Yes"
"OSI NetExpert , URL: /wiki/Objective_Systems_Integrators
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Java , URL: /wiki/Java_(programming_language)
C++ , URL: /wiki/C%2B%2B
","Oracle , URL: /wiki/Oracle_database
","Commercial","Yes","Yes","Yes","2013-04","10.0","Yes"
"PacketTrap , URL: /wiki/PacketTrap
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Viewing, Reporting","Yes","Yes","Unknown","SQL , URL: /wiki/SQL
","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"Pandora FMS , URL: /wiki/Pandora_FMS
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Perl , URL: /wiki/Perl
PHP , URL: /wiki/PHP
C++ , URL: /wiki/C%2B%2B
JavaScript , URL: /wiki/JavaScript
","MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_database
","GPLv2 , URL: /wiki/GPL#Version_2
","Yes","Yes","Yes","2017-07","7.0 NG 707","Yes"
"Performance Co-Pilot , URL: /wiki/Performance_Co-Pilot
","No","Yes","Yes","No","Yes","Optional, Limited","Yes","Yes","Yes","Yes","No","Viewing","Yes","Yes","C , URL: /wiki/C_(programming_language)
Perl , URL: /wiki/Perl
Python , URL: /wiki/Python_(programming_language)
POSIX , URL: /wiki/POSIX
MinGW , URL: /wiki/MinGW
","Flat file , URL: /wiki/Flat_file
","GPL , URL: /wiki/GNU_General_Public_License
LGPL , URL: /wiki/GNU_Lesser_General_Public_License
","No","Yes","Yes","2016-11-15","3.11.6","Yes"
"PRTG , URL: /wiki/PRTG_Network_Monitor
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Windows","Flat file , URL: /wiki/Flat_file
","Limited free, Commercial","Yes","Yes","Yes","2020-11-24","20.4.64","Yes"
"ScienceLogic , URL: /wiki/ScienceLogic
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Python , URL: /wiki/Python_(programming_language)
","MySQL , URL: /wiki/MySQL
","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"SevOne , URL: /wiki/SevOne
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
PHP , URL: /wiki/PHP
","MySQL , URL: /wiki/MySQL
","Commercial","Yes","Yes","Yes","2018-09","5.7.2.4[7]","Yes"
"Shinken , URL: /wiki/Shinken_(software)
","Via plugin","Yes","Yes","No","Yes","Yes","Via plugin","Via plugin","Yes","Yes","No","Viewing, Acknowledging, Reporting","Yes","Via plugin","Python , URL: /wiki/Python_(programming_language)
","Flat file , URL: /wiki/Flat_file
MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_Database
Graphite , URL: /wiki/Graphite_(software)
Sqlite , URL: /wiki/Sqlite
MongoDB , URL: /wiki/MongoDB
","AGPL , URL: /wiki/Affero_General_Public_License
","Yes","Yes","Yes","2016-03-10","2.4.3","Yes"
"SolarWinds , URL: /wiki/SolarWinds
","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes",".NET , URL: /wiki/.NET_Framework
","SQL , URL: /wiki/SQL
","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"Spiceworks , URL: /wiki/Spiceworks
","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","PHP , URL: /wiki/PHP
","Sqlite , URL: /wiki/Sqlite
","Unknown","Yes","Unknown","Unknown","2018-03-21","7.5.00107","Yes"
"CA Spectrum , URL: https://de.wikipedia.org/wiki/Spectrum_Enterprise_Manager
","Yes","Yes","Perf. AddOn","Perf. AddOn","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++ , URL: /wiki/C%2B%2B
Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
","Sleepycat , URL: /wiki/Sleepycat
MySQL , URL: /wiki/MySQL
","Commercial, per Device","Yes","Yes","Yes","2020-06-29","20.2","Yes"
"Xymon/Hobbit , URL: /wiki/Xymon
","Yes","Yes","Yes","No","Via plugin","Via plugin","Via plugin","No","Yes","Yes","No","Viewing, Acknowledging, Reporting","Yes","Via plugin","C , URL: /wiki/C_(programming_language)
","Flat file , URL: /wiki/Flat_file
RRDTool , URL: /wiki/RRDTool
MySQL , URL: /wiki/MySQL
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Via plugin","Apache ACL","No","2019-09-05","4.3.30","Yes"
"Vigilo NMS , URL: /wiki/Vigilo_NMS
","Yes (NMS and NOC editions)","Yes","Yes","Yes via integration","Yes via integration","Yes","Yes","Prelude SIEM , URL: /wiki/Prelude_SIEM
","Yes","Yes","No","Viewing, Acknowledging, Reporting","Yes (NMS and NOC editions)","GLPI , URL: /wiki/GLPI
","Python , URL: /wiki/Python_(programming_language)
Perl , URL: /wiki/Perl_(programming_language)
","PostgreSQL , URL: /wiki/PostgreSQL
RRDtool , URL: /wiki/RRDtool
","GPLv2 , URL: /wiki/GPL#Version_2
","Yes (NMS and NOC editions)","Yes (NMS and NOC editions)","Via plugin","2017-09-14","4.1.0","Yes"
"Zabbix , URL: /wiki/Zabbix
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","C , URL: /wiki/C_(programming_language)
PHP , URL: /wiki/PHP
","Oracle , URL: /wiki/Oracle_Database
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
IBM DB2 , URL: /wiki/IBM_DB2
SQLite , URL: /wiki/SQLite
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","2022-03-01","6.0.1[8]","Yes"
"Zenoss Core , URL: /wiki/Zenoss_Core
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Python , URL: /wiki/Python_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","ZODB , URL: /wiki/ZODB
MariaDB , URL: /wiki/MariaDB
Apache HBase , URL: /wiki/Apache_HBase
","GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","2018-01-09","6.1.0","Yes"
"ZIS-System , URL: /wiki/USU_Software
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Windows , URL: /wiki/Windows
","MariaDB , URL: /wiki/MariaDB
","Commercial","Yes","Yes","Yes","2020-02-01","5.8","Yes"
"Name","IP SLA Reports","Logical Grouping","Trending","Trend Prediction","Auto Discovery","Agentless","SNMP , URL: /wiki/Simple_Network_Management_Protocol
","Syslog , URL: /wiki/Syslog
","Plugins","Triggers / Alerts","MIB , URL: /wiki/Management_information_base
","WebApp , URL: /wiki/Web_application
","Distributed Monitoring","Inventory","Platform","Data Storage Method","License , URL: /wiki/Software_license_agreement
","Maps , URL: /wiki/Network_mapping
","Access Control","IPv6","Latest release date","Latest release version","Integrates with BigPanda"
