"Name","Computer architectures , URL: /wiki/Computer_architecture
","File systems , URL: /wiki/File_system
","Kernel , URL: /wiki/Kernel_(operating_system)
","Source lines of code , URL: /wiki/Source_lines_of_code
","GUI , URL: /wiki/Graphical_user_interface
","Package management , URL: /wiki/Package_management_system
","Update management","APIs , URL: /wiki/Application_programming_interface
","Non-native APIs supported through subsystems"
"Linux , URL: /wiki/Linux
","others , URL: /wiki/Linux_kernel#Supported_architectures
","ext4 , URL: /wiki/Ext4
btrfs , URL: /wiki/Btrfs
","Monolithic with modules","≈15 million (kernel)[12] lines of code for userland libraries and applications vary depending on the distribution","Yes","Depends on the distribution","","Linux/POSIX","Mono, Java, Win16,[t 6] Win32[t 6]"
"Haiku , URL: /wiki/Haiku_(operating_system)
","IA-32, PowerPC, x86-64","BFS , URL: /wiki/Be_File_System
","Hybrid","≈5.2 million[citation needed]","Yes","Ports collection (haikuport)","pkgman, HaikuDepot","BeOS API , URL: /wiki/BeOS_API
","Java, Qt"
"HP-UX , URL: /wiki/HP-UX
","PA-RISC , URL: /wiki/PA-RISC
IA-64 , URL: /wiki/IA-64
","VxFS , URL: /wiki/VxFS
HFS , URL: /wiki/Hi_Performance_FileSystem
CDFS , URL: /wiki/ISO_9660
EVFS , URL: /wiki/List_of_cryptographic_file_systems
NFS , URL: /wiki/Network_File_System
CIFS , URL: /wiki/Server_Message_Block
","Monolithic with modules","","No","SD , URL: /wiki/Software_Distributor
","swa (HP-UX Software Assistant)","SysV/POSIX",""
"Inferno , URL: /wiki/Inferno_(operating_system)
","Alpha , URL: /wiki/DEC_Alpha
MIPS , URL: /wiki/MIPS_architecture
","Styx , URL: /wiki/Styx_(protocol)
9P2000 , URL: /wiki/9P2000
","user space , URL: /wiki/User_space
","","Yes","?","?","Proprietary",""
"iOS , URL: /wiki/IOS
","ARMv8-A , URL: /wiki/ARMv8-A
ARMv7-A , URL: /wiki/ARMv7-A
ARMv6 , URL: /wiki/ARMv6
","HFS+ , URL: /wiki/HFS_Plus
APFS , URL: /wiki/Apple_File_System
","Hybrid","≈80 million[citation needed]","Yes","?","Software Update","Cocoa , URL: /wiki/Cocoa_(software)
","?"
"Classic Mac OS , URL: /wiki/Classic_Mac_OS
","68k, PowerPC","HFS+ , URL: /wiki/HFS_Plus
HFS , URL: /wiki/Hierarchical_File_System
MFS , URL: /wiki/Macintosh_File_System
AFP , URL: /wiki/Apple_Filing_Protocol
","Monolithic with modules","","Yes","None","Software Update , URL: /wiki/Apple_Software_Update
","Toolbox , URL: /wiki/Macintosh_Toolbox
Carbon , URL: /wiki/Carbon_(computing)
",""
"macOS , URL: /wiki/MacOS
","Apple silicon (11-present), x86-64 (10.4.7–present), IA-32 (10.4.4–10.6.8), PowerPC (10.0–10.5.8) (see also iOS for ARM)","APFS , URL: /wiki/Apple_File_System
FTP , URL: /wiki/File_Transfer_Protocol
WebDAV , URL: /wiki/WebDAV
","Hybrid with modules","≈86 million[13]","Yes","macOS Installer , URL: /wiki/Installer_(macOS)
","Software Update","Cocoa , URL: /wiki/Cocoa_(software)
","Toolbox (only in versions up to Mac OS X 10.4, not supported on x86 architecture), Win16,[t 6] Win32[t 6]"
"MINIX 3 , URL: /wiki/MINIX_3
","IA-32","","Microkernel","≈12,000 (C) + ≈1,400 (Assembly)[14]","No","","","POSIX",""
"NetBSD , URL: /wiki/NetBSD
","sparc64 , URL: /wiki/SPARC
others , URL: http://www.netbsd.org/Ports/#ports-by-cpu
","LFS , URL: /wiki/Log-structured_file_system
","Monolithic with modules","","No[t 7]","pkgsrc , URL: /wiki/Pkgsrc
","by source or binary (using sysinst)","BSD-POSIX","others , URL: http://netbsd.org/docs/compat.html#compat
"
"NetWare , URL: /wiki/Novell_NetWare
","16-bit x86, IA-32","NSS , URL: /wiki/Novell_Storage_Services
NWFS , URL: /wiki/NetWare_File_System
CIFS , URL: /wiki/CIFS
","Hybrid","","Yes","RPM , URL: /wiki/RPM_Package_Manager
X11 , URL: /wiki/X11
","Red Carpet , URL: /wiki/Red_Carpet_(software)
","Proprietary",""
"OpenBSD , URL: /wiki/OpenBSD
","VAX , URL: /wiki/VAX
others , URL: http://www.openbsd.org/plat.html
","ffs , URL: /wiki/Berkeley_Fast_File_System
","Monolithic","","No[t 7]","Ports collection, packages","by source or binary (packages via pkg_add)","BSD-POSIX",""
"OpenVMS , URL: /wiki/OpenVMS
","VAX , URL: /wiki/VAX
","Files-11 , URL: /wiki/Files-11
CIFS , URL: /wiki/Common_Internet_File_System
","Monolithic with modules","","No","PCSI, VMSINSTAL","?","Proprietary","POSIX"
"OS/2 , URL: /wiki/OS/2
","16-bit x86 (1.x only), IA-32","HPFS, JFS, FAT, ISO 9660, UDF, NFS","Monolithic with modules","","Yes","Feature Install and others","?","DOS API , URL: /wiki/DOS_API
","Win32"
"Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
","IA-32, Alpha, MIPS, PowerPC, SPARC, others","fossil , URL: /wiki/Fossil_(file_system)
venti , URL: /wiki/Venti
9P2000 , URL: /wiki/9P2000
","user space , URL: /wiki/User_space
","≈2.5 Million /sys/src (complete source of all supported architectures, kernels, commands and libraries)","Yes","None","replica , URL: /wiki/Replica_(Plan_9)
","Unix-like , URL: /wiki/Unix-like
","POSIX compatibility layer"
"QNX , URL: /wiki/QNX
","SH-4 , URL: /wiki/SuperH
","QNX4FS , URL: /wiki/QNX4FS
Joliet , URL: /wiki/Joliet_(file_system)
HFS , URL: /wiki/Hierarchical_File_System
","Microkernel","","","","","POSIX, Java",""
"ReactOS , URL: /wiki/ReactOS
","IA-32, PowerPC, ARM","FAT, BTRFS, and NTFS (read only)","Hybrid","nearly 8 million[15]","Yes","ReactOS Applications Manager , URL: /wiki/ReactOS_Applications_Manager
MSI , URL: /wiki/Microsoft_Installer
","None","NT API , URL: /wiki/NT_API
","DOS API , URL: /wiki/DOS_API
"
"RISC OS , URL: /wiki/RISC_OS
","ARM (both 26 and 32-bit addressing modes)","Acorn ADFS , URL: /wiki/Advanced_Disc_Filing_System
Econet , URL: /wiki/Econet
","Monolithic with modules. Cooperative multitasking with limited memory protection.[16]","","Yes","Applications self-contained; hardware drivers often in ROM","!IyoUpWtch","SWI , URL: /wiki/Software_interrupt
",""
"Solaris , URL: /wiki/Solaris_(operating_system)
","IA-32, x86-64, SPARC","QFS , URL: /wiki/QFS
","Monolithic with modules","","Yes","SysV packages , URL: /wiki/System_V
Image Packaging System , URL: /wiki/Image_Packaging_System
","Image Packaging System (Solaris 11 and later)","GTK , URL: /wiki/GTK
","Win16,[t 6] Win32,[t 6] Mono, Linux[t 8]"
"OpenSolaris , URL: /wiki/OpenSolaris
","IA-32, x86-64, SPARC(AI)","UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others","Monolithic with modules","≈18.8 million[17]","Yes","Image Packaging System , URL: /wiki/Image_Packaging_System
SysV packages , URL: /wiki/System_V
","Image Packaging System","SysV/POSIX, GTK, Java","Win16,[t 6] Win32,[t 6] Mono, Linux[t 8]"
"STOP 6, XTS-400 , URL: /wiki/XTS-400
","x86","Proprietary","Monolithic","","No","RPM , URL: /wiki/RPM_Package_Manager
","Binary updates via postal mail and proprietary tools","Some: SysV, POSIX, Linux, proprietary",""
"Symbian , URL: /wiki/Symbian
","ARM","FAT","Microkernel","","Yes","SIS , URL: /wiki/SIS_(file_format)
","FOTA , URL: /wiki/FOTA_(technology)
","Proprietary","POSIX compatibility layer"
"TrueOS , URL: /wiki/TrueOS
","IA-32, x86-64[t 9]","XFS , URL: /wiki/XFS
","Monolithic with modules","","Yes","Ports collection, packages, PBI Graphical Installers","by PBI updates, source, network binary update (freebsdupdate)","BSD-POSIX","Win16,[t 6] Win32[t 6]"
"Windows Server , URL: /wiki/Windows_Server_2003
","IA-32, x86-64, IA-64","NTFS, FAT, ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS,[t 10] and HFS","Hybrid with modules","≈45 million[18]","Yes","MSI , URL: /wiki/Microsoft_Installer
","Windows Update , URL: /wiki/Windows_Update
","Win32, NT API","DOS API , URL: /wiki/DOS_API
Win16 , URL: /wiki/Win16
.NET , URL: /wiki/.NET_Framework
"
"Windows , URL: /wiki/Microsoft_Windows
NT family , URL: /wiki/Windows_NT#Releases
","IA-32, x86-64, ARM, IA-64, Alpha, MIPS, PowerPC","exFAT , URL: /wiki/ExFAT
HFS+ , URL: /wiki/HFS%2B
FATX , URL: /wiki/FATX
","Hybrid with modules","≈40 (XP)/64 (Vista and later) million[citation needed]","Yes","MSI, custom installers","Windows Update","Win32, NT API","DOS API , URL: /wiki/DOS_API
Win16 , URL: /wiki/Win16
"
"ZETA , URL: /wiki/Magnussoft_ZETA
","IA-32","BFS (default), FAT, ISO 9660, UDF, HFS, AFP, ext2, CIFS, NTFS (read only), ReiserFS (read only, up to v3.6)","Hybrid","","Yes","SoftwareValet , URL: /wiki/SoftwareValet
","None","POSIX, BeOS API",""
"z/OS , URL: /wiki/Z/OS
","z/Architecture , URL: /wiki/Z/Architecture
","VSAM , URL: /wiki/VSAM
","Protected, multithreading, multitasking nucleus with programmable/user replaceable extensions. Not kernel-based.[clarification needed]","","No","SMP/E , URL: /wiki/SMP/E
","SMP/E , URL: /wiki/SMP/E
","Filesystem access methods, Systems Services, etc.","POSIX, many others."
"Name","Computer architectures supported","File systems supported","Kernel type","Source lines of code","GUI default is on[t 1]","Package management","Update management","Native APIs[t 2]","Non-native APIs supported through subsystems"
