"Language","Google Translate , URL: /wiki/Google_Translate
","Microsoft Translator , URL: /wiki/Microsoft_Translator
","Yandex Translate , URL: /wiki/Yandex_Translate
","Amazon Translate , URL: /w/index.php?title=Amazon_Translate&action=edit&redlink=1
","IBM Watson , URL: /wiki/Watson_(computer)
"
"Inuinnaqtun , URL: /wiki/Inuinnaqtun
","No","Yes","No","No","No"
"Inuktitut , URL: /wiki/Inuktitut
","No","Yes","No","No","No"
"Irish , URL: /wiki/Irish_language
","Yes","Yes","Yes","Yes","Yes"
"Italian , URL: /wiki/Italian_language
","Yes","Yes","Yes","Yes","Yes"
"Japanese , URL: /wiki/Japanese_language
","Yes","Yes","Yes","Yes","Yes"
"Javanese , URL: /wiki/Javanese_language
","Yes","No","Yes","No","No"
"Kannada , URL: /wiki/Kannada
","Yes","Yes","Yes","Yes","No"
"Kazakh , URL: /wiki/Kazakh_language
","Yes","Yes","Yes","Yes","No"
"Khmer , URL: /wiki/Khmer_language
","Yes","Yes","Yes","No","No"
"Kinyarwanda , URL: /wiki/Kinyarwanda
","Yes","No","No","No","No"
"Klingon , URL: /wiki/Klingon_language
","No","Yes","No","No","No"
"Korean , URL: /wiki/Korean_language
","Yes","Yes","Yes","Yes","Yes"
"Kurdish , URL: /wiki/Kurdish_languages
Kurmanji , URL: /wiki/Kurmanji
","Yes","Yes","No","No","No"
"Kurdish , URL: /wiki/Kurdish_languages
Sorani , URL: /wiki/Sorani
","No","Yes","No","No","No"
"Kyrgyz , URL: /wiki/Kyrgyz_language
","Yes","Yes","Yes","No","No"
"Lao , URL: /wiki/Lao_language
","Yes","Yes","Yes","No","No"
"Latin , URL: /wiki/Latin
","Yes","No","Yes","No","No"
"Latvian , URL: /wiki/Latvian_language
","Yes","Yes","Yes","Yes","Yes"
"Lithuanian , URL: /wiki/Lithuanian_language
","Yes","Yes","Yes","Yes","Yes"
"Luxembourgish , URL: /wiki/Luxembourgish
","Yes","No","Yes","No","No"
"Macedonian , URL: /wiki/Macedonian_language
","Yes","Yes","Yes","Yes","No"
"Malagasy , URL: /wiki/Malagasy_language
","Yes","Yes","Yes","No","No"
"Malay , URL: /wiki/Malay_language
","Yes","Yes","Yes","Yes","Yes"
"Malayalam , URL: /wiki/Malayalam
","Yes","Yes","Yes","Yes","Yes"
"Maltese , URL: /wiki/Maltese_language
","Yes","Yes","Yes","Yes","Yes"
"Māori , URL: /wiki/M%C4%81ori_language
","Yes","Yes","Yes","No","No"
"Marathi , URL: /wiki/Marathi_language
","Yes","Yes","Yes","Yes","No"
"Meadow Mari , URL: /wiki/Meadow_Mari_language
","No","No","Yes","No","No"
"Mongolian , URL: /wiki/Mongolian_language
","Yes","Yes","Yes","Yes","No"
"Montenegrin , URL: /wiki/Montenegrin_language
","No","No","No","No","Yes"
"Nepali , URL: /wiki/Nepali_language
","Yes","Yes","Yes","No","Yes"
"Norwegian , URL: /wiki/Norwegian_language
Bokmål , URL: /wiki/Bokm%C3%A5l
","Yes","Yes","Yes","Yes","Yes"
"Odia , URL: /wiki/Odia_language
","Yes","Yes","No","No","No"
"Papiamento , URL: /wiki/Papiamento
","No","No","Yes","No","No"
"Pashto , URL: /wiki/Pashto
","Yes","Yes","No","Yes","No"
"Persian , URL: /wiki/Persian_language
","Yes","Yes","Yes","Yes","No"
"Polish , URL: /wiki/Polish_language
","Yes","Yes","Yes","Yes","Yes"
"Portuguese , URL: /wiki/Portuguese_language
","Yes","Yes","Yes","Yes","Yes"
"Portuguese (Brazil) , URL: /wiki/Brazilian_Portuguese
","No","Yes","No","No","No"
"Punjabi , URL: /wiki/Punjabi_language
","Yes","Yes","Yes","Yes","No"
"Queretaro Otomi , URL: /wiki/Queretaro_Otomi
","No","Yes","No","No","No"
"Romanian , URL: /wiki/Romanian_language
","Yes","Yes","Yes","Yes","Yes"
"Russian , URL: /wiki/Russian_language
","Yes","Yes","Yes","Yes","Yes"
"Samoan , URL: /wiki/Samoan_language
","Yes","Yes","No","No","No"
"Scottish Gaelic , URL: /wiki/Scottish_Gaelic
","Yes","No","Yes","No","No"
"Serbian , URL: /wiki/Serbian_language
","Yes","Yes","Yes","Yes","Yes"
"Shona , URL: /wiki/Shona_language
","Yes","No","No","No","No"
"Sindhi , URL: /wiki/Sindhi_language
","Yes","No","No","No","No"
"Sinhala , URL: /wiki/Sinhala_language
","Yes","No","Yes","Yes","Yes"
"Slovak , URL: /wiki/Slovak_language
","Yes","Yes","Yes","Yes","Yes"
"Slovene , URL: /wiki/Slovene_language
","Yes","Yes","Yes","Yes","Yes"
"Somali , URL: /wiki/Somali_language
","Yes","Yes","No","Yes","No"
"Sotho , URL: /wiki/Sotho_language
","Yes","No","No","No","No"
"Spanish , URL: /wiki/Spanish_language
","Yes","Yes","Yes","Yes","Yes"
"Spanish (Mexico) , URL: /wiki/Mexican_Spanish
","No","No","No","Yes","No"
"Sundanese , URL: /wiki/Sundanese_language
","Yes","No","Yes","No","No"
"Swahili , URL: /wiki/Swahili_language
","Yes","Yes","Yes","Yes","No"
"Swedish , URL: /wiki/Swedish_language
","Yes","Yes","Yes","Yes","Yes"
"Tagalog , URL: /wiki/Tagalog_language
Filipino , URL: /wiki/Filipino_language
","Yes","Yes","Yes","Yes","No"
"Tahitian , URL: /wiki/Tahitian_language
","No","Yes","No","No","No"
"Tajik , URL: /wiki/Tajik_language
","Yes","No","Yes","No","No"
"Tamil , URL: /wiki/Tamil_language
","Yes","Yes","Yes","Yes","Yes"
"Tatar , URL: /wiki/Tatar_language
","Yes","Yes","Yes","No","No"
"Telugu , URL: /wiki/Telugu_language
","Yes","Yes","Yes","Yes","Yes"
"Thai , URL: /wiki/Thai_language
","Yes","Yes","Yes","Yes","Yes"
"Tibetan , URL: /wiki/Classical_Tibetan
","No","Yes","No","No","No"
"Tigrinya , URL: /wiki/Tigrinya_language
","No","Yes","No","No","No"
"Tongan , URL: /wiki/Tongan_language
","No","Yes","No","No","No"
"Turkish , URL: /wiki/Turkish_language
","Yes","Yes","Yes","Yes","Yes"
"Turkmen , URL: /wiki/Turkmen_language
","Yes","Yes","No","No","No"
"Udmurt , URL: /wiki/Udmurt_language
","No","No","Yes","No","No"
"Ukrainian , URL: /wiki/Ukrainian_language
","Yes","Yes","Yes","Yes","Yes"
"Upper Sorbian , URL: /wiki/Upper_Sorbian_language
","No","Yes","No","No","No"
"Urdu , URL: /wiki/Urdu
","Yes","Yes","Yes","Yes","Yes"
"Uyghur , URL: /wiki/Uyghur_language
","Yes","Yes","No","No","No"
"Uzbek , URL: /wiki/Uzbek_language
","Yes","Yes","Yes","Yes","No"
"Vietnamese , URL: /wiki/Vietnamese_language
","Yes","Yes","Yes","Yes","Yes"
"Welsh , URL: /wiki/Welsh_language
","Yes","Yes","Yes","Yes","Yes"
"West Frisian , URL: /wiki/West_Frisian_language
","Yes","No","No","No","No"
"Xhosa , URL: /wiki/Xhosa_language
","Yes","No","Yes","No","No"
"Yakut , URL: /wiki/Yakut_language
","No","No","Yes","No","No"
"Yiddish , URL: /wiki/Yiddish
","Yes","No","Yes","No","No"
"Yoruba , URL: /wiki/Yoruba_language
","Yes","No","No","No","No"
"Yucatec Maya , URL: /wiki/Yucatec_Maya
","No","Yes","No","No","No"
"Zulu , URL: /wiki/Zulu_language
","Yes","No","Yes","No","No"
"Total (confirmed)","109","103","97","74","54"
