"Server","Security","Security","Security","Virtual hosting , URL: /wiki/Shared_web_hosting_service
","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","user , URL: /wiki/User_space
kernel space , URL: /wiki/Kernel_space
","Adminis-tration console","Additional protocol support","Additional protocol support","Additional protocol support","Additional protocol support"
"Oracle HTTP Server , URL: /wiki/Oracle_HTTP_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes[w]","Yes","Unknown","Unknown","Unknown"
"Oracle iPlanet Web Server , URL: /wiki/Oracle_iPlanet_Web_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Yes","user","Yes","Yes","Unknown","Unknown","Unknown"
"thttpd , URL: /wiki/Thttpd
","Yes","Unknown","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","user","No","Yes","Unknown","Unknown","Unknown"
"TUX web server , URL: /wiki/TUX_web_server
","No","No","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","kernel","Unknown","Unknown","Unknown","Unknown","Unknown"
"uhttpd","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","user","No","Yes","No","No","No"
"Wakanda Server , URL: /wiki/Wakanda_(software)
","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","user","Yes","Yes","Unknown","Unknown","Unknown"
"Web Server for Chrome","Yes","No","Yes","No","No","No","No","No","No","No","No","No","user","No","Yes","No","No","No"
"Xitami , URL: /wiki/Xitami
","Yes","Unknown","paid version","Yes","Yes","Unknown","Unknown","No","Unknown","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown","Unknown","Unknown"
"Yaws , URL: /wiki/Yaws_(web_server)
","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Unknown","Yes","Unknown","Unknown","Unknown"
"Zeus Web Server , URL: /wiki/Zeus_Web_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No[g]","Yes","Yes","Unknown","user","Yes","No","Unknown","Unknown","Unknown"
