"Client","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","Linux","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-01","Apache-2.0 , URL: /wiki/Apache_License
",""
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","macOS","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-01","Apache-2.0 , URL: /wiki/Apache_License
",""
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","Windows","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-01","Apache-2.0 , URL: /wiki/Apache_License
",""
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","Web","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-01","Apache-2.0 , URL: /wiki/Apache_License
",""
"Gadu-Gadu , URL: /wiki/Gadu-Gadu
","Łukasz Foltyn, GG Network S.A.","August 15, 2000; 21 years ago (2000-08-15)","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
",""
"Gajim , URL: /wiki/Gajim
","Yann Le Boulanger","May 21, 2004; 17 years ago (2004-05-21)","BSD","
URL: https://www.wikidata.org/wiki/Q58105?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-10","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
",""
"Gajim , URL: /wiki/Gajim
","Yann Le Boulanger","May 21, 2004; 17 years ago (2004-05-21)","Linux","
URL: https://www.wikidata.org/wiki/Q58105?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-10","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
",""
"Gajim , URL: /wiki/Gajim
","Yann Le Boulanger","May 21, 2004; 17 years ago (2004-05-21)","macOS","
URL: https://www.wikidata.org/wiki/Q58105?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-10","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
",""
"Gajim , URL: /wiki/Gajim
","Yann Le Boulanger","May 21, 2004; 17 years ago (2004-05-21)","Windows","
URL: https://www.wikidata.org/wiki/Q58105?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-10","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
",""
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","Google , URL: /wiki/Google
","2018","Android","10.9.36","2022-02-24","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1 billion (2021) 500 million active (2020)"
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","Google , URL: /wiki/Google
","2018","Web","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1 billion (2021) 500 million active (2020)"
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","Google , URL: /wiki/Google
","2018","Wear OS","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1 billion (2021) 500 million active (2020)"
"ICQ , URL: /wiki/ICQ
","Mail.Ru , URL: /wiki/Mail.Ru
","November 1996; 25 years ago (1996-11)","","","","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Jami , URL: /wiki/Jami_(software)
","Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","","Android","
URL: https://www.wikidata.org/wiki/Q3459508?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-22","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Jami , URL: /wiki/Jami_(software)
","Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","","iOS","
URL: https://www.wikidata.org/wiki/Q3459508?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-18","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Jami , URL: /wiki/Jami_(software)
","Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","","Linux","
URL: https://www.wikidata.org/wiki/Q3459508?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-23","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Jami , URL: /wiki/Jami_(software)
","Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","","macOS","
URL: https://www.wikidata.org/wiki/Q3459508?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-15","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Jami , URL: /wiki/Jami_(software)
","Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","","Windows","
URL: https://www.wikidata.org/wiki/Q3459508?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-22","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Jitsi , URL: /wiki/Jitsi
","Emil Ivov","2003; 19 years ago (2003)","Desktop","
URL: https://www.wikidata.org/wiki/Q58427?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-10-01","Apache-2.0 , URL: /wiki/Apache_license
",""
"Kadu , URL: /wiki/Kadu_(software)
","Kadu Team","August 2001; 20 years ago (2001-08)","BSD","
URL: https://www.wikidata.org/wiki/Q58438?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Kadu , URL: /wiki/Kadu_(software)
","Kadu Team","August 2001; 20 years ago (2001-08)","Linux","
URL: https://www.wikidata.org/wiki/Q58438?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Kadu , URL: /wiki/Kadu_(software)
","Kadu Team","August 2001; 20 years ago (2001-08)","macOS","
URL: https://www.wikidata.org/wiki/Q58438?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Kadu , URL: /wiki/Kadu_(software)
","Kadu Team","August 2001; 20 years ago (2001-08)","Windows","
URL: https://www.wikidata.org/wiki/Q58438?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"KakaoTalk , URL: /wiki/KakaoTalk
","Kakao Corp.","March 18, 2010; 11 years ago (2010-03-18)","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","49 million (2018)[20]"
"Keybase , URL: /wiki/Keybase
","Keybase","February 8, 2017; 5 years ago (2017-02-08)","","","","New BSD License , URL: /wiki/New_BSD_License
",""
"Kik Messenger , URL: /wiki/Kik_Messenger
","Medialab","October 2010; 11 years ago (2010-10)","Android","
URL: https://www.wikidata.org/wiki/Q874394?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-15","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
","15 million (2017)[22]"
"Kik Messenger , URL: /wiki/Kik_Messenger
","Medialab","October 2010; 11 years ago (2010-10)","iOS","
URL: https://www.wikidata.org/wiki/Q874394?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-15","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
","15 million (2017)[22]"
"Line , URL: /wiki/Line_(software)
","LINE Corporation , URL: /wiki/LINE_Corporation
","March 2012; 10 years ago (2012-03)","Android","
URL: https://www.wikidata.org/wiki/Q602471?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-22","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","700 million (2017)"
"Line , URL: /wiki/Line_(software)
","LINE Corporation , URL: /wiki/LINE_Corporation
","March 2012; 10 years ago (2012-03)","iOS","
URL: https://www.wikidata.org/wiki/Q602471?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","700 million (2017)"
"Line , URL: /wiki/Line_(software)
","LINE Corporation , URL: /wiki/LINE_Corporation
","March 2012; 10 years ago (2012-03)","Chrome","
URL: https://www.wikidata.org/wiki/Q602471?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-28","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","700 million (2017)"
"Line , URL: /wiki/Line_(software)
","LINE Corporation , URL: /wiki/LINE_Corporation
","March 2012; 10 years ago (2012-03)","macOS","
URL: https://www.wikidata.org/wiki/Q602471?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","700 million (2017)"
"Line , URL: /wiki/Line_(software)
","LINE Corporation , URL: /wiki/LINE_Corporation
","March 2012; 10 years ago (2012-03)","Windows","
URL: https://www.wikidata.org/wiki/Q602471?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-16","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","700 million (2017)"
"Linphone , URL: /wiki/Linphone
","Belledonne Communications","","Android","
URL: https://www.wikidata.org/wiki/Q119979?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-08","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Linphone , URL: /wiki/Linphone
","Belledonne Communications","","iOS","
URL: https://www.wikidata.org/wiki/Q119979?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-08","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Linphone , URL: /wiki/Linphone
","Belledonne Communications","","Linux","
URL: https://www.wikidata.org/wiki/Q119979?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-09","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Linphone , URL: /wiki/Linphone
","Belledonne Communications","","macOS","
URL: https://www.wikidata.org/wiki/Q119979?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-09","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Linphone , URL: /wiki/Linphone
","Belledonne Communications","","Windows","
URL: https://www.wikidata.org/wiki/Q119979?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-09","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Mattermost , URL: /wiki/Mattermost
","Mattermost Inc","2015; 7 years ago (2015)","Android","
URL: https://www.wikidata.org/wiki/Q55478510?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-23","Apache-2.0 , URL: /wiki/Apache_License
",""
"Mattermost , URL: /wiki/Mattermost
","Mattermost Inc","2015; 7 years ago (2015)","iOS","
URL: https://www.wikidata.org/wiki/Q55478510?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-23","Apache-2.0 , URL: /wiki/Apache_License
",""
"Mattermost , URL: /wiki/Mattermost
","Mattermost Inc","2015; 7 years ago (2015)","Linux","
URL: https://www.wikidata.org/wiki/Q55478510?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-04","Apache-2.0 , URL: /wiki/Apache_License
",""
"Mattermost , URL: /wiki/Mattermost
","Mattermost Inc","2015; 7 years ago (2015)","macOS","
URL: https://www.wikidata.org/wiki/Q55478510?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-04","Apache-2.0 , URL: /wiki/Apache_License
",""
"Mattermost , URL: /wiki/Mattermost
","Mattermost Inc","2015; 7 years ago (2015)","Windows","
URL: https://www.wikidata.org/wiki/Q55478510?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-04","Apache-2.0 , URL: /wiki/Apache_License
",""
"MCabber , URL: /wiki/MCabber
","Mikael Berthe","June 7, 2005; 16 years ago (2005-06-07)","BSD","
URL: https://www.wikidata.org/wiki/Q842975?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-19","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"MCabber , URL: /wiki/MCabber
","Mikael Berthe","June 7, 2005; 16 years ago (2005-06-07)","Linux","
URL: https://www.wikidata.org/wiki/Q842975?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-19","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"MCabber , URL: /wiki/MCabber
","Mikael Berthe","June 7, 2005; 16 years ago (2005-06-07)","macOS","
URL: https://www.wikidata.org/wiki/Q842975?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-19","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Messages , URL: /wiki/Messages_(Apple)
","Apple Inc. , URL: /wiki/Apple_Inc.
","July 25, 2012; 9 years ago (2012-07-25)","","","","Proprietary , URL: /wiki/Proprietary_software
macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
",""
"Messenger , URL: /wiki/Messenger_(software)
","Meta Platforms , URL: /wiki/Meta_Platforms
","August 9, 2011; 10 years ago (2011-08-09)","Android","
URL: https://www.wikidata.org/wiki/Q116947?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1300 million (2019)[35]"
"Messenger , URL: /wiki/Messenger_(software)
","Meta Platforms , URL: /wiki/Meta_Platforms
","August 9, 2011; 10 years ago (2011-08-09)","iOS","
URL: https://www.wikidata.org/wiki/Q116947?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-20","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1300 million (2019)[35]"
"Messenger , URL: /wiki/Messenger_(software)
","Meta Platforms , URL: /wiki/Meta_Platforms
","August 9, 2011; 10 years ago (2011-08-09)","macOS","
URL: https://www.wikidata.org/wiki/Q116947?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-19","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1300 million (2019)[35]"
"Messenger , URL: /wiki/Messenger_(software)
","Meta Platforms , URL: /wiki/Meta_Platforms
","August 9, 2011; 10 years ago (2011-08-09)","Windows","
URL: https://www.wikidata.org/wiki/Q116947?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-18","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1300 million (2019)[35]"
"Movim , URL: /wiki/Movim
","Timothée Jaussoin","March 3, 2011; 11 years ago (2011-03-03)","Progressive web application , URL: /wiki/Progressive_web_application
","
URL: https://www.wikidata.org/wiki/Q3326936?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-19","AGPL-3.0-or-later , URL: /wiki/Affero_General_Public_License
",""
"Palringo , URL: /wiki/Palringo
","Palringo Ltd","2006; 16 years ago (2006)","Android","
URL: https://www.wikidata.org/wiki/Q58558?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-29","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
",""
"Palringo , URL: /wiki/Palringo
","Palringo Ltd","2006; 16 years ago (2006)","iOS","
URL: https://www.wikidata.org/wiki/Q58558?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-19","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
",""
"Paltalk , URL: /wiki/Paltalk
","AVM Software, Inc","June 1998; 23 years ago (1998-06)","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
",""
"Pidgin , URL: /wiki/Pidgin_(software)
","Mark Spencer , URL: /wiki/Mark_Spencer_(computer_engineer)
","November 1998; 23 years ago (1998-11)","BSD","
URL: https://www.wikidata.org/wiki/Q71380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-14","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Pidgin , URL: /wiki/Pidgin_(software)
","Mark Spencer , URL: /wiki/Mark_Spencer_(computer_engineer)
","November 1998; 23 years ago (1998-11)","Linux","
URL: https://www.wikidata.org/wiki/Q71380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-14","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Pidgin , URL: /wiki/Pidgin_(software)
","Mark Spencer , URL: /wiki/Mark_Spencer_(computer_engineer)
","November 1998; 23 years ago (1998-11)","macOS","
URL: https://www.wikidata.org/wiki/Q71380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-14","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Pidgin , URL: /wiki/Pidgin_(software)
","Mark Spencer , URL: /wiki/Mark_Spencer_(computer_engineer)
","November 1998; 23 years ago (1998-11)","Windows","
URL: https://www.wikidata.org/wiki/Q71380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-14","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
