"Mail Server","DNSBL , URL: /wiki/DNSBL
","SURBL , URL: /wiki/SURBL
","Spamtraps , URL: /wiki/Spamtrap
","Greylisting , URL: /wiki/Greylisting_(email)
","SPF , URL: /wiki/Sender_Policy_Framework
","DKIM , URL: /wiki/DKIM
","DMARC , URL: /wiki/DMARC
","Tarpit , URL: /wiki/Tarpit_(networking)
","Bayesian filters , URL: /wiki/Bayesian_spam_filtering
","Regular expressions , URL: /wiki/Regular_expression
","Embedded Antivirus , URL: /wiki/Antivirus
","Embedded Antispam , URL: /wiki/Antispam
"
"Kolab , URL: /wiki/Kolab
","Yes","?","?","Yes","Yes","?","?","?","Optional with spamassassin etc.","Yes","content filter , URL: http://www.postfix.org/FILTER_README.html
","content filter , URL: http://www.postfix.org/FILTER_README.html
"
"Mailsite , URL: /wiki/Mailsite
","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes","Yes","Yes","Yes"
"Mailtraq , URL: /wiki/Mailtraq
","?","?","?","?","?","?","?","?","?","?","?","?"
"MDaemon , URL: /wiki/MDaemon
","Yes","SpamAssassin , URL: /wiki/SpamAssassin
","Yes","Yes","Yes","Yes","Yes","Yes","Yes (via SpamAssassin)","Yes (via Content Filter)","Optional Cyren, ClamAV","Yes SpamAssassin"
"Mercury Mail Transport System , URL: /wiki/Mercury_Mail_Transport_System
","Yes","?","?","Yes (GreyWall extension)","?","?","?","?","Yes (SpamHalter extension)","?","Yes (ClamWall extension)","?"
"Microsoft Exchange Server , URL: /wiki/Microsoft_Exchange_Server
","Yes (2003 & later)","?","?","Yes","Yes","Optional (Signing only via 3rd Party Extensions)","?","Yes (2003 & later)","?","?","?","?"
"NetMail , URL: /wiki/NetMail
","?","?","?","?","?","?","?","?","?","?","?","?"
"OpenSMTPD , URL: /wiki/OpenSMTPD
","?","?","?","?","Yes","Yes[40]","?","?","?","?","?","?"
"Oracle Communications Messaging Server , URL: /wiki/Oracle_Communications_Messaging_Server
","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Optional with spamassassin etc.","Yes","Optional any","Optional any"
"Postfix , URL: /wiki/Postfix_(software)
","Yes","?","?","Yes","Yes","Optional[41]","Optional[42]","?","Optional with spamassassin etc.","Yes","content filter , URL: http://www.postfix.org/FILTER_README.html
","content filter , URL: http://www.postfix.org/FILTER_README.html
"
"qmail , URL: /wiki/Qmail
","?","?","?","Yes","?","?","?","?","No","?","No","No"
"Scalix , URL: /wiki/Scalix
","Yes","Cyren , URL: /wiki/CYREN
SpamAssassin , URL: /wiki/Spam_Assassin
","Cyren , URL: /wiki/CYREN
SpamAssassin , URL: /wiki/Spam_Assassin
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Cyren , URL: /wiki/CYREN
ClamAV , URL: /wiki/Clam_AntiVirus
","Yes"
"Sendmail , URL: /wiki/Sendmail
","Yes","Yes (via milter/SA)","?","Yes","Optional","Optional[41]","Optional[42]","?","Optional with spamassassin etc.","Yes","ClamAV , URL: /wiki/Clam_AntiVirus
","SpamAssassin , URL: /wiki/Spam_Assassin
"
"SparkEngine , URL: /wiki/SparkEngine
","?","?","?","?","?","?","?","?","?","?","?","?"
"UW IMAP , URL: /wiki/UW_IMAP
","?","?","?","?","?","?","?","?","?","?","?","?"
"WinGate , URL: /wiki/WinGate
","?","?","?","?","?","?","?","?","?","?","?","?"
"Zarafa , URL: /wiki/Zarafa_(software)
","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]","External[14]"
"Zimbra , URL: /wiki/Zimbra
","Yes","SpamAssassin , URL: /wiki/Spam_Assassin
","?","Yes (via Cluebringer Policy Daemon)","Yes","Yes","?","Yes","Yes","Yes (partially)","ClamAV , URL: /wiki/Clam_AntiVirus
Amavisd , URL: /wiki/Amavisd
","SpamAssassin , URL: /wiki/Spam_Assassin
"
"Mail Server","DNSBL , URL: /wiki/DNSBL
","SURBL , URL: /wiki/SURBL
","Spamtraps , URL: /wiki/Spamtrap
","Greylisting , URL: /wiki/Greylisting_(email)
","SPF , URL: /wiki/Sender_Policy_Framework
","DKIM , URL: /wiki/DKIM
","DMARC , URL: /wiki/DMARC
","Tarpit , URL: /wiki/Tarpit_(networking)
","Bayesian filters , URL: /wiki/Bayesian_spam_filtering
","Regular expressions , URL: /wiki/Regular_expression
","Embedded Antivirus , URL: /wiki/Antivirus
","Embedded Antispam , URL: /wiki/Antispam
"
