"Rank","Country and (Argentine provinces)","Intl. $ , URL: /wiki/International_dollar
"
"79","South Africa , URL: /wiki/South_Africa
","10,136"
"80","Dominica , URL: /wiki/Dominica
","10,133"
"81","Macedonia , URL: /wiki/North_Macedonia
","9,164"
"82","Jamaica , URL: /wiki/Jamaica
","8,967"
"83","Azerbaijan , URL: /wiki/Azerbaijan
","8,634"
"84","Dominican Republic , URL: /wiki/Dominican_Republic
","8,619"
"85","Peru , URL: /wiki/Peru
","8,594"
"86","Thailand , URL: /wiki/Thailand
","8,239"
"87","Colombia , URL: /wiki/Colombia
","8,229"
"88","Suriname , URL: /wiki/Suriname
","8,188"
"89","Tunisia , URL: /wiki/Tunisia
","8,002"
"90","Belize , URL: /wiki/Belize
","7,954"
"91","Ecuador , URL: /wiki/Ecuador
","7,786"
"92","Bosnia and Herzegovina , URL: /wiki/Bosnia_and_Herzegovina
","7,624"
"93","El Salvador , URL: /wiki/El_Salvador
","7,564"
"94","Ukraine , URL: /wiki/Ukraine
","7,342"
"95","Albania , URL: /wiki/Albania
","6,897"
"96","Algeria , URL: /wiki/Algeria
","6,709"
"97","Namibia , URL: /wiki/Namibia
","6,612"
"98","Angola , URL: /wiki/Angola
","6,252"
"99","Kiribati , URL: /wiki/Kiribati
","6,122"
"100","China, People's Republic of , URL: /wiki/China
","5,970"
"101","Egypt , URL: /wiki/Egypt
","5,897"
"102","Armenia , URL: /wiki/Armenia
","5,792"
"103","Turkmenistan , URL: /wiki/Turkmenistan
","5,757"
"104","Swaziland , URL: /wiki/Eswatini
","5,749"
"105","Samoa , URL: /wiki/Samoa
","5,674"
"106","Jordan , URL: /wiki/Jordan
","5,537"
"107","Tonga , URL: /wiki/Tonga
","5,382"
"108","Bhutan , URL: /wiki/Bhutan
","5,312"
"109","Maldives , URL: /wiki/Maldives
","4,967"
"110","Guatemala , URL: /wiki/Guatemala
","4,907"
"111","Georgia , URL: /wiki/Georgia_(country)
","4,869"
"112","Paraguay , URL: /wiki/Paraguay
","4,786"
"113","Syria , URL: /wiki/Syria
","4,757"
"114","Sri Lanka , URL: /wiki/Sri_Lanka
","4,589"
"115","Morocco , URL: /wiki/Morocco
","4,362"
"116","Bolivia , URL: /wiki/Bolivia
","4,345"
"117","Honduras , URL: /wiki/Honduras
","4,275"
"118","Vanuatu , URL: /wiki/Vanuatu
","4,251"
"119","Fiji , URL: /wiki/Fiji
","4,196"
"120","Guyana , URL: /wiki/Guyana
","4,029"
"121","Indonesia , URL: /wiki/Indonesia
","3,980"
"122","Republic of the Congo , URL: /wiki/Republic_of_the_Congo
","3,919"
"123","Mongolia , URL: /wiki/Mongolia
","3,547"
"124","Philippines , URL: /wiki/Philippines
","3,515"
"125","Iraq , URL: /wiki/Iraq
","3,477"
"126","Cape Verde , URL: /wiki/Cape_Verde
","3,472"
"127","Moldova , URL: /wiki/Moldova
","2,984"
"128","Solomon Islands , URL: /wiki/Solomon_Islands
","2,917"
"129","Vietnam , URL: /wiki/Vietnam
","2,794"
"130","India , URL: /wiki/India
","2,780"
"131","Nicaragua , URL: /wiki/Nicaragua
","2,698"
"132","Uzbekistan , URL: /wiki/Uzbekistan
","2,634"
"133","Pakistan , URL: /wiki/Pakistan
","2,624"
"134","Yemen , URL: /wiki/Yemen
","2,411"
"135","Djibouti , URL: /wiki/Djibouti
","2,396"
"136","Timor-Leste , URL: /wiki/East_Timor
","2,368"
"137","Sudan , URL: /wiki/Sudan
","2,309"
"138","Kyrgyzstan , URL: /wiki/Kyrgyzstan
","2,185"
"139","Nigeria , URL: /wiki/Nigeria
","2,162"
"140","Cameroon , URL: /wiki/Cameroon
","2,139"
"141","Laos , URL: /wiki/Laos
","2,127"
"142","Papua New Guinea , URL: /wiki/Papua_New_Guinea
","2,108"
"143","Cambodia , URL: /wiki/Cambodia
","2,082"
"144","Mauritania , URL: /wiki/Mauritania
","2,055"
"145","Tajikistan , URL: /wiki/Tajikistan
","2,023"
"146","São Tomé and Príncipe , URL: /wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
","1,752"
"147","Senegal , URL: /wiki/Senegal
","1,739"
"148","Kenya , URL: /wiki/Kenya
","1,712"
"149","Chad , URL: /wiki/Chad
","1,663"
"150","Côte d'Ivoire , URL: /wiki/Ivory_Coast
","1,643"
"151","Benin , URL: /wiki/Benin
","1,608"
"152","Ghana , URL: /wiki/Ghana
","1,518"
"153","Zambia , URL: /wiki/Zambia
","1,482"
"154","Bangladesh , URL: /wiki/Bangladesh
","1,399"
"155","The Gambia , URL: /wiki/The_Gambia
","1,395"
"156","Tanzania , URL: /wiki/Tanzania
","1,353"
"157","Haiti , URL: /wiki/Haiti
","1,317"
"158","Lesotho , URL: /wiki/Lesotho
","1,305"
"159","Burkina Faso , URL: /wiki/Burkina_Faso
","1,268"
"160","Comoros , URL: /wiki/Comoros
","1,157"
"161","Burma , URL: /wiki/Myanmar
","1,156"
"162","Uganda , URL: /wiki/Uganda
","1,147"
"163","Nepal , URL: /wiki/Nepal
","1,144"
"164","Mali , URL: /wiki/Mali
","1,129"
"165","Rwanda , URL: /wiki/Rwanda
","1,043"
"166","Guinea , URL: /wiki/Guinea
","1,014"
"167","Madagascar , URL: /wiki/Madagascar
","996"
"168","Mozambique , URL: /wiki/Mozambique
","903"
"169","Ethiopia , URL: /wiki/Ethiopia
","898"
"170","Malawi , URL: /wiki/Malawi
","836"
"171","Togo , URL: /wiki/Togo
","812"
"172","Afghanistan , URL: /wiki/Afghanistan
","760"
"173","Eritrea , URL: /wiki/Eritrea
","748"
"174","Central African Republic , URL: /wiki/Central_African_Republic
","740"
"175","Niger , URL: /wiki/Niger
","740"
"176","Sierra Leone , URL: /wiki/Sierra_Leone
","725"
"177","Guinea-Bissau , URL: /wiki/Guinea-Bissau
","486"
"178","Burundi , URL: /wiki/Burundi
","390"
"179","Liberia , URL: /wiki/Liberia
","373"
"180","Democratic Republic of the Congo , URL: /wiki/Democratic_Republic_of_the_Congo
","330"
"181","Zimbabwe , URL: /wiki/Zimbabwe
","268"
