"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Screen model","Weight","Screen pixels , URL: /wiki/Display_resolution
","Touch screen","Wireless network","Text-to-speech","Folders","Internal Storage","Micro SDHC","Web browser","Library DRM compatible","USB peripherals"
"Icarus Reader , URL: /w/index.php?title=Icarus_Reader&action=edit&redlink=1
","Icarus Pocket , URL: /w/index.php?title=Icarus_Pocket&action=edit&redlink=1
","2012","?","6 in","No","eInk Pearl","","214 g (7.7 oz)","800 × 600","No","Wi-Fi","Unknown","Yes","4 GB","SDHC 32 GB","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Reader Sense , URL: /wiki/4FFF_N618
","2010","?","6 in","No","SiPix","","240 g (8.5 oz)","600 × 800","Yes","Wi-Fi","No","Yes","2 GB (1.3 GB)","micro SD","Yes","Yes","Unknown"
"Intreeo , URL: /w/index.php?title=Intreeo&action=edit&redlink=1
","Vivid , URL: /w/index.php?title=Intreeo_Vivid&action=edit&redlink=1
","2010","2011","6 in","No","eInk","","170 g (5.9 oz)","600 × 800","No","No","No","Unknown","2 GB (1.3 GB)","SD","Unknown","No","Unknown"
"iRex Technologies , URL: /wiki/IRex_Technologies
","Digital Reader 800 , URL: /w/index.php?title=Digital_Reader_800&action=edit&redlink=1
","2010","2010","8.1 in","No","eInk","","360 g (13 oz)","768 × 1024","Yes","No","Unknown","Yes","128 MB","SDHC","No","Yes","Unknown"
"iRex Technologies","Digital Reader 1000 , URL: /wiki/Digital_Reader_1000
","2008","2010","10.2 in","No","eInk","","700 g (25 oz)","1024 × 1280","Stylus","No","No","Yes","No","SD","No","Yes","Yes"
"iRex Technologies","iLiad , URL: /wiki/ILiad
","2006","2010","8.1 in","No","eInk","","480 g (17 oz)","768 × 1024","Yes","Wi-Fi","No","Yes","64 MB","SD, CF","No","Yes","Unknown"
"Iriver , URL: /wiki/Iriver
","Story , URL: /wiki/Iriver_Story
","2009","2011","6 in","No","eInk","","233 g (8.2 oz)","600 × 800","Yes","No","Unknown","Unknown","2 GB","SDHC","Unknown","Yes","Unknown"
"JinKe","Hanlin V3","2007","2008","6 in","No","eInk","ED060SC4(LF)","Unknown","600 × 800","No","No","No","Yes","384 MB","SDHC","No","Yes","No"
"JinKe","Hanlin V2","2006","2007","6 in","No","eInk","","Unknown","600 × 800","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"JinKe","Hanlin V60","2010","?","6 in","No","eInk","LB060S02-RD01 ED060SC7(LF)","260 g (8.6 oz)","600 × 800","No","Wi-Fi","No","Yes","2G","SDHC","No","Unknown","Yes"
"Kobo Inc. , URL: /wiki/Rakuten_Kobo_Inc.
","Kobo Glo , URL: /wiki/Kobo_Glo
","2012","2015","6 in","Yes","eInk Pearl","","185 g (6.5 oz)","758 × 1024","Yes","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kobo Inc. , URL: /wiki/Rakuten_Kobo_Inc.
","Kobo Mini , URL: /wiki/Kobo_Mini
","2012","2014","5 in","No","eInk Vizplex","","134 g (4.7 oz)","600 × 800","Yes","Wi-Fi","No","shelves","2 GB","No","Yes","Yes","Yes"
"Kobo Inc. , URL: /wiki/Rakuten_Kobo_Inc.
","Kobo Touch , URL: /wiki/Kobo_Touch
","2011","2013","6 in","No","eInk Pearl","","200 g (7.1 oz)","600 × 800","Yes","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kobo Inc. , URL: /wiki/Rakuten_Kobo_Inc.
","Kobo eReader , URL: /wiki/Kobo_eReader
","2010","2011","6 in","No","eInk","","221 g (7.8 oz)","600 × 800","No","Wi-Fi","No","Unknown","1 GB","SD 4 GB","No","Yes","Unknown"
"Kobo Inc. , URL: /wiki/Rakuten_Kobo_Inc.
","Kobo eReader","2010","2011","6 in","No","eInk","","221 g (7.8 oz)","600 × 800","No","Bluetooth","No","Unknown","1 GB","SD","Yes","Yes","Unknown"
"Kogan.com , URL: /wiki/Kogan.com
","Kogan eBook Reader","2010","?","6 in","No","eInk","","228 g (8.0 oz)","600 × 800","No","No","No","Yes","2 GB","SDHC","No","Unknown","Unknown"
"Kyobo Inc.","Kyobo E-reader Mirasol","2011","2012","5.7 in","No","Mirasol , URL: /wiki/Interferometric_modulator_display
","","294 g (10.4 oz)","768 × 1024","Yes","Wi-Fi","Yes","Unknown","Unknown GB","SDHC","Yes","Unknown","Yes"
"Onyx Inc. , URL: /wiki/Onyx_Boox
","BOOX , URL: /wiki/Boox
","2009","2012","6 in","No","eink","","298g","600 x 800","Yes","Wi-Fi","Yes","Yes","512 MB","SDHC","Yes","No","Yes"
"Onyx Inc. , URL: /wiki/Onyx_Boox
","BOOX , URL: /wiki/Boox
","2010","2011","6 in","No","eInk","","298 g (10.5 oz)","600 × 800","Yes","Wi-Fi","Yes","Yes","512 MB","SDHC","Yes","No","Yes"
"Onyx Inc. , URL: /wiki/Onyx_Boox
","BOOX , URL: /wiki/Boox
","2010","2011","9.7 in","No","eInk Pearl","","275 g (9.7 oz)","600 × 800","Yes","Wi-Fi","Yes","Yes","2 GB","SDHC","Yes","No","Yes"
"Onyx Inc. , URL: /wiki/Onyx_Boox
","BOOX , URL: /wiki/Boox
","2011","2013","6 in","No","eInk Pearl","","238 g (8.4 oz)","600x800","Yes (IR)","Wi-Fi","Yes","Yes","4 GB","Yes","Yes","No","Yes"
"Onyx Inc. , URL: /wiki/Onyx_Boox
","BOOX , URL: /wiki/Boox
","2012","2013","6 in","Yes","eInk","","238 g (8.4 oz)","758 × 1024","Yes (IR)","Wi-Fi","Yes","Yes","4 GB","Yes","Yes","No","Yes"
"PocketBook , URL: /wiki/PocketBook
","PocketBook Pro 603","2010","?","6 in","No","eInk","","280 g (9.9 oz)","600 × 800","Stylus","Wi-Fi, Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook , URL: /wiki/PocketBook
","PocketBook Pro 602","2010","?","6 in","No","eInk","","250 g (8.8 oz)","600 × 800","No","Wi-Fi, Bluetooth","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook , URL: /wiki/PocketBook
","PocketBook Pro 903","2010","2011","9.7 in","No","eInk","","581 g (20.5 oz)","825 × 1200","Stylus","Wi-Fi, Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook , URL: /wiki/PocketBook
","PocketBook Pro 902","2010","2011","9.7 in","No","eInk","","530 g (19 oz)","825 × 1200","No","Wi-Fi, Bluetooth","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"Samsung , URL: /wiki/Samsung
","Papyrus","2009","2010","5 in","No","eInk","","184 g (6.5 oz)","600 × 800","Yes","No","Yes","Unknown","512M","No","Unknown","Yes","Unknown"
"Samsung","E6","2010","2011","6 in","No","eInk","","315 g (11.1 oz)","600 × 800","Stylus","Wi-Fi, Bluetooth","Yes","Yes","2 GB (1.4 GB)","micro SD","limited","Yes","Unknown"
"Sony , URL: /wiki/Sony
","DPT-S1 , URL: /wiki/Sony_Digital_Paper_DPTS1
","2014","2016","13.3 in (letter=13.9 in, A4=14.3 in)","No","eInk Mobius","","357g (12.6 oz)","1200 x 1600","Yes","Wi-Fi b/g/n","No","Yes","4 GB","Yes","Yes","PDF only","Yes"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2011","2012","5 in","No","eInk Vizplex","","220 g (7.8 oz)","600 × 800","No","No","No","Unknown","512 MB (350 MB)","No","No","Yes","Unknown"
"Sony , URL: /wiki/Sony
","Sony Reader , URL: /wiki/Sony_Reader
","2010","2011","5 in","No","eInk Pearl","","155 g (5.5 oz)","600 × 800","Yes","No","No","collections","2 GB (1.4 GB)","No","No","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2010","2011","6 in","No","eInk","","215 g (7.6 oz)","600 × 800","Yes","No","No","collections","2 GB (1.4 GB)","SDHC, MSPro DUO","No","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2009","2011","7.1 in","No","eInk","","283 g (10.0 oz)","600 × 1024","Yes","No","No","Unknown","2 GB","SDHC, MSPro DUO","Unknown","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2009","2010","6 in","No","eInk","","286 g (10.1 oz)","600 × 800","Yes","No","No","Unknown","512 MB (380 MB)","SDHC, MSPro Duo","No","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2009","2010","5 in","No","eInk","","220 g (7.8 oz)","600 × 800","No","No","No","Unknown","512 MB (480 MB)","No","No","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2008","2009","6 in","Yes","eInk","","283 g (10.0 oz)","600 × 800","Yes","No","Unknown","Unknown","512 MB","SDHC","Unknown","Yes","Unknown"
"Sony","PRS-505 , URL: /wiki/PRS-505
","2008","2009","6 in","No","eInk","","250 g (8.8 oz)","600 × 800","No","No","No","Unknown","256 MB, (192 MB)","SD, MS","No","Yes","Unknown"
"Sony","Sony Reader , URL: /wiki/Sony_Reader
","2006","2008","6 in","No","eInk","","250 g (8.8 oz)","600 × 800","No","No","No","No","92 MB","SD","No","Yes","Unknown"
"Sony , URL: /wiki/Sony
","Reader PRS-T1","2011","2012","6 in","No","eInk Pearl","","168 g (5.9 oz)","600 × 800","Yes (IR)","Wi-Fi","No","Collections","2 GB (1.3 GB)","Yes","Yes","Yes","Unknown"
"Sony , URL: /wiki/Sony
","Reader PRS-T2 , URL: /wiki/Sony_Reader
","2012","2013","6 in","No","eInk Pearl","","167 g (5.9 oz)","600 × 800","2-Point","Wi-Fi","No","Collections","2 GB (1.3 GB)","Yes","Yes","Yes","Unknown"
"Sony , URL: /wiki/Sony
","Reader PRS-T3 , URL: /wiki/Sony_Reader
","2013","2014","6 in","No","eInk Pearl","","198 g (6.9 oz)","758 x 1024","2-Point","Wi-Fi","No","Collections","2 GB (1.3 GB)","Yes","Yes","Yes","Unknown"
"Tolino , URL: /w/index.php?title=Tolino&action=edit&redlink=1
","tolino shine","2013","2015","6 in","Yes","E Ink Pearl","","183 g (6.5 oz)","758 × 1024","Yes","Yes","No","Yes","4 GB (2 GB)","Yes","Yes","Yes","Unknown"
"Tolino , URL: /w/index.php?title=Tolino&action=edit&redlink=1
","tolino vision","2014","2015","6 in","Yes","E Ink Carta","","178 g","758 × 1024","Yes","Wi-Fi","No","Yes","2 GB","Yes","Yes","Yes","Unknown"
"Tolino , URL: /w/index.php?title=Tolino&action=edit&redlink=1
","tolino vision 4 HD","2016","2019","6 in","Yes","E Ink Carta","","175 g","1448 × 1072","Yes","Wi-Fi (b/g/n)","No","Yes","8 GB (6 GB available for user)","No","Yes","Yes","Unknown"
"Tolino , URL: /w/index.php?title=Tolino&action=edit&redlink=1
","Tolino Epos , URL: /w/index.php?title=Tolino&action=edit&redlink=1
","2017","2019","7.8 in","Yes","E Ink Carta","","260 g (9.2 oz)","1404 x 1872","Yes","Wi-Fi","No","Yes","8 GB","No","Yes","Yes","Unknown"
"TrekStor , URL: /wiki/TrekStor
","Pyrus maxi[9]","2013","2014","8 in","No","Digital Ink","","309 g (10.9 oz)","768 × 1024","No","No","No","Yes","4 GB","Yes","No","Yes","Unknown"
"Wexler","Flex ONE[10]","2012","2013","6 in","No","LG flex","","110 g (3.9 oz)","768 x 1024","No","No","No","Yes","8 GB","No","No","No","Unknown"
"Wexler","WEXLER.BOOK E6003","2012","?","6 in","No","eink","ED060SC7(LF)","175 g (5.7 oz)","600 x 800","No","No","No","Yes","4 GB","Yes","No","No","Unknown"
"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Screen model","Weight","Screen pixels , URL: /wiki/Display_resolution
","Touch screen","Wireless network","Text-to-speech","Folders","Internal Storage","Micro SDHC","Web browser","Library DRM compatible","USB peripherals"
