"Model","Type of device","Brand","Release year","Operating system","OS version","Kernel","UI and version","Comment"
"Nokia 9300 , URL: /wiki/Nokia_9300
","Smartphone","Nokia","","Symbian OS","","","S80 v2.0",""
"Nokia 9300i , URL: /wiki/Nokia_9300i
","Smartphone","Nokia","","Symbian OS","","","S80 v2.0",""
"Nokia 9500 , URL: /wiki/Nokia_9500
","Smartphone","Nokia","","Symbian OS","","","S80 v2.0",""
"Nokia C5-00 , URL: /wiki/Nokia_C5-00
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia C5-01 , URL: /w/index.php?title=Nokia_C5-01&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia C5-03 , URL: /wiki/Nokia_C5-03
","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia C6-00 , URL: /wiki/Nokia_C6-00
","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia C6-01 , URL: /wiki/Nokia_C6-01
","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3, version 5.2",""
"Nokia C7-00 , URL: /wiki/Nokia_C7-00
","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3, version 5.2",""
"Nokia E5-00 , URL: /wiki/Nokia_E5-00
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E50 , URL: /wiki/Nokia_E50
","Smartphone","Nokia","","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E51 , URL: /wiki/Nokia_E51
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia E52 , URL: /wiki/Nokia_E52
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E55 , URL: /wiki/Nokia_E55
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E60 , URL: /wiki/Nokia_E60
","Smartphone","Nokia","","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E61 , URL: /wiki/Nokia_E61
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E61i , URL: /wiki/Nokia_E61i
","Smartphone","Nokia","2007","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E62 , URL: /wiki/Nokia_E62
","Smartphone","Nokia","","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E63 , URL: /wiki/Nokia_E63
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia E65 , URL: /wiki/Nokia_E65
","Smartphone","Nokia","2007","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E66 , URL: /wiki/Nokia_E66
","Smartphone","Nokia","2008","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia E7-00 , URL: /wiki/Nokia_E7-00
","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3, version 5.2",""
"Nokia E70 , URL: /wiki/Nokia_E70
","Smartphone","Nokia","","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia E71 , URL: /wiki/Nokia_E71
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia E72 , URL: /wiki/Nokia_E72
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E73 , URL: /wiki/Nokia_E73
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E75 , URL: /wiki/Nokia_E75
","Smartphone","Nokia","2009","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia E90 Communicator , URL: /wiki/Nokia_E90_Communicator
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N70 , URL: /wiki/Nokia_N70
","Smartphone","Nokia","2005","Symbian OS","8.1a","","S60 2nd Edition, Feature Pack 3, version 2.8",""
"Nokia N71 , URL: /wiki/Nokia_N71
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N72 , URL: /wiki/Nokia_N72
","Smartphone","Nokia","2006","Symbian OS","8.1a","","S60 2nd Edition, Feature Pack 3, version 2.8",""
"Nokia N73 , URL: /wiki/Nokia_N73
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N75 , URL: /wiki/Nokia_N75
","Smartphone","Nokia","2007","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N76 , URL: /wiki/Nokia_N76
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N77 , URL: /wiki/Nokia_N77
","Smartphone","Nokia","2007","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N78 , URL: /wiki/Nokia_N78
","Smartphone","Nokia","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia N79 , URL: /wiki/Nokia_N79
","Smartphone","Nokia","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia N8 , URL: /wiki/Nokia_N8
","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3, version 5.2",""
"Nokia N80 , URL: /wiki/Nokia_N80
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N81 , URL: /wiki/Nokia_N81
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N81 8GB , URL: /wiki/Nokia_N81_8GB
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N82 , URL: /wiki/Nokia_N82
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N85 , URL: /wiki/Nokia_N85
","Smartphone","Nokia","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia N86 8MP , URL: /wiki/Nokia_N86_8MP
","Smartphone","Nokia","2009","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia N90 , URL: /wiki/Nokia_N90
","Smartphone","Nokia","2005","Symbian OS","8.1a","EKA1 , URL: /wiki/EKA1
","S60 2nd Edition, Feature Pack 3, version 2.8",""
"Nokia N91 , URL: /wiki/Nokia_N91
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N91 8GB , URL: /wiki/Nokia_N91_8GB
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N92 , URL: /wiki/Nokia_N92
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N93 , URL: /wiki/Nokia_N93
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N93i , URL: /wiki/Nokia_N93i
","Smartphone","Nokia","2007","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia N95 , URL: /wiki/Nokia_N95
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N95 8GB , URL: /wiki/Nokia_N95_8GB
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia N96 , URL: /wiki/Nokia_N96
","Smartphone","Nokia","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia N97 , URL: /wiki/Nokia_N97
","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia N97 mini , URL: /wiki/Nokia_N97_mini
","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia X5-00 , URL: /wiki/Nokia_X5
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia X5-01","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia X6-00 , URL: /wiki/Nokia_X6_(2009)
","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S60 5th Edition, version 5","First S60 capacative touchscreen"
"Nokia N-Gage , URL: /wiki/Nokia_N-Gage
","Smartphone and game console","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Nokia N-Gage QD , URL: /wiki/Nokia_N-Gage_QD
","Smartphone and game console","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Panasonic X700 , URL: /w/index.php?title=Panasonic_X700&action=edit&redlink=1
","Smartphone","Panasonic","","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Panasonic X800 , URL: /w/index.php?title=Panasonic_X800&action=edit&redlink=1
","Smartphone","Panasonic","","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Samsung i7110 Pilot , URL: /w/index.php?title=Samsung_i7110_Pilot&action=edit&redlink=1
","Smartphone","Samsung","2009","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Samsung i8510 INNOV8 , URL: /w/index.php?title=Samsung_i8510_INNOV8&action=edit&redlink=1
","Smartphone","Samsung","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Samsung i8910 , URL: /wiki/Samsung_i8910
","Smartphone","Samsung","2009","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Samsung SGH-D720 , URL: /w/index.php?title=Samsung_SGH-D720&action=edit&redlink=1
","Smartphone","Samsung","2005","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Samsung SGH-D728 , URL: /w/index.php?title=Samsung_SGH-D728&action=edit&redlink=1
","Smartphone","Samsung","2005","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Samsung SGH-D730 , URL: /w/index.php?title=Samsung_SGH-D730&action=edit&redlink=1
","Smartphone","Samsung","2005","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Samsung SGH-G810 , URL: /wiki/Samsung_SGH-G810
","Smartphone","Samsung","2008","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i400 , URL: /w/index.php?title=Samsung_SGH-i400&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i408 , URL: /w/index.php?title=Samsung_SGH-i408&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i450 , URL: /w/index.php?title=Samsung_SGH-i450&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i458 , URL: /w/index.php?title=Samsung_SGH-i458&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i520 , URL: /w/index.php?title=Samsung_SGH-i520&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i550 , URL: /w/index.php?title=Samsung_SGH-i550&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i550w , URL: /wiki/Samsung_SGH-i550w
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i560 , URL: /w/index.php?title=Samsung_SGH-i560&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-i568 , URL: /w/index.php?title=Samsung_SGH-i568&action=edit&redlink=1
","Smartphone","Samsung","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Samsung SGH-L870 , URL: /w/index.php?title=Samsung_SGH-L870&action=edit&redlink=1
","Smartphone","Samsung","2008","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Sendo X , URL: /wiki/Sendo_X
","Smartphone","Sendo","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Sendo X2 , URL: /wiki/Sendo_X2
","Smartphone","Sendo","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2","Sendo , URL: /wiki/Sendo
"
"DoCoMo SH-07B , URL: /w/index.php?title=DoCoMo_SH-07B&action=edit&redlink=1
","Feature phone","Sharp","","Symbian^2","9.5","EKA2","MOAP(S)",""
"Siemens SX1 , URL: /wiki/Siemens_SX1
","Smartphone","Siemens","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Sony Ericsson G700 Business Edition , URL: /w/index.php?title=Sony_Ericsson_G700_Business_Edition&action=edit&redlink=1
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson G700 , URL: /wiki/Sony_Ericsson_G700
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson G900 , URL: /wiki/Sony_Ericsson_G900
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson M600 , URL: /wiki/Sony_Ericsson_M600
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson P800 , URL: /wiki/Sony_Ericsson_P800
","Smartphone","Sony Ericsson","","Symbian OS","7.0","","UIQ , URL: /wiki/UIQ
","First model with UIQ 2.0"
"Sony Ericsson P900 , URL: /wiki/Sony_Ericsson_P900
","Smartphone","Sony Ericsson","","Symbian OS","7.0","","UIQ 2.1",""
"Sony Ericsson P910 , URL: /wiki/Sony_Ericsson_P910
","Smartphone","Sony Ericsson","","Symbian OS","7.0","","UIQ 2.1",""
"Sony Ericsson P990 , URL: /wiki/Sony_Ericsson_P990
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0","First model with UIQ 3.0"
"Sony Ericsson P1 , URL: /wiki/Sony_Ericsson_P1
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson W950 , URL: /wiki/Sony_Ericsson_W950
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson W960 , URL: /wiki/Sony_Ericsson_W960
","Smartphone","Sony Ericsson","","Symbian OS","9.1","","UIQ 3.0",""
"Sony Ericsson Satio , URL: /wiki/Sony_Ericsson_Satio
","Smartphone","Sony Ericsson","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Sony Ericsson Vivaz , URL: /wiki/Sony_Ericsson_Vivaz
","Smartphone","Sony Ericsson","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Sony Ericsson Vivaz Pro , URL: /wiki/Sony_Ericsson_Vivaz_Pro
","Smartphone","Sony Ericsson","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
