"Name","Word processing Software , URL: /wiki/Word_processor
","Spreadsheet Software , URL: /wiki/Spreadsheet
","Presentation Software , URL: /wiki/Presentation_program
","Notetaking software , URL: /wiki/Comparison_of_notetaking_software
","Diagramming software","Raster graphics editor , URL: /wiki/Raster_graphics_editor
","Vector graphics editor , URL: /wiki/Vector_graphics_editor
","Image viewer , URL: /wiki/Image_viewer
","Formula editor , URL: /wiki/Formula_editor
","Database management software , URL: /wiki/Database_management_system
","Project management software , URL: /wiki/Project_management_software
","Desktop publishing software , URL: /wiki/Desktop_publishing_software
","Communication , URL: /wiki/Communication
","Calendaring software , URL: /wiki/Calendaring_software
","File hosting service , URL: /wiki/File_hosting_service
"
"iWork , URL: /wiki/IWork
","Pages , URL: /wiki/Pages_(word_processor)
","Numbers , URL: /wiki/Numbers_(spreadsheet)
","Keynote , URL: /wiki/Keynote_(presentation_software)
","Notes , URL: /wiki/Notes_(Apple)
","No","No","No","No","Yes","No","No","Pages , URL: /wiki/Pages_(word_processor)
","No","No","iCloud , URL: /wiki/ICloud
"
"LibreOffice , URL: /wiki/LibreOffice
","LibreOffice Writer , URL: /wiki/LibreOffice_Writer
","LibreOffice Calc , URL: /wiki/LibreOffice_Calc
","LibreOffice Impress , URL: /wiki/LibreOffice#Included_applications
","No","LibreOffice Draw , URL: /wiki/LibreOffice#Included_applications
","LibreOffice Draw[45]","LibreOffice Draw","LibreOffice Draw[45]","LibreOffice Math , URL: /wiki/LibreOffice#Included_applications
","LibreOffice Base , URL: /wiki/LibreOffice#Included_applications
","Partial[e]","LibreOffice Writer and LibreOffice Draw[h]","No","No","No"
"Lotus SmartSuite , URL: /wiki/Lotus_SmartSuite
","Lotus Word Pro , URL: /wiki/Lotus_Word_Pro
","Lotus 1-2-3 , URL: /wiki/Lotus_1-2-3
","Lotus Freelance Graphics , URL: /wiki/Lotus_Freelance_Graphics
","No","Lotus Freelance Graphics , URL: /wiki/Lotus_Freelance_Graphics
","No","No","No","built in","Lotus Approach , URL: /wiki/Lotus_Approach
","Lotus Organizer , URL: /wiki/Lotus_Organizer
","No","No","No","No"
"Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft Word , URL: /wiki/Microsoft_Word
","Microsoft Excel , URL: /wiki/Microsoft_Excel
","Microsoft PowerPoint , URL: /wiki/Microsoft_PowerPoint
","Microsoft OneNote , URL: /wiki/Microsoft_OneNote
","Microsoft Visio , URL: /wiki/Microsoft_Visio
","No","Microsoft Visio (Viewer)[i]","Microsoft Office Picture Manager , URL: /wiki/Microsoft_Office_Picture_Manager
","Equation Editor , URL: /wiki/Microsoft_Office_shared_tools#Equation_Editor
","Microsoft Access , URL: /wiki/Microsoft_Access
","Microsoft Project , URL: /wiki/Microsoft_Project
","Microsoft Publisher , URL: /wiki/Microsoft_Publisher
","Microsoft Teams , URL: /wiki/Microsoft_Teams
","Microsoft Outlook , URL: /wiki/Microsoft_Outlook
","OneDrive , URL: /wiki/OneDrive
"
"Microsoft Works , URL: /wiki/Microsoft_Works
","Microsoft Works Word Processor , URL: /wiki/Microsoft_Works_Word_Processor
","Microsoft Works Spreadsheet , URL: /wiki/Microsoft_Works_Spreadsheet
","Microsoft Office PowerPoint , URL: /wiki/Microsoft_PowerPoint
","No","No","No","No","No","No","Microsoft Works Database , URL: /wiki/Microsoft_Works_Database
","No","No","No","No","No"
"OfficeSuite , URL: /wiki/OfficeSuite
","Word Module","Spreadsheet Module","Presentation Module","No","No","No","No","No","No","No","No","No","No","No","No"
"NeoOffice , URL: /wiki/NeoOffice
","NeoOffice Writer , URL: /wiki/NeoOffice_Writer
","NeoOffice Calc , URL: /wiki/NeoOffice_Calc
","NeoOffice Impress , URL: /wiki/NeoOffice_Impress
","No","NeoOffice Draw , URL: /wiki/NeoOffice_Draw
","No","NeoOffice Draw , URL: /wiki/NeoOffice_Draw
","No","NeoOffice Math , URL: /wiki/NeoOffice_Math
","NeoOffice Base , URL: /wiki/NeoOffice_Base
","No","NeoOffice Draw , URL: /wiki/NeoOffice_Draw
","No","No","No"
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","Textmaker , URL: /wiki/Textmaker
","PlanMaker , URL: /wiki/PlanMaker
","Presentations , URL: /wiki/SoftMaker_Presentations
","No","No","No","No","No","Yes","DataMaker , URL: /wiki/DataMaker
","No","Yes","No","No","No"
"StarOffice , URL: /wiki/StarOffice
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","StarCalc , URL: /wiki/StarCalc
","StarImpress , URL: /wiki/StarImpress
","No","StarDraw , URL: /wiki/StarDraw
","No","StarDraw , URL: /wiki/StarDraw
","No","StarMath , URL: /wiki/StarMath
","StarBase , URL: /wiki/StarBase
","No","StarDraw , URL: /wiki/StarDraw
","No","No","No"
"TeamLab , URL: /wiki/TeamLab
","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"Tiki Wiki CMS Groupware , URL: /wiki/Tiki_Wiki_CMS_Groupware
","Tiki Wiki","Tiki Spreadsheet","S5 format , URL: /wiki/S5_(file_format)
","Tiki Notepad","SVG-edit , URL: /wiki/SVG-edit
","SVG-edit , URL: /wiki/SVG-edit
","SVG-edit , URL: /wiki/SVG-edit
","Tiki File Gallery","No","Tiki Trackers","Tiki Trackers, Tiki Wiki and Tiki Task","No","No","No","No"
"WordPerfect Office , URL: /wiki/WordPerfect_Office
","WordPerfect , URL: /wiki/WordPerfect
","Quattro Pro , URL: /wiki/Quattro_Pro
","Corel Presentations , URL: /wiki/Corel_Presentations
","WordPerfect Lightning , URL: /wiki/Corel_WordPerfect_Lightning
","Corel Presentations , URL: /wiki/Corel_Presentations
","Corel Paint Shop Pro , URL: /wiki/Corel_Paint_Shop_Pro
","Corel Draw , URL: /wiki/Corel_Draw
","No","Equation Editor","Paradox , URL: /wiki/Corel_Paradox
","Yes","Yes","No","No","No"
"WPS Office , URL: /wiki/WPS_Office
","WPS Writer , URL: /wiki/WPS_Office
","WPS Spreadsheets , URL: /wiki/WPS_Office
","WPS Presentation , URL: /wiki/WPS_Office
","No","No","No","No","No","Equation Editor[o]","No","No","No","No","No","No"
"Zoho Office Suite , URL: /wiki/Zoho_Office_Suite
","Zoho Writer","Zoho Sheet","Zoho Show","Zoho Notebook","No","No","No","No","No","Zoho Reports","Zoho Projects","No","No","No","No"
"Name","Word processing Software , URL: /wiki/Word_processor
","Spreadsheet Software , URL: /wiki/Spreadsheet
","Presentation Software , URL: /wiki/Presentation_program
","Notetaking software , URL: /wiki/Comparison_of_notetaking_software
","Diagramming software","Raster graphics editor , URL: /wiki/Raster_graphics_editor
","Vector graphics editor , URL: /wiki/Vector_graphics_editor
","Image viewer , URL: /wiki/Image_viewer
","Formula editor , URL: /wiki/Formula_editor
","Database management software , URL: /wiki/Database_management_system
","Project management software , URL: /wiki/Project_management_software
","Desktop publishing software , URL: /wiki/Desktop_publishing_software
","Communication , URL: /wiki/Communication
","Calendaring software , URL: /wiki/Calendaring_software
","File hosting service , URL: /wiki/File_hosting_service
"
