"","executables , URL: /wiki/Executable
","Symbolic computation , URL: /wiki/Symbolic_computation
","OOP , URL: /wiki/Object-oriented_programming
","GUI , URL: /wiki/Graphical_user_interface
","Multi-dimensional arrays , URL: /wiki/Array_data_type#Multi-dimensional_arrays
primitive data type , URL: /wiki/Primitive_data_type
","Centralized extension library website","Can call code in other languages","Can be called from other languages"
"Mathematica , URL: /wiki/Mathematica
","Yes[37]","Yes","Yes","Yes","Yes","Yes[38]","Java , URL: /wiki/Java_(programming_language)
.NET , URL: /wiki/.NET_Framework
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
CUDA , URL: /wiki/CUDA
OpenCL , URL: /wiki/OpenCL
R , URL: /wiki/R_Statistics
Python , URL: /wiki/Python_(programming_language)
SQL , URL: /wiki/SQL
SPARQL , URL: /wiki/SPARQL
NodeJS , URL: /wiki/NodeJS
Julia , URL: /wiki/Julia_(programming_language)
","Java , URL: /wiki/Java_(programming_language)
.NET , URL: /wiki/.NET_Framework
C++ , URL: /wiki/C%2B%2B
Python , URL: /wiki/Python_(programming_language)
"
"Mathematica , URL: /wiki/Mathematica
","Yes[37]","Yes","Yes","Yes","Yes","Yes[38]","Java , URL: /wiki/Java_(programming_language)
.NET , URL: /wiki/.NET_Framework
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
CUDA , URL: /wiki/CUDA
OpenCL , URL: /wiki/OpenCL
R , URL: /wiki/R_Statistics
Python , URL: /wiki/Python_(programming_language)
SQL , URL: /wiki/SQL
SPARQL , URL: /wiki/SPARQL
NodeJS , URL: /wiki/NodeJS
Julia , URL: /wiki/Julia_(programming_language)
","Excel , URL: /wiki/Microsoft_Excel
LabVIEW , URL: /wiki/LabVIEW
"
"Mathematica , URL: /wiki/Mathematica
","Yes[37]","Yes","Yes","Yes","Yes","Yes[38]","Java , URL: /wiki/Java_(programming_language)
.NET , URL: /wiki/.NET_Framework
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
CUDA , URL: /wiki/CUDA
OpenCL , URL: /wiki/OpenCL
R , URL: /wiki/R_Statistics
Python , URL: /wiki/Python_(programming_language)
SQL , URL: /wiki/SQL
SPARQL , URL: /wiki/SPARQL
NodeJS , URL: /wiki/NodeJS
Julia , URL: /wiki/Julia_(programming_language)
","Haskell , URL: /wiki/Haskell_(programming_language)
AppleScript , URL: /wiki/AppleScript
Racket , URL: /wiki/Racket_(programming_language)
Visual Basic , URL: /wiki/Visual_Basic
Clojure , URL: /wiki/Clojure
MATLAB , URL: /wiki/MATLAB
"
"MATLAB , URL: /wiki/MATLAB
","with extension[47]","with extension library[48]","Yes[49]","Yes","Yes","Yes[50]","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
Java , URL: /wiki/Java_(programming_language)
ActiveX , URL: /wiki/ActiveX
",".NET , URL: /wiki/.NET_Framework
Java , URL: /wiki/Java_(programming_language)
Excel , URL: /wiki/Microsoft_Excel
"
"MATLAB , URL: /wiki/MATLAB
","with extension[47]","with extension library[48]","Yes[49]","Yes","Yes","Yes[50]","Mathematica , URL: /wiki/Mathematica
",".NET , URL: /wiki/.NET_Framework
Java , URL: /wiki/Java_(programming_language)
Excel , URL: /wiki/Microsoft_Excel
"
"MLAB , URL: /wiki/MLAB
","No","Yes","No","Yes","Yes","No","No","No"
"PDL , URL: /wiki/Perl_Data_Language
","Yes[55]","No","Yes[56]","Yes[57]","Yes","Yes[58]","C via perlXS; C, Python, F77, etc. via Inline","Perl, C[59]"
"Python , URL: /wiki/Python_(programming_language)
","Py2exe , URL: /wiki/Py2exe
","SymPy , URL: /wiki/SymPy
","Yes Inherently Object Oriented","tkinter , URL: /wiki/Tkinter
","Numpy , URL: /wiki/Numpy
","PyPI , URL: /wiki/PyPI
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
many others , URL: https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
many others , URL: https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages
"
"Python , URL: /wiki/Python_(programming_language)
","Py2exe , URL: /wiki/Py2exe
","SymPy , URL: /wiki/SymPy
","Yes Inherently Object Oriented","wxPython , URL: /wiki/WxPython
QT , URL: /wiki/Qt_(software)
Kivy , URL: /wiki/Kivy_(framework)
many others , URL: https://wiki.python.org/moin/GuiProgramming
","Numpy , URL: /wiki/Numpy
","PyPI , URL: /wiki/PyPI
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
many others , URL: https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
many others , URL: https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages
"
"R , URL: /wiki/R_(programming_language)
","No","Yes and extended via Ryacas package","Yes[60]","Via the tcltk library","Yes","Yes[61]","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
","Excel , URL: /wiki/Microsoft_Excel
"
"R , URL: /wiki/R_(programming_language)
","No","Yes and extended via Ryacas package","Yes[60]","Via the tcltk library","Yes","Yes[61]","MATLAB , URL: /wiki/MATLAB
","Python , URL: /wiki/Python_(programming_language)
"
"R , URL: /wiki/R_(programming_language)
","No","Yes and extended via Ryacas package","Yes[60]","Via the tcltk library","Yes","Yes[61]","Python , URL: /wiki/Python_(programming_language)
","SAS , URL: /wiki/SAS_(software)
"
"SageMath , URL: /wiki/SageMath
","No","Yes","Yes","No","Yes","Yes[68]","Many languages[69][70][71]","Yes (any language that can call Python)"
"SAS , URL: /wiki/SAS_(software)
","No","No","DS2 and SCL","Yes","No","No","C , URL: /wiki/C_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","No"
"SAS , URL: /wiki/SAS_(software)
","No","No","DS2 and SCL","Yes","No","No","R , URL: /wiki/R_(programming_language)
","No"
"TK Solver , URL: /wiki/TK_Solver
","with extension","No","Yes","with extension","Yes","Yes",".NET , URL: /wiki/.NET_Framework
Excel , URL: /wiki/Microsoft_Excel
","Unknown"
