"EPOC32 , URL: /wiki/EPOC32
","Psion PLC , URL: /wiki/Psion_PLC
","1996","","ER5","1999","Discontinued; Commercial","Proprietary , URL: /wiki/Proprietary_software
","PDA , URL: /wiki/Personal_digital_assistant
"
"FreeBSD , URL: /wiki/FreeBSD
","The FreeBSD Project","1993","386BSD , URL: /wiki/386BSD
","13.0","April 13, 2021","No cost , URL: /wiki/Gratis_versus_libre
","BSD , URL: /wiki/BSD_licenses
","Server, workstation, NAS, embedded system"
"Genode , URL: /wiki/Genode
","Genode Labs","2008","None","
URL: https://www.wikidata.org/wiki/Q16527380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","May 31, 2021","No cost , URL: /wiki/Gratis_versus_libre
","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
","Desktop, embedded system, server"
"GhostBSD , URL: /wiki/GhostBSD
","Eric Turgeon","2009","FreeBSD","21.05[2]","May 13, 2021","No cost , URL: /wiki/Gratis_versus_libre
","BSD , URL: /wiki/BSD_licenses
","Desktop, workstation"
"Linux , URL: /wiki/Linux
","Richard Stallman , URL: /wiki/Richard_Stallman
GNU Project , URL: /wiki/GNU_Project
Linus Torvalds , URL: /wiki/Linus_Torvalds
Linux , URL: /wiki/Linux
Red Hat , URL: /wiki/Red_Hat
Debian Project , URL: /wiki/Debian_Project
Comparison of Linux distributions , URL: /wiki/Comparison_of_Linux_distributions
Linux kernel#Development , URL: /wiki/Linux_kernel#Development
","Comparison of Linux distributions , URL: /wiki/Comparison_of_Linux_distributions
History of Linux , URL: /wiki/History_of_Linux
","None","
URL: https://www.wikidata.org/wiki/Q14579?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","11 March 2022; 2 days ago (11 March 2022) (kernel)","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","Comparison of Linux distributions , URL: /wiki/Comparison_of_Linux_distributions
"
"Haiku , URL: /wiki/Haiku_(operating_system)
","Haiku Inc.","2009","BeOS R5 , URL: /wiki/BeOS_R5
","R1/Beta 3","July 26, 2021","No cost , URL: /wiki/Gratis_versus_libre
","MIT , URL: /wiki/MIT_License
","Personal computer"
"HP NonStop , URL: /wiki/NonStop_(server_computers)
","HP , URL: /wiki/Hewlett-Packard
Hewlett Packard Enterprise , URL: /wiki/Hewlett_Packard_Enterprise
","1974","Guardian , URL: /w/index.php?title=Guardian_(operating_system)&action=edit&redlink=1
","H06.24/J06.13","2012","Bundled with hardware?","Proprietary , URL: /wiki/Proprietary_software
","HP Nonstop Servers"
"HP-UX , URL: /wiki/HP-UX
","HP , URL: /wiki/Hewlett-Packard
Hewlett Packard Enterprise , URL: /wiki/Hewlett_Packard_Enterprise
","1983","UNIX System V , URL: /wiki/UNIX_System_V
","11i v3 2020 Release","May 2020","US$400","Proprietary , URL: /wiki/Proprietary_software
","Server"
"IBM i , URL: /wiki/IBM_i
","IBM , URL: /wiki/IBM
","1988","CPF , URL: /wiki/Control_Program_Facility
SSP , URL: /wiki/System_Support_Program
","7.4","April 23, 2019","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Server"
"Inferno , URL: /wiki/Inferno_(operating_system)
","Bell Labs , URL: /wiki/Bell_Labs
","1997","Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
","Fourth Edition","June 30, 2009","No cost , URL: /wiki/Gratis_versus_libre
","MIT , URL: /wiki/MIT_License
","NAS, server, embedded"
"iOS , URL: /wiki/IOS
","Apple Inc. , URL: /wiki/Apple_Inc.
","2007","macOS","15.0.2","October 11, 2021","Bundled with hardware and updates at no cost given to most existing users, subject to hardware requirements","Proprietary , URL: /wiki/Proprietary_software
APSL , URL: /wiki/Apple_Public_Source_License
","Smartphone , URL: /wiki/Smartphone
music player , URL: /wiki/Portable_media_player
tablet , URL: /wiki/Tablet_computer
"
"IRIX , URL: /wiki/IRIX
","SGI , URL: /wiki/Silicon_Graphics
","1988","UNIX System V","6.5.30","2006","Discontinued; Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Server, workstation"
"macOS , URL: /wiki/MacOS
Mac OS X , URL: /wiki/Mac_OS_X
","Apple Inc. , URL: /wiki/Apple_Inc.
","2001","NeXTSTEP , URL: /wiki/NeXTSTEP
BSD , URL: /wiki/Berkeley_Software_Distribution
","11.6 Big Sur","September 13, 2021","Bundled with hardware; No cost for updates and upgrades via Mac App Store for users of Mac OS X 10.6 or later","Proprietary , URL: /wiki/Proprietary_software
APSL , URL: /wiki/Apple_Public_Source_License
","Workstation, personal computer, embedded"
"macOS Server , URL: /wiki/MacOS_Server
Mac OS X Server , URL: /wiki/Mac_OS_X_Server
","Apple Computer, Inc. (now Apple Inc.)","2001","NeXTSTEP, BSD","5.11.1","May 2, 2021","Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of macOS; US$19.99 on the Mac App Store","Proprietary , URL: /wiki/Proprietary_software
","Server"
"MCP , URL: /wiki/Burroughs_MCP
","Unisys , URL: /wiki/Unisys
","1961","None","CP OS 20.0","May 2021","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Server"
"MINIX 3 , URL: /wiki/MINIX_3
","Andrew S. Tanenbaum , URL: /wiki/Andrew_S._Tanenbaum
","2005","Minix2","3.3.0","2014","No cost , URL: /wiki/Gratis_versus_libre
","BSD-3-Clause , URL: /wiki/BSD_licenses
","Workstation"
"MPE , URL: /wiki/Multi-Programming_Executive
","HP , URL: /wiki/Hewlett-Packard
","1974","None","MPE-V","1988","Discontinued; Was bundled with HP-3000 CISC hardware ""Classic""","Proprietary , URL: /wiki/Proprietary_software
","Server"
"MPE/XL , URL: /wiki/MPE/XL
","HP , URL: /wiki/Hewlett-Packard
","1987","MPE , URL: /wiki/Multi-Programming_Executive
","7.5","2002","Discontinued; Was bundled with HP-3000 PA-RISC hardware","Proprietary , URL: /wiki/Proprietary_software
","Server"
"MVS , URL: /wiki/MVS
","IBM , URL: /wiki/IBM
","1972","OS/360 , URL: /wiki/OS/360
","MVS/ESA SP - JES3 version 5 R2.2","September 29, 1995","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe , URL: /wiki/IBM_mainframe
"
"NetBSD , URL: /wiki/NetBSD
","The NetBSD Project","1993","386BSD , URL: /wiki/386BSD
","9.2","May 12, 2021","No cost , URL: /wiki/Gratis_versus_libre
","BSD , URL: /wiki/BSD_licenses
","NAS, server, workstation, embedded"
"NetWare , URL: /wiki/Novell_NetWare
","Novell , URL: /wiki/Novell
","1985","S-Net , URL: /wiki/Novell_S-Net
","6.5 SP8","May 6, 2009","Novell Open Enterprise Server , URL: /wiki/Novell_Open_Enterprise_Server
","Proprietary , URL: /wiki/Proprietary_software
","Server"
"NeXTSTEP , URL: /wiki/NeXTSTEP
","NeXT , URL: /wiki/NeXT
","1989","Unix","3.3","1995","Discontinued; Was bundled with hardware, then sold separately","Proprietary , URL: /wiki/Proprietary_software
","Workstation"
"OpenBSD , URL: /wiki/OpenBSD
","The OpenBSD Project","1995","NetBSD 1.0","6.9","May 1, 2021","No cost , URL: /wiki/Gratis_versus_libre
","ISC , URL: /wiki/ISC_License
","Server, NAS, workstation, embedded"
"OpenIndiana , URL: /wiki/OpenIndiana
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","2010","OpenSolaris , URL: /wiki/OpenSolaris
","2021.04","April 30, 2021","No cost , URL: /wiki/Gratis_versus_libre
","CDDL , URL: /wiki/CDDL
","Server, workstation"
"OpenVMS , URL: /wiki/OpenVMS
","DEC , URL: /wiki/Digital_Equipment_Corporation
","1977","RSX-11 , URL: /wiki/RSX-11
","V8.4-2L3","April 8, 2021","Commercial, no cost for non-commercial use","Proprietary , URL: /wiki/Proprietary_software
","Server, workstation"
"OS/2 , URL: /wiki/OS/2
","IBM , URL: /wiki/IBM
Microsoft , URL: /wiki/Microsoft
","1987","MS-DOS , URL: /wiki/MS-DOS
","4.52","2001","Discontinued (see ArcaOS successor); Was US$300 (equivalent to $438.47 in 2020)","Proprietary , URL: /wiki/Proprietary_software
","Personal computer, server"
"OS/360 , URL: /wiki/OS/360
","IBM , URL: /wiki/IBM
","1966","None","Operating System/360 R21.8","August 1972","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe , URL: /wiki/IBM_mainframe
"
"OS/390 , URL: /wiki/OS/390
","IBM , URL: /wiki/IBM
","1995","MVS , URL: /wiki/MVS
","OS/390 version 2 R10","September 29, 2000","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe , URL: /wiki/IBM_mainframe
"
"OS 2200 , URL: /wiki/OS_2200
","Unisys , URL: /wiki/Unisys
","1967 as Exec 8e","Exec 8 , URL: /wiki/OS_2200#Exec_8
","CP OS 18 (Exec 49.2)","July 18, 2018","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Server"
"Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
","Bell Labs , URL: /wiki/Bell_Labs
","1993","Unix","Fourth Edition","2003 (except for minor later updates)","No cost , URL: /wiki/Gratis_versus_libre
","MIT , URL: /wiki/MIT_License
","HPC , URL: /wiki/High-performance_computing
"
"QNX , URL: /wiki/QNX
","QNX Software Systems","1982","Unix , URL: /wiki/Unix
POSIX , URL: /wiki/POSIX
","7.1.0","July 2020","Bundled with BlackBerry 10 and PlayBook devices. Commercial; an academic version exists that needs authorization code before installing","Proprietary , URL: /wiki/Proprietary_software
","Automotive, medical, smartphone, consumer, industrial, embedded system, safety"
"ReactOS , URL: /wiki/ReactOS
","ReactOS development team","1996","Windows NT , URL: /wiki/Windows_NT
","0.4.13","April 9, 2020","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Workstation, personal computer"
"RISC iX , URL: /wiki/RISC_iX
","Acorn Computers , URL: /wiki/Acorn_Computers
","1988","BSD 4.3","1.21c","1993","Discontinued; Was bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Workstation"
"RISC OS , URL: /wiki/RISC_OS
","Acorn Computers","1987","Arthur , URL: /wiki/History_of_RISC_OS#Early_development
","3.71","1997","Discontinued; Was bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Education, personal computer"
"RISC OS 4","RISCOS Ltd , URL: /wiki/RISCOS_Ltd
Pace plc , URL: /wiki/Pace_plc
","1999","RISC OS","4.39","2004","Bundled with hardware, then sold separately at £70 (US$127)","Proprietary , URL: /wiki/Proprietary_software
","Education, personal computer"
"RISC OS 5","Castle Technology , URL: /wiki/Castle_Technology
RISC OS Open , URL: /wiki/RISC_OS_Open
","2002","RISC OS 4","5.28[5]","2020","No cost , URL: /wiki/Gratis_versus_libre
","Apache-2.0 , URL: /wiki/Apache_License
","Education, personal computer"
"RISC OS 6","RISCOS Ltd","2006","RISC OS 4","6.20","2009","Bundled with hardware, then sold separately at £70 (US$127)","Proprietary , URL: /wiki/Proprietary_software
","Education, personal computer"
"Solaris , URL: /wiki/Solaris_(operating_system)
","Sun , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","1992","SunOS , URL: /wiki/SunOS
","11.4","August 28, 2018","Commercial; (a perpetual license at no cost when used ""for the purpose of developing, testing, prototyping and demonstrating your applications""[6])","CDDL , URL: /wiki/Common_Development_and_Distribution_License
","Server, workstation"
"STOP 6, XTS-400 , URL: /wiki/XTS-400
","BAE Systems , URL: /wiki/BAE_Systems
","2003","STOP 5, XTS-300","6.5","August 2008","OEM licensed , URL: /wiki/Original_equipment_manufacturer
","Proprietary , URL: /wiki/Proprietary_software
","Server, workstation"
"Symbian , URL: /wiki/Symbian
","Symbian Ltd. , URL: /wiki/Symbian_Ltd.
","1998","EPOC32","9.5","2009","Discontinued; Commercial","Proprietary , URL: /wiki/Proprietary_software
","Phone , URL: /wiki/Smartphone
"
"Symbian platform","Symbian Foundation , URL: /wiki/Symbian_Foundation
","2010 (initially 1998 as Symbian)","Symbian","3.0.4","2010","No cost , URL: /wiki/Gratis_versus_libre
","EPL , URL: /wiki/Eclipse_Public_License
","Embedded system"
"TrueOS , URL: /wiki/TrueOS
","PC-BSD Software","2006","FreeBSD[g 5]","18.03","March 30, 2018","No cost , URL: /wiki/Gratis_versus_libre
","BSD , URL: /wiki/BSD_licenses
","Personal computer, workstation, server"
"VME , URL: /wiki/ICL_VME
","ICL , URL: /wiki/International_Computers_Limited
","1974","None","SV294","1994","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","ICL mainframe , URL: /wiki/International_Computers_Limited
"
"VxWorks , URL: /wiki/VxWorks
","Wind River Systems , URL: /wiki/Wind_River_Systems
","1987","VRTX , URL: /wiki/Versatile_Real-Time_Executive
","7","March 2014","Paid","Proprietary , URL: /wiki/Proprietary_software
","Embedded real-time system"
"Windows (classic 9x family)","Microsoft , URL: /wiki/Microsoft
","1995","MS-DOS , URL: /wiki/MS-DOS
","Windows Me , URL: /wiki/Windows_Me
","2000","Discontinued","Proprietary , URL: /wiki/Proprietary_software
","Personal computer, media center"
"Windows , URL: /wiki/Microsoft_Windows
NT family , URL: /wiki/Windows_NT#Releases
","Microsoft , URL: /wiki/Microsoft
","1993","OS/2 , URL: /wiki/OS/2
Windows 9x , URL: /wiki/Windows_9x
","Windows 11 , URL: /wiki/Windows_11
","October 5, 2021","Windows 10 Home US$119, Windows 10 Pro US$199[7]","Proprietary , URL: /wiki/Proprietary_software
Source-available , URL: /wiki/Source-available_software
","media center , URL: /wiki/Home_theater_PC
"
"Windows Server , URL: /wiki/Windows_Server
","Microsoft , URL: /wiki/Microsoft
","1993","OS/2 , URL: /wiki/OS/2
Windows 2000 , URL: /wiki/Windows_2000
","Windows Server 2019 , URL: /wiki/Windows_Server_2019
","October 2, 2018","CALs , URL: /wiki/Client_Access_License
","Proprietary , URL: /wiki/Proprietary_software
Source-available , URL: /wiki/Source-available_software
","Server, NAS, embedded system"
"z/OS , URL: /wiki/Z/OS
","IBM , URL: /wiki/IBM
","2000","OS/390 , URL: /wiki/OS/390
","Version 2.4 (V2R4)","September 30, 2019","Monthly license fee, about US$130 and up","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe , URL: /wiki/IBM_mainframe
"
"z/VSE , URL: /wiki/Z/VSE
","IBM , URL: /wiki/IBM
","2007","VSE/ESA , URL: /wiki/VSE_(operating_system)
","6.2","December 1, 2017","Monthly license fee","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe"
"z/VM , URL: /wiki/Z/VM
","IBM , URL: /wiki/IBM
","2000","VM , URL: /wiki/VM_(operating_system)
","7.2","September 18, 2020[8]","Monthly license fee","Proprietary , URL: /wiki/Proprietary_software
","IBM mainframe"
"ZETA , URL: /wiki/Magnussoft_ZETA
","yellowTAB , URL: /wiki/YellowTAB
","2005","BeOS R5 , URL: /wiki/BeOS_R5
","1.5","2007","Discontinued","Proprietary , URL: /wiki/Proprietary_software
","Personal computer, media center, workstation"
"Name","Creator","Initial public release","Predecessor","Current stable version","Release date","Cost, availability","Preferred license[g 1]","Target system type"
