"Name","Parsing , URL: /wiki/Parsing
","Input grammar notation","Output languages , URL: /wiki/Programming_language
","Grammar, code","Lexer , URL: /wiki/Lexical_analyzer
","Development platform","IDE , URL: /wiki/Integrated_development_environment
","License , URL: /wiki/Software_license
"
"Syntax","LALR , URL: /wiki/LALR_parser
LR , URL: /wiki/LR_parser
SLR , URL: /wiki/SLR_parser
CLR , URL: /wiki/Canonical_LR_parser
LL , URL: /wiki/LL_parser
","JSON , URL: /wiki/JSON
Yacc , URL: /wiki/Yacc
","JavaScript , URL: /wiki/JavaScript
Python , URL: /wiki/Python_(programming_language)
PHP , URL: /wiki/PHP
Ruby , URL: /wiki/Ruby_(programming_language)
C++ , URL: /wiki/C%2B%2B
C# , URL: /wiki/C_Sharp_(programming_language)
Rust , URL: /wiki/Rust_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","Mixed","generated","All","No","MIT , URL: /wiki/MIT_License
"
"Laja","Scannerless, two phase","Laja","Java , URL: /wiki/Java_(programming_language)
","Separate","scannerless , URL: /wiki/Scannerless_parsing
","All","No","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"ModelCC","Earley , URL: /wiki/Earley_parser
","Annotated class model","Java , URL: /wiki/Java_(programming_language)
","Generated","generated","All","No","BSD , URL: /wiki/BSD_licenses
"
"P3","Earley–combinators","BNF-like","OCaml , URL: /wiki/OCaml
","Mixed","external, or scannerless","All","No","?"
"P4","Earley–combinators, infinitary CFGs","BNF-like","OCaml , URL: /wiki/OCaml
","Mixed","external, or scannerless","All","No","?"
"Scannerless Boolean Parser , URL: /wiki/Scannerless_Boolean_Parser
","Scannerless GLR , URL: /wiki/Scannerless_parsing
Boolean grammars , URL: /wiki/Boolean_grammar
","?","Haskell , URL: /wiki/Haskell_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","Separate","scannerless , URL: /wiki/Scannerless_parsing
","Java virtual machine , URL: /wiki/Java_virtual_machine
","No","BSD , URL: /wiki/BSD_licenses
"
"SDF , URL: /wiki/Syntax_Definition_Formalism
","Scannerless GLR , URL: /wiki/Scannerless_parsing
","SDF , URL: /wiki/Syntax_Definition_Formalism
","C , URL: /wiki/C_(programming_language)
Java , URL: /wiki/Java_(programming_language)
","Separate","scannerless , URL: /wiki/Scannerless_parsing
","All","Yes","BSD , URL: /wiki/BSD_licenses
"
"SmaCC","GLR , URL: /wiki/GLR_parser
LALR , URL: /wiki/LALR_parser
LR , URL: /wiki/Canonical_LR_parser
","?","Smalltalk , URL: /wiki/Smalltalk
","Mixed","internal","All","Yes","MIT , URL: /wiki/MIT_License
"
"SPARK","Earley , URL: /wiki/Earley_parser
","?","Python , URL: /wiki/Python_(programming_language)
","Mixed","external","All","No","MIT , URL: /wiki/MIT_License
"
"Tom","GLR , URL: /wiki/GLR_parser
","?","C , URL: /wiki/C_(programming_language)
","Generated","none","All","No","Free, "No licensing or copyright restrictions""
"UltraGram","LALR , URL: /wiki/LALR_parser
LR , URL: /wiki/LR_parser
GLR , URL: /wiki/GLR_parser
","?","C++ , URL: /wiki/C%2B%2B
C# , URL: /wiki/C_Sharp_(programming_language)
Java , URL: /wiki/Java_(programming_language)
Visual Basic .NET , URL: /wiki/Visual_Basic_.NET
","Separate","generated","Windows , URL: /wiki/Microsoft_Windows
","Yes","Proprietary , URL: /wiki/Proprietary_software
"
"Wormhole","Pruning , URL: /wiki/Pruning_(algorithm)
LR , URL: /wiki/LR_parser
GLR , URL: /wiki/GLR_parser
Scannerless GLR , URL: /wiki/Scannerless_parsing
","?","C , URL: /wiki/C_(programming_language)
Python , URL: /wiki/Python_(programming_language)
","Mixed","scannerless , URL: /wiki/Scannerless_parsing
","Windows , URL: /wiki/Microsoft_Windows
","No","MIT , URL: /wiki/MIT_License
"
"Whale Calf","SLL , URL: /wiki/LL_parser
conjunctive grammars , URL: /wiki/Conjunctive_grammar
LR , URL: /wiki/LR_parser
Boolean grammars , URL: /wiki/Boolean_grammar
","?","C++ , URL: /wiki/C%2B%2B
","Separate","external","All","No","Proprietary , URL: /wiki/Proprietary_software
"
"yaep","Earley , URL: /wiki/Earley_parser
","Yacc , URL: /wiki/Yacc
","C , URL: /wiki/C_(programming_language)
","Mixed","external","All","No","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
"
