"Shell","Usual environment","Usually invoked","Introduced","Platform-independent , URL: /wiki/Cross-platform
","Default login shell in","Default script shell in","License","Source code availability","User interface","Mouse support","Unicode , URL: /wiki/Unicode
","ISO 8601 , URL: /wiki/ISO_8601
","Console redirection , URL: /wiki/Console_redirection
","Stream , URL: /wiki/Standard_streams
redirection , URL: /wiki/Redirection_(computing)
","Configurability","Startup/shutdown scripts","Batch scripts","Logging","available as statically linked, independent single file executable"
"CMD.EXE , URL: /wiki/Cmd.exe
","Win32 , URL: /wiki/Win32
","CMD , URL: /wiki/CMD_(Windows_command)
","1993","No","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","MS , URL: /wiki/Microsoft
EULA , URL: /wiki/Software_license_agreement
","No","Text-based CLI","No","UTF-8 , URL: /wiki/UTF-8
","No","No","Yes","Yes (via registry, startup parameters, and environment variables)","Yes (automatic via registry, or explicitly via /K startup option)","Yes (via CALL command or /C and /K startup options)","No","Yes"
"4DOS , URL: /wiki/4DOS
NDOS , URL: /wiki/NDOS
","DOS , URL: /wiki/DOS
Windows 95 , URL: /wiki/Windows_95
98 , URL: /wiki/Windows_98
SE , URL: /wiki/Windows_98_SE
ME , URL: /wiki/Windows_ME
","4DOS , URL: /wiki/4DOS
NDOS , URL: /wiki/NDOS
","1989 (1986)","No (not bound to a specific OS vendor or version)","Optional","Optional","MIT License , URL: /wiki/MIT_License
","Yes","TUI , URL: /wiki/Text-based_user_interface
","Yes (popups, help system, %_MOUSE internal variable, INKEY /M command)","No","Yes","Yes (via CTTY con:, except for DRAWBOX, DRAWLINE, DRAWVLINE, LIST, SCREEN, SCRPUT, SELECT, VSCRPUT commands and file / directory coloring)","Yes ( stdin, stdout, stderr, stdout+stderr)","Yes (via 4DOS.INI/ NDOS.INI file, startup parameters, environment variables, SETDOS command)","Yes (automatic \AUTOEXEC.BAT for primary shell and 4START.BTM/ 4START.BAT as well as 4EXIT.BTM/ 4EXIT.BAT for any shell, or explicitly via /P, /P:dir\filename.ext or /K startup options)","Yes (via CALL command or /C and /K startup options)","Yes","Yes"
"4OS2 , URL: /wiki/4OS2
","OS/2 , URL: /wiki/OS/2
eComStation , URL: /wiki/EComStation
ArcaOS , URL: /wiki/ArcaOS
","4OS2 , URL: /wiki/4OS2
","1992","No (not bound to specific OS/2 versions)","Optional (but bundled with ArcaOS)","Optional","Freeware","Yes","Text-based CLI","No","No","No","No","Yes ( stdin, stdout, stderr, stdout+stderr)","Yes (via 4OS2.INI file, startup parameters, environment variables, SETDOS command)","Yes (automatic via 4START.CMD/ 4START.BTM as well as 4EXIT.CMD/ 4EXIT.BTM files, or explicitly via /K startup.cmd option)","Yes (via CALL command or /C and /K startup options)","Yes","?"
"TCC , URL: /wiki/Take_Command_Console
","Win32 , URL: /wiki/Win32
","TCC","1993","No (not bound to specific NT versions)","optional","optional","Shareware , URL: /wiki/Shareware
","No","Take Command , URL: /wiki/Take_Command_(command_line_interpreter)
GUI , URL: /wiki/GUI
","Yes (console mouse, popups, help system, %_XMOUSE, %_YMOUSE internal variables, INKEY /M command)","Yes","Yes","No","Yes ( stdin, stdout, stderr, stdout+stderr)","Yes (via registry, TCMD.INI/ 4NT.INI file, startup parameters, environment variables, SETDOS command)","Yes (automatic via registry and TCSTART/ 4START as well as TCEXIT/ 4EXIT, or explicitly via /K startup option)","Yes (via CALL command or /C and /K startup options)","Yes","No"
"VMS DCL , URL: /wiki/DIGITAL_Command_Language
","OpenVMS , URL: /wiki/OpenVMS
","Automatically for login/interactive process","1977?","Yes","VMS","VMS","Proprietary, bundled in VMS","by special license only","Text-based CLI","with DECwindows/Motif","Yes","Yes, at least to 1988 standard","Yes","Yes ( sys$input, sys$output assignment)","Yes (via symbols, logical names, and options)","Yes (SYS$MANAGER:SYLOGIN.COM and user defined LOGIN.COM)","Yes","Yes","No"
"PowerShell , URL: /wiki/PowerShell
",".NET , URL: /wiki/.NET_Core
.NET Framework , URL: /wiki/.NET_Framework
","PowerShell","2006","Yes","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","MIT , URL: /wiki/MIT_license
","Yes","Graphical CLI","Yes","Yes","Yes","Yes","Yes","Yes (via variables and options)","Yes (%USERPROFILE%\Documents \WindowsPowerShell\Microsoft.PowerShell_profile.ps1)","Yes (PowerShell feature)","Yes","No"
"rc , URL: /wiki/Rc
","Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
POSIX , URL: /wiki/POSIX
","rc","1989","Yes","Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
Version 10 Unix , URL: /wiki/Version_10_Unix
","Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
Version 10 Unix , URL: /wiki/Version_10_Unix
","MIT License , URL: /wiki/MIT_License
","?","?","?","Yes","?","?","Yes","?","?","?","?","Yes"
"BeanShell , URL: /wiki/BeanShell
","Java , URL: /wiki/Java_virtual_machine
","?","2005","Yes","?","?","LGPL , URL: /wiki/LGPL
","?","?","?","Yes","?","?","Yes","?","?","?","?","No"
"fish , URL: /wiki/Friendly_interactive_shell
","POSIX , URL: /wiki/POSIX
","fish","2005[23]","Yes","GhostBSD , URL: /wiki/GhostBSD
","?","GPL , URL: /wiki/GPL
","Yes","Text-based CLI","?","Yes","?","?","Yes (arbitrary fds[citation needed])","Yes (through environment variables and via web interface through fish_config)","Yes ( /etc/fish/config.fish and ~/.config/fish/config.fish)","Yes (Unix feature)","Yes ( ~/.config/fish/fish_history*)","?"
"Ion","Redox , URL: /wiki/Redox_(operating_system)
Linux , URL: /wiki/Linux
","ion","2015[24]","Yes","Redox , URL: /wiki/Redox_(operating_system)
","Redox , URL: /wiki/Redox_(operating_system)
","MIT , URL: /wiki/MIT_license
","Yes","Text-based CLI","?","Yes","Yes","?","Yes (arbitrary fds[citation needed])","Yes (follows the XDG Base Directory spec)","Yes ( ~/.config/ion/initrc)","Yes","Yes ( ~/.local/share/ion/history)","Partial (not distributed as a standalone executable, but it can be built as one)"
"Shell","Usual environment","Usually invoked","Introduced","Platform-independent , URL: /wiki/Cross-platform
","Default login shell in","Default script shell in","License","Source code availability","User interface","Mouse support","Unicode , URL: /wiki/Unicode
","ISO 8601 , URL: /wiki/ISO_8601
","Console redirection","Stream , URL: /wiki/Standard_streams
redirection , URL: /wiki/Redirection_(Unix)
","Configurability","Startup/shutdown scripts","Batch scripts","Logging","available as statically linked, independent single file executable"
