"Provider","Win.1","Linux1","Mac1","Android1","iOS1","Encrypted storage","Zero knowledge , URL: /wiki/Zero_knowledge_service
","Secure Key Management3[1]","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","BW , URL: /wiki/Bandwidth_(computing)
","Provider","Cloud hosted Net Drive5","Sync , URL: /wiki/File_synchronization
","Autodetect changes12","Public file hosting8","physical media restore9","Server location(s)10","Free online storage (non-trial)13","Maximum per-file size","External hard drive support14","Hybrid Option15","Green Hosting , URL: /wiki/Green_hosting
","OpenSaaS , URL: /wiki/Software_as_a_service#OpenSaas
",""
"Infrascale , URL: /wiki/Infrascale
","Yes","Yes","Yes","Yes","Yes","Yes","Optional","Optional","Yes","Yes","No","Yes","Infrascale , URL: /wiki/Infrascale
","No","Yes","Yes","Yes","Yes","United States , URL: /wiki/United_States
Canada , URL: /wiki/Canada
United Kingdom , URL: /wiki/United_Kingdom
South Africa , URL: /wiki/South_Africa
Australia , URL: /wiki/Australia
New Zealand , URL: /wiki/New_Zealand
Jamaica , URL: /wiki/Jamaica
","No","No limit","Yes","Optional","","",""
"Jumpshare , URL: /wiki/Jumpshare
","Yes","No","Yes","No","Yes","Yes[49]","","","Yes","No","No","Yes[50]","Jumpshare , URL: /wiki/Jumpshare
","","Yes","Yes","Yes","No","United States , URL: /wiki/United_States
Europe , URL: /wiki/Europe
","2 GB","250 MB on free, Unlimited on Jumpshare Plus","","","Yes","",""
"Jungle Disk , URL: /wiki/Jungle_Disk
","Yes","Yes","Yes","Yes","Yes","Yes[51]","Yes[51]","Yes","","","Yes","Yes","Jungle Disk , URL: /wiki/Jungle_Disk
","Yes[52]","Yes","Yes","Yes","","United States , URL: /wiki/United_States
Europe , URL: /wiki/Europe
","No","No limit in Backup Vault","Yes","","Partial, Amazon AWS[35][53] or Rackspace Cloud Files.","",""
"KeepVault , URL: /wiki/KeepVault
","Yes","No","No","","","Yes[54]","Yes[55]","?","Yes","No","Yes","","KeepVault , URL: /wiki/KeepVault
","","","Yes","","","United States , URL: /wiki/United_States
","","20 GB","","","","",""
"Livedrive , URL: /wiki/Livedrive
","Yes","No","Yes","Yes","Yes","No","No","?","Yes","Online Backup only","No","Yes","Livedrive , URL: /wiki/Livedrive
","Yes (paid-only)[56]","Yes[57]","Yes","Yes","Yes","Yes","United Kingdom , URL: /wiki/United_Kingdom
","No","No limit","Yes","","",""
"MediaFire , URL: /wiki/MediaFire
","Yes","[1] , URL: http://www.omgubuntu.co.uk/2012/04/mediafire-jump-on-cloud-storage-bandwagon-offer-linux-uploader
","Yes","Yes","Yes","No","No","?","Yes","No","Yes","Yes","MediaFire , URL: /wiki/MediaFire
","No","Yes","Yes","Yes","","United States , URL: /wiki/United_States
","10 GB","No Limit","No","No","","",""
"MEGA , URL: /wiki/Mega_(service)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[58]","Yes","No","Yes","Yes","Mega Ltd. , URL: /wiki/Mega_(service)
","No","Yes","Yes, using MEGA Desktop App","Yes","No","Europe , URL: /wiki/Europe
New Zealand , URL: /wiki/New_Zealand
","20 GB","No limit","No","No","","",""
"MiMedia , URL: /wiki/MiMedia
","Yes","No","No","","","Yes[59]","No","?","Yes","No","Yes","Yes","MiMedia , URL: /wiki/MiMedia
","No[60]","No","Yes","No","No","United States , URL: /wiki/United_States
","7 GB","3 GB","Yes","","","",""
"OneDrive , URL: /wiki/OneDrive
","Yes","No, see note[61]","Yes","Yes[62]","Yes","Yes[63]","No","?","Yes","No","","","OneDrive , URL: /wiki/OneDrive
","No","Yes","","","","","5 GB for new users, 25 GB for older users","100 GB[64]","","","Partial, 29%[35]","No",""
"SpiderOak , URL: /wiki/SpiderOak
","Yes","Yes","Yes","Download Only","Download Only","Yes[65]","Yes[66]","?","Yes","Business only (min 10 users)","Yes","Yes","SpiderOak , URL: /wiki/SpiderOak
","No[67]","Yes","Yes","Yes","","","(2 GB free for 60 days only)","No limit","Yes","Yes[68]","","No",""
"SugarSync , URL: /wiki/SugarSync
","Yes","No","Yes","Yes","Yes","Yes[69]","No[70]","?","Yes","No","No","","SugarSync , URL: /wiki/SugarSync
","","Yes","Yes","Yes (SugarSync account needed for folders)","","","No","100 MB (web) No limit (client app)[71]","","","","",""
"Syncplicity , URL: /wiki/Syncplicity
","Yes","No","Yes","Yes","Yes","Yes[72]","No[72]","?","","","Yes","","Syncplicity , URL: /wiki/Syncplicity
","","Yes","Yes","Yes","","United States , URL: /wiki/United_States
","10 GB","","","","","",""
"Tarsnap , URL: /wiki/Tarsnap
","Yes via Cygwin","Yes","Yes","No","No","Yes","Yes[73]","?","No","No","Yes","","Tarsnap , URL: /wiki/Tarsnap
","No","","","","","","No","","","","No, Amazon AWS[35][74]","No",""
"Trend Micro SafeSync , URL: /wiki/Humyo
","Yes","Partial","Yes","Yes, via Storage Made Easy client","Yes, via Storage Made Easy client","","No","?","","","Yes","","Trend Micro SafeSync , URL: /wiki/Humyo
","Yes[citation needed]","Yes","","Yes","","United Kingdom , URL: /wiki/United_Kingdom
","","","","","","",""
"Tresorit , URL: /wiki/Tresorit
","Yes","Yes[75]","Yes","Yes","Yes","Yes","Yes","Yes[76]","Yes","No","Yes","Yes","Tresorit , URL: /wiki/Tresorit
","Yes[77]","Yes","Yes","Yes","No","Ireland , URL: /wiki/Republic_of_Ireland
Netherlands , URL: /wiki/Netherlands
","3 GB[79]","0.5 GB (free), 10 GB (paid)[80]","Yes","No","","",""
"Unitrends Vault2Cloud , URL: /wiki/Unitrends
","Yes","Yes","Yes","","","Yes[81]","No","?","No","Yes","Yes","","Unitrends Vault2Cloud , URL: /wiki/Unitrends
","Yes[citation needed]","Yes","","No","Yes","United States , URL: /wiki/United_States
","No","","","","","",""
"UpdateStar Online Backup , URL: /wiki/UpdateStar#Online_Backup
","Yes","No","No","","","Yes[82]","No[83]","?","Yes[84]","Yes","","","UpdateStar Online Backup , URL: /wiki/UpdateStar#Online_Backup
","","","","","","Europe , URL: /wiki/Europe
","","","","","","",""
"Yandex.Disk , URL: /wiki/Yandex_Disk
","Yes","Yes[85]","Yes","Yes","Yes","No[86]","No","?","Yes","","","","Yandex.Disk , URL: /wiki/Yandex_Disk
","Yes[87]","Yes","Yes","Yes","","Russia , URL: /wiki/Russia
","10 GB","50 GB","","","","",""
"Zmanda Cloud Backup , URL: /wiki/Zmanda_Cloud_Backup
","Yes","No","No","","","Optional[88]","Optional[88]","?","","","Yes","","Zmanda Cloud Backup , URL: /wiki/Zmanda_Cloud_Backup
","Yes[citation needed]","","","","Yes","United States , URL: /wiki/United_States
Europe , URL: /wiki/Europe
Singapore , URL: /wiki/Singapore
Japan , URL: /wiki/Japan
","","No limit","Yes","Yes","Partial, Amazon AWS or Google Cloud Storage[35][89]","",""
