"Product","Creator","Platform","First public release","Latest stable version","Software license , URL: /wiki/Software_license
"
"Code On Time","Code On Time LLC","Windows (c# / .NET)","","","Proprietary , URL: /wiki/Proprietary_software
"
"Code/Simple","CodeSimple, LLC","Online Tool (Stored Procedure Generator for SQL Server Instances)","2018","","Proprietary and Subscription"
"CodeSmith Generator","CodeSmith Tools","Windows","2004","7.1.0 / 2015-08-10","Proprietary , URL: /wiki/Proprietary_software
"
"CodeStencil","Zera Systems","Windows","2018","1.0","Proprietary"
"Cog","Ned Batchelder","cross-platform (Python)","","2.1","MIT License , URL: /wiki/MIT_License
"
"C++ Middleware Writer[6]","Ebenezer Enterprises","cross-platform","2002","1.14","Free , URL: /wiki/Free_software
"
"DMS Software Reengineering Toolkit , URL: /wiki/DMS_Software_Reengineering_Toolkit
","Semantic Designs","Windows","2001","2.0","Proprietary , URL: /wiki/Proprietary_software
"
"DRAKON , URL: /wiki/DRAKON_Editor
","Stepan Mitkin","cross-platform (Tcl/Tk)","2011","1.27 / 2016-03-10","Free"
"EntiPro","EntiCraft","Windows","","","Proprietary , URL: /wiki/Proprietary_software
"
"EazyCode","Datacraft","Windows","2004","7.1 / 2014-09-08","Proprietary , URL: /wiki/Proprietary_software
"
"fastCode[7]","fastCode, Inc.","cross-platform (Java)","2021","1.0","Proprietary"
"Flatlogic , URL: https://flatlogic.com/
","Flatlogic","Web - online","2022","","MIT License, Subscription"
"Flowchart to Code","Athek","Windows","2013","1.0 / 2013-01-10","Proprietary , URL: /wiki/Proprietary_software
"
"GenerateXY","DotXY","Windows","","5.1","Proprietary , URL: /wiki/Proprietary_software
"
"generjee[8]","Alexander Derksen","cross-platform (Java)","2015","1.2.0 / 2020","Proprietary , URL: /wiki/Proprietary_software
"
"GeneXus , URL: /wiki/GeneXus
","GeneXus","Cross Platform (multiple)","1991","v17","Proprietary , URL: /wiki/Proprietary_software
"
"Genshi (templating language) , URL: /wiki/Genshi_(templating_language)
","Edgewall Software","cross-platform (Python)","2006-08-03","0.5.1 / 2008-07-09",""
"GSL Universal Code Generator[9][10][11]","iMatix Corporation , URL: /wiki/IMatix_Corporation
","cross-platform","","4.1.5 / 2017-10-14","GPLv , URL: /wiki/GPL
"
"Iron Speed Designer","Iron Speed, Inc.","Windows","2001","9.2.0 / 2013-12-18","Proprietary , URL: /wiki/Proprietary_software
"
"JCodeBox","","cross-platform (Java)","","","Proprietary , URL: /wiki/Proprietary_software
"
"Jigy Generator","GetJigy","Eclipse & NetBeans","2014","1.0.1 / 2014-10-17","Proprietary , URL: /wiki/Proprietary_software
"
"Jinja (Template engine) , URL: /wiki/Jinja_(Template_engine)
","Pocoo team","cross-platform (Python)","","2.1.1","BSD , URL: /wiki/BSD_license
"
"JPA Modeler","Gaurav Gupta","cross-platform (Java)","2014","1.7 / 2016-06-07","Apache License , URL: /wiki/Apache_License
"
"Json2Kotlin [12]","Syed Absar Karim","Kotlin","2017","","Free , URL: /wiki/Free_software
"
"Json4Swift [13]","Syed Absar Karim","Swift","2015","","Free , URL: /wiki/Free_software
"
"Kid (templating language) , URL: /wiki/Kid_(templating_language)
","Ryan Tomayko","cross-platform (Python)","","0.9.6 / 2006-12-20",""
"kiss! C#, VB.NET and SQL Script Generator","Cove Bay Software Limited","Windows","2013","4.0.0.0 / 2015-05-05","Proprietary , URL: /wiki/Proprietary_software
"
"Linx","Twenty57","windows","2006","5.19 / 2020-06-20","Proprietary , URL: /wiki/Proprietary_software
"
"Mako , URL: /wiki/Mako_(template_engine)
","Michael Bayer","cross-platform (Python)","","1.1.2 / 2020-03-01","MIT License , URL: /wiki/MIT_License
"
"MATLAB , URL: /wiki/MATLAB
","The MathWorks, Inc. , URL: /wiki/MathWorks
","Windows, macOS, Linux","1984","9.5 / 2018-09-12","Proprietary , URL: /wiki/Proprietary_software
"
"M-Power , URL: /wiki/M-Power
","mrc","cross-platform (Java)","2004","","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Visual Studio LightSwitch , URL: /wiki/LightSwitch
","Microsoft , URL: /wiki/Microsoft
","Windows","2011","2011-07-26","Proprietary , URL: /wiki/Proprietary_software
"
"MinuteProject (Velocity, DB, WSDL)","Florian Adler","cross-platform (Java)","2004","0.8.3 / 2013-06-05","Apache License , URL: /wiki/Apache_License
GPL , URL: /wiki/GNU_GPL
"
"MOLGENIS","Morris Swertz[14]","cross-platform (Java)","2004","3.3","LGPLv , URL: /wiki/GNU_LGPL
"
"NoORM","Ulf Pietruschka","cross-platform (Java)","2013","1.0.0 / 2013-11-19","Apache License , URL: /wiki/Apache_License
"
"OpenMDX , URL: /wiki/OpenMDX
","","cross-platform (Java)","2004-01-28","2.4 / 2009-03-26","BSD , URL: /wiki/BSD_license
"
"OutSystems Platform","OutSystems , URL: /wiki/OutSystems
","cross-platform (.NET, Java)","2001","10.0 / 2016-10-04[15]","Proprietary , URL: /wiki/Proprietary_software
"
"Application Builder","projecz.com","PHP","2014","1.0 / 2014-03-20","Proprietary , URL: /wiki/Proprietary_software
"
"PHPRunner","Xlinesoft","Windows","2003","5.3 / 2010-10-15","Proprietary , URL: /wiki/Proprietary_software
"
"Radarc Online","Icinetic","Android, iOS, Windows (C#/XAML, Java, Objective C)","2012","1.2.0 / 2014-11-04","Proprietary , URL: /wiki/Proprietary_software
"
"Reegenerator","Kodeo Limited","Windows (C#, VB.NET)","2010","2.0.5 / 2014-01-26","Proprietary , URL: /wiki/Proprietary_software
"
"ribosome","Martin Sustrik","cross-platform (Ruby, JavaScript or Python)","2014","1.15 / 2015-07-08","MIT License , URL: /wiki/MIT_License
"
"Scriptcase","Scriptcase , URL: /wiki/Scriptcase
","Web - Online","2000","9.4 / 2019-08-01","Proprietary , URL: /wiki/Proprietary_software
"
"Skaffolder","Skaffolder","cross-platform (web and mobile apps)","2017","","Proprietary , URL: /wiki/Proprietary_software
"
"T4 , URL: /wiki/Text_Template_Transformation_Toolkit
","Microsoft , URL: /wiki/Microsoft
","Windows","2005","2010","MIT License , URL: /wiki/MIT_License
"
"Telosys[16]","OW2 , URL: /wiki/OW2
","cross-platform (Java : CLI and Eclipse Plugin)","2011","3.0.0 / 2018-04-10","LGPLv , URL: /wiki/GNU_LGPL
"
"Textrude , URL: https://github.com/NeilMacMullen/Textrude
","Neil MacMullen","cross-platform","2021","1.2.0","MIT LIcense"
"Umple , URL: /wiki/Umple
","University of Ottawa , URL: /wiki/University_of_Ottawa
","cross-platform (Java / Eclipse)","2010","1.23.0 / 2015-12-21","MIT License , URL: /wiki/MIT_License
"
"Velocity apache , URL: /wiki/Velocity_apache
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","cross-platform (Java)","","1.6.2 / 2009-03-19","Apache License , URL: /wiki/Apache_License
"
"WaveMaker , URL: /wiki/WaveMaker
","WaveMaker Inc. , URL: /wiki/WaveMaker
","cross platform (aPaaS)","2003","10.0.3","Proprietary , URL: /wiki/Proprietary_software
"
"X2X","Triple-S GmbH","Windows","2005","X2X-2015","Proprietary , URL: /wiki/Proprietary_software
"
"XACT X4MR","Applied Conversion Technologies Inc","Virtual DOS","1994","3 / 1997-08-01","Proprietary , URL: /wiki/Proprietary_software
"
"Yii-gii","Yii community","Yii , URL: /wiki/Yii2
","2013-12-1","2.0.15 / 2018.03.20","New BSD License , URL: /wiki/New_BSD_License
"
"ZumCoder MDD/MDA/ Template Based","Agen Consultoria – Adilson de ALmeida Pedro","Web – Online","","1.0","Proprietary , URL: /wiki/Proprietary_software
"
