"v t e Military ranks and insignia by country","v t e Military ranks and insignia by country","v t e Military ranks and insignia by country"
"Europe","Albania Armenia Austria Azerbaijan Belarus Belgium Bosnia and Herzegovina Bulgaria Croatia Cyprus Czech Republic Denmark Army Navy Air Force Home Guard Estonia Finland France Army Navy Gendarmerie Air and Space Force Foresters Germany Georgia Greece Hungary Iceland Land Forces Coast Guard Ireland Italy Army Navy Air Force Carabinieri Finance Guard Latvia Lithuania Luxembourg North Macedonia Malta Moldova Monaco Montenegro Netherlands Norway Poland Portugal Romania Russia Army Navy Air Force Cossacks Between 1994 and 2010 San Marino Serbia Slovakia Slovenia Spain Sweden Switzerland Turkey Ukraine United Kingdom Army officers Army other ranks Navy officers Navy ratings Air Force officers Air Force other ranks Vatican","Albania Armenia Austria Azerbaijan Belarus Belgium Bosnia and Herzegovina Bulgaria Croatia Cyprus Czech Republic Denmark Army Navy Air Force Home Guard Estonia Finland France Army Navy Gendarmerie Air and Space Force Foresters Germany Georgia Greece Hungary Iceland Land Forces Coast Guard Ireland Italy Army Navy Air Force Carabinieri Finance Guard Latvia Lithuania Luxembourg North Macedonia Malta Moldova Monaco Montenegro Netherlands Norway Poland Portugal Romania Russia Army Navy Air Force Cossacks Between 1994 and 2010 San Marino Serbia Slovakia Slovenia Spain Sweden Switzerland Turkey Ukraine United Kingdom Army officers Army other ranks Navy officers Navy ratings Air Force officers Air Force other ranks Vatican"
"Europe","States with limited recognition , URL: /wiki/List_of_states_with_limited_recognition
","Kosovo Northern Cyprus Transnistria"
"Europe","Former","Albania Kingdom People's Socialist Republic Austria–Hungary Army Navy Bulgaria Kingdom People's Republic Independent State of Croatia Czechoslovakia German Empire Weimar Republic Nazi Germany Army Navy Air Force Paramilitary SA SS People's Militia East Germany Kingdom of Greece Army Navy Air Force France Napoleonic Grand Army Hungary Kingdom People's Republic Italy Kingdom Social Republic Ottoman Empire Polish People's Republic Republika Srpska Romania Kingdom Socialist Republic Russian Empire White Movement Slovakia (First Republic) Soviet Union 1918–35 1935–40 1940–43 1943–55 1955–91 Second Spanish Republic Army Navy Air force Yugoslavia Kingdom Socialist Federal Republic Federal Republic"
"Europe","Comparative","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Oceania","Australia Fiji New Zealand Papua New Guinea Tonga Vanuatu","Australia Fiji New Zealand Papua New Guinea Tonga Vanuatu"
"Oceania","Comparative","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Language","Anglophone","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Language","Arabophone","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Language","Francophone","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Language","Hispanophone","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Language","Lusophone","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted Military police Officers Enlisted"
"Post-Soviet states","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Commonwealth of Nations","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"NATO","Army Officers Enlisted Navy Officers Enlisted Air Force Officers Enlisted","Army Officers Enlisted Navy Officers Enlisted Air Force Officers Enlisted"
"Comparative ranks of Officers of World War I Officers of World War II Women's Services in World War II Marine forces Space forces Gendarmeries UK and US","Comparative ranks of Officers of World War I Officers of World War II Women's Services in World War II Marine forces Space forces Gendarmeries UK and US","Comparative ranks of Officers of World War I Officers of World War II Women's Services in World War II Marine forces Space forces Gendarmeries UK and US"
