"Client","Microsoft Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","DOS , URL: /wiki/DOS
","Other"
"Mutt , URL: /wiki/Mutt_(email_client)
","Yes","Yes","Yes","Yes","Yes","Yes[23]","No"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","Terminated (4.80)","Terminated (4.80)","Terminated (4.80)","Terminated (4.80)","Terminated (4.80)","No","No"
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","Terminated (9.0a1)","Terminated (9.0a1)","Terminated (9.0a1)","Terminated (9.0a1)","Terminated (9.0a1)","No","No"
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","No","Yes","Yes","Yes","Yes","No","No"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","Yes","Yes","Yes","?","No","No"
"Outlook Express , URL: /wiki/Outlook_Express
","Included (up to XP)","No","No","No","No","No","No"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","Yes","No","No","No","No","Yes","NetWare , URL: /wiki/NetWare
NLM , URL: /wiki/NetWare_Loadable_Module
"
"Pine , URL: /wiki/Pine_(email_client)
","Yes","Yes","Yes","Yes","Yes","Terminated (3.96)[24]","No"
"Pocomail , URL: /wiki/Pocomail
","Yes","No","No","No","No","No","No"
"RoundCube , URL: /wiki/RoundCube
","Yes","Yes","Yes","Yes","Yes","No","No"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","Yes","Yes","Yes","No","No"
"SquirrelMail , URL: /wiki/SquirrelMail
","Yes","Yes","Yes","Yes","Yes","No","No"
"Sylpheed , URL: /wiki/Sylpheed
","Yes","Yes","Yes","Yes","Yes","No","No"
"The Bat! , URL: /wiki/The_Bat!
","Yes","No","No","No","No","No","No"
"Trojitá , URL: /wiki/Trojit%C3%A1
","Yes","Yes","Yes","Yes","Yes","No","MeeGo , URL: /wiki/MeeGo
"
"Turnpike , URL: /wiki/Turnpike_(software)
","Yes","No","No","No","No","No","No"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","Yes","No","No","No","No","No","No"
"Windows Mail , URL: /wiki/Windows_Mail
","Included (Vista)","No","No","No","No","No","No"
"YAM , URL: /wiki/YAM_(Yet_Another_Mailer)
","No","No","No","No","No","No","AmigaOS , URL: /wiki/AmigaOS
AROS , URL: /wiki/AROS_Research_Operating_System
MorphOS , URL: /wiki/MorphOS
"
"Zimbra , URL: /wiki/Zimbra
","Yes","Yes","Yes","Yes","Yes","No","No"
"Client","Microsoft Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","DOS , URL: /wiki/DOS
","Other"
