"Kernel name","Programming language","Used in","Creator","section , URL: #Binary_format_support
","Type","firewall , URL: /wiki/Firewall_(networking)
","SMP , URL: /wiki/Symmetric_multiprocessing
","architecture , URL: /wiki/Computer_architecture
section , URL: #Supported_CPU_architectures
","Multitasking , URL: /wiki/Computer_multitasking
","Virtualization , URL: /wiki/Operating_system-level_virtualization
","Security , URL: /wiki/Security
","Profiling , URL: /wiki/Software_performance_analysis
Debugging , URL: /wiki/Debugging
","real-time , URL: /wiki/Real-time_computing
","real-time , URL: /wiki/Real-time_computing
","RTC , URL: /wiki/Real-time_clock
UT , URL: /wiki/Universal_Time
"
"Mach , URL: /wiki/Mach_(kernel)
","C , URL: /wiki/C_(programming_language)
","NeXTSTEP , URL: /wiki/NeXTSTEP
OPENSTEP for Mach , URL: /wiki/OpenStep#OPENSTEP_for_Mach
Tru64 UNIX , URL: /wiki/Tru64_UNIX
","Carnegie Mellon University , URL: /wiki/Carnegie_Mellon_University
","Mach-O , URL: /wiki/Mach-O
","microkernel , URL: /wiki/Microkernel
hybrid kernel , URL: /wiki/Hybrid_kernel
","?","Yes","?","Yes","?","?","?","Yes","?","?"
"MINIX 3 kernel , URL: /wiki/MINIX_3
","C , URL: /wiki/C_(programming_language)
","MINIX 3 , URL: /wiki/MINIX_3
","Andrew S. Tanenbaum , URL: /wiki/Andrew_S._Tanenbaum
","ELF , URL: /wiki/Executable_and_Linkable_Format
a.out , URL: /wiki/A.out
","microkernel , URL: /wiki/Microkernel
","No","No","Yes","Yes","No","Unix permissions , URL: /wiki/Unix_security
","Call profiling, statistical profiling, Minix Debugger (mdb)","No","No","?"
"MkLinux , URL: /wiki/MkLinux
","","?","OSF Research Institute , URL: /wiki/OSF_Research_Institute
Apple Computer , URL: /wiki/Apple_Computer
","?","microkernel , URL: /wiki/Microkernel
","?","?","?","?","?","?","?","?","?","?"
"NetBSD kernel , URL: /wiki/NetBSD
","C , URL: /wiki/C_(programming_language)
","NetBSD , URL: /wiki/NetBSD
","The NetBSD Project , URL: /wiki/NetBSD
","ELF , URL: /wiki/Executable_and_Linkable_Format
","monolithic , URL: /wiki/Monolithic_kernel
rump kernel , URL: /wiki/Rump_kernel
","IPFilter , URL: /wiki/IPFilter
PF , URL: /wiki/PF_(firewall)
NPF , URL: /wiki/NPF_(firewall)
","Yes","Yes","Yes","Xen , URL: /wiki/Xen
chroot , URL: /wiki/Chroot
","kauth , URL: /wiki/Kauth
Unix permissions , URL: /wiki/Unix_security
","KGDB , URL: /wiki/KGDB
tprof , URL: /w/index.php?title=Tprof&action=edit&redlink=1
","POSIX , URL: /wiki/POSIX
","Kernel preemption , URL: /wiki/Kernel_preemption
","?"
"NetWare kernel , URL: /wiki/NetWare
","","NetWare , URL: /wiki/NetWare
","Novell , URL: /wiki/Novell
","NLM , URL: /wiki/NetWare_Loadable_Module
","hybrid , URL: /wiki/Hybrid_kernel
","Yes","Yes","No","Yes","?","?","?","?","?","?"
"OpenBSD kernel , URL: /wiki/OpenBSD
","C , URL: /wiki/C_(programming_language)
","OpenBSD , URL: /wiki/OpenBSD
","OpenBSD developers , URL: /w/index.php?title=OpenBSD_developers&action=edit&redlink=1
","ELF , URL: /wiki/Executable_and_Linkable_Format
","monolithic , URL: /wiki/Monolithic_kernel
","PF , URL: /wiki/PF_(firewall)
","Yes","Yes","Yes","?","Unix permissions , URL: /wiki/Unix_security
","?","?","?","?"
"OS/2 kernel , URL: /wiki/OS/2
","","OS/2 , URL: /wiki/OS/2
","IBM , URL: /wiki/IBM
","LX","hybrid , URL: /wiki/Hybrid_kernel
","No","Yes","No PowerPC version developed but never officially released.","Yes","No","Yes","Yes","Yes","No","?"
"Plan 9 kernel , URL: /wiki/Plan_9_kernel
","C , URL: /wiki/C_(programming_language)
","Plan 9 from Bell Labs , URL: /wiki/Plan_9_from_Bell_Labs
","Bell Labs , URL: /wiki/Bell_Labs
","?","monolithic , URL: /wiki/Monolithic_kernel
","ipmux","Yes","Yes","Yes","?","?","?","?","?","?"
"ReactOS kernel , URL: /wiki/ReactOS
","C , URL: /wiki/C_(programming_language)
","ReactOS , URL: /wiki/ReactOS
","ReactOS Foundation , URL: /w/index.php?title=ReactOS_Foundation&action=edit&redlink=1
","PE , URL: /wiki/Portable_Executable
","hybrid , URL: /wiki/Hybrid_kernel
","?","Yes","Yes","Yes","?","Yes","Yes","?","?","?"
"Rockbox kernel , URL: /wiki/Rockbox
","","Rockbox , URL: /wiki/Rockbox
","The Rockbox Project","?","?","?","?","Yes","?","?","?","?","?","?","?"
"SunOS kernel , URL: /wiki/SunOS
","C , URL: /wiki/C_(programming_language)
","SunOS , URL: /wiki/SunOS
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","a.out , URL: /wiki/A.out
","monolithic , URL: /wiki/Monolithic_kernel
","?","Yes","Yes","Yes","?","Unix permissions , URL: /wiki/Unix_security
","?","?","?","?"
"Solaris kernel , URL: /wiki/Solaris_(operating_system)
","C , URL: /wiki/C_(programming_language)
","Solaris , URL: /wiki/Solaris_(operating_system)
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","ELF , URL: /wiki/Executable_and_Linkable_Format
","monolithic , URL: /wiki/Monolithic_kernel
","IPFilter , URL: /wiki/IPFilter
","Yes","Yes","Yes","Zones , URL: /wiki/Solaris_Zones
chroot , URL: /wiki/Chroot
","Unix permissions , URL: /wiki/Unix_security
ACL , URL: /wiki/Access_control_list
RBAC , URL: /wiki/RBAC
Privileges , URL: /wiki/Least_privilege
Zones , URL: /wiki/Solaris_Zones
Trusted Extensions , URL: /wiki/Solaris_Trusted_Extensions
","DTrace , URL: /wiki/DTrace
","Real-time scheduler","?","?"
"Trix kernel , URL: /wiki/Trix_(operating_system)
","","Trix , URL: /wiki/Trix_(operating_system)
","Massachusetts Institute of Technology , URL: /wiki/Massachusetts_Institute_of_Technology
","a.out , URL: /wiki/A.out
","monolithic , URL: /wiki/Monolithic_kernel
","?","Yes","No","Yes","?","?","?","?","?","?"
"Windows NT kernel , URL: /wiki/Architecture_of_Windows_NT#Kernel_mode
","C , URL: /wiki/C_(programming_language)
","Windows NT , URL: /wiki/Windows_NT
2000 , URL: /wiki/Windows_2000
XP , URL: /wiki/Windows_XP
2003 , URL: /wiki/Windows_2003
Vista , URL: /wiki/Windows_Vista
Windows 7 , URL: /wiki/Windows_7
Windows 8 , URL: /wiki/Windows_8
Windows Phone 8 , URL: /wiki/Windows_Phone_8
Windows Phone 8.1 , URL: /wiki/Windows_Phone_8.1
Windows 10 , URL: /wiki/Windows_10
","Microsoft , URL: /wiki/Microsoft
","PE , URL: /wiki/Portable_Executable
","hybrid , URL: /wiki/Hybrid_kernel
","Yes","Yes","Yes","Yes","Hyper-V , URL: /wiki/Hyper-V
","ACL , URL: /wiki/Access_control_list
","Event Tracing,[10] dgbss, kd","Multimedia Class Scheduler Service , URL: /wiki/Multimedia_Class_Scheduler_Service
","No","Unofficial[11]"
"XNU , URL: /wiki/XNU
Darwin , URL: /wiki/Darwin_(operating_system)
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
","macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
iPadOS , URL: /wiki/IPadOS
tvOS , URL: /wiki/TvOS
watchOS , URL: /wiki/WatchOS
","Apple Inc. , URL: /wiki/Apple_Inc.
","Mach-O , URL: /wiki/Mach-O
","hybrid , URL: /wiki/Hybrid_kernel
","Ipfirewall , URL: /wiki/Ipfirewall
PF , URL: /wiki/PF_(firewall)
","Yes","Yes","Yes","chroot , URL: /wiki/Chroot
","Unix permissions , URL: /wiki/Unix_security
NT/NFSv4 ACLs , URL: /wiki/Access_control_list
TrustedBSD MAC , URL: /wiki/Mandatory_Access_Control
OpenBSM , URL: /wiki/OpenBSM
","KDB , URL: /wiki/Kernel_debugger
DTrace , URL: /wiki/DTrace
","Yes","No","Yes"
"SPARTAN kernel , URL: /wiki/HelenOS
","","HelenOS , URL: /wiki/HelenOS
","Jakub Jermar , URL: /wiki/Jakub_Jermar
","ELF , URL: /wiki/Executable_and_Linkable_Format
","microkernel , URL: /wiki/Microkernel
","?","Yes","Yes","Yes","?","?","?","?","?","?"
"Kernel name","","Used in","Creator","section , URL: #Binary_format_support
","Type","firewall , URL: /wiki/Firewall_(networking)
","SMP , URL: /wiki/Symmetric_multiprocessing
","architecture , URL: /wiki/Computer_architecture
section , URL: #Supported_CPU_architectures
","Multitasking , URL: /wiki/Computer_multitasking
","Virtualization , URL: /wiki/Operating_system-level_virtualization
","Security , URL: /wiki/Security
","Profiling , URL: /wiki/Software_performance_analysis
Debugging , URL: /wiki/Debugging
","real-time , URL: /wiki/Real-time_computing
","real-time , URL: /wiki/Real-time_computing
","RTC , URL: /wiki/Real-time_clock
UT , URL: /wiki/Universal_Time
"
