"Manufacturer","Module","SOC/SIP Chip","MCU core","RAM","Flash","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Firmware options"
"California Eastern Laboratories , URL: http://www.cel.com/
","datasheet , URL: http://www.cel.com/pdf/datasheets/MeshConnect_EM357_Mini_Modules_DS.pdf
brochure , URL: http://www.cel.com/pdf/brochures/meshconnect_em357_mini_pb.pdf
","datasheet , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf
brochure , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x-short.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","12 kB","192 kB","PCB Trace Antenna or RF Port for External Antenna","1 μA","31 mA","30 mA","8 dBm","–100 dBm","23.9 mm × 16.6 mm","Apr, 2012 , URL: http://www.cel.com/pdf/press/cel133.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
TWI , URL: /wiki/Two-wire_Serial_Interface
","ZigBee PRO stack: EmberZNet PRO , URL: http://www.silabs.com/products/wireless/zigbee/Pages/default.aspx
"
"California Eastern Laboratories , URL: http://www.cel.com/
","data sheet , URL: http://www.cel.com/static.do?command=MeshConnectEM3588Mini&group=5&rpart=ZICM3588SP#Data%20Sheet
","brochure , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM358x.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","64 kB","512 kB","U.FL connector , URL: /wiki/U.FL
","2.4 μA","44 mA","30 mA","8 dBm","–100 dBm","23.9 mm × 16.6 mm","Mar, 2014","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²S , URL: /wiki/I%C2%B2S
","CEL ZigBee Stack , URL: http://www.cel.com/userguide.do?command=showByType&group=5&ty=2
Synapse SNAP Stack , URL: http://www.synapse-wireless.com/
"
"Digi International , URL: /wiki/Digi_International
","manual , URL: https://web.archive.org/web/20090306100200/http://ftp1.digi.com/support/documentation/90000982_A.pdf
","datasheet , URL: http://www.freescale.com/files/rf_if/doc/data_sheet/MC13192.pdf?pspll=1
","HCS08 , URL: /wiki/Freescale_68HC08
","4 kB","60 kB","U.FL connector , URL: /wiki/U.FL
RPSMA connector , URL: /wiki/SMA_connector
","10 μA, 50 μA","45 mA","50 mA","0 dBm","–92 dBm","24.38 mm × 27.61 mm","Dec, 2006 , URL: https://web.archive.org/web/20110710125950/http://www.digi.com/news/pressrelease.jsp?prid=279&scompany=1&sproduct=18
","UART , URL: /wiki/UART
","ZigBee stack , URL: https://web.archive.org/web/20090601183658/http://www.digi.com/technology/rf-articles/wireless-zigbee.jsp
DigiMesh network protocol , URL: http://www.digi.com/technology/digimesh/
"
"Digi International , URL: /wiki/Digi_International
","manual , URL: https://web.archive.org/web/20090306100200/http://ftp1.digi.com/support/documentation/90000982_A.pdf
","datasheet , URL: http://www.freescale.com/files/rf_if/doc/data_sheet/MC13192.pdf?pspll=1
","HCS08 , URL: /wiki/Freescale_68HC08
","4 kB","60 kB","U.FL connector , URL: /wiki/U.FL
RPSMA connector , URL: /wiki/SMA_connector
","10 μA, 50 μA","","","","","","Dec, 2006 , URL: https://web.archive.org/web/20110710125950/http://www.digi.com/news/pressrelease.jsp?prid=279&scompany=1&sproduct=18
","UART , URL: /wiki/UART
","ZigBee stack , URL: https://web.archive.org/web/20090601183658/http://www.digi.com/technology/rf-articles/wireless-zigbee.jsp
DigiMesh network protocol , URL: http://www.digi.com/technology/digimesh/
"
"Digi International , URL: /wiki/Digi_International
","manual , URL: https://web.archive.org/web/20090711010517/http://ftp1.digi.com/support/documentation/90000976_C.pdf
","factsheet , URL: https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf
datasheet , URL: https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf
","16-bit 12 MHz RISC","5 kB","128 kB","U.FL connector , URL: /wiki/U.FL
RPSMA connector , URL: /wiki/SMA_connector
","1 μA","40 mA, 35 mA","40 mA, 38 mA","3 dBm, 1 dBm","–96 dBm, –95 dBm","24.38 mm × 27.61 mm","Apr, 2008 , URL: https://web.archive.org/web/20110710130035/http://www.digi.com/news/pressrelease.jsp?prid=454&scompany=1&sproduct=18
","UART , URL: /wiki/UART
","Ember ZNet , URL: https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html
"
"Digi International , URL: /wiki/Digi_International
","manual , URL: https://web.archive.org/web/20090711010517/http://ftp1.digi.com/support/documentation/90000976_C.pdf
","factsheet , URL: https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf
datasheet , URL: https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf
","16-bit 12 MHz RISC","5 kB","128 kB","U.FL connector , URL: /wiki/U.FL
RPSMA connector , URL: /wiki/SMA_connector
","10 μA","295 mA, 170 mA","45 mA","17 dBm, 10 dBm","–102 dBm","24.38 mm × 32.94 mm","Apr, 2008 , URL: https://web.archive.org/web/20110710130035/http://www.digi.com/news/pressrelease.jsp?prid=454&scompany=1&sproduct=18
","UART , URL: /wiki/UART
","Ember ZNet , URL: https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/doc8266.pdf
","8-bit ATmega","16 kB","128 kB","Chip ceramic antenna","< 1 μA","18 mA","18 mA","+3 dBm","-98 dBm","23.6 mm × 13.2 mm × 3.0 mm","2012","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/doc8266.pdf
","8-bit ATmega","16 kB","128 kB","","< 1 μA","18 mA","18 mA","+3 dBm","-98 dBm","","2012","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/doc8266.pdf
","8-bit ATmega","16 kB","128 kB","198 mA","< 1 μA","22 mA","+22 dBm","–105 dBm","21.5 mm × 13.2 mm × 3.0 mm","","2012","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/Atmel-8393-MCU_Wireless-ATmega256RFR2-ATmega128RFR2-ATmega64RFR2_Datasheet.pdf
","8-bit ATmega","32 kB","256 kB","Chip ceramic antenna","< 1 μA","19 mA","11 mA","+3.5 dBm","-98 dBm","23.6 mm × 13.2 mm × 3.0 mm","2013","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/Atmel-8393-MCU_Wireless-ATmega256RFR2-ATmega128RFR2-ATmega64RFR2_Datasheet.pdf
","8-bit ATmega","32 kB","256 kB","","< 1 μA","19 mA","11 mA","+3.5 dBm","-98 dBm","","2013","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push&docID=1250
","datasheet , URL: http://www.atmel.com/Images/Atmel-8393-MCU_Wireless-ATmega256RFR2-ATmega128RFR2-ATmega64RFR2_Datasheet.pdf
","8-bit ATmega","32 kB","256 kB","233 mA","< 1 μA","17 mA","23 dBm","–104 dBm","21.5 mm × 13.2 mm × 3.0 mm","","2013","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/radio-modules/oem-derfsam3/description/?L=1&eID=dam_frontend_push&docID=602
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8321.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","RF pads","< 6 μA","45 mA","41 mA","+3 dBm","-100 dBm","21.5 mm × 13.2 mm × 3.0 mm","2013","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/radio-modules/oem-derfsam3/description/?L=1&eID=dam_frontend_push&docID=603
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8168.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","RF pads","< 6 μA","50 mA","37 mA","+5 or +10 dBm","–110 dBm","21.5 mm × 13.2 mm × 3.0 mm","2013","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push&docID=1145
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8111.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+3 dBm","-97 dBm","71.0 mm × 23.0 mm × 8.7 mm","2012","USB, optional: JTAG, Debug","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push&docID=1145
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8111.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+3 dBm","-97 dBm","","2012","","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push&docID=1145
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8168.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","","","","2012","","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Dresden elektronik , URL: http://www.dresden-elektronik.de/
","datasheet , URL: http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push&docID=1145
","datasheet , URL: http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf
datasheet , URL: http://www.atmel.com/Images/doc8168.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","","","","2012","","MAC stack , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
ZigBee (BitCloud) , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
6LoWPAN , URL: http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1
Atmel , URL: http://www.atmel.com/default.aspx
"
"Embit , URL: http://www.embit.eu/
","webpage , URL: http://www.embit.eu/products/wireless-modules/emb-wmb169pa/
datasheet , URL: http://www.embit.eu/wp-content/datasheets/EMB-WMB-datasheet-latest.pdf
brochure , URL: http://www.embit.eu/wp-content/brochures/EMB-WMB.pdf
","datasheet , URL: http://www.ti.com/lit/ds/symlink/msp430f5342.pdf
","16 bit MSP430","10 kB / 8 kB / 6 kB","128 kB / 96 kB / 64 kB","RF Pads, U.FL Connector","<2 μA","57 mA@ +15dBm","27 mA (full sens.)","up to 30 dBm","-122 dBm","29 mm × 22 mm","2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
","Wireless M-Bus stack , URL: http://www.embit.eu/products/firmware-stacks/wmbus/
"
"Embit , URL: http://www.embit.eu/
","webpage , URL: http://www.embit.eu/products/wireless-modules/emb-wmb868/
datasheet , URL: http://www.embit.eu/wp-content/datasheets/EMB-WMB-datasheet-latest.pdf
brochure , URL: http://www.embit.eu/wp-content/brochures/EMB-WMB.pdf
","datasheet , URL: http://www.ti.com/lit/ds/symlink/msp430f5342.pdf
","16 bit MSP430","10 kB / 8 kB / 6 kB","128 kB / 96 kB / 64 kB","RF Pads, U.FL Connector","<2 μA","57 mA@ +15dBm","27 mA (full sens.)","15 dBm","-122 dBm","29 mm × 22 mm","2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
","Wireless M-Bus stack , URL: http://www.embit.eu/products/firmware-stacks/wmbus/
"
"Embit , URL: http://www.embit.eu/
","webpage , URL: http://www.embit.eu/products/wireless-modules/emb-z2530pa/
datasheet , URL: http://www.embit.eu/wp-content/datasheets/EMB-Z2530PA-datasheet-latest.pdf
brochure , URL: http://www.embit.eu/wp-content/brochures/EMB-Z2530PA.pdf
","datasheet , URL: http://www.ti.com/lit/ds/symlink/cc2530.pdf
","8 bit 8051","8 kB","256 kB","PCB Antenna, U.FL Connector, Wire Antenna opt","<1.1 μA","135 mA@ +20dBm","28 mA","20 dBm","-100 dBm","29 mm × 22 mm","2011","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
","TIMAC (IEEE 802.15.4) , URL: http://www.ti.com/tool/timac
ZStack (ZigBee) , URL: http://www.ti.com/tool/z-stack
"
