"Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support , URL: /wiki/Right-to-left
","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone / scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"Mutt , URL: /wiki/Mutt_(email_client)
","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","No","No","No","No","No","postpone","?","?","?","?","?","?","?"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","Yes","No","No","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","APNG , URL: /wiki/APNG
ICO , URL: /wiki/ICO_(icon_image_file_format)
SVG , URL: /wiki/Scalable_Vector_Graphics
WBMP , URL: /wiki/Wireless_Application_Protocol_Bitmap_Format
XBM , URL: /wiki/X_BitMap
WebP , URL: /wiki/WebP
","No","No","No","No","No","No","No","No"
"Outlook Express , URL: /wiki/Outlook_Express
","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","ICO , URL: /wiki/ICO_(icon_image_file_format)
","?","?","?","?","?","?","?","?"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","Yes","Yes","Yes","Yes","in index","No","No","Yes","Yes","No [Note 8]","Yes","Yes","Yes","Yes","TIFF , URL: /wiki/Tagged_Image_File_Format
","N/A","Yes","No","No","No","No","No","RTF , URL: /wiki/Rich_Text_Format
HTML , URL: /wiki/Html
"
"Pine , URL: /wiki/Pine_(email_client)
","Yes","Yes","?","?","No","with a patch [Note 9]","?","Yes [Note 10]","Yes","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
"Pocomail , URL: /wiki/Pocomail
","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"RoundCube , URL: /wiki/RoundCube
","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"SquirrelMail , URL: /wiki/SquirrelMail
","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Sylpheed , URL: /wiki/Sylpheed
","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","No","No","No","No","No","?"
"The Bat! , URL: /wiki/The_Bat!
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ICO , URL: /wiki/ICO_(icon_image_file_format)
emf , URL: /wiki/Windows_Metafile
","Yes","Yes","No","No","No","No","No","No"
"Trojitá , URL: /wiki/Trojit%C3%A1
","No","Yes","?","?","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes"
"Turnpike , URL: /wiki/Turnpike_(software)
","Yes","?","?","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","No","?","?","?","?","?","?","?","?","?"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Windows Mail , URL: /wiki/Windows_Mail
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"YAM , URL: /wiki/YAM_(Yet_Another_Mailer)
","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zimbra , URL: /wiki/Zimbra
","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support , URL: /wiki/Right-to-left
","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone/?scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"Client","with colors","with flag","antidelete","add note","edit headers (e.g., Subject)","forced recode [Note 1]","Bi-directional text support , URL: /wiki/Right-to-left
","Spell checking , URL: /wiki/Spell_checker
","Signatures , URL: /wiki/Signature_block
","Bottom-posts replies , URL: /wiki/Posting_style
","jpeg , URL: /wiki/JPEG
","gif , URL: /wiki/GIF
","bmp , URL: /wiki/Windows_bitmap
","png , URL: /wiki/Portable_Network_Graphics
","others","Postpone/?scheduled message sending","txt , URL: /wiki/Text_file
","pdf , URL: /wiki/Portable_Document_Format
","doc , URL: /wiki/DOC_(computing)
","xls , URL: /wiki/Microsoft_Excel
","odt , URL: /wiki/OpenDocument
","ods , URL: /wiki/OpenDocument
","others"
