"","Santa Ana","1200","1800-3200","","Socket AM2","DDR2","AMD64, NX Bit","null","null","null","null","null","null","null","null","null"
"","Santa Rosa","2200","1800-3200","","Socket F","null","null","null","null","null","null","null","null","null","null","null"
"","8200","2000-3000","","null","null","null","null","null","null","null","null","null","null","null","null","null"
"130","Athlon 64 FX","","Sledgehammer","FX-51, FX-53","1","2200, 2400","800","","Socket 940","DDR","MMX, 3DNow!+, SSE, SSE2, SSE3","Cool'n'Quiet","AMD64, NX Bit","null","null","null"
"","Clawhammer","FX-53, FX-55","2400, 2400","1000","","Socket 939","null","null","null","null","null","null","null","null","null","null"
"90","","San Diego","FX-55, FX-57","2600, 2800","","null","null","null","null","null","null","null","null","null","null","null"
"","Toledo","FX-60","2","2600","","null","null","null","null","null","null","null","null","null","null","null"
"","Windsor","FX-62","2800","","Socket AM2","DDR2","AMD64, NX Bit, AMD-V","null","null","null","null","null","null","null","null","null"
"","FX-70, FX-72, FX-74","2600, 2800, 3000","","Socket F","null","null","null","null","null","null","null","null","null","null","null","null"
"130","Athlon 64","","Clawhammer","","1","2000-2600","800","1024","","Socket 754","DDR","MMX, 3DNow!+, SSE, SSE2","Cool'n'Quiet","AMD64, NX Bit (not in CG stepping)","null","null"
"","","1000","","Socket 939","null","null","null","null","null","null","null","null","null","null","null","null"
"","Newcastle","","1800-2400","800","512","","Socket 754","AMD64, NX Bit","null","null","null","null","null","null","null","null"
"","","1000","","Socket 939","null","null","null","null","null","null","null","null","null","null","null","null"
"90","","Winchester","","1800-2200","","Socket 939","null","null","null","null","null","null","null","null","null","null"
"","Venice","","1800-2400","800","","Socket 754","DDR2","MMX, 3DNow!+, SSE, SSE2, SSE3","null","null","null","null","null","null","null","null"
"","","1000","","Socket 939","null","null","null","null","null","null","null","null","null","null","null","null"
"","San Diego","","2200-2600","1024","","Socket 939","null","null","null","null","null","null","null","null","null","null"
"","Orleans","","1800-2600","512","","Socket AM2","AMD64, NX Bit, AMD-V","null","null","null","null","null","null","null","null","null"
"65","","Lima","","2000-2800","","null","null","null","null","null","null","null","null","null","null","null"
"90","Athlon 64 X2","","Manchester","3600+","2","2000","256 PC, FS","","Socket 939","DDR","MMX, 3DNow!+, SSE, SSE2, SSE3","Cool'n'Quiet","AMD64, NX Bit","null","null","null"
"","3800+, 4200+, 4600+","2000, 2200, 2400","512 PC, FS","","null","null","null","null","null","null","null","null","null","null","null","null"
"","Toledo","3800+, 4200+, 4600+","2000, 2200, 2400","","null","null","null","null","null","null","null","null","null","null","null","null"
"","4400+, 4800+","2200, 2400","1024 PC, FS","","null","null","null","null","null","null","null","null","null","null","null","null"
"","Windsor","3600+","2000","256 PC, FS","","Socket AM2","DDR2","AMD64, NX Bit, AMD-V","null","null","null","null","null","null","null","null"
"","3800+, 4200+, 4600+, 5000+, 5400+","2000, 2200, 2400, 2600, 2800","512 PC, FS","","null","null","null","null","null","null","null","null","null","null","null","null"
"","4000+, 4400+, 4800+, 5200+, 5600+, 6000+, 6400+","2000, 2200, 2400, 2600, 2800, 3000, 3200","1024 PC, FS","","null","null","null","null","null","null","null","null","null","null","null","null"
"65","","Brisbane","3600+, 3800+, 4000+, 4200+, 4400+, 4600+, 4800+, 5000+, 5200+, 5400+, 5600+, 5800+, 6000+","1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100","512 PC, FS","","null","null","null","null","null","null","null","null","null","null"
"130","Sempron","","Paris","3000+","1","1800","800","64+64","128","","Socket 754","","MMX, 3DNow!+, SSE, SSE2, SSE3","Cool'n'Quiet","NX Bit","null"
"","3100+","1800","256","","","null","null","null","null","null","null","null","null","null","null","null"
"90","","Palermo","2500+","1400","256","","","MMX, 3DNow!+, SSE, SSE2, SSE3[4]","","AMD64,[4] NX Bit","null","null","null","null","null","null"
"","2600+","1600","128","","","null","null","null","null","null","null","null","null","null","null","null"
"","2800+","256","","","null","null","null","null","null","null","null","null","null","null","null","null"
"","3000+","1800","128","","","Cool'n'Quiet","null","null","null","null","null","null","null","null","null","null"
"","3100+","256","","","null","null","null","null","null","null","null","null","null","null","null","null"
"","3300+","2000","128","","","null","null","null","null","null","null","null","null","null","null","null"
"","3400+","256","","","null","null","null","null","null","null","null","null","null","null","null","null"
"","3000+","1800","128","","Socket 939","","MMX, 3DNow!+, SSE, SSE2, SSE3","","null","null","null","null","null","null","null","null"
"","3200+","256","","","null","null","null","null","null","null","null","null","null","null","null","null"
"","3400+","2000","128","","","null","null","null","null","null","null","null","null","null","null","null"
"","3500+","256","","","null","null","null","null","null","null","null","null","null","null","null","null"
"","Manila","2800+, 3200+, 3500+","1600, 1800, 2000","128","","Socket AM2","","Cool'n'Quiet","AMD64, NX bit","null","null","null","null","null","null","null"
"","3000+, 3400+, 3600+, 3800+","1600, 1800, 2000, 2200","256","","","null","null","null","null","null","null","null","null","null","null","null"
"65","","Sparta","LE-1100, LE-1150","1900, 2000","","","null","null","null","null","null","null","null","null","null","null"
"","LE-1200, LE-1250, LE-1300","2100, 2200, 2300","512","","","null","null","null","null","null","null","null","null","null","null","null"
"130","Mobile Athlon 64","","Clawhammer","2700+","1600","512","","Socket 754","","MMX, 3DNow!+, SSE, SSE2","","null","null","null","null","null"
"","2800+, 3000+, 3200+, 3400+, 3700+","1600, 1800, 2000, 2200, 2400","1024","","","null","null","null","null","null","null","null","null","null","null","null"
"","Odessa","2700+, 2800+, 3000+","1600, 1800, 2000","512","","","null","null","null","null","null","null","null","null","null","null"
"90","","Oakville","2700+, 2800+, 3000+","1600, 1800, 2000","512","","","null","null","null","null","null","null","null","null","null"
"","Newark","3000+, 3200+, 3400+, 3700+, 4000+","1800, 2000, 2200, 2400, 2600","1024","","","null","null","null","null","null","null","null","null","null","null"
"130","Mobile Sempron","","Dublin","","1600, 1800","128","","","MMX, 3DNow!+, SSE, SSE2","","AMD64, NX bit","null","null","null","null","null"
"","","1600","256","","","null","null","null","null","null","null","null","null","null","null","null"
"90","","Georgetown","","1600, 1800, 2000","128","","","null","null","null","null","null","null","null","null","null"
"","","1600, 1800","256","","","null","null","null","null","null","null","null","null","null","null","null"
"","Sonora","","1600, 1800","128","","","null","null","null","null","null","null","null","null","null","null"
"","","1600, 1800","256","","","null","null","null","null","null","null","null","null","null","null","null"
"","Albany","","1800, 2000, 2200","128","","","MMX, 3DNow!+, SSE, SSE2, SSE3","","null","null","null","null","null","null","null","null"
"","","1800, 2000","256","","","null","null","null","null","null","null","null","null","null","null","null"
"","Roma","","1800, 2000","128","","","null","null","null","null","null","null","null","null","null","null"
"","","1600, 1800, 2000","256","","","null","null","null","null","null","null","null","null","null","null","null"
"","Keene","","1800, 2000","256","","Socket S1","","PowerNow!","null","null","null","null","null","null","null","null"
"","","1600, 1800, 2000","512","","","null","null","null","null","null","null","null","null","null","null","null"
"Turion 64","","Lancaster","MT-28, MT-32, ML-42","1600 1800, 2400","512","","Socket 754","","MMX, 3DNow!+, SSE, SSE2, SSE3","","AMD64, NX bit","null","null","null","null","null"
"","MT-30, MT-34, MT-37, MT-40, ML-44","1600, 1800, 2000, 2200, 2400","1024","","","null","null","null","null","null","null","null","null","null","null","null"
"","Richmond","MK-36, MK-38","2000, 2200","512","","","null","null","null","null","null","null","null","null","null","null"
"Turion 64 X2","","Taylor","TL-50","2","1600","256","","Socket S1","","MMX, 3DNow!+, SSE, SSE2, SSE3","","AMD64 NX bit","null","null","null","null"
"","Trinidad","TL-52, TL-56, TL-60, TL-64","1600, 1800, 2000, 2200","512","","","null","null","null","null","null","null","null","null","null","null"
"65","","Tyler","TK-53, TK-55, TK-57","1700, 1800, 1900","256","","","null","null","null","null","null","null","null","null","null"
"","TL-56, TL-58, TL-60, TL-62, TL-64, TL-66, TL-68","1800, 1900, 2000, 2100, 2200, 2300, 2400","512","","","null","null","null","null","null","null","null","null","null","null","null"
"65","Opteron","","Barcelona","","4","1700-2500","1000","64+64","256, 512","2048","Socket F","","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","PowerNow!","AMD64, NX bit, AMD-V, ccNUMA","null"
"","Budapest","","4","1700-2500","1000","256, 512","2048","Socket AM2","","AMD64, NX bit, AMD-V","null","null","null","null","null","null"
"Phenom","","Agena","9100e,9150e, 9350e, 9450e, 9500, 9550, 9600, 9600B, 9600BE, 9650, 9670, 9750, 9750B, 9850, 9850B 9850BE, 9950BE","4","1800-2600","1600, 1800, 2000","512","2048","Socket AM2+","","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","Cool'n'Quiet","AMD64, NX bit, AMD-V","null","null","null"
"","Toliman","8250e, 8400, 8450, 8450e, 8550, 8600, 8600B, 8650, 8750, 8750B, 8750BE, 8850","3","1900-2500","1600, 1800","512","2048","","null","null","null","null","null","null","null","null"
"Athlon X2","","Kuma","6500BE","2","2300","1600, 1800","1024","","","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","Cool'n'Quiet","AMD64, NX bit, AMD-V","null","null","null","null"
"","7450, 7550, 7750BE, 7850BE","2400-2800","1600, 1800","2048","","null","null","null","null","null","null","null","null","null","null","null"
"Athlon","","Lima","","1","2400–2700","1600, 1800","512, 1024","","","null","null","null","null","null","null","null"
"Sempron","","Sparta","","1","2700","1600","512","","","null","null","null","null","null","null","null"
"45","Phenom II","","Thuban","1100T, 1090T, 1075T, 1055T, 1045T","6/6","2600-3300","1800, 2000","64+64","512","6144","Socket AM2+ Socket AM3","DDR2 DDR3","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","Cool'n'Quiet","AMD64, NX bit, AMD-V","null"
"","Zosma","840T, 960T, 970(E0 stepping)","4/6","3000-3400","1800, 2000","512","6144","DDR2 DDR3","null","null","null","null","null","null","null","null"
"","Deneb","980, 975, 970, 965, 955, 945, 940, 925, 920, 910e, 905e, 830, 820, 810, 805","4/4","2500-3700","1800, 2000","512","6144 (805-820 only 4096)","DDR2 DDR3","null","null","null","null","null","null","null","null"
"","Heka","740, 720, 705e","3/4","2500–2800","2000","512","6144","DDR2 DDR3","null","null","null","null","null","null","null","null"
"","Callisto","570, 565, 560, 555, 550, 545","2/4","3000-3400","2000","512","6144","DDR2 DDR3","null","null","null","null","null","null","null","null"
"Athlon II","","Propus","","4","2200–2800","2000","512","","DDR2 DDR3","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","Cool'n'Quiet","AMD64, NX bit, AMD-V","null","null","null","null"
"","Rana","","3","2200–3100","2000","512","","DDR2 DDR3","null","null","null","null","null","null","null","null"
"","Regor","","2","1600-3600","2000","512, 1024","","DDR2 DDR3","null","null","null","null","null","null","null","null"
"Sempron","","Sargas","130","1","2600","2000","512","","DDR2 DDR3","MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!","PowerNow!","AMD64, NX bit, AMD-V","null","null","null","null"
"","140","2700","1024","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","145","2800","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","150","2900","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Turion II","","Caspian","","2","2000-2700","1800, 1600","512, 1024","","Socket S1G3","DDR2","null","null","null","null","null","null"
"32","Llano","","Llano","E2-3200, A4-3300, A4-3420, A6-3500, A6-3600, A6-3620, A6-3650, A6-3670K, A8-3800, A8-3820, A8-3850, A8-3870K","2/3/4","2100-3000","","1024, 3072, 4096","","Socket FM1","DDR3","null","null","null","null","null"
"40","Bobcat","","Desna, Ontario, Zacate","C-series, E-series, G-series, Z-series","1/2","1000 - 1750","","32 + 32","512 KB (per core)","","FT1","DDR3","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a","PowerNow!","AMD64, NX bit, AMD-V","null"
"32","Bulldozer","","Zambezi","FX-4100 series (4100, 4120, 4130, 4150, 4170)","4","3600-4200 (3700-4300 boost)","2600","2 x 16 KB (data) + 64 KB (instruction)(per module)","4x2","8","Socket AM3+ Socket AM3","DDR3","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX","Cool'n'Quiet, PowerNow!, Turbo Core 2.0","AMD64, NX bit, AMD-V, IOMMU, AES, CLMUL, XOP, FMA4, CVT16/F16C, ABM, ECC","null"
"","FX-6100 series (6100, 6120, 6130, 6200)","6","3300-3800 (3600-4200 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","FX-8100 series (8100, 8120, 8140, 8150, 8170)","8","2800-3900 (3100-4500 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","Zurich","Opteron 3200 series (3250HE, 3260HE, 3280)","4/8","2400-2700 (2700-3700 boost)","null","null","null","null","null","null","null","null","null","null","null","null"
"","Valencia","Opteron 4200 series (42DX, 42MX, 4226, 4228HE, 4230HE, 4234, 4238, 4240, 4256EE,4274HE, 4276HE, 4280, 4284)","4/6/8","1600-3400 (1900-3800 boost)","Socket C32","null","null","null","null","null","null","null","null","null","null","null"
"","Interlagos","Opteron 6200 series (6204, 6212, 6220, 6230HE, 6234, 6238, 6262HE, 6272, 6274, 6276, 6278, 6282SE, 6284SE)","4/8/12/16","1600-3300 (2100-3600 boost)","Socket G34","null","null","null","null","null","null","null","null","null","null","null"
"Piledriver","","Trinity","SempronX2 240, AthlonX2 340, AthlonX4 740, AthlonX4 750K, FirePro A300, FirePro A320, A4-4300M, A4-4355M, A4-5300, A4-5300B, A6-4400M, A6-4455M, A6-5400K, A6-5400B, A8-5500, A8-4500M, A8-4555M, A8-5500B, A8-5600K, A10-4600M, A10-4655M, A10-5700, A10-5800K, A10-5800B","2/4","1600-3800 (2400-4200 boost)","2600","2 x 16 KB (data) + 64 KB (instruction)(per module)","4x2, 3x2, 2x2, 1","8, 4","Socket FM2 FS1r2 FP2","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX, AVX1.1","Cool'n'Quiet, PowerNow!, Turbo Core 3.0","AMD64, NX bit, AMD-V, IOMMU, AES, CLMUL, XOP, FMA3, FMA4, CVT16/F16C, ABM, BMI1, TBM, ECC, EVP.","null","null","null"
"","Richland","SempronX2 250, AthlonX2 350, AthlonX2 370K, AthlonX2 750, AthlonX2 760K, FX-670K, A4-4000, A4-4320, A4-5145M, A4-5150M, A4-6300, A4-6300B, A4-6320, A4-6320B, A4-7300, A4PRO-7300B, A6-5345M, A6-5350M, A6-5357M, A6-6400B , A6-6400K, A6-6420B, A6-6420K, A8-5345M, A8-5350M, A8-5357M, A8-6500, A8-6500T, A8-6500B, A8-6600, A10-5745M, A10-5750M, A10-5757M, A10-6700, A10-6700T, A10-6790B , A10-6790K , A10-6800B , A10-6800K","2/4","1700-4100 (2600-4400 boost)","null","null","null","null","null","null","null","null","null","null","null","null"
"","Vishera","FX-4300 series (4300, 4320, 4350)","4","3800-4200 (4000-4300 boost)","Socket AM3+","null","null","null","null","null","null","null","null","null","null","null"
"","FX-6300 series (6300, 6350)","6","3500-3900 (4100-4200 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","FX-8300 series (8300, 8310, 8320, 8320E, 8350, 8370, 8370E, 9370, 9590)","8","3300-4700 (4000-5000 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","Delhi","Opteron 3300 series (3320EE, 3350HE, 3365, 3380)","4/8","1900-2800 (2100-3800 boost)","null","null","null","null","null","null","null","null","null","null","null","null"
"","Seoul","Opteron 4300 series (43CXEE, 43GKHE, 4310EE, 4332HE, 4334, 4340, 4365EE, 4376HE, 4386)","4/6/8","2000-3500 (2300-3800 boost)","Socket C32","null","null","null","null","null","null","null","null","null","null","null"
"","Abu Dhabi","Opteron 6300 series (6308, 6320, 6328, 6338P, 6344, 6348, 6366HE, 6370P, 6376, 6378, 6380, 6386SE)","4/8/12/16","1800-3500 (2300-3800 boost)","Socket G34","null","null","null","null","null","null","null","null","null","null","null"
"28","Steamroller","","Kaveri","AthlonX2 450, AthlonX4 840, AthlonX4 860K, AthlonX4 870K, AthlonX4 880K, FX-770K, FX-7500, FX-7600P, A4PRO-7350B, A6-7000, A6Pro-7050B, A6-7400K, A6PRO-7400B, A6-7470K, A8-7100, A8Pro-7150B, A8-7200P, A8-7600, A8PRO-7600B, A8-7650K, A8-7670K, A10-7300, A10Pro-7350B, A10-7400P, A10-7700K, A10-7800, A10PRO-7800B, A10-7850K, A10-7850B, A10-7860K, A10-7870K, A10-7890K","2/4","1800-4100 (3000-4300 boost)","","2 x 16 KB (data) + 96 KB (instruction)(per module)","2x2, 1","","Socket FM2+ Socket FP3","null","null","null","null","null"
"Excavator","","Carrizo","AthlonX4 835, AthlonX4 845, FX-8800P, A6-8500P, A6Pro-8500B, A8-8600P, A8Pro-8600B, A10-8700P, A10Pro-8700B, A10-8780P, A12Pro-8800B","2/4","1600-3500 (3000-3800 boost)","","2 x 32 KB (data) + 96 KB (instruction)(per module)","2x1","","Socket FM2+ Socket FP4","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX, AVX1.1, AVX2","AMD64, NX bit, AMD-V, IOMMU, AES, CLMUL, XOP, FMA3, FMA4, CVT16/F16C, ABM, BMI1, BMI2, TBM, ECC, EVP.","null","null","null","null"
"","Bristol Ridge","AthlonX4 940, AthlonX4 950, AthlonX4 970, FX-9800P, FX-9830P, A6-9500, A6PRO-9500, A6Pro-9500B, A6-9500E, A6PRO-9500E, A6-9550, A8-9600, A8PRO-9600, A8Pro-9600B, A8Pro-9630B, A10-9600P, A10-9620P, A10-9630P, A10-9700, A10PRO-9700, A10Pro-9700B, A10-9700E, A10PRO-9700E, A10Pro-9730B, A12-9700P, A12-9720P, A12-9730P, A12-9800, A12PRO-9800, A12Pro-9800B, A12-9800E, A12PRO-9800E, A12Pro-9830B","2/4","2300-3800 (3200-4200 boost)","","1x1, 2x1","","Socket AM4 Socket FP4","DDR4","null","null","null","null","null","null","null"
"28","Jaguar","","Kabini, Temash, Kyoto","","2/4","1000 - 2200","","32 kB + 32 kB (per core)","512 KB (per core)","","Socket AM1, Socket FT3","DDR3","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX","PowerNow!","AMD64, NX bit, AMD-V, AES, CLMUL, CVT16/F16C, BMI1","null"
"Puma","","Beema, Mullins, Stepped Eagle, Crowned Eagle, Carrizo-L, LX-Family,","","800 - 2400","","","Socket FT3b","null","null","null","null","null","null","null","null","null"
"14 GloFo 14LP","Zen","March 2017","Summit Ridge","Ryzen 3 (Pro 1200, 1200, Pro 1300, 1300X)","4","no","3100-3500 (3400-3700 boost)","","64 kB + 32 kB (per core)","512 kB (per core)","8 MB","Socket AM4","Dual-channel DDR4","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX, AVX2","","AMD64, AES, CLMUL, FMA3, CVT16/F16C, ABM, BMI1, BMI2, SHA"
"Ryzen 5 (1400, Pro 1500, 1500X, Pro 1600, 1600, 1600X)","4/6","yes","3200-3600 (3400-4000 boost)","8-16 MB","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 7 (Pro 1700, 1700, Pro 1700X, 1700X, 1800X)","8","3000-3600 (3700-4000 boost)","16 MB","null","null","null","null","null","null","null","null","null","null","null","null","null"
"June 2017","Naples","EPYC 7001 series","8/16/24/32","2000-3100 (2550-3600 all) (2700-3800 boost)","32-64 MB","Socket SP3","DDR4 (8 channels)","null","null","null","null","null","null","null","null","null"
"August 2017","Whitehaven","Ryzen Threadripper (1900, 1920, 1920X, 1950X)","8/12/16","3200-3800 (3800-4000 boost)","16-32 MB","Socket TR4","DDR4 (4 channels)","null","null","null","null","null","null","null","null","null"
"October 2017","Raven Ridge","Athlon (Pro 200U, 300U), Ryzen 3 (2200U, 3200U, 3250U)","2","yes","2300-2600 (3200-3500 boost)","4 MB","Socket FP5","Dual-channel DDR4","null","null","null","null","null","null","null","null"
"Ryzen 3 (2300U, Pro 2300U)","4","no","2000 (3400 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 5 (2500U, Pro 2500U, 2600H), Ryzen 7 (2700U, Pro 2700U, 2800H)","yes","2000-3300 (3600-3800 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"February 2018","Athlon (200GE, Pro 200GE, 220GE, 240GE, 3000G)","2","yes","3200-3500","Socket AM4","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 3 (2200GE, Pro 2200GE, 2200G, Pro 2200G)","4","no","3200-3500 (3600-3700 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 5 (2400GE, Pro 2400GE, 2400G, Pro 2400G)","yes","3200-3600 (3800-3900 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"February 2018","Snowy Owl","EPYC 3001 series (Embedded)","4/8/12/16","no","1500-2100 (2150-3100 all) (2900-3100 boost)","8-32 MB (8 MB per CCX)","Socket SP4r2","Dual-channel DDR4","null","null","null","null","null","null","null","null"
"EPYC 3051 series (Embedded)","yes","1900-2700 (2450-3100 all) (2900-3100 boost)","16-32 MB (8 MB per CCX)","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Great Horned Owl","V1000 series (Embedded)","2/4","yes","2000-3350 (3200-3800 boost)","4 MB","Socket FP5","null","null","null","null","null","null","null","null","null","null"
"April 2019","Banded Kestrel","R1000 series (Embedded)","2","no","1200 (2600 boost)","Single-channel DDR4","null","null","null","null","null","null","null","null","null","null"
"yes","1500-2600 (2800-3500 boost)","Dual-channel DDR4","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"12 GloFo 12LP","Zen+","April 2018","Pinnacle Ridge","Ryzen 3 (1200 AF, 2300X)","4","no","3100-3500 (3400-4000 boost)","","32 kB data 64 kB inst. per core","512 kB per core","8 MB","Socket AM4","Dual-channel DDR4","MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX, AVX2","","AMD64, AES, CLMUL, FMA3, CVT16/F16C, ABM, BMI1, BMI2, SHA"
"Ryzen 5 2500X","yes","3600 (4000 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 5 (1600 AF, 2600, 2600E, 2600X), Ryzen 7 (2700, 2700E, 2700X, Pro 2700X)","6/8","2800-3700 (3600-4300 boost)","16 MB","null","null","null","null","null","null","null","null","null","null","null","null","null"
"August 2018","Colfax","Ryzen Threadripper (2920X, 2950X, 2970WX, 2990WX)","12/16/24/32","yes","3000-3500 (4200-4400 boost)","32-64 MB","Socket TR4","DDR4 (4 channels)","null","null","null","null","null","null","null","null"
"January 2019","Picasso","Ryzen 3 (3300U, Pro 3300U, 3350U)","4","no","2100 (3500 boost)","4 MB","Socket FP5","Dual-channel DDR4","null","null","null","null","null","null","null","null"
"Ryzen 5 (3450U, 3500C, 3500U, Pro 3500U, 3550H, 3580U), Ryzen 7 (3700C, 3700U, Pro 3700U, 3750H, 3780U)","yes","2100-2300 (3500-4000 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"July 2019","Ryzen 3 (3200GE, Pro 3200GE, 3200G, Pro 3200G)","no","3300-3600 (3800-4000 boost)","Socket AM4","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 5 (3400GE, Pro 3400GE, 3400G, Pro 3400G)","yes","3300-3700 (4000-4200 boost)","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"7 TSMC N7","Zen 2","July 2019","Matisse","Ryzen 3 (3100, 3300X)","4","yes","3600-3800 (3900-4200 boost)","32 kB data 32 kB inst. per core","512 kB per core","16 MB","Socket AM4","Dual-channel DDR4","null","null","null","null"
"Ryzen 5 (3500, 3500X)","6","no","3600 (4100 boost)","16-32 MB","null","null","null","null","null","null","null","null","null","null","null","null"
"Ryzen 5 (3600, Pro 3600, 3600X, 3600XT), Ryzen 7 (Pro 3700, 3700X, 3800X, 3800XT)","6/8","yes","3600-3900 (4200-4700 boost)","32 MB","null","null","null","null","null","null","null","null","null","null","null","null"
