"Jumpshare , URL: /wiki/Jumpshare
","2 GB free, 1 TB paid","250 MB free, Unlimited paid","5GB per month free, 200GB per month on paid plan","Yes","?","?","?","?","No","2","","","Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips."
"Mail.ru Cloud [RU]","8 GB free, 4TB paid[44]","2 GB free, 32 GB paid, 100 GB PRO tariff[45]","None","No","WebDAV for paid tariffs[46]","No","Paid only[47]","No","No","8","","",""
"MediaFire , URL: /wiki/MediaFire
","10 GB, +50 GB for referrals up to 1 TB Pro accounts; 100 TB Business accounts","20 GB[49]","10 TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[50]","Yes","Yes","No[51]","Yes","?","Yes","10","","","Resuming of interrupted downloads possible."
"Mega , URL: /wiki/Mega_(service)
","20 GB free, additional 5 GB per achievements,[53] up to 16 TB paid","Available cloud drive space[54]","10 GB free, Up to 96 TB per month paid.[55]","No","Yes","No","Yes[56]","?","Yes","20","","","Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari[57] Supports HTML5 browsers.[58]"
"Microsoft OneDrive , URL: /wiki/Microsoft_OneDrive
","5 GB free (since 31 January 2016)[Note 1] +500 MB free for referrals up to 5 GB; 200 GB paid[62] 1 TB with paid Office 365 account by default, can register 5 accounts for up to 5TB combined.[citation needed]","100 GB[63]","None","Yes","Yes[64]","No[65]","Yes (Office files only)","No[66]","?","5","","","Fetch files allows remote access of files on Windows with OneDrive installed[67] 25 GB free for grandfathered accounts before April 2012[68]"
"SecureSafe , URL: /wiki/SecureSafe
","100MB free, up to 100GB paid[70]","? 2GB limit for SecureSend","None","No","No","No","No[69]","?","Yes","0.1","","","Offers Data Inheritance[71]"
"SugarSync , URL: /wiki/SugarSync
","60 GB personal paid, Unlimited GB professional paid","None","10 GB/file/day free, 250 GB file/day paid","No","REST , URL: /wiki/Representational_State_Transfer
","?","Yes","?","No","0","","","If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.[74]"
"Tencent Weiyun , URL: /wiki/Tencent_Weiyun
","2 TB (10 GB free)","1 GB regular upload, 32 GB Power Upload plug-in","None","No","No","No","No","?","No","10","","","In English and Chinese (free version in Chinese only)"
"TitanFile , URL: /wiki/TitanFile
","No free space, unlimited paid","100 MB free, 1 GB paid, 4 GB professional","None","No","Yes[76]","Yes For enterprise clients only","Yes[77]","?","Yes for paid plans[78]","0","","","HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website."
"Tresorit , URL: /wiki/Tresorit
","3 GB free trial, 100-1000 GB paid plans[80]","500 MB free, 5 GB premium, 10 GB rest of paid plans[81]","None","No","No","No","For paid plans only[82]","No","Yes[83]","3","","","Files are client-side encrypted; zero-knowledge principles are used to prevent Tresorit itself from reading the files."
"Wasabi , URL: /wiki/Wasabi_Technologies
","unlimited. paid only.[84]","?","?","?","Yes","?","?","?","?","0","Yes","?",""
"Yandex Disk , URL: /wiki/Yandex_Disk
","up to 20 GB free (10 GB when registering), up to 1024 GB paid","WebDAV , URL: /wiki/WebDAV
","200% of storage size per day","No","REST , URL: /wiki/REST
WebDAV , URL: /wiki/WebDAV
","No","14 days with free accounts 90 days with paid ones[86]","?","No","10","","","Yandex , URL: /wiki/Yandex
"
"Web host","Storage size","Max. file size","Traffic or bandwidth limit","Remote uploading , URL: /wiki/Remote_upload
","Developer API?","FTP upload possible?","File versioning","Follows symlinks","Client-side encryption[1]","Free GB (number only)","Append-only support?[2]","Lifecycle Policy support?","Misc. notes"
