"","TGA , URL: /wiki/Truevision_TGA
","RAW imports , URL: /wiki/Raw_image_format
","BMP , URL: /wiki/Windows_bitmap
","GIF , URL: /wiki/Graphics_Interchange_Format
","JPEG , URL: /wiki/JPEG
","JPEG 2000 , URL: /wiki/JPEG_2000
","HD Photo , URL: /wiki/HD_Photo
","PNG , URL: /wiki/Portable_Network_Graphics
","TIFF , URL: /wiki/Tagged_Image_File_Format
","PSD , URL: /wiki/Adobe_Photoshop#File_format
","PSP , URL: /wiki/Corel_PaintShop_Pro
","XCF , URL: /wiki/XCF_(file_format)
","PCX , URL: /wiki/PCX
","ORA , URL: /wiki/OpenRaster
","HEIF , URL: /wiki/Heif
"
"Pixia , URL: /wiki/Pixia
","?","?","Yes","No","Yes","No","","Yes","Yes","Yes","No","No","No","",""
"PMview , URL: /wiki/PMview
","?","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","",""
"Project Dogwaffle , URL: /wiki/Project_Dogwaffle
","?","?","Yes","No","Yes","No","","No","Yes","No","No","No","No","",""
"QFX , URL: /wiki/QFX
","?","?","Yes","Yes","Yes","No","No","?","Yes","Yes","No","No","?","",""
"RawTherapee , URL: /wiki/RawTherapee
","?","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","",""
"Seashore , URL: /wiki/Seashore_(software)
","?","No","Partial","Partial","Yes","Partial","","Yes","Yes","No","?","Yes","?","",""
"Serif PhotoPlus , URL: /wiki/Serif_PhotoPlus
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","",""
"Turbo Play","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","","",""
"Tux Paint , URL: /wiki/Tux_Paint
","?","No","Yes","Import","Import","No","No","Yes","No","No","No","No","No","",""
"TVPaint , URL: /wiki/TVPaint_Animation
","?","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","Yes","",""
"Ulead PhotoImpact , URL: /wiki/Ulead_PhotoImpact
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial","Import","No","Yes","",""
"Ultimate Paint*","?","?","Yes","Yes","Yes","No","","Yes","No","No","No","No","Yes","",""
"WinImages , URL: /wiki/WinImages
","?","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","?","",""
"Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","?","Yes","Yes","Yes","Yes","Yes","Import only","Yes","Yes","Yes","No","No","Yes","",""
"XnView , URL: /wiki/XnView
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Import","Yes","",""
"XPaint","?","No","Yes","Yes","Yes","No","","Yes","Yes","No","No","No","No","",""
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","?","Yes","Yes","Yes","Yes","Import only","Yes","Yes","Yes","Import only","Import only","No","Yes","",""
