"Software","Creator","Edition","Release Date","USD , URL: /wiki/United_States_dollar
","Open source , URL: /wiki/Open-source_software
","Software license , URL: /wiki/Software_license
","Implementation"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","OpenLink Software","7.2.5.1","2018-08-15","Varies[4]","Yes","GPL , URL: /wiki/GPL
",""
"Oracle BPEL Process Manager , URL: /wiki/Oracle_BPEL_Process_Manager
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","12.1.3.0.0","June 2014","Varies[6]","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Oracle Enterprise Service Bus , URL: /wiki/Oracle_Enterprise_Service_Bus
","Oracle Corporation","12.1.3.0.0","June 2014","Varies[7]","No","Proprietary , URL: /wiki/Proprietary_software
",""
"PEtALS ESB , URL: /wiki/OW2_PEtALS
","OW2 Consortium , URL: /wiki/OW2_Consortium
","3.1.3","July 2011","Free / Commercial support available","Yes","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
",""
"Sonic ESB , URL: /wiki/Progress_Software
","Progress Software , URL: /wiki/Progress_Software
","8.x","2011","","No","Proprietary , URL: /wiki/Proprietary_software
","Enterprise Service Bus"
"SAP NetWeaver Process Integration , URL: /wiki/SAP_NetWeaver_Process_Integration
","SAP AG , URL: /wiki/SAP_AG
","7.5","2011","Varies[8]","No","Proprietary , URL: /wiki/Proprietary_software
",""
"ServiceMix , URL: /wiki/ServiceMix
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","5.1.1","July 2014","free/commercial support available","Yes","Apache Software License , URL: /wiki/Apache_Software_License
",""
"Spagic , URL: /wiki/Spagic
","Engineering group , URL: /w/index.php?title=Engineering_group&action=edit&redlink=1
","3.0","May 2010","free / Commercial support","Yes","GNU LGPL , URL: /wiki/GNU_Lesser_General_Public_License
",""
"Sun Java Composite Application Platform Suite , URL: /wiki/Java_Enterprise_System#Sun_Java_Composite_Application_Platform_Suite
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","6","June 2008","$100 per employee per year subscription, perpetual per socket licensing available[9]","No[10]","Proprietary , URL: /wiki/Proprietary_software
",""
"TrackerSuite.Net , URL: /wiki/Tracker_(Business_Software)
","Automation Centre , URL: /wiki/Automation_Centre
","4.0","June 2012","Based on number of users and modules utilized. Available as SaaS, or as a licensed installation.","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Unify NXJ , URL: /wiki/Unify_NXJ
","Unify Corporation , URL: /wiki/Unify_Corporation
","11","","","No","Proprietary , URL: /wiki/Proprietary_software
",""
"webMethods Integration Server , URL: /wiki/WebMethods_Integration_Server
","Software AG , URL: /wiki/Software_AG
","9.0[11]","May 2013","varies","No","Proprietary , URL: /wiki/Proprietary_software
","Enterprise Service Bus[12]"
"WebSphere Message Broker , URL: /wiki/WebSphere_Message_Broker
IBM Integration Bus , URL: #IIB
","IBM , URL: /wiki/IBM
","8.0","October 2011","IBM Integration Bus , URL: #IIB
","No","Proprietary , URL: /wiki/Proprietary_software
","Enterprise Service Bus"
"WSO2 Enterprise Integrator , URL: /wiki/WSO2
","WSO2 , URL: /wiki/WSO2
","6.4","2018","Free / Commercial support available","Yes","Apache License 2.0 , URL: /wiki/Apache_License_2.0
","Enterprise Service Bus, Message Broker, Application Server, Business Process Server, Data Services Server"
"WSO2 Enterprise Service Bus (ESB) , URL: /wiki/WSO2_Enterprise_Service_Bus_(ESB)
","WSO2 , URL: /wiki/WSO2
","5.0.0","2016","Free / Commercial support available","Yes","Apache Software License , URL: /wiki/Apache_Software_License
",""
