"OpenGL , URL: /wiki/OpenGL
","N/A","N/A","N/A","1.1","1.2","1.3","1.3","2.1[b][1]","2.1[b][1]","2.1[b][1]","3.3","3.3","3.3","4.5 , URL: /wiki/OpenGL#OpenGL_4.5
","4.5 , URL: /wiki/OpenGL#OpenGL_4.5
","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","4.6 (on Linux: 4.6 (Mesa 3D 20.0))","","",""
"Vulkan , URL: /wiki/Vulkan_(API)
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Win 7+ , URL: /wiki/Windows_7
Mesa 17+ , URL: /wiki/Mesa_(computer_graphics)
","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","1.2 (Adrenalin 20.1, Linux Mesa 3D 20.0)","","",""
"OpenCL , URL: /wiki/OpenCL
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Close to Metal , URL: /wiki/Close_to_Metal
","Close to Metal , URL: /wiki/Close_to_Metal
","1.1 (no Mesa 3D support)","Linux , URL: /wiki/Linux
","Linux , URL: /wiki/Linux
","Linux , URL: /wiki/Linux
","Win7+ , URL: /wiki/Windows_7
Linux , URL: /wiki/Linux
","Win7+ , URL: /wiki/Windows_7
Linux , URL: /wiki/Linux
","Win7+ , URL: /wiki/Windows_7
Linux , URL: /wiki/Linux
","Win7+ , URL: /wiki/Windows_7
Linux , URL: /wiki/Linux
","2.0","2.1 [5]","","",""
"HSA , URL: /wiki/Heterogeneous_System_Architecture
ROCm , URL: /wiki/ROCm
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","?","?","","",""
"ASIC , URL: /wiki/Application-specific_integrated_circuit
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Avivo , URL: /wiki/ATI_Avivo
UVD , URL: /wiki/Unified_Video_Decoder#UVD/UVD+
","UVD+ , URL: /wiki/Unified_Video_Decoder#UVD/UVD+
","UVD 2 , URL: /wiki/Unified_Video_Decoder#UVD_2
","UVD 2.2 , URL: /wiki/Unified_Video_Decoder#UVD_2
","UVD 3 , URL: /wiki/Unified_Video_Decoder#UVD_3
","UVD 4 , URL: /wiki/Unified_Video_Decoder#UVD_4
","UVD 4.2 , URL: /wiki/Unified_Video_Decoder#UVD_4
","UVD 5.0 , URL: /wiki/Unified_Video_Decoder#UVD_5
6.0 , URL: /wiki/Unified_Video_Decoder#UVD_6
","UVD 6.3 , URL: /wiki/Unified_Video_Decoder#UVD_6
","UVD 7 , URL: /wiki/Unified_Video_Decoder#UVD_7
","VCN 2.0 , URL: /wiki/Video_Core_Next
","VCN 3.0 , URL: /wiki/Video_Core_Next
","","",""
"ASIC , URL: /wiki/Application-specific_integrated_circuit
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","VCE 1.0 , URL: /wiki/Video_Coding_Engine#VCE_1.0
","VCE 2.0 , URL: /wiki/Video_Coding_Engine#VCE_2.0
","VCE 3.0 or 3.1 , URL: /wiki/Video_Coding_Engine#VCE_3.0
","VCE 3.4 , URL: /wiki/Video_Coding_Engine#VCE_3.4
","VCE 4.0 , URL: /wiki/Video_Coding_Engine#VCE_4.0
","VCN 2.0 , URL: /wiki/Video_Core_Next
","VCN 3.0 , URL: /wiki/Video_Core_Next
","","",""
"ASIC , URL: /wiki/Application-specific_integrated_circuit
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","","",""
"Power saving","?","?","?","?","?","?","?","?","?","?","PowerPlay , URL: /wiki/AMD_PowerPlay
","PowerPlay , URL: /wiki/AMD_PowerPlay
","PowerPlay , URL: /wiki/AMD_PowerPlay
","PowerPlay , URL: /wiki/AMD_PowerPlay
","PowerTune , URL: /wiki/AMD_PowerTune
","PowerTune , URL: /wiki/AMD_PowerTune
ZeroCore Power , URL: /wiki/AMD_ZeroCore_Power
","PowerTune , URL: /wiki/AMD_PowerTune
ZeroCore Power , URL: /wiki/AMD_ZeroCore_Power
","PowerTune , URL: /wiki/AMD_PowerTune
ZeroCore Power , URL: /wiki/AMD_ZeroCore_Power
","PowerTune , URL: /wiki/AMD_PowerTune
ZeroCore Power , URL: /wiki/AMD_ZeroCore_Power
","PowerTune , URL: /wiki/AMD_PowerTune
ZeroCore Power , URL: /wiki/AMD_ZeroCore_Power
","?","?","","",""
"TrueAudio , URL: /wiki/AMD_TrueAudio
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DSP , URL: /wiki/Digital_signal_processing
","DSP , URL: /wiki/Digital_signal_processing
","Via shaders","Via shaders","Via shaders","?","","",""
"FreeSync , URL: /wiki/FreeSync
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1 2","1 2","1 2","1 2","1 2","1 2","","",""
"HDCP , URL: /wiki/HDCP
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1.4","1.4","1.4 2.2","1.4 2.2","1.4 2.2 2.3","?","","",""
"PlayReady , URL: /wiki/PlayReady
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.0","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","3.0","?","","",""
"Supported displays , URL: /wiki/AMD_Eyefinity
","","","","","","1–2","2","2","2","2","2","2","2","2–6","2–6","2–6","2–6","2–6","2–6","2–6","?","?","","",""
"resolution , URL: /wiki/Display_resolution
","?","?","?","?","?","?","?","?","?","?","?","?","?","2–6 × 2560×1600","2–6 × 2560×1600","2–6 × 4096×2160 @ 30 Hz","2–6 × 4096×2160 @ 30 Hz","2–6 × 4096×2160 @ 30 Hz","2–6 × 5120×2880 @ 60 Hz","3 × 7680×4320 @ 60 Hz[8]","PowerColor , URL: https://www.powercolor.com/product?id=1623918640#spe
","PowerColor , URL: https://www.powercolor.com/product?id=1623918640#spe
","","",""
"/drm/radeon[h]","","","","","","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","N/A","N/A","N/A","N/A","N/A","","",""
"/drm/amdgpu[h]","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Experimental[9]","Experimental[9]","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","","",""
