"Main","Vickers MG , URL: /wiki/Vickers_machine_gun
0.5 in (12.7mm) Vickers MG , URL: /wiki/Vickers_.50_machine_gun
","Ordnance QF 2-pounder , URL: /wiki/Ordnance_QF_2-pounder
","MG34 , URL: /wiki/MG34
","2 cm KwK 30 , URL: /wiki/2_cm_KwK_30
","3.7 cm KwK 36 , URL: /wiki/3.7_cm_KwK_36
","7.5 cm KwK 37 , URL: /wiki/7.5_cm_KwK_37
","ÚV vz. 34 , URL: /wiki/3.7_cm_kanon_P%C3%9AV_vz._34
","3,7cm ÚV vz. 38 , URL: /wiki/3,7cm_%C3%9AV_vz._38
","Bofors wz. 37 , URL: /wiki/Bofors_wz._37
","Model 32 45 mm","Model 38 45 mm","L-11 Model 1939 76.2mm L/30.5","F-34 (tank gun) , URL: /wiki/F-34_tank_gun
","Type 97 57mm Tank Gun , URL: /wiki/Type_97_57_mm_tank_gun
"
"Secondary","–","7.92 mm Besa MG","–","MG34 , URL: /wiki/MG34
","3×MG34 7.92 mm","2×MG34 7.92 mm","MG 37(t) , URL: /wiki/ZB-53
","2×MG 37(t) 7.92 mm","Ckm wz.30 , URL: /wiki/Ckm_wz.30
","DT machine guns , URL: /wiki/DT_machine_gun
","3×DT 7.62 mm","2×DT 7.62 mm (hull, turret rear)","4×DT 7.62 mm","2xType 97 7.7mm guns"
"Ammunition","– 4,000 rounds","93 AP shot 2,925 rounds","– 2,250 rounds","180 shells 2,250 rounds","125 shells 4,500 rounds","80 shells 2,700 rounds","72 shells 1,800 rounds","72 shells 2,400 rounds","80 shells 3,960 rounds","100 shells 2,848 rounds","146 shells 2,394 rounds","77 shells 2,898–4,725 rounds","? shells ? rounds","120 shells 2,350-2,575 rounds"
"Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine",""
"Fuel","gasoline , URL: /wiki/Gasoline
","diesel , URL: /wiki/Diesel_fuel
","gasoline","gasoline","gasoline","gasoline","gasoline","gasoline","diesel","gasoline","diesel","diesel","diesel","diesel"
"Engine","8-cylinder Ford","2x 6-cylinder AEC or Leyland","6-cylinder Maybach NL38TR","6-cylinder petrol Maybach HL 140 hp","12-cylinder Maybach HL 120 TRM 300 PS","12-cylinder Maybach HL 120 TRM 300 PS","6-cylinder Škoda T11/0","6-cylinder Praga EPA","6-cylinder PZInż.235","6-cylinder GAZ T-26","V-2 , URL: /wiki/Kharkiv_model_V-2
","12-cylinder V-2-34","12-cylinder V-2","12-cylinder SA12200VD"
"Power , URL: /wiki/Horsepower
","70 hp (52 kW)","180 hp (130 kW)","100 hp (75 kW)","140 hp (100 kW)","265 hp (198 kW)","296 hp (221 kW)","120 hp (89 kW)","125 hp (93 kW)","110 hp (82 kW)","90 hp (67 kW)","450 hp (340 kW)","500 hp (370 kW)","600 hp (450 kW)","170 hp (130 kW)"
"Fuel consumption","?","?","103–126 litres/100 km","89–135 litres/100 km","?","?","?","?","81–100 litres/100 km","?","?","?","?","?"
"Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility","Mobility",""
"Suspension , URL: /wiki/Suspension_(vehicle)#Armoured_fighting_vehicle_suspension
","bogie , URL: /wiki/Bogie#Tracked_vehicles
","coil spring , URL: /wiki/Coil_spring
","leaf spring , URL: /wiki/Leaf_spring
","leaf spring","torsion-bar","leaf spring","leaf spring","leaf spring","leaf spring","leaf spring","Christie","Christie","torsion-bar","Bell-Crank"
"Speed (road) (terrain)","13 km/h 9","24 km/h 15","40 km/h ?","40 km/h 15 km/h","40 km/h ?","42 km/h 16 km/h","34 km/h ?","42 km/h 15 km/h","37 km/h 32 km/h","30 km/h ?","86 km/h ?","53.5 km/h ?","35 km/h ?","40 km/h ?"
"Range (road) (terrain)","80 miles (130 km)","160 miles (257 km)","140 km 115 km","200 km 130 km","155 km ?","320 km 200 km","190 km 120 km","250 km 160 km","160 km 130 km","225 km 150 km","700 km 400 km","300–400 km 230–260 km","335 km ?","210 km ?"
"power:weight , URL: /wiki/Power-to-weight_ratio
","6.3 hp/t","6.7 hp/t","16.7 hp/t","14.8 hp/t","12.0 hp/t","12.0 hp/t","10.9 hp/t","13.2 hp/t","11.1 hp/t","8.7 hp/t","30.6 hp/t","19.0 hp/t","13.0 hp/t","11.3 hp/t"
"Track width","","356 mm","280 mm","305 mm","360 mm","380 mm","320 mm","293 mm","267 mm","260 mm","300 mm","550 mm[9]","?","350 mm"
"Ground pressure","68.0 kPa","111.7 kPa","?","60.8 kPa","?","96.5 kPa","?","?","59 kPa","60 kPa","76.5 kPa","62.76 kPa","?","?"
"Ground clearance","387 mm","330 mm","290 mm","340 mm","385 mm","400 mm","350 mm","400 mm","376 mm","380 mm","350 mm","400 mm","?","343 mm"
"Vertical obstacle Trench crossing Fording depth","0.76 m 1.98 m 0.76 m","","0.36 m 1.4 m 0.58 m","0.42 m 1.7m 0.85 m","0.6 m 2.3 m 0.8 m","0.6 m 2.5 m 1.0 m","0.79 m 2.01 m 0.79 m","0.8 m 1.86 m 0.9 m","0.75 1.8 m 1.0 m","0.7 m 1.8 m 0.8 m","0.55 m 2 m 1.2 m","0.8 m[9] 2.5 m[9] 1.3m[9]","?","1.0 m 2.5 m 1.0 m"
"","Matilda Mk I , URL: /wiki/Matilda_Mk_I
","Matilda Mk II , URL: /wiki/Matilda_II
","Panzer I , URL: /wiki/Panzer_I
","Panzer II , URL: /wiki/Panzer_II
","Panzer III , URL: /wiki/Panzer_III
","Panzer IV , URL: /wiki/Panzer_IV
","LT vz. 35 , URL: /wiki/LT_vz._35
","LT vz. 38 , URL: /wiki/LT_vz._38
","7TP , URL: /wiki/7TP
","T-26 , URL: /wiki/T-26
","BT-8 , URL: /wiki/BT-8
","T-34 , URL: /wiki/T-34
","KV-1 , URL: /wiki/KV-1_(tank)
","Type 97 Chi-Ha , URL: /wiki/Type_97_Chi-Ha
"
