"Name","Creator","Platform / OS","BPMN Version","Features","Features","Features","Features","Diagramme example","First Release","Latest Release","Open source","Software license"
"MagicDraw , URL: /wiki/MagicDraw
","No Magic , URL: /wiki/No_Magic
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
","BPMN 2.0","Y","","","","","2007-09-24","2014-06-02","No","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Visio , URL: /wiki/Microsoft_Visio
","Microsoft , URL: /wiki/Microsoft
","Windows , URL: /wiki/Microsoft_Windows
","BPMN 2.0","Y","","","Read: MS Visio. Write: MS Visio, EMF, PDF.","
URL: /wiki/File:Visio.png
//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Visio.png/220px-Visio.png
","","2013","No","Proprietary , URL: /wiki/Proprietary_software
"
"Modelio , URL: /wiki/Modelio
","Modeliosoft , URL: /w/index.php?title=Modeliosoft&action=edit&redlink=1
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
","BPMN 2.0","Y","","","Includes BPMN, UML, ArchiMate SysML, Java round trip code generation, documentation, TOGAF, XSD, WSDL.","
URL: /wiki/File:Modelio.PNG
//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Modelio.PNG/220px-Modelio.PNG
","2009","2019-04-17[12]","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"OmniGraffle , URL: /wiki/OmniGraffle
","Omni Group , URL: /wiki/Omni_Group
","Mac , URL: /wiki/MacOS
","","Y","","","","","2001","2021","No","Proprietary , URL: /wiki/Proprietary_software
"
"Software Ideas Modeler , URL: /wiki/Software_Ideas_Modeler
","Dusan Rodina","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","BPMN 2.0","Y","","","","","2009-Aug","2017-Jan","No","Proprietary , URL: /wiki/Proprietary_software
"
"SAP Process Manager by Signavio","Signavio , URL: /wiki/Signavio
","Cloud (browser based)","BPMN 2.0","Y","Y","Y","","","2009","2021","No","Proprietary , URL: /wiki/Proprietary_software
"
"SYDLE SEED Community , URL: /wiki/SYDLE_SEED_Community
","SYDLE Systems , URL: /wiki/Sydle
","Cloud (browser based)","","Y","Y","","","","2012-07","2012-07","No","Freeware"
"Visual Paradigm , URL: /wiki/Visual_Paradigm
","Visual paradigm","Windows, Linux, Mac","BPMN 2.0","Y","Y","Y","BPMN Simulation (time and costs).","","20 June 2002","2021-04-19, Rel 16.3","No","Proprietary , URL: /wiki/Proprietary_software
"
"yEd , URL: /wiki/YEd
","yWorks","Windows , URL: /wiki/Microsoft_Windows
Mac , URL: /wiki/MacOS
Linux , URL: /wiki/Linux
","BPMN 2.0","Y","","","","","2013-03","2020-05-05","No","Freeware"
"Name","Creator","Platform / OS","BPMN Version","","","Features","","","First Release","Latest Release","Software license",""
