"Brand","Model name","Sensor size , URL: /wiki/Image_sensor_format
","megapixels , URL: /wiki/Megapixel
","Lens mount , URL: /wiki/Lens_mount
","Viewfinder coverage","Metering , URL: /wiki/Metering_mode
","Focus , URL: /wiki/Autofocus
","ISO , URL: /wiki/Film_speed
","ISO , URL: /wiki/Film_speed
","DxO score","DxO ISO[1]","Cont. shtg","LCD size","Live view , URL: /wiki/Live_view
","Movie mode","Memory card","Video","Dimensions (mm)","Weight (g)[2]","Announced (date)","Reference"
"Canon , URL: /wiki/Canon_Inc.
","80D , URL: /wiki/Canon_EOS_80D
","APS-C , URL: /wiki/APS-C
","24.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","100","63","45","100","25600","79","1135","7.0","3","yes","yes","SD , URL: /wiki/SecureDigital
","","139x105x79","730","Feb 2016","[18] , URL: http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-80D
[19] , URL: https://downloads.canon.com/nw/camera/products/eos/80d/specifications/canon-eos-80d-specification-chart.pdf
"
"Canon , URL: /wiki/Canon_Inc.
","70D , URL: /wiki/Canon_EOS_70D
","APS-C , URL: /wiki/APS-C
","20.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","98","63","19","100","25600","68","926","7.0","3","yes","yes","SD , URL: /wiki/SecureDigital
","","139x105x79","755","Jul 2013","[20] , URL: http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-70D
[21] , URL: http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_70d#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","60D , URL: /wiki/Canon_EOS_60D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","96","63","9","100","12800","66","813","5.3","3","yes","yes","SD , URL: /wiki/SecureDigital
","","145x106x79","755","Aug 2010","[22] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-60D
"
"Canon , URL: /wiki/Canon_(company)
","50D , URL: /wiki/Canon_EOS_50D
","APS-C , URL: /wiki/APS-C
","15.1","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","12800","63","696","6.3","3","yes","yes","CF , URL: /wiki/CompactFlash
","","146x108x74","822","Oct 2008","[23] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-50D
[24] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_50d#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","40D , URL: /wiki/Canon_EOS_40D
","APS-C , URL: /wiki/APS-C
","10.1","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","3200","64","703","6.5","3","yes","no","CF , URL: /wiki/CompactFlash
","","146x108x74","740","Aug 2007","[25] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-40D
"
"Canon , URL: /wiki/Canon_(company)
","30D , URL: /wiki/Canon_EOS_30D
","APS-C , URL: /wiki/APS-C
","8.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","3200","59","736","5","2.5","no","no","CF , URL: /wiki/CompactFlash
","","144x106x74","785","Feb 2006","[26] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-30D
"
"Canon , URL: /wiki/Canon_(company)
","20D , URL: /wiki/Canon_EOS_20D
","APS-C , URL: /wiki/APS-C
","8.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","3200","62","721","5","1.8","no","no","CF , URL: /wiki/CompactFlash
","","144x106x72","770","Aug 2004","[29] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-20D
"
"Canon , URL: /wiki/Canon_(company)
","10D , URL: /wiki/Canon_EOS_10D
","APS-C , URL: /wiki/APS-C
","6.3","EF , URL: /wiki/Canon_EF_lens_mount
","95","35","7","100","3200","57","571","3","1.8","no","no","CF , URL: /wiki/CompactFlash
","","150x107x75","790 (without battery)","Feb 2003","[31] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-10D
"
"Canon , URL: /wiki/Canon_(company)
","760D , URL: /wiki/Canon_EOS_760D
","APS-C , URL: /wiki/APS-C
","24","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","19","100","25600","70","915","5","3","yes","yes","SD , URL: /wiki/SecureDigital
","","132×101×78","565g","Feb 2015",""
"Canon , URL: /wiki/Canon_(company)
","750D , URL: /wiki/Canon_EOS_750D
","APS-C , URL: /wiki/APS-C
","24","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","19","100","25600","71","919","5","3","yes","yes","SD , URL: /wiki/SecureDigital
","","132×101×78","555g","Feb 2015",""
"Canon , URL: /wiki/Canon_Inc.
","700D , URL: /wiki/Canon_EOS_700D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","25600","61","681","5.0","3","yes","yes","SD , URL: /wiki/SecureDigital
","","134x100x79","580","Mar 2013","[33] , URL: http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-700D
[34] , URL: http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5i_18_55mm_is_stm_lens_kit#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","650D , URL: /wiki/Canon_EOS_650D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","25600","62","722","5.0","3","yes","yes","SD , URL: /wiki/SecureDigital
","","134x100x79","575","Jun 2012","[35] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-650D
[36] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t4i_18_135mm_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","600D , URL: /wiki/Canon_EOS_600D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","12800","65","793","3.7","3","yes","yes","SD , URL: /wiki/SecureDigital
","","133x100x80","515 (without battery)","Feb 2011","[37] , URL: http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-600D
[38] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3i_ef_s_18_55mm_is_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","550D , URL: /wiki/Canon_EOS_550D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","12800","66","784","3.7","3","yes","yes","SD , URL: /wiki/SecureDigital
","1080p30","129x98x75","530","Feb 2010","[39] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-550D
[40] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t2i_ef_s_18_55mm_is_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","500D , URL: /wiki/Canon_EOS_500D
","APS-C , URL: /wiki/APS-C
","15.1","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","12800","63","663","3.4","3","yes","yes","SD , URL: /wiki/SecureDigital
","","129x98x62","480 (without battery)","Mar 2009","[41] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-500D
[42] , URL: http://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_t1i#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","450D , URL: /wiki/Canon_EOS_450D
","APS-C , URL: /wiki/APS-C
","12.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","1600","61","692","3.5","3","yes","no","SD , URL: /wiki/SecureDigital
","","129x98x62","475 (without battery)","Jan 2008","[43] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-450D
"
"Canon , URL: /wiki/Canon_(company)
","400D , URL: /wiki/Canon_EOS_400D
","APS-C , URL: /wiki/APS-C
","10.1","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","9","100","1600","62","664","3","2.5","no","no","CF , URL: /wiki/CompactFlash
","","127x95x65","510 (without battery)","Aug 2006","[45] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-400D
"
"Canon , URL: /wiki/Canon_(company)
","350D , URL: /wiki/Canon_EOS_350D
","APS-C , URL: /wiki/APS-C
","8.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","7","100","1600","60","637","2.8","1.8","no","no","CF , URL: /wiki/CompactFlash
","","127x94x64","540 (485 without battery)","Feb 2005","[47] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-350D
"
"Canon , URL: /wiki/Canon_(company)
","300D , URL: /wiki/Canon_EOS_300D
","APS-C , URL: /wiki/APS-C
","6.3","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","7","100","1600","55","544","2.5","1.8","no","no","CF , URL: /wiki/CompactFlash
","","142x99x72","694 (560 without battery)","Aug 2003","[49] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-300D
"
"Canon , URL: /wiki/Canon_(company)
","100D , URL: /wiki/Canon_EOS_100D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","25600","63","843","4","3","yes","yes","SD , URL: /wiki/SecureDigital
","","117x91x69","407 (370 without battery)","Mar 2013","[51] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-100D
[52] , URL: http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_sl1_18_55mm_is_stm_lens_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","1200D , URL: /wiki/Canon_EOS_1200D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","12800","63","724","3.0","3","yes","yes","SD , URL: /wiki/SecureDigital
","","130x100x78","480 (435 without battery)","Feb 2014","[53] , URL: http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-1200D
[54] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5_18_55_is_ii_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","1100D , URL: /wiki/Canon_EOS_1100D
","APS-C , URL: /wiki/APS-C
","12.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","63","9","100","6400","62","755","3","2.7","yes","yes","SD , URL: /wiki/SecureDigital
","","130x100x78","495","Feb 2011","[55] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1100D
[56] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3_18_55mm_is_ii_kit#Specifications
"
"Canon , URL: /wiki/Canon_(company)
","1000D , URL: /wiki/Canon_EOS_1000D
","APS-C , URL: /wiki/APS-C
","10.1","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","95","35","7","100","1600","62","719","3","2.5","yes","no","SD , URL: /wiki/SecureDigital
","","126x98x62","502","Jun 2008","[57] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1000D
[58] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_xs_18_55is_kit#Specifications
"
"Nikon , URL: /wiki/Nikon
","D5 , URL: /wiki/Nikon_D5
","Full frame , URL: /wiki/Full-frame_digital_SLR
","20.8","F-mount , URL: /wiki/Nikon_F-mount
","100","180000","153","50","3280000","88","2434","12","3.2","yes","yes","SD , URL: /wiki/Secure_Digital
XQD , URL: /wiki/XQD_card
","2160p30","160x159x92","1405(with battery)","Feb 2017","[59] , URL: https://imaging.nikon.com/lineup/dslr/d5/spec.htm
"
"Nikon , URL: /wiki/Nikon
","D4 , URL: /wiki/Nikon_D4
","Full frame , URL: /wiki/Full-frame_digital_SLR
","16.2","F-mount , URL: /wiki/Nikon_F-mount
","100","91000","51","50","204800","89","2965","11","3.2","yes","yes","CF , URL: /wiki/CompactFlash
XQD , URL: /wiki/XQD_card
","","160x157x91","1180 (without battery)","Jan 2012","[60] , URL: http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D4-review/Sensor-performance
[61] , URL: http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25482/D4.html#tab-ProductDetail-ProductTabs-TechSpecs
"
"Nikon , URL: /wiki/Nikon
","D3X , URL: /wiki/Nikon_D3X
","Full frame , URL: /wiki/Full-frame_digital_SLR
","24.4","F-mount , URL: /wiki/Nikon_F-mount
","100","1005","51","50","6400","88","1992","5","3","yes","no","CF , URL: /wiki/CompactFlash
","","160x157x88","1220","Dec 2008","[62] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3X
[63] , URL: https://web.archive.org/web/20081202073617/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25442/D3X.html
"
"Nikon , URL: /wiki/Nikon
","D3S , URL: /wiki/Nikon_D3S
","Full frame , URL: /wiki/Full-frame_digital_SLR
","12.1","F-mount , URL: /wiki/Nikon_F-mount
","100","1005","51","100","102400","82","3253","9","3","yes","yes","CF , URL: /wiki/CompactFlash
","","160x157x88","1246","Oct 2009","[64] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3s
[65] , URL: https://web.archive.org/web/20100920074740/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25466/D3S.html
"
"Nikon , URL: /wiki/Nikon
","D850 , URL: /wiki/Nikon_D850
","Full frame , URL: /wiki/Full-frame_digital_SLR
","45.7","F-mount , URL: /wiki/Nikon_F-mount
","100","180000","153","64","25600","100","2660","7","3.2","yes","yes","CF , URL: /wiki/CompactFlash
XQD , URL: /wiki/XQD_card
","2160p30","146x124x79","1005","Oct 2017","[66] , URL: https://www.dxomark.com/Cameras/Nikon/D850
"
"Nikon , URL: /wiki/Nikon
","D810 , URL: /wiki/Nikon_D810
","Full frame , URL: /wiki/Full-frame_digital_SLR
","36.3","F-mount , URL: /wiki/Nikon_F-mount
","100","91000","51","64","51200","","","5","3.2","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","1920p60","146x123x82","980","","[67] , URL: https://imaging.nikon.com/lineup/dslr/d810/spec.htm
"
"Nikon , URL: /wiki/Nikon
","D800 , URL: /wiki/Nikon_D800
","Full frame , URL: /wiki/Full-frame_digital_SLR
","36.3","F-mount , URL: /wiki/Nikon_F-mount
","100","91000","51","50","25600","95","2853","4","3.2","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","145x122x82","900 (without battery)","Feb 2012","[68] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800
[69] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800E
[70] , URL: http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25480/D800.html#tab-ProductDetail-ProductTabs-TechSpecs
"
"Nikon , URL: /wiki/Nikon
","D750 , URL: /wiki/Nikon_D750
","Full frame , URL: /wiki/Full-frame_digital_SLR
","24","F-mount , URL: /wiki/Nikon_F-mount
","100","91000","51","100","12800","93","2956","6.5","3.2","yes","yes","SD , URL: /wiki/Secure_Digital
","","141x113x78","840","Sep 2014","[71] , URL: https://www.dxomark.com/nikon-d750-sensor-review-another-nikon-sensor-in-the-dxomark-top-10/
[72] , URL: https://www.nikonusa.com/en/nikon-products/product/dslr-cameras/d750.html
"
"Nikon , URL: /wiki/Nikon
","D700 , URL: /wiki/Nikon_D700
","Full frame , URL: /wiki/Full-frame_digital_SLR
","12.1","F-mount , URL: /wiki/Nikon_F-mount
","95","1005","51","100","25600","80","2303","5","3","yes","no","CF , URL: /wiki/CompactFlash
","","147x123x77","995","Jul 2008","[73] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D700
[74] , URL: https://web.archive.org/web/20100830152350/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25444/d700.html
"
"Nikon , URL: /wiki/Nikon
","D600 , URL: /wiki/Nikon_D600
","Full frame , URL: /wiki/Full-frame_digital_SLR
","24.3","F-mount , URL: /wiki/Nikon_F-mount
","100","2016","39","50","25600","94","2980","5.5","3.2","yes","yes","SD , URL: /wiki/Secure_Digital
","","141x113x82","760 (w/o battery)","Sep 2012","[75] , URL: http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25488/D600.html
[76] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D600
"
"Nikon , URL: /wiki/Nikon
","D300S , URL: /wiki/Nikon_D300S
","APS-C , URL: /wiki/APS-C
","12.3","F-mount , URL: /wiki/Nikon_F-mount
","100","1005","51","100","6400","70","787","6","3","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","147x114x74","918","Jul 2009","[77] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D300s
[78] , URL: https://web.archive.org/web/20100207180210/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25464/D300S.html
"
"Nikon , URL: /wiki/Nikon
","D7000 , URL: /wiki/Nikon_D7000
","APS-C , URL: /wiki/APS-C
","16.2","F-mount , URL: /wiki/Nikon_F-mount
","100","2016","39","100","25600","80","1167","6","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","132x105x77","690 (without battery)","Sep 2010","[79] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D7000
"
"Nikon , URL: /wiki/Nikon
","D90 , URL: /wiki/Nikon_D90
","APS-C , URL: /wiki/APS-C
","12.3","F-mount , URL: /wiki/Nikon_F-mount
","96","420","11","100","6400","73","977","4.5","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","132x103x77","620 (without battery)","Aug 2008","[80] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D90
[81] , URL: https://web.archive.org/web/20130909045722/http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/25446/D90.html
"
"Nikon , URL: /wiki/Nikon
","D5100 , URL: /wiki/Nikon_D5100
","APS-C , URL: /wiki/APS-C
","16.2","F-mount , URL: /wiki/Nikon_F-mount
","95","420","11","100","25600","80","1183","4","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","127x97x79","560 (without battery)","Apr 2011","[82] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5100
[83] , URL: http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25478/D5100.html
"
"Nikon , URL: /wiki/Nikon
","D5000 , URL: /wiki/Nikon_D5000
","APS-C , URL: /wiki/APS-C
","12.3","F-mount , URL: /wiki/Nikon_F-mount
","95","420","11","100","6400","72","868","4","2.7","yes","yes","SD , URL: /wiki/Secure_Digital
","","127x104x80","560 (without battery)","Apr 2009","[84] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5000
[85] , URL: https://web.archive.org/web/20100209211852/http://nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25452/D5000.html
"
"Nikon , URL: /wiki/Nikon
","D3200 , URL: /wiki/Nikon_D3200
","APS-C , URL: /wiki/APS-C
","24.2","F-mount , URL: /wiki/Nikon_F-mount
","95","420","11","100","12800","81","1131","4","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","125x96x79","505","Apr 2012","[86] , URL: http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D3200-Review/Sensor-performance
[87] , URL: http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25492/D3200.html
"
