"Title","Status","Graphics","Setting","Business model","Launched","Closed","Distribution","Notes"
"Rubies of Eventide","Closed","3D","Medieval fantasy","Free-to-play","2003","2009","",""
"Runes of Magic","Active","3D","Medieval fantasy","Freemium","2009","","","Publisher: Gameforge"
"RuneScape (3)","Active","3D","Medieval fantasy","Freemium, but with bulk of content pay-to-play","2001","","Standalone & Steam","RuneScape 3 is C++-based, developed continuously since 2001. Old School RuneScape forked from its 2007 version in 2013."
"Rusty Hearts","Closed","3D","Fantasy","Free-to-play","2011","2014","","Hack and slash"
"Ryzom","Europe North America","3D","Science fantasy , URL: /wiki/Science_fantasy
","Freemium","2004","","Steam","Free-to-play (up to level 125), pay-to-play (to max level). Open source"
"Salem","Active","3D","Historical (17th century) fantasy","Free-to-play","2012","","Standalone","Crafting-based"
"Sangokushi Online","Closed","3D","Historical (Chinese)","Pay-to-play","2008","2010-07-19","","Part of the Romance of the Three Kingdoms series by Koei"
"Scions of Fate","East Asia Indonesia USA","3D","Fantasy","Free-to-play","2005","","","Korean name: Yulgang."
"Seal Online","East Asia USA","3D","Fantasy","Freemium","2003","","",""
"The Secret World","Europe North America","3D","Modern","Buy-to-play","2012","","Steam","Formerly pay-to-play"
"Shadowbane","Closed","3D","Fantasy","Pay-to-play","2003-03-25","2009-07-01","","""free-to-play"" , URL: /wiki/Shadowbane#Revenue
"
"Shin Megami Tensei: Imagine","Closed","3D","Fantasy","Free-to-play","2007","2016-05-24","",""
"Shot-Online","Active","3D","Sports (golf)","Freemium","2004","","",""
"Shroud of the Avatar: Forsaken Virtues","Active","3D","Fantasy","Free-to-play","2018","","","Spiritual successor to the Ultima series[citation needed]"
"Silkroad Online","China Europe USA","3D","Fantasy","Free-to-play","2005","","","Servers in China, Europe and USA.[13]"
"Skyforge","Active","3D","Fantasy (Mythic/Sci-fi)","Freemium","2015","","","Russian-based developers. Manual aim action combat"
"Soul of the Ultimate Nation","Closed","3D","Fantasy","Pay-to-play","2007","2013-07-03","",""
"Space Heroes Universe!","Closed","2D","Kids","Freemium","2011","2015","","Originally Little Space Heroes"
"Spiral Knights","Active","3D","Fantasy","Freemium","2009","","Steam & Standalone","Java"
"StarQuest Online","Closed","3D","Science fiction","Free-to-play","2007","2014","","Downloadable client (Windows)"
"Star Trek Online","Active","3D","Science fiction","Freemium","2010","","","""free-to-play"" , URL: /wiki/Star_Trek_Online#Subscriptions
"
"Star Wars Galaxies","Closed","3D","Science fiction","Pay-to-play","2003-06-26","2011-12-15","","First Star Wars MMORPG, using a ""sandbox"" approach with a player-driven economy."
"Star Wars: The Old Republic","Active","3D","Science fiction","Freemium with optional subscription model","2011","","Standalone & Steam","Spiritual sequel , URL: /wiki/Spiritual_sequel
"
"Stellar Dawn","Terminated","3D","Science fiction","","","","","Jagex , URL: /wiki/Jagex
"
"Tabula Rasa","Closed","3D","Science Fiction","Pay-to-play","2007","2009","",""
"A Tale in the Desert","Active","3D","Mythology (Egyptian)","Pay-to-play","2003","","Standalone","Non-combat-oriented RPG"
"Tales of Pirates","Closed","3D","Fantasy (Maritime)","Free-to-play","2007","2016-29-02","","During 2010 server data was transferred to a revamped client called Tales of Pirates II"
"TERA: Rising","Active","3D","Fantasy","Freemium","2011","","Steam, consoles","Manual aim action combat (True Action combat)"
"Terra","Active","3D","Science fiction","Free-to-play","1996","","",""
"Tibia","Active","2D (sprite-based; overhead)","Fantasy","Free-to-play","1997","","","Downloadable client (Windows, Linux)."
"Toontown Online","Closed","3D","Fantasy, Cartoon","Freemium","2003","2013-09-19","","Designed for families, mostly targeted towards children."
"Toontown Rewritten","Active","3D","Fantasy, Cartoon","Free-to-play","2014","","Standalone","Fan-made revival of Toontown Online, created using publicly available downloads and information."
"Torn","Active","Text","Crime (mafia)","Free-to-play","2004-11-15","","Browser","Mafia-themed"
"Trickster Online","Closed","2D (isometric; adventure)","Fantasy, Mythology (Greek/mixed)","Free-to-play","2003","2014-01-28","",""
"Trove","Active","3D","Fantasy, Cartoon","Freemium","2013","","",""
"Twelve Sky","Closed","3D","Fantasy","Free-to-play","2007","","",""
"Twelve Sky 2","East Asia, SEA Europe North America","3D","Fantasy","Free-to-play","2008","","",""
"Ultima Online","Active","2D/3D Isometric","Medieval fantasy","Subscription","1997","","","Richard Garriott , URL: /wiki/Richard_Garriott
"
"Uncharted Waters Online","Active","3D","Historical (maritime)","Free-to-play (on international server)","2005-03-03 (Japan) 2010-10-07 (West)","","",""
"Underlight","Active","3D","Fantasy (Dream)","Free-to-play","1998","","Standalone & Steam","Original servers were shut down in December 2006. Re-launched in September 2014 by KoiWare."
"Vanguard: Saga of Heroes","Closed","3D","Fantasy","Pay-to-play","2007-01-30","2014-07-31","",""
"Vendetta Online","Active","3D","Science fiction","Pay-to-play","2004","","Cross-platform","Space vehicle piloting and twitch-based interface"
"Vindictus","Active","3D","Fantasy (Celtic)","Free-to-play","2010","","Steam","Manual aim action combat"
"Voyage Century Online","Active","3D","Historical (maritime)","Free-to-play","2006","","","Many localised language versions shut down in 2010s: German, French, Spanish, Portuguese, Turkish."
"Wakfu","Active","2D (isometric)","Fantasy","Freemium","2012","","","Downloadable client (Windows, Mac, Linux). Tactical combat."
"Warhammer Online: Age of Reckoning","Closed","3D","Fantasy","Freemium","2008","2013-12-18","",""
"WildStar","Closed","3D","Fantasy, Science fiction","Free-to-play","2014","2018-11-28","","Manual aim action combat (telegraphed). Became free-to-play on 2015-09-29"
"With Your Destiny","Active","3D","Fantasy (Scandinavian)","Free-to-play","2003","","",""
"Wizard101","Australasia Europe North America","3D","Fantasy, kids","Freemium","2008","2015 (China & Taiwan)","","Wizard game with cards, kid-safe chat. China & Taiwan servers shut down late 2015."
"Wizardry Online","Closed","3D","Fantasy","Freemium","2013","2014","","Based on Wizardry series"
"WonderKing Online","Closed","2D (side-scrolling)","Fantasy","Free-to-play","2006","2011-12-29[15]","",""
"Wonderland Online","Closed","2D (special)","Fantasy","Free-to-play","2008-04-09","2019-01-15","","Anime/Manga based"
"World of the Living Dead","Closed","2D","Survival Strategy","Free-to-play","2014","2014","","Map-Based Survival Game with PvP, Factions, Customization, Upgrades & Crafting."
"World of Warcraft","Active","3D","Fantasy","Pay-to-play","2004","","Launcher","Free-to-play until level 20"
"Wurm Online","Active","3D","Medieval fantasy","Freemium","2006","","","Sandbox game with hundreds of skills, multiple kingdoms, and a deep crafting system."
"Xsyon","Early access","3D","Apocalyptic fantasy","Buy-to-play[16][17]","2011","","Steam","Apocalyptic fantasy sandbox. Early access since 2011. Pay-to-play 2012–2015, freemium 2012–2014."
"Zhengtu","Closed","2D","Mythology (Chinese)","Freemium","2008","2018-12-26","",""
